note ||| 	Mobile Networks and Applications 9, 9–20, 2004 © 2004 Kluwer Academic Publishers. Manufactured in The Netherlands.
bodyText ||| Two or more Bluetooth units sharing the same channel
bodyText ||| form a piconet. Each piconet consists of a master unit and
bodyText ||| up to seven active slave units. The master unit polls the slave
bodyText ||| units according to a polling algorithm and a slave is only al-
bodyText ||| lowed to transmit after the master has polled it. The piconet
bodyText ||| capacity is thus, shared among the slave units according to the
bodyText ||| polling algorithm.
bodyText ||| Furthermore, two or more piconets can be interconnected,
bodyText ||| forming a scatternet. This requires a unit, called an inter-
bodyText ||| piconet unit (gateway), to be a part of more than one piconet.
bodyText ||| Such a unit can simultaneously be a slave member of multi-
bodyText ||| ple piconets, but a master in only one, and can transmit and
bodyText ||| receive data in only one piconet at a time; so participation in
bodyText ||| multiple piconets has to be on a time-division multiplex ba-
bodyText ||| sis. The time of the gateway is, thus, also shared among the
bodyText ||| piconets it belongs to. In this work, we assume that the gate-
bodyText ||| way can only be a slave in its piconets. If a gateway were
bodyText ||| to be a master in a piconet, it would lead to the stoppage of
bodyText ||| all transmission in the piconet when the gateway visits some
bodyText ||| other piconet. Thus, we believe that the use of the gateway as
bodyText ||| a slave is the most efficient method of scatternetting.
sectionHeader ||| 3. Fair allocation of bandwidth
bodyText ||| As introduced in the previous section, units belonging to a
bodyText ||| piconet share the piconet capacity according to the polling
bodyText ||| algorithm used by the master. In an analogous manner, gate-
bodyText ||| ways in a scatternet divide their time among their different
bodyText ||| piconets, according to the “master-listening” algorithm they
bodyText ||| use. It can be noted that there is a duality in this architec-
bodyText ||| ture. On the one hand, a master divides its capacity among
bodyText ||| the units of its piconet by using a polling algorithm. On the
bodyText ||| other hand, a gateway shares its capacity among the piconets
bodyText ||| it belongs to, on the basis of a scheduling algorithm it uses
bodyText ||| for listening to the masters. The gateway, can, then be viewed
bodyText ||| as a “virtual master” and its masters can be viewed as “virtual
bodyText ||| slaves” forming a “virtual piconet”, in which the polling cycle
bodyText ||| is, actually, the “listening cycle” of the gateway. A graphical
bodyText ||| interpretation of this duality is given in figure 1, in which the
bodyText ||| solid line shows the actual piconets, and the dotted line shows
bodyText ||| the virtual piconet.
bodyText ||| Due to this duality, we design our scheduling scheme such
bodyText ||| that the same scheduling algorithm is used for fair sharing of
bodyText ||| both (a) the piconet capacity among slaves and (b) the gate-
bodyText ||| way time among piconets.
bodyText ||| We now give a definition of max-min fairness [7]. We then
bodyText ||| go on to define max-min fairness in the context of Bluetooth
bodyText ||| scatternets, by considering (a) intra-piconet fairness, i.e., fair-
bodyText ||| ness in division of piconet bandwidth among slaves (both
bodyText ||| gateway and non-gateway) of a piconet and (b) inter-piconet
bodyText ||| fairness, i.e., fairness in division of the gateway’s presence
bodyText ||| among its piconets. We first define a ‘feasible’ rate distribu-
bodyText ||| tion since this is used in the definition of max-min fairness.
construct ||| Definition 1 (Feasible). A rate distribution is feasible if rates
construct ||| are non-negative, the aggregate rate is not greater than one,
construct ||| and no unit receives a higher rate than required.
construct ||| Definition 2 (Max-min fairness). An allocation of rates η1,
construct ||| η2, ... , ηs among s units is max-min fair if it is feasible, and
construct ||| for each unit i, ηi cannot be increased (while maintaining fea-
construct ||| sibility) without decreasing η j for some other unit j for which
construct ||| ηj &lt;, ηi.
bodyText ||| The distribution of max-min fair rates depends upon the
bodyText ||| set of rate demands (traffic generated) of the units. In the
bodyText ||| following subsections, we discuss factors that determine the
bodyText ||| max-min “fair share” of a slave (gateway or non-gateway).
bodyText ||| We call these factors the Piconet Presence Fraction and the
bodyText ||| Scatternet Presence Fraction and show how they may be used
bodyText ||| to calculate the “fair share” for a slave in a scatternet.
subsectionHeader ||| 3.1. Piconet presence fraction
bodyText ||| Consider a piconet consisting of gateway and non-gateway
bodyText ||| slaves in which the master has complete knowledge of the rate
bodyText ||| demands of all slaves (an ideal master). Using this knowl-
bodyText ||| edge, the master polls the slaves in a max-min fair man-
bodyText ||| ner such that each slave gets its “fair share” of the master’s
bodyText ||| polling. We refer to the “fair share” received by a slave as the
bodyText ||| “piconet presence fraction” (PPF) of the slave. The gateway
bodyText ||| has a PPF for each piconet it belongs to.
bodyText ||| Consider the piconets shown in figures 2(a) and 2(b), each
bodyText ||| consisting of one gateway and two slaves, with the traffic rates
bodyText ||| of each slave as shown. In figure 2(a) (Piconet I), the PPF of
bodyText ||| each non-gateway slave is 0.2, while the PPF of the gateway
bodyText ||| is 0.6. In figure 2(b) (Piconet II), the PPFs of the slaves are
bodyText ||| 0.2 and 0.4, while the PPF of the gateway is 0.4.
note ||| A FAIR AND TRAFFIC DEPENDENT SCHEDULING	11
figureCaption ||| Figure 2. Piconets with traffic rates between master and each slave shownn.
subsectionHeader ||| 3.2. Scatternet presence fraction
bodyText ||| A gateway will, in general, be a slave in multiple piconets and
bodyText ||| may have different amounts of traffic to exchange with each
bodyText ||| piconet. Consider an ideal gateway that has complete knowl-
bodyText ||| edge of the rate demands of all its masters. The gateway can
bodyText ||| then divide its presence among its piconets in a max-min fair
bodyText ||| manner, giving each piconet a “fair share” of its presence. We
bodyText ||| call this fair share the “scatternet presence fraction” (SPF) of
bodyText ||| the gateway for the piconet. The importance of the SPF is that
bodyText ||| a fair division of the gateway’s presence among its piconets
bodyText ||| can be achieved based on the SPF.
bodyText ||| Consider the piconets of figure 2 again, but the gateway of
bodyText ||| each of the piconets now connects them to form a scatternet,
bodyText ||| as shown in figure 3. The traffic requirements are the same as
bodyText ||| shown in figure 2. The SPF of the gateway is 0.5 in Piconet I
bodyText ||| and 0.5 in Piconet II.
subsectionHeader ||| 3.3. Fair share
bodyText ||| We see that for a gateway to be fair, there are two kinds of
bodyText ||| fairness it has to achieve: that dictated by the PPFs, which
bodyText ||| achieves fairness between the gateway and the other slaves of
bodyText ||| a piconet, and that of the SPFs, which distributes the presence
bodyText ||| of the gateway between its piconets in a fair manner. Both
bodyText ||| these kinds of fairness may not always be completely achiev-
bodyText ||| able and this can lead to a change in the values of PPF and
bodyText ||| SPF, as we now discuss.
bodyText ||| We observe that an ideal master (as in section 3.1) does
bodyText ||| not give a gateway more than the PPF of its polling. Thus,
bodyText ||| if the SPF of a gateway is greater than its PPF for a piconet,
bodyText ||| the gateway spends a fraction of its time equal to the PPF
bodyText ||| in the piconet. The gateway cannot stay for a fraction equal
bodyText ||| to its SPF in the piconet since it is limited by its PPF. Thus,
bodyText ||| the extra scatternet presence fraction (the difference of the
bodyText ||| SPF and the PPF) is redistributed in a fair manner among
bodyText ||| the gateway’s other piconets for which the SPF is less than
bodyText ||| the PPF. This may increase the SPF of the gateway in the
bodyText ||| other piconets. In other words, the gateway behaves as if
bodyText ||| its SPF in a particular piconet is reduced to the PPF and
bodyText ||| thus, its SPF in the other piconets increases. We refer to this
bodyText ||| changed SPF as the “updated SPF” of the gateway in a pi-
bodyText ||| conet.
bodyText ||| Similarly, an ideal gateway does not stay a fraction of time
bodyText ||| more than the SPF in a piconet. Thus, if the PPF of the gate-
tableCaption ||| Table 1
tableCaption ||| Calculation of fair share of the gateway in the two piconets of figure 3.
table ||| 	Piconet I	Piconet II
table ||| Actual traffic rate	0.7	0.6
table ||| PPF	0.6	0.4
table ||| SPF	0.5	0.5
table ||| Updated PPF	0.6	0.4
table ||| Updated SPF	0.6	0.4
table ||| Fair share	0.6	0.4
figureCaption ||| Figure 3. Gateway shared between two piconets; traffic rates between slaves
figureCaption ||| and the master are shown.
bodyText ||| way in the piconet is greater than the SPF, the gateway spends
bodyText ||| a fraction of time equal to the SPF in the piconet. The remain-
bodyText ||| ing PPF of the gateway (the difference of the PPF and the
bodyText ||| SPF) is redistributed in a fair manner among the other slaves
bodyText ||| of the piconet (if this other slave is a gateway, it is redistrib-
bodyText ||| uted to it if its SPF is greater than its PPF in the piconet). This
bodyText ||| may increase the PPF of these slaves. We refer to this changed
bodyText ||| PPF as the “updated PPF” of the slave in the piconet. In case
bodyText ||| there is no such redistribution, the updated PPF is equal to the
bodyText ||| PPF and the updated SPF is equal to the SPF.
bodyText ||| The fair share can now be calculated from the “updated
bodyText ||| PPF” and the “updated SPF” as the minimum of these two
bodyText ||| quantities. Note that all these quantities – PPF, SPF, updated
bodyText ||| PPF, updated SPF and fair share–are dependent on the traffic.
bodyText ||| Any change in traffic demand of a unit may lead to a change
bodyText ||| in some of these quantities. We explain the calculation of the
bodyText ||| fair share using some examples.
bodyText ||| An example is given in table 1, which shows the actual traf-
bodyText ||| fic rate, PPF, SPF, Updated PPF, Updated SPF and fair share
bodyText ||| of the gateway in the two piconets of figure 3. In Piconet II,
bodyText ||| the gateway has a PPF of 0.4, which is less than the SPF. In
bodyText ||| Piconet I, the gateway has a PPF of 0.6 and an SPF of 0.5.
bodyText ||| Thus, the extra scatternet presence fraction of the gateway in
bodyText ||| Piconet II (the difference between the SPF and the PPF) is
bodyText ||| given to Piconet I, which has a higher traffic rate than may
bodyText ||| be allowed by the SPF. This is reflected in the “updated SPF”
bodyText ||| values. Thus, the “fair share” of the gateway in Piconet I is
bodyText ||| 0.6 and in Piconet II is 0.4. The fair shares of the non-gateway
bodyText ||| slaves are equal to their PPF.
bodyText ||| As another example, consider the scatternet consisting of
bodyText ||| 5 piconets with the traffic rates shown as in figure 4. As shown
bodyText ||| in table 2, gateway G2 has a PPF of 0.5 and an SPF of 0.4 in
bodyText ||| Piconet B. Thus, the “updated PPF” of G2 in Piconet B is 0.4.
bodyText ||| The extra PPF (= PPF − SPF) is added to the PPF of gateway
note ||| 12	R. KAPOOR ET AL.
figureCaption ||| Figure 4. Scatternet with two gateways.
table ||| Table 2
tableCaption ||| Calculation of fair share of the gateways G1 and G2 in the scatternet of
tableCaption ||| figure 4.
table ||| Gateway G1	Piconet A	Piconet B	Piconet C
table ||| Actual traffic rate	0.4	0.6	0.1
table ||| PPF	0.25	0.5	0.1
table ||| SPF	0.4	0.5	0.1
table ||| Updated PPF	0.25	0.6	0.1
table ||| Updated SPF	0.25	0.65	0.1
table ||| Fair share	0.25	0.6	0.1
table ||| Gateway G2	Piconet B	Piconet D	Piconet E
table ||| Actual traffic rate	0.7	0.2	0.4
table ||| PPF	0.5	0.2	0.4
table ||| SPF	0.4	0.2	0.4
table ||| Updated PPF	0.4	0.2	0.4
table ||| Updated SPF	0.4	0.2	0.4
table ||| Fair share	0.4	0.2	0.4
bodyText ||| G1 in Piconet B. The “updated PPF” of G1 in Piconet B is,
bodyText ||| thus, 0.6.
bodyText ||| Also, gateway G1 has a PPF of 0.25 and an SPF of 0.4
bodyText ||| in Piconet A. Thus, the “updated SPF” of G1 in Piconet A is
bodyText ||| 0.25. The extra SPF (= SPF − PPF) is added to the SPF of G1
bodyText ||| in Piconet B. The “updated SPF” of G1 in Piconet B, is thus,
bodyText ||| equal to 0.65. The fair shares can now be easily calculated.
bodyText ||| A division of the master’s polling and the gateway’s pres-
bodyText ||| ence based on PPF and SPF as described in this section takes
bodyText ||| into account the traffic demands of the slaves and the gate-
bodyText ||| ways and leads to fairness in the scatternet. In the next sec-
bodyText ||| tion, we introduce and describe an algorithm that aims to
bodyText ||| achieve such a fair distribution of bandwidth.
sectionHeader ||| 4. Description of algorithm
bodyText ||| We first explain how the algorithm works in the case of a sin-
bodyText ||| gle piconet with no gateway. We then extend the algorithm
bodyText ||| to the case of a scatternet and explain how the coordination
bodyText ||| between the master and the gateways is achieved. We then
bodyText ||| prove the fairness of the algorithm.
subsectionHeader ||| 4.1. Single piconet with no gateways
bodyText ||| The polling algorithm is based on the master estimating the
bodyText ||| traffic rate between each slave and itself. This traffic rate is
bodyText ||| the sum of the traffic rates from the master to a slave and in
bodyText ||| the reverse direction. We assume, in order to simplify the ex-
bodyText ||| planation of the algorithm, that traffic flows only from slaves
bodyText ||| to master; masters generate no traffic to slaves. The same al-
bodyText ||| gorithm also applies with little change when traffic flows in
bodyText ||| both directions (explained later).
bodyText ||| The master uses a Round Robin polling scheme, with the
bodyText ||| modification that a slave is skipped if it does not belong to the
bodyText ||| “active list” of the master. The slaves are moved in and out
bodyText ||| of the active list on the basis of two variables that the master
bodyText ||| maintains for each slave. These two variables are:
bodyText ||| r – estimate of the rate of traffic generated by the slave;
bodyText ||| N – estimate of the queue length of the slave.
bodyText ||| When a slave is polled, the master–slave pair gets a chance
bodyText ||| to exchange a maximum amount of data in each direction,
bodyText ||| denoted by M. After each such polling phase, the master up-
bodyText ||| dates the values of N and r in the following manner:
bodyText ||| For the slave just polled:
equation ||| N=N+rτ −x, (1)
equation ||| αr+(1−α)xT ,	x &lt;M,
equation ||| αr+(1−α)xT + δ, x=M.
equation ||| For other slaves:
equation ||| N = N + rτ, (3)
bodyText ||| where τ is the time elapsed since the last update, x is the
bodyText ||| amount of data exchanged during the poll phase, T is the total
bodyText ||| time elapsed since the last poll of the same slave, α is a para-
bodyText ||| meter used to smooth the rate estimation and δ is a parameter
bodyText ||| used to probe for more bandwidth. Note that x is the actual
bodyText ||| amount of data exchanged, which may be less than or equal
bodyText ||| to M, depending upon the number of packets in the slave’s
bodyText ||| queue. Since N is an estimate of the slave’s queue length and
bodyText ||| r is an estimate of the rate at which traffic is generated, N is
bodyText ||| increased at the rate of r (as in equations (1) and (3)). Also,
bodyText ||| when a slave is polled, N is decreased by the amount of data
bodyText ||| exchanged ((equation 1)).
bodyText ||| After updating these values, the master determines the
bodyText ||| changes to be made to the active list. A slave is added or
bodyText ||| deleted from the active list depending upon whether its value
bodyText ||| of N is greater or smaller than a “threshold”. The value of
bodyText ||| this threshold is the minimum amount of data that the master
bodyText ||| would like the slave to have in order to poll it. We choose
bodyText ||| a value equal to a multiple of a DH5 packet for the thresh-
bodyText ||| old since this packet incurs least overhead (the selection of
bodyText ||| the value of the threshold is discussed further in the next sub-
bodyText ||| section). Thus, a slave is present in the active list if the mas-
bodyText ||| ter’s estimate of the value of N for the slave is greater than the
bodyText ||| threshold. This makes the simple Round Robin polling strat-
bodyText ||| egy adaptive to traffic and enables it to utilize bandwidth ef-
bodyText ||| ficiently, even when slaves have different rates of traffic. The
bodyText ||| maximum amount of data that can be exchanged at each poll,
bodyText ||| M, is also set equal to the threshold. Note that if the amount
bodyText ||| of data, x, in the slave’s queue is less than the threshold, the
bodyText ||| polling of the slave ends after this data has been exchanged.
equation ||| r=	
equation ||| (2)
note ||| A FAIR AND TRAFFIC DEPENDENT SCHEDULING	13
bodyText ||| If the value of N is less than the threshold for all the slaves,
bodyText ||| then the slave whose value of N is estimated to take the small-
bodyText ||| est time to reach the threshold is polled, i.e., the slave for
bodyText ||| which the value of (Threshold − N)/r is the smallest.
bodyText ||| The master now goes to the next slave according to the
bodyText ||| Round Robin ordering of slaves. If the slave is present in the
bodyText ||| active list, it is polled. Else, the procedure is repeated for the
bodyText ||| next slave in the Round Robin ordering.
bodyText ||| Also, note that if the amount of data sent by the slave x
bodyText ||| is equal to M, r is increased by a small amount, δ. This is
bodyText ||| basically an attempt by the slave to probe for more bandwidth
bodyText ||| if it is able to send data at the present rate. The usefulness
bodyText ||| of this increase is evident in the proof of fairness in the next
bodyText ||| section. The value of δ chosen is 0.15 and that of α is 0.65.
bodyText ||| We also discuss the rationale behind choosing these values in
bodyText ||| the proof of fairness.
bodyText ||| If traffic flows in both directions, i.e., from the slaves to
bodyText ||| the master and in the reverse direction, x is the average of
bodyText ||| the amount of data exchanged in the two directions, r refers
bodyText ||| to the average of the rate-estimations of the two directions
bodyText ||| and N refers to the average of the queue length estimates of
bodyText ||| the two directions. Also, if the number of packets in either
bodyText ||| direction is less than the threshold, the polling of the slave
bodyText ||| continues till in both directions, (a) there is no more data to
bodyText ||| send or (b) amount of data equal to the threshold has been
bodyText ||| exchanged.
bodyText ||| The initial value of N is set to the threshold (to ensure that
bodyText ||| slaves get polled at the beginning) and that of r is set to 0.25
bodyText ||| (as a reasonable value). Note that the algorithm converges to
bodyText ||| the fair share, but a careful selection of initial values makes
bodyText ||| the initial convergence faster.
bodyText ||| Another advantage of such a scheme is that it may allow
bodyText ||| the master to go into a power-saving mode if it realizes that no
bodyText ||| slave has sufficient packets to send, i.e., if N is smaller than
bodyText ||| the threshold for all slaves. Though we do not explore this
bodyText ||| option in this paper, it may be useful since Bluetooth devices
bodyText ||| are expected to work in power-constrained environments.
bodyText ||| To improve the algorithm, we add a heuristic to it. The
bodyText ||| maximum number of polling cycles that a slave is not polled
bodyText ||| is bounded. If a slave generates a large burst of data occa-
bodyText ||| sionally and then does not generate any data for a long time,
bodyText ||| the value of r for the slave may be very low. This may cause
bodyText ||| the value of N for the slave to be lower than the threshold
bodyText ||| for a long time. By limiting the maximum number of cycles
bodyText ||| missed by the slave, we make sure that such a behavior of the
bodyText ||| slave does not lead to its starvation. In the experiments, this
bodyText ||| value is taken to be equal to 5 cycles. We now explain how
bodyText ||| the above algorithm works in a scatternet.
subsectionHeader ||| 4.2. Scatternet
bodyText ||| Scheduling of gateways using Rendezvous Points. Before
bodyText ||| describing how the algorithm works in a scatternet, we briefly
bodyText ||| discuss the notion of Rendezvous Points (RPs) described
bodyText ||| in [4]. A RP is a slot at which a master and a gateway have
bodyText ||| agreed to meet, i.e., at this slot, the master will poll the gate-
bodyText ||| way and the gateway will listen to the master. In [4], RPs are
bodyText ||| implemented using the SNIFF mode of Bluetooth, but we im-
bodyText ||| plement RPs using the HOLD mode [ 10]. In the HOLD mode,
bodyText ||| the slave does not have to listen to the master for a certain time
bodyText ||| period and may use this time to visit other piconets. Prior to
bodyText ||| entering the HOLD mode, the master and the slave agree on
bodyText ||| the time duration the slave remains in the HOLD mode. We
bodyText ||| implement our algorithm using RPs as described below.
bodyText ||| The working of the algorithm in a scatternet is very similar
bodyText ||| to its operation in a piconet. The master continues to poll the
bodyText ||| non-gateway slaves in the same manner as described in the
bodyText ||| previous section with the modification that a gateway is polled
bodyText ||| at a Rendezvous Point. Each RP is a slot at which a particular
bodyText ||| gateway is polled and a master has different RPs for each of its
bodyText ||| gateways. These RPs are always unique (i.e., a master cannot
bodyText ||| have the same RP with more than one gateway). Since the
bodyText ||| gateway must be polled at the RP, this has implications in the
bodyText ||| polling of the other slaves (discussed later). Once a gateway
bodyText ||| has been polled, the master continues with the polling of the
bodyText ||| other slaves in the same manner as described in the previous
bodyText ||| section, i.e., it checks its active list to see if the next slave in
bodyText ||| the polling cycle is to be polled and so on.
bodyText ||| In order to divide its time among different piconets in a
bodyText ||| fair manner, the gateway performs similar calculations as de-
bodyText ||| scribed in the earlier section for the master. The gateway
bodyText ||| maintains values of N and r for each piconet it belongs to and
bodyText ||| these values are updated each time a gateway is polled (i.e.,
bodyText ||| at each RP). Thus, the calculations performed by a gateway at
bodyText ||| each RP are:
bodyText ||| For the piconet in which the gateway was just polled:
equation ||| N=N+rτ −x, (4)
equation ||| x
equation ||| αr+(1−α)T, x &lt;M,
equation ||| αr+(1−α) xT + δ, x=M.
equation ||| For other piconets:
equation ||| N = N + rτ, (6)
bodyText ||| where τ is the time elapsed since the last update, x is the
bodyText ||| amount of data exchanged during the poll phase, T is the to-
bodyText ||| tal time elapsed since the gateway was polled in the same pi-
bodyText ||| conet, and α and δ are as defined earlier.
bodyText ||| Moreover, at each RP, the gateway and the master negoti-
bodyText ||| ate the next RP between them. The assignment of this next
bodyText ||| RP takes into account the fairness between (a) the gateway
bodyText ||| and other slaves in a piconet and (b) the presence of the gate-
bodyText ||| way in different piconets. Also, we again employ a heuristic
bodyText ||| that improves the algorithm. When the next RP is being nego-
bodyText ||| tiated, we keep a bound on the maximum value this can take.
bodyText ||| This prevents a piconet from not being visited by a gateway
bodyText ||| for a long time. The maximum value of this next RP used in
bodyText ||| our experiments is 400 slots.
bodyText ||| We now see how the master and the gateway use the in-
bodyText ||| formation that they have to achieve fairness in the scatternet.
bodyText ||| When a gateway is polled at a RP, the gateway and the master
bodyText ||| do the following.
equation ||| r=	
equation ||| (5)
note ||| 14	R. KAPOOR ET AL.
listItem ||| (i) Gateway. The gateway calculates the number of slots,
listItem ||| Nthresh after which N for the piconet will become greater
listItem ||| than the threshold; Nthresh = (threshold − N)/r, where
listItem ||| threshold is as explained in the previous section, N and
listItem ||| r are values maintained by the gateway for the piconet.
listItem ||| The gateway makes use of this value and does not visit
listItem ||| a piconet till its estimate of N for the piconet becomes
listItem ||| greater than the threshold. This is similar to the algo-
listItem ||| rithm used by the master in which a slave is not polled till
listItem ||| the master’s estimate of N for the slave becomes greater
listItem ||| than the threshold. Thus, the gateway tries to divide its
listItem ||| time between the piconets in a fair manner, i.e., accord-
listItem ||| ing to the SPFs. Note that Nthresh may be negative if N
listItem ||| is greater than the threshold. Also, Nthresh is allowed to
listItem ||| have a maximum value of 400.
bodyText ||| Moreover, each time a gateway visits a piconet, it knows
bodyText ||| the RPs for the other piconets it belongs to (except right
bodyText ||| at the beginning or when the gateway is added to another
bodyText ||| piconet).
listItem ||| (ii) Master. The master calculates the number of slots after
listItem ||| which the gateway can be polled such that the fairness
listItem ||| with other slaves is maintained. It adopts the following
listItem ||| procedure to achieve this:
bodyText ||| It maintains a counter, num_slots (which is initialized
bodyText ||| to 0) and checks the value of N for each slave, in a cyclic
bodyText ||| order, starting from the slave after the current gateway in
bodyText ||| the cyclic order to the slave before the current gateway.
bodyText ||| The master checks if the value of N for the slave will be
bodyText ||| greater than the threshold after num_slots slots. If this
bodyText ||| condition is true, num_slots is incremented by twice the
bodyText ||| value of the threshold. After incrementing num_slots, the
bodyText ||| master also checks to see if it has a RP with any gate-
bodyText ||| way whose value is equal to num_slots and increments
bodyText ||| num_slots by twice the value of the threshold if this is
bodyText ||| true. This ensures that the master has a unique RP for
bodyText ||| each of its gateways. Note that num_slots is incremented
bodyText ||| by twice the value of the threshold since the master ex-
bodyText ||| pects to exchange threshold slots of data with a slave in
bodyText ||| each direction.
bodyText ||| The master uses the above procedure to estimate the num-
bodyText ||| ber of slaves who will have their value of N greater than
bodyText ||| the threshold when the master polls the slaves in their
bodyText ||| cyclic order starting from the gateway just polled. The
bodyText ||| value of num_slots determines the number of slots which
bodyText ||| the master expects to use in polling the other slaves in
bodyText ||| one cycle before polling the gateway again and is thus,
bodyText ||| used by the master to maintain fairness between the gate-
bodyText ||| way and the other slaves in the piconet. Again, note that
bodyText ||| num_slots is allowed to have a maximum value of 400.
bodyText ||| The master and the gateway now exchange the informa-
bodyText ||| tion they have to calculate their next RP. This exchange takes
bodyText ||| place using the LMP_hold_req PDU of the LMP (Link Man-
bodyText ||| ager Protocol) layer. This PDU carries a hold instant and a
bodyText ||| hold time, which are used to specify the instant at which the
bodyText ||| hold will become effective and the hold time, respectively.
bodyText ||| When the master is sending a packet to a gateway, the value
bodyText ||| of num_slots can be sent after hold instant and hold time in
