note ||| 	Mobile Networks and Applications 8, 209–221, 2003 © 2003 Kluwer Academic Publishers. Manufactured in The Netherlands.
bodyText ||| yond [19], we propose a scheme for adjusting the queueing
bodyText ||| weights for both improving QoS for higher priority users that
bodyText ||| suffer from a high population of users with lower priority and
bodyText ||| for increasing the revenue earned by the service provider. For
bodyText ||| the analysis of the update strategy of the queuing weights, we
bodyText ||| consider a usage-based and a usage-/throughput-based pric-
bodyText ||| ing policy according to [11,12,21]. Furthermore, we intro-
bodyText ||| duce a hybrid pricing policy combining the notion of flat-
bodyText ||| rate and a usage-based pricing according to current policies
bodyText ||| of GSM networks. Performance curves derived by simulation
bodyText ||| evidently illustrate the gain of the unified approach for adap-
bodyText ||| tive performance management. In fact, for UMTS networks,
bodyText ||| simulation results show that handover failure probability can
bodyText ||| be improved by more than one order of magnitude. Moreover,
bodyText ||| packet loss probability can be effectively regulated to a prede-
bodyText ||| fined level and the provider revenue is significantly increased
bodyText ||| for all considered pricing policies.
bodyText ||| The paper is organized as follows. Section 2 introduces the
bodyText ||| unified approach for adaptive performance management and
bodyText ||| describes its embedding in the system architecture of 3G mo-
bodyText ||| bile networks. Section 3 introduces strategies for controlling
bodyText ||| the parameters of an admission controller in order to improve
bodyText ||| QoS. Section 4 describes the parameter control of a packet
bodyText ||| scheduler for the combined improvement of both QoS and
bodyText ||| provider revenue. In section 5, we present simulation results
bodyText ||| that illustrate the benefit of employing the proposed approach
bodyText ||| for adaptive performance management. Finally, concluding
bodyText ||| remarks are given.
sectionHeader ||| 2. Adaptive performance management for 3G mobile
sectionHeader ||| networks
subsectionHeader ||| 2.1. Description of the unified approach
bodyText ||| This section introduces the unified approach for regularly ad-
bodyText ||| justing system parameters to changing traffic load, packet ar-
bodyText ||| rival pattern or population of users, etc. We consider a cellular
bodyText ||| mobile network in which a different transceiver station serves
bodyText ||| each cell. The purpose of the transceiver station is the modu-
figureCaption ||| Figure 1. System architecture for adaptive performance management.
bodyText ||| lation of carrier frequencies and demodulation of signals. Fur-
bodyText ||| thermore, a base station controller (BSC) is considered that is
bodyText ||| responsible for a cluster of cells, i.e., several transceiver sta-
bodyText ||| tions. The BSC manages the radio resources, i.e., schedules
bodyText ||| data packets, and controls handovers inside the cell cluster as
bodyText ||| well as handovers towards and from neighboring cell clusters.
bodyText ||| To improve QoS for mobile users as well as to increase
bodyText ||| revenue earned by service providers, an entity for Adaptive
bodyText ||| Performance Management (APM) is included in a BSC. Fur-
bodyText ||| thermore, a BSC has to be extended by an online performance
bodyText ||| monitoring component that derives QoS measures in a cer-
bodyText ||| tain time window (e.g., handover failure probabilities of mo-
bodyText ||| bile users or packet loss probabilities). These QoS measures
bodyText ||| form a system pattern that is submitted in fixed time intervals
bodyText ||| (i.e., a control period) to the APM entity, which subsequently
bodyText ||| updates corresponding system parameters (i.e., parameters of
bodyText ||| traffic controlling components like the admission controller
bodyText ||| and packet scheduler). Thus, the proposed approach closes
bodyText ||| the loop between network operation and network control. Fig-
bodyText ||| ure 1 shows the system architecture for performance manage-
bodyText ||| ment embedded in a BSC.
subsubsectionHeader ||| 2.1.1. Online performance monitoring
bodyText ||| System parameters of a BSC can be effectively updated by
bodyText ||| monitoring QoS measures, which are immediately affected by
bodyText ||| these parameters. A current value for a QoS measure is deter-
bodyText ||| mined online based on a set of relevant events corresponding
bodyText ||| to this QoS measure (e.g., packet arrivals are relevant events
bodyText ||| for computing packet loss probabilities). The online monitor-
bodyText ||| ing of QoS measures is done by a sliding window technique
bodyText ||| as introduced in [19]. The width of the sliding window over
bodyText ||| time depends on the number of relevant events that are oc-
bodyText ||| curred according to a QoS measure. Upon arrival of a new
bodyText ||| relevant event the sliding window moves in time. At the end
bodyText ||| of a control period the QoS measures are derived for each
bodyText ||| sliding window (e.g., packet loss probability can be derived
bodyText ||| from number of lost packets divided by number of all packet
bodyText ||| arrivals in the sliding window). These QoS measures and the
bodyText ||| number of events occurred in the last control period form the
bodyText ||| system pattern that is transferred to the adaptive performance
bodyText ||| management entity (see figure 1).
note ||| IMPROVING QoS AND PROVIDER REVENUE IN 3G MOBILE NETWORKS	211
bodyText ||| Note that an accurate online monitoring of QoS measures
bodyText ||| requires a specific width for the sliding window. A certain
bodyText ||| number of events representing the history of the QoS mea-
bodyText ||| sure have to be considered to get an expressive measure. On
bodyText ||| the other hand considering a big sliding window prevents the
bodyText ||| APM entity from fast reaction on changing traffic conditions.
bodyText ||| A bigger sliding window contains more history and, thus,
bodyText ||| more events have to be collected to cause a significant change
bodyText ||| in the online monitored QoS measure. This tradeoff between
bodyText ||| accurate online monitoring and fast reaction of the APM to
bodyText ||| changing traffic conditions has to be studied carefully in sev-
bodyText ||| eral experiments to get the optimal width of the sliding win-
bodyText ||| dow for each QoS measure.
subsubsectionHeader ||| 2.1.2. Adaptive performance management
bodyText ||| Whenever a system pattern S = { (P1, n 1) , ... , (Pm, nm )},
bodyText ||| consisting of online monitored QoS measures P1, ... , Pm
bodyText ||| and the numbers of relevant events n1, ... , nm occurred in
bodyText ||| the last control period is transmitted to the APM an up-
bodyText ||| date of the system parameters can be performed. In gen-
bodyText ||| eral, an update of a system parameter σ is made according
bodyText ||| to a function f depending on a subset of the QoS measures
bodyText ||| P1, ... , Pm and the previous value σ(old) of the system pa-
bodyText ||| rameter. Let Pτ(1), ... , Pτ(k), k S m, be the QoS measures
bodyText ||| corresponding to system parameter σ, then the update is made
bodyText ||| if a certain minimum number n(σ) of relevant events occurred
bodyText ||| in the last control period. That is:
equation ||| σ(new) = f (Pτ (1), ... , Pτ(k), σ
equation ||| if min{nτ(1), ... , nτ(k)} n(σ).11 (1)
bodyText ||| We classify update functions in relative functions, that per-
bodyText ||| form a parameter update relative to the old parameter value
bodyText ||| and absolute functions that set the new parameter value in-
bodyText ||| dependent of the old value, i.e., f is independent of σ(old)
bodyText ||| in (1). With relative update functions strong fluctuations of
bodyText ||| the corresponding system parameter in one update step can be
bodyText ||| avoided. In section 3, we study a special class of relative up-
bodyText ||| date functions in order to set the parameters of an admission
bodyText ||| controller. Furthermore, we develop in section 4 an absolute
bodyText ||| update function for adjusting the weights of a weighted fair
bodyText ||| queueing packet scheduler.
subsectionHeader ||| 2.2. Economics and pricing policies in 3G mobile networks
bodyText ||| There are multiple requirements, which should be fulfilled
bodyText ||| for any viable pricing mechanism in multi-service class data
bodyText ||| communication networks [12]. A primary target of differen-
bodyText ||| tiated pricing of Internet services is the prevention of system
bodyText ||| overload and an optimal resource usage according to differ-
bodyText ||| ent daytimes and different traffic intensities. Furthermore, the
bodyText ||| pricing scheme should be implemented in a completely de-
bodyText ||| centralized manner and there should be multiple priorities in
bodyText ||| order to take into account the different QoS required by dif-
bodyText ||| ferent applications and users.
bodyText ||| In general, pricing policies can be partitioned into usage-
bodyText ||| based (pay-as-you-go) pricing, flat-rate (all-you-can-eat)
bodyText ||| pricing, and dynamic pricing. In usage-based pricing poli-
bodyText ||| cies a user is charged according to a connection time or traffic
bodyText ||| volume. Whereas connection based calls (e.g., in GSM) are
bodyText ||| charged by connection time, packet-switched services (e.g., in
bodyText ||| UMTS) are charging the transferred data volume. Dynamic
bodyText ||| pricing models take into account the state of the mobile ra-
bodyText ||| dio network for determining the current price of a service.
bodyText ||| Congestion-sensitive pricing as a particular dynamic pricing
bodyText ||| model has been shown to be more responsive. MacKie-Mason
bodyText ||| and Varian introduced the concept of congestion-sensitive
bodyText ||| pricing in their smart market scheme [21]. Under this model,
bodyText ||| the actual price for each packet is determined based on the
bodyText ||| current state of network congestion. In [25], Rao and Petersen
bodyText ||| discussed the optimal pricing of priority services. Analo-
bodyText ||| gously to the smart market approach, Gupta et al. presented
bodyText ||| a pricing scheme that uses priorities on the packet-level [13].
bodyText ||| They proposed to differentiate Internet traffic according to de-
bodyText ||| lay and loss requirements.
bodyText ||| For the analysis of the update strategy of the queuing
bodyText ||| weights, we consider in section 4 a usage-based and a usage-/
bodyText ||| throughput-based pricing policy according to [11,12,21]. Fur-
bodyText ||| thermore, we introduce a hybrid pricing policy combining the
bodyText ||| notion of flat-rate and a usage-based pricing according to cur-
bodyText ||| rent policies of GSM networks.
sectionHeader ||| 3. Strategies for improving Quality of Service
sectionHeader ||| 3.1. Admission controller
bodyText ||| The proposed approach distinguishes three different types
bodyText ||| of services: circuit-switched services, packet-switched real-
bodyText ||| time services (RT), and packet-switched non real-time ser-
bodyText ||| vices (NRT). Typically, circuit-switched services are voice
bodyText ||| calls from a GSM mobile station. As proposed by 3GPP, RT
bodyText ||| services belong to the conversational and streaming classes
bodyText ||| and NRT services fall into the interactive and background
bodyText ||| classes [2]. The bandwidth available in a cell must be shared
bodyText ||| by calls of these different service classes and the different ser-
bodyText ||| vice requirements have to be met. Before a mobile session
bodyText ||| begins, the user needs to specify its traffic characteristics and
bodyText ||| desired performance requirements by a QoS profile. Then, an
bodyText ||| admission controller decides to accept or reject the users re-
bodyText ||| quest based on the QoS profile and the current network state
bodyText ||| as, e.g., given by queueing length. The purpose of the admis-
bodyText ||| sion controller is to guarantee the QoS requirements of the
bodyText ||| user who requested admission while not violating the QoS
bodyText ||| profiles of already admitted users. The call admission criteria
bodyText ||| will be different for each service class. The QoS profile for
bodyText ||| RT sessions specifies a guaranteed bandwidth to be provided
bodyText ||| for the application in order to meet its QoS requirements. If
bodyText ||| the network cannot satisfy the desired bandwidth, the corre-
bodyText ||| sponding admission request is rejected.
bodyText ||| Data packets arriving at the BSC are queued until they are
bodyText ||| scheduled to be transmitted over the radio link. For NRT ses-
bodyText ||| sions, we consider an admission controller taking into account
bodyText ||| free buffer space in the NRT queue [8]. In order to prevent
bodyText ||| buffer overflow once a call is admitted, the current queue-
bodyText ||| ing length is set against certain buffer availability threshold
note ||| 212	C. LINDEMANN ET AL.
bodyText ||| of the capacity, denoted by η. The admission criteria for
bodyText ||| voice and RT handovers are the same as for new voice calls
bodyText ||| and RT sessions except that additional handover bandwidth
bodyText ||| can be utilized. The analysis of several admission control
bodyText ||| schemes for cellular systems presented in [24] showed that
bodyText ||| the simple reservation scheme (i.e., reserving bandwidth for
bodyText ||| handover calls) performs remarkably well. For simple cellu-
bodyText ||| lar networks, the optimal amount of bandwidth reserved for
bodyText ||| handover calls can be determined by analytical models [14].
bodyText ||| In the model presented here, we denote with bh the portion
bodyText ||| of the overall bandwidth that is exclusively reserved for han-
bodyText ||| dover calls from neighboring cells. The considered admission
bodyText ||| controller does not prioritize NRT handovers over new NRT
bodyText ||| sessions. Further details of the admission controller are given
bodyText ||| in [19].
subsectionHeader ||| 3.2. Adjusting the admission controllerfor QoS improvement
bodyText ||| In this section, we show how to utilize equation (1) for setting
bodyText ||| the parameters η and bh of the admission controller in order to
bodyText ||| reduce packet loss probability and handover failure probabil-
bodyText ||| ity. For updating the system parameters, we split the general
bodyText ||| function introduced in section 2.1 into separate functions each
bodyText ||| depending only on one QoS measure. Let P1, ... , Pk be the
bodyText ||| QoS measures corresponding to a system parameter σ. Then,
bodyText ||| equation (1) can be simplified to
equation ||| σ(new) = f1 (P1) + ··· + fk(Pk) σ (old)
equation ||| k
equation ||| L\σ(new)\R. (2)
bodyText ||| The interpretation of (2) is the following. Each update
bodyText ||| function fi describes the influence that the QoS measure
bodyText ||| Pi should have on the system parameter σ. Subsequently,
bodyText ||| the overall update is performed by computing the arithmetic
bodyText ||| mean of the functions fi multiplied with the old value of the
bodyText ||| system parameter. Note that the value σ(new) must be trun-
bodyText ||| cated at a certain lower bound L and an upper bound R in
bodyText ||| order to guarantee that the computation of σ(new) results in a
bodyText ||| valid value of the system parameter. As basic update function
bodyText ||| we consider a logarithmic linear function of the form:
equation ||| fi (Pi) = mi log Pi + bi. (3)
bodyText ||| The reason for this choice is that we want to consider QoS
bodyText ||| measures like loss probabilities and failure/blocking proba-
bodyText ||| bilities, which are in the range of 10−5 to 1. Therefore, a
bodyText ||| logarithmic shape is more suitable. In previous work [19],
bodyText ||| we have studied update schemes of system parameters of
bodyText ||| an admission controller and a packet scheduler based on a
bodyText ||| lookup table. In order to determine the optimal entries of this
bodyText ||| lookup table extensive off-line simulation experiments have
bodyText ||| been conducted. Applying regression statistics to the entries
bodyText ||| of this lookup table shows that these entries are well repre-
bodyText ||| sented by functions with logarithmic shape. Thus, besides the
bodyText ||| motivation of the update functions given here, their choice
bodyText ||| is to a large extend originated from regression statistics con-
bodyText ||| ducted in earlier work. The strength of the influence of fi on
bodyText ||| σ(new) can be adjusted with the gradient mi. The parameter bi
bodyText ||| can be determined by the following interpretation: suppose
bodyText ||| the desired level of the QoS measure Pi is βi (e.g., the de-
bodyText ||| sired packet loss probability is 0.001). That is, if the online
bodyText ||| measured value of Pi is βi the system parameter σ should
bodyText ||| not be changed in the update step from the point of view of
bodyText ||| measure Pi. Therefore, we chose fi (βi) = 1 and from this
bodyText ||| relation we get bi = 1 − mi log βi. Inserting in equation (3)
bodyText ||| results in the final form of the update function:
equation ||| .fi (Pi) = mi log Pi + 1.	(4)
equation ||| βi
bodyText ||| For ease of notation, we abbreviate the QoS measures han-
bodyText ||| dover failure probability and new call/session blocking prob-
bodyText ||| ability corresponding to voice calls and RT sessions by HFP
bodyText ||| and CBP, respectively. The probability of a packet loss due
bodyText ||| to buffer overflow in the NRT queue is abbreviated by PLP.
bodyText ||| The update strategy according to equations (2)–(4) is justified
bodyText ||| by its intuitive understanding and the performance results pre-
bodyText ||| sented in section 5. The suitability of update functions other
bodyText ||| than (2)–(4), is subject for further study and out of the scope
bodyText ||| of this paper.
subsubsectionHeader ||| 3.2.1. Update of non real-time queue threshold
bodyText ||| Recall that a system parameter update is performed each time
bodyText ||| a system pattern arrives at the APM entity and the minimum
bodyText ||| number of relevant events corresponding to this system para-
bodyText ||| meter is reached. Determining the update for the system para-
bodyText ||| meter η, i.e., determining η(new), is performed corresponding
bodyText ||| to the old value η(old) and the actually observed QoS measure
bodyText ||| PLP. That is:
equation ||| η(new) = f (PLP) · η(old), 0.001 \ η(new) \ 1.	(5)
bodyText ||| The truncation of η(new) at the lower bound guaranties that
bodyText ||| the value does not accumulate near zero for long periods of
bodyText ||| low traffic load. The minimum number of relevant events re-
bodyText ||| quired for an update of η is counted in data volume rather than
bodyText ||| in packet arrivals (in the experiments this number is 5 MB).
bodyText ||| The setting of the gradient m of the corresponding update
bodyText ||| function is derived from a couple of experiments for different
bodyText ||| values of the gradient. We found m = −0.02 to be suitable.
bodyText ||| Choosing a suitable value for the gradient is a similar tradeoff
bodyText ||| as explained for the sliding window size. A large gradient re-
bodyText ||| sults in a fast update of the system parameter in a few number
bodyText ||| of update steps, but also introduces higher fluctuations of the
bodyText ||| system parameter over time. We demonstrate the speed of the
bodyText ||| parameter adjustment in an experiment in section 5. Further-
bodyText ||| more, several experiments for different desired loss values β
bodyText ||| are presented.
subsectionHeader ||| 3.2.2. Update offraction of bandwidth reserved for handover
subsectionHeader ||| The update for the system parameter bh, i.e., determining
equation ||| b(new)
bodyText ||| h, is performed based on the old value and the actually
bodyText ||| observed QoS measures HFP and CBP. That is:
equation ||| b(new)	h= f1(HFP) +2 f2(CBP) ·b(old)
equation ||| h	,
equation ||| 0.001 \ b(new)	h\ R.	(6)
note ||| IMPROVING QoS AND PROVIDER REVENUE IN 3G MOBILE NETWORKS	213
bodyText ||| The value b(hnew) is truncated at a lower bound of 0.1%
bodyText ||| and a certain upper bound R which is a fraction of the over-
bodyText ||| all bandwidth available (in the experiments we fix R = 0.7).
bodyText ||| The truncation at the lower bound is for the same reason as
bodyText ||| explained above. In fact, for computing b(hnew) two QoS mea-
bodyText ||| sures corresponding to the actually observed HFP and CBP
bodyText ||| are taken into account. A high HFP should increase bhnew)
bodyText ||| but this obviously also increases the CBP because less band-
bodyText ||| width is available for new voice calls and RT sessions. There-
bodyText ||| fore, the HFP and the CBP influence the handover bandwidth
bodyText ||| b(hnew). In fact, m1 = −m2 holds in the update functions f1
bodyText ||| and f2. From a couple of experiments for different gradients,
bodyText ||| we found m1 = 0.08 to be suitable. A common assumption
bodyText ||| in cellular networks is to prioritize handover calls over new
bodyText ||| calls. Therefore, the desired handover failure level β1 should
bodyText ||| be smaller than the desired call blocking level β2. According
bodyText ||| to these values the handover bandwidth is slightly increased,
bodyText ||| if HFP is equal to CBP.
bodyText ||| With the presented strategy the parameters of the update
bodyText ||| functions can be chosen in an intuitive way and optimal para-
bodyText ||| meter configuration can efficiently be determined. This is the
bodyText ||| major advantage over the approach based on a Performance
bodyText ||| Management Information Base introduced in [19] which re-
bodyText ||| quires extensive off-line simulation experiments.
sectionHeader ||| 4. Strategies for improving both QoS and provider
sectionHeader ||| revenue
subsectionHeader ||| 4.1. Packet scheduler
bodyText ||| At a BSC responsible for a cluster of cells, data packets from
bodyText ||| various connections arrive and are queued until bandwidth
bodyText ||| for transmission is available. In order to distinguish differ-
bodyText ||| ent priorities for NRT traffic corresponding to the traffic han-
bodyText ||| dling priority defined by 3GPP [2], scheduling algorithms
bodyText ||| like Weighted Round Robin (WRR), Weighted Fair Queue-
bodyText ||| ing (WFQ [9]) or Class Based Queueing (CBQ [10]) have to
bodyText ||| be implemented. An overview of queueing issues for guar-
bodyText ||| anteed performance services can be found in [27]. In WFQ,
bodyText ||| the weights control the amount of traffic a source may de-
bodyText ||| liver relative to other active sources during some period of
bodyText ||| time. From the scheduling algorithm’s point of view, a source
bodyText ||| is considered to be active, if it has data queued in the NRT
bodyText ||| queue. Let B be the overall bandwidth available for NRT
bodyText ||| sessions at time t. For an active source i with weight wi, the
bodyText ||| bandwidth Bi that is allocated to this transfer at time t is given
bodyText ||| by
equation ||| Bi =	wi	 B.(7)
equation ||| 	Ej w j
bodyText ||| In (7) the sum is taken over all active NRT sources j. A class
bodyText ||| based version of WFQ serves packets of each priority class
bodyText ||| according to the weights rather than every active source.
subsectionHeader ||| 4.2. Adjusting the packet schedulerfor QoS and revenue
subsectionHeader ||| improvement
bodyText ||| This section utilizes the proposed approach for the adaptive
bodyText ||| control of the weights of a weighted fair queueing packet
bodyText ||| scheduler in order to improve QoS as well as to increase the
bodyText ||| revenue. The strategy for adjusting the weights combined
bodyText ||| with the introduction of several pricing policies constitutes
bodyText ||| a further contribution of the paper. Recall that the revenue
bodyText ||| earned by a mobile service provider is determined by the
bodyText ||| monthly payment of mobile users as well as by the additional
bodyText ||| usage-based pricing after the monthly amount of data volume
bodyText ||| is consumed. Note, that the monthly subscription rate is only
bodyText ||| relevant for monthly revenue calculations. In this section, we
bodyText ||| consider the revenue improvement in a certain small time pe-
bodyText ||| riod regardless the monthly subscription rates. In section 5,
bodyText ||| we briefly discuss monthly revenue calculation. Let P denote
bodyText ||| the number of different priority classes, i.e., weights of the
bodyText ||| weighted fair queueing scheduler. Define by bi (t) the trans-
bodyText ||| ferred data volume in time t of users of priority i and by ri (t)
bodyText ||| the payment of users of priority i at time t, i.e., the user pays
bodyText ||| for the transferred data volume. We distinguish a pure usage-
bodyText ||| based and a usage-/throughput-based pricing policy:
listItem ||| (a) A user of priority i has a fixed payment pi per kbit during
listItem ||| his session, i.e., ri (t) = pi.
listItem ||| (b) The payment of a user of priority i consists of a fixed part
listItem ||| pi that is increased proportional to the additional through-
listItem ||| put ϕi (t) he received due to the update of the queueing
listItem ||| weights, i.e., ri (t) = pi ϕi (t).
bodyText ||| According to the proposed data volume based pricing with
bodyText ||| respect to different priority classes the revenue function 4) (t)
bodyText ||| is given by
equation ||| 4)(t) = �P ri (t)bi (t). (8)
equation ||| i=1
bodyText ||| The revenue function of equation (8) is utilized in section 5
bodyText ||| for evaluating the strategies for revenue improvement pre-
bodyText ||| sented below.
subsubsectionHeader ||| 4.2.1. Update of WFQ weights
bodyText ||| Recall that packets of NRT users arriving at the BSC are first
bodyText ||| queued until they are scheduled for transfer by a weighted
bodyText ||| fair queueing discipline. Let wi wi+1, i = 1, ... , P − 1,
bodyText ||| be the basic weights of the WFQ scheduler. The update of
bodyText ||| the queueing weights, i.e., determining winew) is made ac-
bodyText ||| cording to an absolute update function depending on the basic
bodyText ||| weights wi and the current number of NRT sessions belong-
bodyText ||| ing to priority i. Therefore, every system pattern that is trans-
bodyText ||| mitted from the online monitoring component to the adaptive
bodyText ||| performance management entity contains the current number
bodyText ||| of active NRT sessions with priority i in the cell. For ease
bodyText ||| of notation, the number of active non real-time sessions with
bodyText ||| priority i is abbreviated by NRTi .
bodyText ||| The idea behind the strategy for revenue improvement is
bodyText ||| to shift the overall utilization of bandwidth for NRT traffic
note ||| 214	C. LINDEMANN ET AL.
bodyText ||| towards higher priority users, which pay more for the trans-
bodyText ||| ferred data volume. Note that the update strategy should be
bodyText ||| conservative in a way that the transfer of packets of low pri-
bodyText ||| ority is not simply blocked if packets of higher priorities are
bodyText ||| arriving, i.e., priority queueing. Assuming that the majority
bodyText ||| of users will buy a cheaper low priority service class, priority
bodyText ||| queueing will leave most users unsatisfied. Therefore, the up-
bodyText ||| date strategy also considers the QoS aspect. The update strat-
bodyText ||| egy concerning the queueing weights is developed according
bodyText ||| to the following premises:
listItem ||| (i) If the number of active NRT users in the cell is the same
listItem ||| for each priority class, i.e., NRTi = NRTj, i =� j,
listItem ||| the weights wi(new) should be set according to the basic
listItem ||| weights wi for i = 1, ... , P.
listItem ||| (ii) Priority classes with low population of users compared
listItem ||| to other classes should be prioritized, i.e., the corre-
listItem ||| sponding weights should be increased.
listItem ||| (iii) The relative ordering of the weights should be preserved
listItem ||| in a strong way, i.e., winew) · (wi/wi+1) · wi+1) for i =
listItem ||| 1,...,P−1.
bodyText ||| Premise (i) constitutes the key of the update strategy. If all
bodyText ||| priority classes have the same population of users the schedul-
bodyText ||| ing should work as in the case without adaptive control of
bodyText ||| the weights. The rationale behind premise (ii) is to priori-
bodyText ||| tize users that are consuming less bandwidth (relative to their
bodyText ||| weights) than users belonging to other classes, i.e., users of
bodyText ||| low population should be made more independent from the
bodyText ||| influence of user classes with higher population. This premise
bodyText ||| constitutes the basic idea for QoS improvement and is demon-
bodyText ||| strated by the following example that considers two priority
bodyText ||| classes, i.e., a high and low priority class. In WFQ the avail-
bodyText ||| able bandwidth is shared among all active users according to
bodyText ||| their weights. That is, if the minority are high priority users,
bodyText ||| the overall bandwidth consumed by these users will suffer
bodyText ||| from a strong influence of low priority users that hold the
bodyText ||| majority. Therefore, increasing the weights for high priority
