title ||| Cross Language Dependency Parsing using a Bilingual Lexicon*
bodyText ||| The basic idea to support this work is to make
bodyText ||| use of the semantic connection between different
bodyText ||| languages. In this sense, it is related to the work of
bodyText ||| (Merlo et al., 2002) and (Burkett and Klein, 2008).
bodyText ||| The former showed that complementary informa-
bodyText ||| tion about English verbs can be extracted from
bodyText ||| their translations in a second language (Chinese)
bodyText ||| and the use of multilingual features improves clas-
bodyText ||| sification performance of the English verbs. The
bodyText ||| latter iteratively trained a model to maximize the
bodyText ||| marginal likelihood of tree pairs, with alignments
bodyText ||| treated as latent variables, and then jointly parsing
bodyText ||| bilingual sentences in a translation pair. The pro-
bodyText ||| posed parser using features from monolingual and
bodyText ||| mutual constraints helped its log-linear model to
bodyText ||| achieve better performance for both monolingual
bodyText ||| parsers and machine translation system. In this
bodyText ||| work, cross-language features will be also adopted
bodyText ||| as the latter work. However, although it is not es-
bodyText ||| sentially different, we only focus on dependency
bodyText ||| parsing itself, while the parsing scheme in (Bur-
bodyText ||| kett and Klein, 2008) based on a constituent rep-
bodyText ||| resentation.
bodyText ||| Among of existing works that we are aware of,
bodyText ||| we regard that the most similar one to ours is (Ze-
bodyText ||| man and Resnik, 2008), who adapted a parser to a
bodyText ||| new language that is much poorer in linguistic re-
bodyText ||| sources than the source language. However, there
bodyText ||| are two main differences between their work and
bodyText ||| ours. The first is that they considered a pair of suf-
bodyText ||| ficiently related languages, Danish and Swedish,
bodyText ||| and made full use of the similar characteristics of
bodyText ||| two languages. Here we consider two quite dif-
bodyText ||| ferent languages, English and Chinese. As fewer
bodyText ||| language properties are concerned, our approach
bodyText ||| holds the more possibility to be extended to other
bodyText ||| language pairs than theirs. The second is that a
bodyText ||| parallel corpus is required for their work and a
bodyText ||| strict statistical machine translation procedure was
bodyText ||| performed, while our approach holds a merit of
bodyText ||| simplicity as only a bilingual lexicon is required.
sectionHeader ||| 3 Treebank Translation and Dependency
sectionHeader ||| Transformation
subsectionHeader ||| 3.1 Data
bodyText ||| As a case study, this work will be conducted be-
bodyText ||| tween the source language, English, and the tar-
bodyText ||| get language, Chinese, namely, we will investigate
page ||| 56
bodyText ||| how a translated English treebank enhances a Chi-
bodyText ||| nese dependency parser.
bodyText ||| For English data, the Penn Treebank (PTB) 3
bodyText ||| is used. The constituency structures is converted
bodyText ||| to dependency trees by using the same rules as
bodyText ||| (Yamada and Matsumoto, 2003) and the standard
bodyText ||| training/development/test split is used. However,
bodyText ||| only training corpus (sections 2-21) is used for
bodyText ||| this study. For Chinese data, the Chinese Treebank
bodyText ||| (CTB) version 4.0 is used in our experiments. The
bodyText ||| same rules for conversion and the same data split
bodyText ||| is adopted as (Wang et al., 2007): files 1-270 and
bodyText ||| 400-931 as training, 271-300 as testing and files
bodyText ||| 301-325 as development. We use the gold stan-
bodyText ||| dard segmentation and part-of-speech (POS) tags
bodyText ||| in both treebanks.
bodyText ||| As a bilingual lexicon is required for our task
bodyText ||| and none of existing lexicons are suitable for trans-
bodyText ||| lating PTB, two lexicons, LDC Chinese-English
bodyText ||| Translation Lexicon Version 2.0 (LDC2002L27),
bodyText ||| and an English to Chinese lexicon in StarDict2,
bodyText ||| are conflated, with some necessary manual exten-
bodyText ||| sions, to cover 99% words appearing in the PTB
bodyText ||| (the most part of the untranslated words are named
bodyText ||| entities.). This lexicon includes 123K entries.
subsectionHeader ||| 3.2 Translation
bodyText ||| A word-by-word statistical machine translation
bodyText ||| strategy is adopted to translate words attached
bodyText ||| with the respective dependency information from
bodyText ||| the source language to the target one. In detail, a
bodyText ||| word-based decoding is used, which adopts a log-
bodyText ||| linear framework as in (Och and Ney, 2002) with
bodyText ||| only two features, translation model and language
bodyText ||| model,
equation ||| exp[E2i� 1 Aihi(c, e)]
equation ||| E, exp[E2i� 1 Aihi(c, e)]
equation ||| Where
equation ||| h1 (c, e) = log(p .y(c�e))
bodyText ||| is the translation model, which is converted from
bodyText ||| the bilingual lexicon, and
equation ||| h2 (c, e) = log (pO (c))
bodyText ||| is the language model, a word trigram model
bodyText ||| trained from the CTB. In our experiment, we set
bodyText ||| two weights A1 = A2 = 1.
footnote ||| 2StarDict is an open source dictionary software, available
footnote ||| at http://stardict.sourceforge.net/.
bodyText ||| The conversion process of the source treebank
bodyText ||| is completed by three steps as the following:
listItem ||| 1. Bind POS tag and dependency relation of a
listItem ||| word with itself;
listItem ||| 2. Translate the PTB text into Chinese word by
bodyText ||| word. Since we use a lexicon rather than a parallel
bodyText ||| corpus to estimate the translation probabilities, we
bodyText ||| simply assign uniform probabilities to all transla-
bodyText ||| tion options. Thus the decoding process is actu-
bodyText ||| ally only determined by the language model. Sim-
bodyText ||| ilar to the “bag translation” experiment in (Brown
bodyText ||| et al., 1990), the candidate target sentences made
bodyText ||| up by a sequence of the optional target words are
bodyText ||| ranked by the trigram language model. The output
bodyText ||| sentence will be generated only if it is with maxi-
bodyText ||| mum probability as follows,
equation ||| c = argmax{pO(c)p.y(c�e)}
equation ||| = argmax pO (c)
equation ||| = argmaxn pO (w,)
bodyText ||| A beam search algorithm is used for this process
bodyText ||| to find the best path from all the translation op-
bodyText ||| tions; As the training stage, especially, the most
bodyText ||| time-consuming alignment sub-stage, is skipped,
bodyText ||| the translation only includes a decoding procedure
bodyText ||| that takes about 4.5 hours for about one million
bodyText ||| words of the PTB in a 2.8GHz PC.
listItem ||| 3. After the target sentence is generated, the at-
bodyText ||| tached POS tags and dependency information of
bodyText ||| each English word will also be transferred to each
bodyText ||| corresponding Chinese word. As word order is of-
bodyText ||| ten changed after translation, the pointer of each
bodyText ||| dependency relationship, represented by a serial
bodyText ||| number, should be re-calculated.
bodyText ||| Although we try to perform an exact word-by-
bodyText ||| word translation, this aim cannot be fully reached
bodyText ||| in fact, as the following case is frequently encoun-
bodyText ||| tered, multiple English words have to be translated
bodyText ||| into one Chinese word. To solve this problem,
bodyText ||| we use a policy that lets the output Chinese word
bodyText ||| only inherits the attached information of the high-
bodyText ||| est syntactic head in the original multiple English
bodyText ||| words.
sectionHeader ||| 4 Dependency Parsing: Baseline
subsectionHeader ||| 4.1 Learning Model and Features
bodyText ||| According to (McDonald and Nivre, 2007), all
bodyText ||| data-driven models for dependency parsing that
bodyText ||| have been proposed in recent years can be de-
bodyText ||| scribed as either graph-based or transition-based.
equation ||| P(cle) =
page ||| 57
tableCaption ||| Table 1: Feature Notations
bodyText ||| Although the former will be also used as compari-
bodyText ||| son, the latter is chosen as the main parsing frame-
bodyText ||| work by this study for the sake of efficiency. In de-
bodyText ||| tail, a shift-reduce method is adopted as in (Nivre,
bodyText ||| 2003), where a classifier is used to make a parsing
bodyText ||| decision step by step. In each step, the classifier
bodyText ||| checks a word pair, namely, s, the top of a stack
bodyText ||| that consists of the processed words, and, i, the
bodyText ||| first word in the (input) unprocessed sequence, to
bodyText ||| determine if a dependent relation should be estab-
bodyText ||| lished between them. Besides two dependency arc
bodyText ||| building actions, a shift action and a reduce ac-
bodyText ||| tion are also defined to maintain the stack and the
bodyText ||| unprocessed sequence. In this work, we adopt a
bodyText ||| left-to-right arc-eager parsing model, that means
bodyText ||| that the parser scans the input sequence from left
bodyText ||| to right and right dependents are attached to their
bodyText ||| heads as soon as possible (Hall et al., 2007).
bodyText ||| While memory-based and margin-based learn-
bodyText ||| ing approaches such as support vector machines
bodyText ||| are popularly applied to shift-reduce parsing, we
bodyText ||| apply maximum entropy model as the learning
bodyText ||| model for efficient training and adopting over-
bodyText ||| lapped features as our work in (Zhao and Kit,
bodyText ||| 2008), especially, those character-level ones for
bodyText ||| Chinese parsing. Our implementation of maxi-
bodyText ||| mum entropy adopts L-BFGS algorithm for pa-
bodyText ||| rameter optimization as usual.
bodyText ||| With notations defined in Table 1, a feature set
bodyText ||| as shown in Table 2 is adopted. Here, we explain
bodyText ||| some terms in Tables 1 and 2. We used a large
bodyText ||| scale feature selection approach as in (Zhao et al.,
bodyText ||| 2009) to obtain the feature set in Table 2. Some
bodyText ||| feature notations in this paper are also borrowed
bodyText ||| from that work.
bodyText ||| The feature curroot returns the root of a par-
bodyText ||| tial parsing tree that includes a specified node.
bodyText ||| The feature charseq returns a character sequence
bodyText ||| whose members are collected from all identified
bodyText ||| children for a specified word.
bodyText ||| In Table 2, as for concatenating multiple sub-
bodyText ||| strings into a feature string, there are two ways,
bodyText ||| seq and bag. The former is to concatenate all sub-
bodyText ||| strings without do something special. The latter
bodyText ||| will remove all duplicated substrings, sort the rest
bodyText ||| and concatenate all at last.
bodyText ||| Note that we systemically use a group of
bodyText ||| character-level features. Surprisingly, as to our
bodyText ||| best knowledge, this is the first report on using this
bodyText ||| type of features in Chinese dependency parsing.
bodyText ||| Although (McDonald et al., 2005) used the pre-
bodyText ||| fix of each word form instead of word form itself
bodyText ||| as features, character-level features here for Chi-
bodyText ||| nese is essentially different from that. As Chinese
bodyText ||| is basically a character-based written language.
bodyText ||| Character plays an important role in many means,
bodyText ||| most characters can be formed as single-character
bodyText ||| words, and Chinese itself is character-order free
bodyText ||| rather than word-order free to some extent. In ad-
bodyText ||| dition, there is often a close connection between
bodyText ||| the meaning of a Chinese word and its first or last
bodyText ||| character.
subsectionHeader ||| 4.2 Parsing using a Beam Search Algorithm
bodyText ||| In Table 2, the feature preact� returns the previous
bodyText ||| parsing action type, and the subscript n stands for
bodyText ||| the action order before the current action. These
bodyText ||| are a group of Markovian features. Without this
bodyText ||| type of features, a shift-reduce parser may directly
bodyText ||| scan through an input sequence in linear time.
bodyText ||| Otherwise, following the work of (Duan et al.,
bodyText ||| 2007) and (Zhao, 2009), the parsing algorithm is
bodyText ||| to search a parsing action sequence with the max-
bodyText ||| imal probability.
equation ||| Y5di = argmax p(di �di-1di-2...)�
equation ||| i
bodyText ||| where 5di is the object parsing action sequence,
bodyText ||| p(di � di-1...) is the conditional probability, and di
table ||| Meaning
table ||| The word in the top of stack
table ||| The first word below the top of stack.
table ||| The first word before(after) the word
table ||| in the top of stack.
table ||| The first (second) word in the
table ||| unprocessed sequence, etc.
table ||| Dependent direction
table ||| Head
table ||| Leftmost child
table ||| Rightmost child
table ||| Right nearest child
table ||| word form
table ||| POS tag of word
table ||| coarse POS: the first letter of POS tag of word
table ||| coarse POS: the first two POS tags of word
table ||| the left nearest verb
table ||| The first character of a word
table ||| The first two characters of a word
table ||| The last character of a word
table ||| The last two characters of a word
table ||| ’s, i.e., ‘s.dprel’ means dependent label
table ||| of character in the top of stack
table ||| Feature combination, i.e., ‘s.char+i.char’
table ||| means both s.char and i.char work as a
table ||| feature function.
table ||| Notation
table ||| s
table ||| s'
table ||| s-1,s1...
table ||| i, i+1,...
table ||| dir
table ||| h
table ||| lm
table ||| rm
table ||| rn
table ||| form
table ||| pos
table ||| cpos1
table ||| cpos2
table ||| lnverb
table ||| char1
table ||| char2
table ||| char-1
table ||| char-2
table ||| .
table ||| +
page ||| 58
figureCaption ||| Figure 1: A comparison before and after translation
figureCaption ||| is i-th parsing action. We use a beam search algo-
figureCaption ||| rithm to find the object parsing action sequence.
table ||| Table 2: Features for Parsing
table ||| 	in . f orm, n = 0, 1 i.f orm + i1.form
table ||| 	in.char2 + in+1.char2, n = —1, 0
table ||| 	i.char_1 + i1.char_1
table ||| 	in.char_2 n = 0, 3
table ||| 	i1.char_2 +i2.char_2 +i3.char_2 i.lnverb.char_2
table ||| 	i3.pos
table ||| 	in.pos + in+1.pos, n = 0, 1
table ||| 	i_2.cpos1 + i_1.cpos1
table ||| 	i1 .cpos1 + i2.cpos1 + i3.cpos1
table ||| 	s'2.char1
table ||| 	s'.char_2 + s'1.char_2 s'_2.cpos2
table ||| 	s'_1.cpos2 + s'1.cpos2 s'.cpos2 + s'1.cpos2 s’. children.cpos2.seq s’. children. dprel.seq s’.subtree.depth
table ||| 	s'.h. f orm + s'.rm.cpos1 s'.lm.char2 + s'.char2 s.h. children.dprel.seq s.lm.dprel
table ||| 	s.char_2 + i1.char_2
table ||| 	s.charn + i.charn, n = —1,1
table ||| 	s _ 1.pos + i1 .pos
table ||| 	s.pos + in.pos, n = —1, 0, 1
table ||| 	s : illinePath. f orm.bag s'.form + i.form
table ||| 	s'.char2 + in.char2, n = —1, 0, 1
table ||| 	s.curroot.pos + i.pos
table ||| 	s.curroot.char2 + i.char2 s.children.cpos2.seq + i.children.cpos2.seq s.children.cpos2.seq + i.children.cpos2.seq + s.cpos2 + i.cpos2
table ||| 	s'.children.dprel.seq + i.children.dprel.seq
table ||| 	preact_ 1 preact_2 preact_2+preact_ 1
sectionHeader ||| 5 Exploiting the Translated Treebank
bodyText ||| As we cannot expect too much for a word-by-word
bodyText ||| translation, only word pairs with dependency rela-
bodyText ||| tion in translated text are extracted as useful and
bodyText ||| reliable information. Then some features based
bodyText ||| on a query in these word pairs according to the
bodyText ||| current parsing state (namely, words in the cur-
bodyText ||| rent stack and input) will be derived to enhance
bodyText ||| the Chinese parser.
bodyText ||| A translation sample can be seen in Figure 1.
bodyText ||| Although most words are satisfactorily translated,
bodyText ||| to generate effective features, what we still have to
bodyText ||| consider at first is the inconsistence between the
bodyText ||| translated text and the target text.
bodyText ||| In Chinese, word lemma is always its word form
bodyText ||| itself, this is a convenient characteristic in com-
bodyText ||| putational linguistics and makes lemma features
bodyText ||| unnecessary for Chinese parsing at all. However,
bodyText ||| Chinese has a special primary processing task, i.e.,
bodyText ||| word segmentation. Unfortunately, word defini-
bodyText ||| tions for Chinese are not consistent in various lin-
bodyText ||| guistical views, for example, seven segmentation
bodyText ||| conventions for computational purpose are for-
bodyText ||| mally proposed since the first Bakeoff3.
bodyText ||| Note that CTB or any other Chinese treebank
bodyText ||| has its own word segmentation guideline. Chi-
bodyText ||| nese word should be strictly segmented according
bodyText ||| to the guideline before POS tags and dependency
bodyText ||| relations are annotated. However, as we say the
footnote ||| 3Bakeoff is a Chinese processing share task held by
footnote ||| SIGHAN.
page ||| 59
bodyText ||| English treebank is translated into Chinese word
bodyText ||| by word, Chinese words in the translated text are
bodyText ||| exactly some entries from the bilingual lexicon,
bodyText ||| they are actually irregular phrases, short sentences
bodyText ||| or something else rather than words that follows
bodyText ||| any existing word segmentation convention. If the
bodyText ||| bilingual lexicon is not carefully selected or re-
bodyText ||| fined according to the treebank where the Chinese
bodyText ||| parser is trained from, then there will be a serious
bodyText ||| inconsistence on word segmentation conventions
bodyText ||| between the translated and the target treebanks.
bodyText ||| As all concerned feature values here are calcu-
bodyText ||| lated from the searching result in the translated
bodyText ||| word pair list according to the current parsing
bodyText ||| state, and a complete and exact match cannot be
bodyText ||| always expected, our solution to the above seg-
bodyText ||| mentation issue is using a partial matching strat-
bodyText ||| egy based on characters that the words include.
bodyText ||| Above all, a translated word pair list, L, is ex-
bodyText ||| tracted from the translated treebank. Each item in
bodyText ||| the list consists of three elements, dependant word
bodyText ||| (dp), head word (hd) and the frequency of this pair
bodyText ||| in the translated treebank, f .
bodyText ||| There are two basic strategies to organize the
bodyText ||| features derived from the translated word pair list.
bodyText ||| The first is to find the most matching word pair
bodyText ||| in the list and extract some properties from it,
bodyText ||| such as the matched length, part-of-speech tags
bodyText ||| and so on, to generate features. Note that a
bodyText ||| matching priority serial should be defined afore-
bodyText ||| hand in this case. The second is to check every
bodyText ||| matching models between the current parsing state
bodyText ||| and the partially matched word pair. In an early
bodyText ||| version of our approach, the former was imple-
bodyText ||| mented. However, It is proven to be quite inef-
bodyText ||| ficient in computation. Thus we adopt the sec-
bodyText ||| ond strategy at last. Two matching model fea-
bodyText ||| ture functions, 0(•) and 0(•), are correspondingly
bodyText ||| defined as follows. The return value of 0(•) or
bodyText ||| 0(•) is the logarithmic frequency of the matched
bodyText ||| item. There are four input parameters required
bodyText ||| by the function 0(•). Two parameters of them
bodyText ||| are about which part of the stack(input) words is
bodyText ||| chosen, and other two are about which part of
bodyText ||| each item in the translated word pair is chosen.
bodyText ||| These parameters could be set to full or charn as
bodyText ||| shown in Table 1, where n = ..., —2, —1, 1, 2, ....
bodyText ||| For example, a possible feature could be
bodyText ||| �(s. f ull, i.chari, dp. f ull, hd.char1 ), it tries to
bodyText ||| find a match in L by comparing stack word and
bodyText ||| dp word, and the first character of input word
tableCaption ||| Table 3: Features based on the translated treebank
bodyText ||| and the first character of hd word. If such
bodyText ||| a match item in L is found, then 0(•) returns
bodyText ||| log(f ). There are three input parameters required
bodyText ||| by the function 0(•). One parameter is about
bodyText ||| which part of the stack(input) words is chosen,
bodyText ||| and the other is about which part of each item
bodyText ||| in the translated word pair is chosen. The third
bodyText ||| is about the matching type that may be set to
bodyText ||| dependant, head, or root. For example, the
bodyText ||| function 0(i.chari, hd. f ull, root) tries to find a
bodyText ||| match in L by comparing the first character of in-
bodyText ||| put word and the whole dp word. If such a match
bodyText ||| item in L is found, then �(•) returns log(f) as hd
bodyText ||| occurs as ROOT f times.
bodyText ||| As having observed that CTB and PTB share a
bodyText ||| similar POS guideline. A POS pair list from PTB
bodyText ||| is also extract. Two types of features, rootscore
bodyText ||| and pairscore are used to make use of such infor-
bodyText ||| mation. Both of them returns the logarithmic value
bodyText ||| of the frequency for a given dependent event. The
bodyText ||| difference is, rootscore counts for the given POS
bodyText ||| tag occurring as ROOT, and pairscore counts for
bodyText ||| two POS tag combination occurring for a depen-
bodyText ||| dent relationship.
bodyText ||| A full adapted feature list that is derived from
bodyText ||| the translated word pairs is in Table 3.
sectionHeader ||| 6 Evaluation Results
bodyText ||| The quality of the parser is measured by the pars-
bodyText ||| ing accuracy or the unlabeled attachment score
bodyText ||| (UAS), i.e., the percentage of tokens with correct
bodyText ||| head. Two types of scores are reported for compar-
bodyText ||| ison: “UAS without p” is the UAS score without
bodyText ||| all punctuation tokens and “UAS with p” is the one
bodyText ||| with all punctuation tokens.
bodyText ||| The results with different feature sets are in Ta-
bodyText ||| ble 4. As the features preactn are involved, a
table ||| 0(i.char3, s'. f ull, dp.char3, hd. f ull)+i.char3
table ||| +s'. f orm
table ||| 0(i.char3, s.char2, dp.char3, hd.char2)+s.char2
table ||| 0(i.char3, s. f ull, dp.char3, hd.char2)+s. form
table ||| ,O(s'.char-2, hd.char-2, head)+i.pos+s'.pos
table ||| 0(i.char3, s. f ull, dp.char3, hd.char2)+s. f ull
table ||| 0(s'. f ull, i.char4, dp. f ull, hd.char4)+s'.pos+i.pos
table ||| ,O(i. f ull, hd.char2, root)+i.pos+s.pos
table ||| ,O(i. f ull, hd.char2, root)+i.pos+s'.pos
table ||| ,O(s. f ull, dp. f ull, dependant)+i.pos
table ||| pairscore(s'.pos, i.pos)+s'. f orm+i. f orm
table ||| rootscore(s'.pos)+s'. f orm+i. f orm
table ||| rootscore (s'.pos)+i.pos
page ||| 60
bodyText ||| beam search algorithm with width 5 is used for
bodyText ||| parsing, otherwise, a simple shift-reduce decoding
bodyText ||| is used. It is observed that the features derived
bodyText ||| from the translated text bring a significant perfor-
bodyText ||| mance improvement as high as 1.3%.
tableCaption ||| Table 4: The results with different feature sets
tableCaption ||| features with p without p
table ||| baseline	-d	0.846	0.858
table ||| +d°	0.848	0.860
table ||| +Tb	-d	0.859	0.869
table ||| +d	0.861	0.870
table ||| °+d: using three Markovian features preact and
table ||| beam search decoding.
table ||| b+T: using features derived from the translated text
table ||| as in Table 3.
figureCaption ||| Figure 2: Performance vs. dependency length
bodyText ||| To compare our parser to the state-of-the-art
bodyText ||| counterparts, we use the same testing data as
bodyText ||| (Wang et al., 2005) did, selecting the sentences
bodyText ||| length up to 40. Table 5 shows the results achieved
bodyText ||| by other researchers and ours (UAS with p), which
bodyText ||| indicates that our parser outperforms any other
bodyText ||| ones 4. However, our results is only slightly better
bodyText ||| than that of (Chen et al., 2008) as only sentences
bodyText ||| whose lengths are less than 40 are considered. As
bodyText ||| our full result is much better than the latter, this
bodyText ||| comparison indicates that our approach improves
bodyText ||| the performance for those longer sentences.
tableCaption ||| Table 5: Comparison against the state-of-the-art
tableCaption ||| 	full	up to 40
table ||| (McDonald and Pereira, 2006)°	-	0.825
table ||| (Wang et al., 2007)	-	0.866
table ||| (Chen et al., 2008)	0.852	0.884
table ||| Ours	0.861	0.889
table ||| °This results was reported in (Wang et al., 2007).
bodyText ||| The experimental results in (McDonald and
bodyText ||| Nivre, 2007) show a negative impact on the pars-
bodyText ||| ing accuracy from too long dependency relation.
bodyText ||| For the proposed method, the improvement rela-
bodyText ||| tive to dependency length is shown in Figure 2.
bodyText ||| From the figure, it is seen that our method gives
bodyText ||| observable better performance when dependency
bodyText ||| lengths are larger than 4. Although word order is
bodyText ||| changed, the results here show that the useful in-
bodyText ||| formation from the translated treebank still help
bodyText ||| those long distance dependencies.
footnote ||| 4There is a slight exception: using the same data splitting,
footnote ||| (Yu et al., 2008) reported UAS without p as 0.873 versus ours,
footnote ||| 0.870.
sectionHeader ||| 7 Discussion
bodyText ||| If a treebank in the source language can help im-
bodyText ||| prove parsing in the target language, then there
bodyText ||| must be something common between these two
bodyText ||| languages, or more precisely, these two corre-
bodyText ||| sponding treebanks. (Zeman and Resnik, 2008)
bodyText ||| assumed that the morphology and syntax in the
bodyText ||| language pair should be very similar, and that is
bodyText ||| so for the language pair that they considered, Dan-
bodyText ||| ish and Swedish, two very close north European
