title ||| Topological Field Parsing of German
bodyText ||| probabilities are estimated by frequency counts.
bodyText ||| This model includes several enhancements, which
bodyText ||| are also found in the Berkeley parser. First,
bodyText ||| they use parameterized categories, splitting non-
bodyText ||| terminals according to linguistically based intu-
bodyText ||| itions, such as splitting different clause types (they
bodyText ||| do not distinguish different clause types as basic
bodyText ||| categories, unlike TÂ¨uBa-D/Z). Second, they take
bodyText ||| into account punctuation, which may help iden-
bodyText ||| tify clause boundaries. They also binarize the very
bodyText ||| flat topological tree structures, and prune rules
bodyText ||| that only occur once. They test their parser on a
bodyText ||| version of the NEGRA corpus, which has been
bodyText ||| annotated with topological fields using a semi-
bodyText ||| automatic method.
bodyText ||| Ule (2003) proposes a process termed Directed
bodyText ||| Treebank Refinement (DTR). The goal of DTR is
bodyText ||| to refine a corpus to improve parsing performance.
bodyText ||| DTR is comparable to the idea of latent variable
bodyText ||| grammars on which the Berkeley parser is based,
bodyText ||| in that both consider the observed treebank to be
bodyText ||| less than ideal and both attempt to refine it by split-
bodyText ||| ting and merging nonterminals. In this work, split-
bodyText ||| ting and merging nonterminals are done by consid-
bodyText ||| ering the nonterminalsâ contexts (i.e., their parent
bodyText ||| nodes) and the distribution of their productions.
bodyText ||| Unlike in the Berkeley parser, splitting and merg-
bodyText ||| ing are distinct stages, rather than parts of a sin-
bodyText ||| gle iteration. Multiple splits are found first, then
bodyText ||| multiple rounds of merging are performed. No
bodyText ||| smoothing is done. As an evaluation, DTR is ap-
bodyText ||| plied to topological field parsing of the TÂ¨uBa-D/Z
bodyText ||| corpus. We discuss the performance of these topo-
bodyText ||| logical field parsers in more detail below.
bodyText ||| All of the topological parsing proposals pre-
bodyText ||| date the advent of the Berkeley parser. The exper-
bodyText ||| iments of this paper demonstrate that the Berke-
bodyText ||| ley parser outperforms previous methods, many of
bodyText ||| which are specialized for the task of topological
bodyText ||| field chunking or parsing.
sectionHeader ||| 2 Topological Field Model of German
bodyText ||| Topological fields are high-level linear fields in
bodyText ||| an enclosing syntactic region, such as a clause
bodyText ||| (HÂ¨ohle, 1983). These fields may have constraints
bodyText ||| on the number of words or phrases they contain,
bodyText ||| and do not necessarily form a semantically co-
bodyText ||| herent constituent. Although it has been argued
bodyText ||| that a few languages have no word-order con-
bodyText ||| straints whatsoever, most âfree word-orderâ lan-
bodyText ||| guages (even Warlpiri) have at the very least some
bodyText ||| sort of sentence- or clause-initial topic field fol-
bodyText ||| lowed by a second position that is occupied by
bodyText ||| clitics, a finite verb or certain complementizers
bodyText ||| and subordinating conjunctions. In a few Ger-
bodyText ||| manic languages, including German, the topology
bodyText ||| is far richer than that, serving to identify all of
bodyText ||| the components of the verbal head of a clause,
bodyText ||| except for some cases of long-distance dependen-
page ||| 65
bodyText ||| cies. Topological fields are useful, because while
bodyText ||| Germanic word order is relatively free with respect
bodyText ||| to grammatical functions, the order of the topolog-
bodyText ||| ical fields is strict and unvarying.
table ||| Type	Fields
table ||| VL	(KOORD) (C) (MF) VC (NF)
table ||| V1	(KOORD) (LV) LK (MF) (VC) (NF)
table ||| V2	(KOORD) (LV) VF LK (MF) (VC) (NF)
tableCaption ||| Table 1: Topological field model of German.
tableCaption ||| Simplified from TÂ¨uBa-D/Z corpusâs annotation
tableCaption ||| schema (Telljohann et al., 2006).
bodyText ||| In the German topological field model, clauses
bodyText ||| belong to one of three types: verb-last (VL), verb-
bodyText ||| second (V2), and verb-first (V 1), each with a spe-
bodyText ||| cific sequence of topological fields (Table 1). VL
bodyText ||| clauses include finite and non-finite subordinate
bodyText ||| clauses, V2 sentences are typically declarative
bodyText ||| sentences and WH-questions in matrix clauses,
bodyText ||| and V1 sentences include yes-no questions, and
bodyText ||| certain conditional subordinate clauses. Below,
bodyText ||| we give brief descriptions of the most common
bodyText ||| topological fields.
listItem ||| â¢	VF (Vorfeld or âpre-fieldâ) is the first con-
bodyText ||| stituent in sentences of the V2 type. This is
bodyText ||| often the topic of the sentence, though as an
bodyText ||| anonymous reviewer pointed out, this posi-
bodyText ||| tion does not correspond to a single function
bodyText ||| with respect to information structure. (e.g.,
bodyText ||| the reviewer suggested this case, where VF
bodyText ||| contains the focus: âWer kommt zur Party?
bodyText ||| âPeter kommt zur Party. âWho is coming to
bodyText ||| the Party? âPeter is coming to the party.)
listItem ||| â¢	LK (Linke Klammer or âleft bracketâ) is the
bodyText ||| position for finite verbs in V1 and V2 sen-
bodyText ||| tences. It is replaced by a complementizer
bodyText ||| with the field label C in VL sentences.
listItem ||| â¢	MF (Mittelfeld or âmiddle fieldâ) is an op-
bodyText ||| tional field bounded on the left by LK and
bodyText ||| on the right by the verbal complex VC or
bodyText ||| by NF. Most verb arguments, adverbs, and
bodyText ||| prepositional phrases are found here, unless
bodyText ||| they have been fronted and put in the VF, or
bodyText ||| are prosodically heavy and postposed to the
bodyText ||| NF field.
listItem ||| â¢	VC is the verbal complex field. It includes
listItem ||| infinite verbs, as well as finite verbs in VL
listItem ||| sentences.
listItem ||| â¢	NF (Nachfeld or âpost-fieldâ) contains
listItem ||| prosodically heavy elements such as post-
listItem ||| posed prepositional phrases or relative
listItem ||| clauses.
listItem ||| â¢	KOORD1 (Koordinationsfeld or âcoordina-
listItem ||| tion fieldâ) is a field for clause-level conjunc-
listItem ||| tions.
listItem ||| â¢
bodyText ||| LV (Linksversetzung or âleft dislocationâ) is
bodyText ||| used for resumptive constructions involving
bodyText ||| left dislocation. For a detailed linguistic
bodyText ||| treatment, see (Frey, 2004).
bodyText ||| Exceptions to the topological field model as de-
bodyText ||| scribed above do exist. For instance, parenthetical
bodyText ||| constructions exist as a mostly syntactically inde-
bodyText ||| pendent clause inside another sentence. In our cor-
bodyText ||| pus, they are attached directly underneath a clausal
bodyText ||| node without any intervening topological field, as
bodyText ||| in the following example. In this example, the par-
bodyText ||| enthetical construction is highlighted in bold print.
bodyText ||| Some clause and topological field labels under the
bodyText ||| NF field are omitted for clarity.
listItem ||| (1) (a) (SIMPX â(VF Man) (LK muft) (VC verstehen) â
listItem ||| , (SIMPX sagte er), â (NF daft diese
listItem ||| Minderheiten seit langer Zeit massiv von den
listItem ||| Nazis bedroht werden)). â
listItem ||| (b) Translation: âOne must understand,â he said,
listItem ||| âthat these minorities have been massively
listItem ||| threatened by the Nazis for a long time.â
sectionHeader ||| 3 A Latent Variable Parser
bodyText ||| For our experiments, we used the latent variable-
bodyText ||| based Berkeley parser (Petrov et al., 2006). La-
bodyText ||| tent variable parsing assumes that an observed
bodyText ||| treebank represents a coarse approximation of
bodyText ||| an underlying, optimally refined grammar which
bodyText ||| makes more fine-grained distinctions in the syn-
bodyText ||| tactic categories. For example, the noun phrase
bodyText ||| category NP in a treebank could be viewed as a
bodyText ||| coarse approximation of two noun phrase cate-
bodyText ||| gories corresponding to subjects and object, NPËS,
bodyText ||| and NPËVP.
bodyText ||| The Berkeley parser automates the process of
bodyText ||| finding such distinctions. It starts with a simple bi-
bodyText ||| narized X-bar grammar style backbone, and goes
bodyText ||| through iterations of splitting and merging non-
bodyText ||| terminals, in order to maximize the likelihood of
bodyText ||| the training set treebank. In the splitting stage,
footnote ||| 1The TÂ¨uBa-D/Z corpus distinguishes coordinating and
footnote ||| non-coordinating particles, as well as clausal and field co-
footnote ||| ordination. These distinctions need not concern us for this
footnote ||| explanation.
page ||| 66
figureCaption ||| Figure 1: âI could never have done that just for aesthetic reasons.â Sample TÂ¨uBa-D/Z tree, with topolog-
figureCaption ||| ical field annotations and edge labels. Topological field layer in bold.
bodyText ||| an Expectation-Maximization algorithm is used to
bodyText ||| find a good split for each nonterminal. In the
bodyText ||| merging stage, categories that have been over-
bodyText ||| split are merged together to keep the grammar size
bodyText ||| tractable and reduce sparsity. Finally, a smoothing
bodyText ||| stage occurs, where the probabilities of rules for
bodyText ||| each nonterminal are smoothed toward the prob-
bodyText ||| abilities of the other nonterminals split from the
bodyText ||| same syntactic category.
bodyText ||| The Berkeley parser has been applied to the
bodyText ||| TÂ¨uBaD/Z corpus in the constituent parsing shared
bodyText ||| task of the ACL-2008 Workshop on Parsing Ger-
bodyText ||| man (Petrov and Klein, 2008), achieving an Fl-
bodyText ||| measure of 85.10% and 83.18% with and without
bodyText ||| gold standard POS tags respectively2. We chose
bodyText ||| the Berkeley parser for topological field parsing
bodyText ||| because it is known to be robust across languages,
bodyText ||| and because it is an unlexicalized parser. Lexi-
bodyText ||| calization has been shown to be useful in more
bodyText ||| general parsing applications due to lexical depen-
bodyText ||| dencies in constituent parsing (e.g. (KÂ¨ubler et al.,
bodyText ||| 2006; Dubey and Keller, 2003) in the case of Ger-
bodyText ||| man). However, topological fields explain a higher
bodyText ||| level of structure pertaining to clause-level word
bodyText ||| order, and we hypothesize that lexicalization is un-
bodyText ||| likely to be helpful.
sectionHeader ||| 4 Experiments
subsectionHeader ||| 4.1 Data
bodyText ||| For our experiments, we primarily used the TÂ¨uBa-
bodyText ||| D/Z (TÂ¨ubinger Baumbank des Deutschen / Schrift-
bodyText ||| sprache) corpus, consisting of 26116 sentences
bodyText ||| (20894 training, 2611 development, 2089 test,
bodyText ||| with a further 522 sentences held out for future ex-
footnote ||| 2 This evaluation considered grammatical functions as
footnote ||| well as the syntactic category.
bodyText ||| periments)3 taken from the German newspaper die
bodyText ||| tageszeitung. The corpus consists of four levels
bodyText ||| of annotation: clausal, topological, phrasal (other
bodyText ||| than clausal), and lexical. We define the task of
bodyText ||| topological field parsing to be recovering the first
bodyText ||| two levels of annotation, following Ule (2003).
bodyText ||| We also tested the parser on a version of the NE-
bodyText ||| GRA corpus derived by Becker and Frank (2002),
bodyText ||| in which syntax trees have been made projec-
bodyText ||| tive and topological fields have been automatically
bodyText ||| added through a series of linguistically informed
bodyText ||| tree modifications. All internal phrasal structure
bodyText ||| nodes have also been removed. The corpus con-
bodyText ||| sists of 20596 sentences, which we split into sub-
bodyText ||| sets of the same size as described by Becker and
bodyText ||| Frank (2002)4. The set of topological fields in
bodyText ||| this corpus differs slightly from the one used in
bodyText ||| TÂ¨uBa-D/Z, making no distinction between clause
bodyText ||| types, nor consistently marking field or clause
bodyText ||| conjunctions. Because of the automatic anno-
bodyText ||| tation of topological fields, this corpus contains
bodyText ||| numerous annotation errors. Becker and Frank
bodyText ||| (2002) manually corrected their test set and eval-
bodyText ||| uated the automatic annotation process, reporting
bodyText ||| labelled precision and recall of 93.0% and 93.6%
bodyText ||| compared to their manual annotations. There are
bodyText ||| also punctuation-related errors, including miss-
bodyText ||| ing punctuation, sentences ending in commas, and
bodyText ||| sentences composed of single punctuation marks.
bodyText ||| We test on this data in order to provide a bet-
bodyText ||| ter comparison with previous work. Although we
bodyText ||| could have trained the model in Becker and Frank
bodyText ||| (2002) on the TÂ¨uBa-D/Z corpus, it would not have
footnote ||| 3These are the same splits into training, development, and
footnote ||| test sets as in the ACL-08 Parsing German workshop. This
footnote ||| corpus does not include sentences of length greater than 40.
footnote ||| 416476 training sentences, 1000 development, 1058 test-
footnote ||| ing, and 2062 as held-out data. We were unable to obtain
footnote ||| the exact subsets used by Becker and Frank (2002). We will
footnote ||| discuss the ramifications of this on our evaluation procedure.
page ||| 67
table ||| Gold tags	Edge labels	LP%	LR%	F1%	CB	CB0%	CB &lt; 2%	EXACT%
table ||| -	-	93.53	93.17	93.35	0.08	94.59	99.43	79.50
table ||| +	-	95.26	95.04	95.15	0.07	95.35	99.52	83.86
table ||| -	+	92.38	92.67	92.52	0.11	92.82	99.19	77.79
table ||| +	+	92.36	92.60	92.48	0.11	92.82	99.19	77.64
tableCaption ||| Table 2: Parsing results for topological fields and clausal constituents on the TÂ¨uBa-D/Z corpus.
bodyText ||| been a fair comparison, as the parser depends quite
bodyText ||| heavily on NEGRAâs annotation scheme. For ex-
bodyText ||| ample, TÂ¨uBa-D/Z does not contain an equiva-
bodyText ||| lent of the modified NEGRAâs parameterized cat-
bodyText ||| egories; there exist edge labels in TÂ¨uBaD/Z, but
bodyText ||| they are used to mark head-dependency relation-
bodyText ||| ships, not subtypes of syntactic categories.
sectionHeader ||| 4.2 Results
bodyText ||| We first report the results of our experiments on
bodyText ||| the TÂ¨uBa-D/Z corpus. For the TÂ¨uBa-D/Z corpus,
bodyText ||| we trained the Berkeley parser using the default
bodyText ||| parameter settings. The grammar trainer attempts
bodyText ||| six iterations of splitting, merging, and smoothing
bodyText ||| before returning the final grammar. Intermediate
bodyText ||| grammars after each step are also saved. There
bodyText ||| were training and test sentences without clausal
bodyText ||| constituents or topological fields, which were ig-
bodyText ||| nored by the parser and by the evaluation. As
bodyText ||| part of our experiment design, we investigated the
bodyText ||| effect of providing gold POS tags to the parser,
bodyText ||| and the effect of incorporating edge labels into the
bodyText ||| nonterminal labels for training and parsing. In all
bodyText ||| cases, gold annotations which include gold POS
bodyText ||| tags were used when training the parser.
bodyText ||| We report the standard PARSEVAL measures
bodyText ||| of parser performance in Table 2, obtained by the
bodyText ||| evalb program by Satoshi Sekine and Michael
bodyText ||| Collins. This table shows the results after five it-
bodyText ||| erations of grammar modification, parameterized
bodyText ||| over whether we provide gold POS tags for pars-
bodyText ||| ing, and edge labels for training and parsing. The
bodyText ||| number of iterations was determined by experi-
bodyText ||| ments on the development set. In the evaluation,
bodyText ||| we do not consider edge labels in determining
bodyText ||| correctness, but do consider punctuation, as Ule
bodyText ||| (2003) did. If we ignore punctuation in our evalu-
bodyText ||| ation, we obtain an F1-measure of 95.42% on the
bodyText ||| best model (+ Gold tags, - Edge labels).
bodyText ||| Whether supplying gold POS tags improves
bodyText ||| performance depends on whether edge labels are
bodyText ||| considered in the grammar. Without edge labels,
bodyText ||| gold POS tags improve performance by almost
bodyText ||| two points, corresponding to a relative error reduc-
bodyText ||| tion of 33%. In contrast, performance is negatively
bodyText ||| affected when edge labels are used and gold POS
bodyText ||| tags are supplied (i.e., + Gold tags, + Edge la-
bodyText ||| bels), making the performance worse than not sup-
bodyText ||| plying gold tags. Incorporating edge label infor-
bodyText ||| mation does not appear to improve performance,
bodyText ||| possibly because it oversplits the initial treebank
bodyText ||| and interferes with the parserâs ability to determine
bodyText ||| optimal splits for refining the grammar.
table ||| Parser	LP%	LR%	Fl%
table ||| TÂ¨uBa-D/Z
table ||| This work	95.26	95.04	95.15
table ||| Ule	unknown	unknown	91.98
table ||| NEGRA - from Becker and Frank (2002)
table ||| BF02 (len. &lt; 40)	92.1	91.6	91.8
table ||| NEGRA - our experiments
table ||| This work (len. &lt; 40)	90.74	90.87	90.81
table ||| BF02 (len. &lt; 40)	89.54	88.14	88.83
table ||| This work (all)	90.29	90.51	90.40
table ||| BF02 (all)	89.07	87.80	88.43
tableCaption ||| Table 3: BF02 = (Becker and Frank, 2002). Pars-
tableCaption ||| ing results for topological fields and clausal con-
tableCaption ||| stituents. Results from Ule (2003) and our results
tableCaption ||| were obtained using different training and test sets.
tableCaption ||| The first row of results of Becker and Frank (2002)
tableCaption ||| are from that paper; the rest were obtained by our
tableCaption ||| own experiments using that parser. All results con-
tableCaption ||| sider punctuation in evaluation.
bodyText ||| To facilitate a more direct comparison with pre-
bodyText ||| vious work, we also performed experiments on the
bodyText ||| modified NEGRA corpus. In this corpus, topo-
bodyText ||| logical fields are parameterized, meaning that they
bodyText ||| are labelled with further syntactic and semantic in-
bodyText ||| formation. For example, VF is split into VF-REL
bodyText ||| for relative clauses, and VF-TOPIC for those con-
bodyText ||| taining topics in a verb-second sentence, among
bodyText ||| others. All productions in the corpus have also
bodyText ||| been binarized. Tuning the parameter settings on
bodyText ||| the development set, we found that parameterized
bodyText ||| categories, binarization, and including punctua-
bodyText ||| tion gave the best F1 performance. First-order
bodyText ||| horizontal and zeroth order vertical markoviza-
page ||| 68
bodyText ||| tion after six iterations of splitting, merging, and
bodyText ||| smoothing gave the best F1 result of 91.78%. We
bodyText ||| parsed the corpus with both the Berkeley parser
bodyText ||| and the best performing model of Becker and
bodyText ||| Frank (2002).
bodyText ||| The results of these experiments on the test set
bodyText ||| for sentences of length 40 or less and for all sen-
bodyText ||| tences are shown in Table 3. We also show other
bodyText ||| results from previous work for reference. We
bodyText ||| find that we achieve results that are better than
bodyText ||| the model in Becker and Frank (2002) on the test
bodyText ||| set. The difference is statistically significant (p =
bodyText ||| 0.0029, Wilcoxon signed-rank).
bodyText ||| The results we obtain using the parser of Becker
bodyText ||| and Frank (2002) are worse than the results de-
bodyText ||| scribed in that paper. We suggest the following
bodyText ||| reasons for this discrepancy. While the test set
bodyText ||| used in the paper was manually corrected for eval-
bodyText ||| uation, we did not correct our test set, because it
bodyText ||| would be difficult to ensure that we adhered to the
bodyText ||| same correction guidelines. No details of the cor-
bodyText ||| rection process were provided in the paper, and de-
bodyText ||| scriptive grammars of German provide insufficient
bodyText ||| guidance on many of the examples in NEGRA on
bodyText ||| issues such as ellipses, short infinitival clauses,
bodyText ||| and expanded participial constructions modifying
bodyText ||| nouns. Also, because we could not obtain the ex-
bodyText ||| act sets used for training, development, and test-
bodyText ||| ing, we had to recreate the sets by randomly split-
bodyText ||| ting the corpus.
subsectionHeader ||| 4.3 Category Specific Results
bodyText ||| We now return to the TÂ¨uBa-D/Z corpus for a
bodyText ||| more detailed analysis, and examine the category-
bodyText ||| specific results for our best performing model (+
bodyText ||| Gold tags, - Edge labels). Overall, Table 4 shows
bodyText ||| that the best performing topological field cate-
bodyText ||| gories are those that have constraints on the type
bodyText ||| of word that is allowed to fill it (finite verbs in
bodyText ||| LK, verbs in VC, complementizers and subordi-
bodyText ||| nating conjunctions in C). VF, in which only one
bodyText ||| constituent may appear, also performs relatively
bodyText ||| well. Topological fields that can contain a vari-
bodyText ||| able number of heterogeneous constituents, on the
bodyText ||| other hand, have poorer F1-measure results. MF,
bodyText ||| which is basically defined relative to the positions
bodyText ||| of fields on either side of it, is parsed several points
bodyText ||| below LK, C, and VC in accuracy. NF, which
bodyText ||| contains different kinds of extraposed elements, is
bodyText ||| parsed at a substantially worse level.
bodyText ||| Poorly parsed categories tend to occur infre-
bodyText |||  quently, including LV, which marks a rare re-
bodyText ||| sumptive construction; FKOORD, which marks
bodyText ||| topological field coordination; and the discourse
bodyText ||| marker DM. The other clause-level constituents
bodyText ||| (PSIMPX for clauses in paratactic constructions,
bodyText ||| RSIMPX for relative clauses, and SIMPX for
bodyText ||| other clauses) also perform below average.
table ||| Topological Fields
table ||| Category	#	LP%	LR%	Fl%
table ||| PARORD	20	100.00	100.00	100.00
table ||| VCE	3	100.00	100.00	100.00
table ||| LK	2186	99.68	99.82	99.75
table ||| C	642	99.53	98.44	98.98
table ||| VC	1777	98.98	98.14	98.56
table ||| VF	2044	96.84	97.55	97.20
table ||| KOORD	99	96.91	94.95	95.92
table ||| MF	2931	94.80	95.19	94.99
table ||| NF	643	83.52	81.96	82.73
table ||| FKOORD	156	75.16	73.72	74.43
table ||| LV	17	10.00	5.88	7.41
table ||| Clausal Constituents
table ||| Category	#	LP%	LR%	Fl%
table ||| SIMPX	2839	92.46	91.97	92.21
table ||| RSIMPX	225	91.23	92.44	91.83
table ||| PSIMPX	6	100.00	66.67	80.00
table ||| DM	28	59.26	57.14	58.18
tableCaption ||| Table 4: Category-specific results using grammar
tableCaption ||| with no edge labels and passing in gold POS tags.
subsectionHeader ||| 4.4 Reranking for Paired Punctuation
bodyText ||| While experimenting with the development set
bodyText ||| of TÂ¨uBa-D/Z, we noticed that the parser some-
bodyText ||| times returns parses, in which paired punctuation
bodyText ||| (e.g. quotation marks, parentheses, brackets) is
bodyText ||| not placed in the same clauseâa linguistically im-
bodyText ||| plausible situation. In these cases, the high-level
bodyText ||| information provided by the paired punctuation is
bodyText ||| overridden by the overall likelihood of the parse
bodyText ||| tree. To rectify this problem, we performed a sim-
bodyText ||| ple post-hoc reranking of the 50-best parses pro-
bodyText ||| duced by the best parameter settings (+ Gold tags,
bodyText ||| - Edge labels), selecting the first parse that places
bodyText ||| paired punctuation in the same clause, or return-
bodyText ||| ing the best parse if none of the 50 parses satisfy
bodyText ||| the constraint. This procedure improved the F1-
bodyText ||| measure to 95.24% (LP = 95.39%, LR = 95.09%).
bodyText ||| Overall, 38 sentences were parsed with paired
bodyText ||| punctuation in different clauses, of which 16 were
bodyText ||| reranked. Of the 38 sentences, reranking improved
bodyText ||| performance in 12 sentences, did not affect perfor-
bodyText ||| mance in 23 sentences (of which 10 already had a
bodyText ||| perfect parse), and hurt performance in three sen-
bodyText ||| tences. A two-tailed sign test suggests that rerank-
page ||| 69
bodyText ||| ing improves performance (p = 0.0352). We dis-
bodyText ||| cuss below why sentences with paired punctuation
bodyText ||| in different clauses can have perfect parse results.
bodyText ||| To investigate the upper-bound in performance
bodyText ||| that this form of reranking is able to achieve, we
bodyText ||| calculated some statistics on our (+ Gold tags, -
bodyText ||| Edge labels) 50-best list. We found that the aver-
bodyText ||| age rank of the best scoring parse by F1-measure
bodyText ||| is 2.61, and the perfect parse is present for 1649
bodyText ||| of the 2088 sentences at an average rank of 1.90.
bodyText ||| The oracle F1-measure is 98.12%, indicating that
bodyText ||| a more comprehensive reranking procedure might
bodyText ||| allow further performance gains.
subsectionHeader ||| 4.5 Qualitative Error Analysis
bodyText ||| As a further analysis, we extracted the worst scor-
bodyText ||| ing fifty sentences by F1-measure from the parsed
bodyText ||| test set (+ Gold tags, - Edge labels), and compared
bodyText ||| them against the gold standard trees, noting the
bodyText ||| cause of the error. We analyze the parses before
bodyText ||| reranking, to see how frequently the paired punc-
bodyText ||| tuation problem described above severely affects a
bodyText ||| parse. The major mistakes made by the parser are
bodyText ||| summarized in Table 5.
