title ||| Exploiting Heterogeneous Treebanks for Parsing
bodyText ||| we provide two strategies to refine conversion re-
bodyText ||| sults: (1) pruning low-quality trees from the con-
bodyText ||| verted treebank, (2) interpolating the scores from
bodyText ||| the source grammar and the target grammar to se-
bodyText ||| lect better converted trees. Finally we adopt a cor-
bodyText ||| pus weighting technique to get an optimal combi-
bodyText ||| nation of the converted treebank and the existing
bodyText ||| target treebank for parser training.
bodyText ||| We have evaluated our conversion algorithm on
bodyText ||| a dependency structure treebank (produced from
bodyText ||| the Penn Treebank) for comparison with previous
bodyText ||| work (Xia et al., 2008). We also have investi-
bodyText ||| gated our two-step solution on two existing tree-
bodyText ||| banks, the Penn Chinese Treebank (CTB) (Xue et
bodyText ||| al., 2005) and the Chinese Dependency Treebank
bodyText ||| (CDT)2 (Liu et al., 2006). Evaluation on WSJ data
bodyText ||| demonstrates that it is feasible to use a parser for
bodyText ||| grammar formalism conversion and the conversion
bodyText ||| benefits from converted trees used for parser re-
bodyText ||| training. Our conversion method achieves 93.8%
bodyText ||| f-score on dependency trees produced from WSJ
bodyText ||| section 22, resulting in 42% error reduction over
bodyText ||| the previous best result for DS to PS conversion.
bodyText ||| Results on CTB show that score interpolation is
footnote ||| 2Available at http://ir.hit.edu.cn/.
bodyText ||| more effective than instance pruning for the use
bodyText ||| of converted treebanks for parsing and converted
bodyText ||| CDT helps parsing on CTB. When coupled with
bodyText ||| self-training technique, a reranking parser with
bodyText ||| CTB and converted CDT as labeled data achieves
bodyText ||| 85.2% f-score on CTB test set, an absolute 1.0%
bodyText ||| improvement (6% error reduction) over the previ-
bodyText ||| ous best result for Chinese parsing.
bodyText ||| The rest of this paper is organized as follows. In
bodyText ||| Section 2, we first describe a parser based method
bodyText ||| for DS to PS conversion, and then we discuss pos-
bodyText ||| sible strategies to refine conversion results, and
bodyText ||| finally we adopt the corpus weighting technique
bodyText ||| for parsing on homogeneous treebanks. Section
bodyText ||| 3 provides experimental results of grammar for-
bodyText ||| malism conversion on a dependency treebank pro-
bodyText ||| duced from the Penn Treebank. In Section 4, we
bodyText ||| evaluate our two-step solution on two existing het-
bodyText ||| erogeneous Chinese treebanks. Section 5 reviews
bodyText ||| related work and Section 6 concludes this work.
sectionHeader ||| 2 Our Two-Step Solution
subsectionHeader ||| 2.1 Grammar Formalism Conversion
bodyText ||| Previous DS to PS conversion methods built a
bodyText ||| converted tree by iteratively attaching nodes and
bodyText ||| edges to the tree with the help of conversion
bodyText ||| rules and heuristic rules, based on current head-
bodyText ||| dependent pair from a source dependency tree and
bodyText ||| the structure of the built tree (Collins et al., 1999;
bodyText ||| Covington, 1994; Xia and Palmer, 2001; Xia et
bodyText ||| al., 2008). Some observations can be made on
bodyText ||| these methods: (1) for each head-dependent pair,
bodyText ||| only one locally optimal conversion was kept dur-
bodyText ||| ing tree-building process, at the risk of pruning
bodyText ||| globally optimal conversions, (2) heuristic rules
bodyText ||| are required to deal with the problem that one
bodyText ||| head-dependent pair might have multiple conver-
bodyText ||| sion candidates, and these heuristic rules are usu-
bodyText ||| ally hand-crafted to reflect the structural prefer-
bodyText ||| ence in their target grammars. To overcome these
bodyText ||| limitations, we propose to employ a parser to gen-
bodyText ||| erate N-best parses as conversion candidates and
bodyText ||| then use the structural information of source trees
bodyText ||| to select the best parse as a converted tree.
bodyText ||| We formulate our conversion method as fol-
bodyText ||| lows.
bodyText ||| Let CDS be a source treebank annotated with
bodyText ||| DS and CPS be a target treebank annotated with
bodyText ||| PS. Our goal is to convert the grammar formalism
bodyText ||| of CDS to that of CPS.
bodyText ||| We first train a constituency parser on CPS
page ||| 47
bodyText ||| Input: CPS, CDS, Q, and a constituency parser	Output: Converted trees Cps
listItem ||| 1. Initialize:
listItem ||| â Set Cps,0 as null, DevScore=0, q=0;
listItem ||| â Split CPS into training set CPS,train and development set CPS,dev;
listItem ||| â Train the parser on CPS,train and denote it by Pqâl;
listItem ||| 2. Repeat:
listItem ||| â Use Pq_i to generate N-best PS parses for each sentence in CDS, and convert PS to DS for each parse;
listItem ||| â For each sentence in CDS Do
listItem ||| o ï¿½t=argmaxt Score (xi,t), and select the ï¿½t-th parse as a converted tree for this sentence;
listItem ||| â Let CD S,q S represent these converted trees, and let Ctrain=CPS,train U CDSS,q ;
listItem ||| â Train the parser on Ctrain, and denote the updated parser by Pq;
listItem ||| â Let DevScoreq be the f-score of Pq on CPS,dev;
listItem ||| â If DevScoreq &gt; DevScore Then DevScore=DevScoreq, and Cps=Cps,q;
listItem ||| â Else break;
listItem ||| â q++;
listItem ||| Until q &gt; Q
tableCaption ||| Table 1: Our algorithm for DS to PS conversion.
bodyText ||| (90% trees in CPS as training set CPS,train, and
bodyText ||| other trees as development set CPS,dev) and then
bodyText ||| let the parser generate N-best parses for each sen-
bodyText ||| tence in CDS.
bodyText ||| Let n be the number of sentences (or trees) in
bodyText ||| CDS and ni be the number of N-best parses gen-
bodyText ||| erated by the parser for the i-th (1 &lt; i &lt; n) sen-
bodyText ||| tence in CDS. Let xi,t be the t-th (1 &lt; t &lt; ni)
bodyText ||| parse for the i-th sentence. Let yi be the tree of the
bodyText ||| i-th (1 &lt; i &lt; n) sentence in CDS.
bodyText ||| To evaluate the quality of xi,t as a conversion
bodyText ||| candidate for yi, we convert xi,t to a dependency
bodyText ||| tree (denoted as xDS) and then use unlabeled de-
bodyText ||| pendency f-score to measure the similarity be-
bodyText ||| tween xDS and yi. Let Score(xi,t) denote the
bodyText ||| unlabeled dependency f-score of xDS against yi.
bodyText ||| Then we determine the converted tree for yi by
bodyText ||| maximizing Score(xi,t) over the N-best parses.
bodyText ||| The conversion from PS to DS works as fol-
bodyText ||| lows:
bodyText ||| Step 1. Use a head percolation table to find the
bodyText ||| head of each constituent in xi,t.
bodyText ||| Step 2. Make the head of each non-head child
bodyText ||| depend on the head of the head child for each con-
bodyText ||| stituent.
bodyText ||| Unlabeled dependency f-score is a harmonic
bodyText ||| mean of unlabeled dependency precision and unla-
bodyText ||| beled dependency recall. Precision measures how
bodyText ||| many head-dependent word pairs found in xDS
bodyText ||| i,t
bodyText ||| are correct and recall is the percentage of head-
bodyText ||| dependent word pairs defined in the gold-standard
bodyText ||| tree that are found in xDS. Here we do not take
bodyText ||| dependency tags into consideration for evaluation
bodyText ||| since they cannot be obtained without more so-
bodyText ||| phisticated rules.
bodyText ||| To improve the quality of N-best parses, we at-
bodyText ||| tempt to use the converted trees as additional train-
bodyText ||| ing data to retrain the parser. The procedure of
bodyText ||| tree conversion and parser retraining can be run it-
bodyText ||| eratively until a termination condition is satisfied.
bodyText ||| Here we use the parserâs f-score on CPS,dev as a
bodyText ||| termination criterion. If the update of training data
bodyText ||| hurts the performance on CPS,dev, then we stop
bodyText ||| the iteration.
bodyText ||| Table 1 shows this DS to PS conversion algo-
bodyText ||| rithm. Q is an upper limit of the number of loops,
bodyText ||| and Q&gt;0.
subsectionHeader ||| 2.2 Target Grammar Parsing
bodyText ||| Through grammar formalism conversion, we have
bodyText ||| successfully turned the problem of using hetero-
bodyText ||| geneous treebanks for parsing into the problem of
bodyText ||| parsing on homogeneous treebanks. Before using
bodyText ||| converted source treebank for parsing, we present
bodyText ||| two strategies to refine conversion results.
bodyText ||| Instance Pruning For some sentences in
bodyText ||| CDS, the parser might fail to generate high qual-
bodyText ||| ity N-best parses, resulting in inferior converted
bodyText ||| trees. To clean the converted treebank, we can re-
bodyText ||| move the converted trees with low unlabeled de-
bodyText ||| pendency f-scores (defined in Section 2.1) before
bodyText ||| using the converted treebank for parser training
page ||| 48
figureCaption ||| Figure 1: A parse tree in CTB for a sentence of
figureCaption ||| &quot; t1t A&lt;world&gt; -X &lt;every&gt; ï¿½ &lt;country&gt; A
figureCaption ||| Vï¿½&lt;people&gt; N&lt;all&gt; 4E&lt;with&gt; H A&lt;eyes&gt;
figureCaption ||| R hJ &lt;cast&gt; # A&lt;Hong Kong&gt; &quot; with
figureCaption ||| &quot;People from all over the world are cast-
figureCaption ||| ing their eyes on Hong Kong&quot; as its English
figureCaption ||| translation.
bodyText ||| because these trees are &quot;misleading&quot; training in-
bodyText ||| stances. The number of removed trees will be de-
bodyText ||| termined by cross validation on development set.
bodyText ||| Score Interpolation Unlabeled dependency
bodyText ||| f-scores used in Section 2.1 measure the quality of
bodyText ||| converted trees from the perspective of the source
bodyText ||| grammar only. In extreme cases, the top best
bodyText ||| parses in the N-best list are good conversion can-
bodyText ||| didates but we might select a parse ranked quite
bodyText ||| low in the N-best list since there might be con-
bodyText ||| flicts of syntactic structure definition between the
bodyText ||| source grammar and the target grammar.
bodyText ||| Figure 1 shows an example for illustration of
bodyText ||| a conflict between the grammar of CDT and
bodyText ||| that of CTB. According to Chinese head percola-
bodyText ||| tion tables used in the PS to DS conversion tool
bodyText ||| &quot;Penn2Malt&quot; 3 and Charniakâs parser4, the head
bodyText ||| of VP-2 is the word &quot; 4E &quot; (a preposition, with
bodyText ||| &quot;BA&quot; as its POS tag in CTB), and the head of
bodyText ||| IP-OBJ is R hJ &quot; . Therefore the word &quot; R
bodyText ||| hJ&quot; depends on the word &quot;4E&quot; . But according
bodyText ||| to the annotation scheme in CDT (Liu et al., 2006),
bodyText ||| the word &quot;4E&quot; is a dependent of the word &quot;R
bodyText ||| hJ &quot; . The conflicts between the two grammars
bodyText ||| may lead to the problem that the selected parses
bodyText ||| based on the information of the source grammar
bodyText ||| might not be preferred from the perspective of the
footnote ||| 3Available at http://w3.msi.vxu.se/ânivre/.
footnote ||| 4Available at http://www.cs.brown.edu/âec/.
bodyText ||| target grammar.
bodyText ||| Therefore we modified the selection metric in
bodyText ||| Section 2.1 by interpolating two scores, the prob-
bodyText ||| ability of a conversion candidate from the parser
bodyText ||| and its unlabeled dependency f-score, shown as
bodyText ||| follows:
equation ||| Score(xi,t) = AxProb(xi,t)+(1âA)xScore(xi,t). (1)
bodyText ||| The intuition behind this equation is that converted
bodyText ||| trees should be preferred from the perspective of
bodyText ||| both the source grammar and the target grammar.
bodyText ||| Here 0 &lt; A &lt; 1. Prob(xi,t) is a probability pro-
bodyText ||| duced by the parser for xi,t (0 &lt; Prob(xi,t) &lt; 1).
bodyText ||| The value of A will be tuned by cross validation on
bodyText ||| development set.
bodyText ||| After grammar formalism conversion, the prob-
bodyText ||| lem now we face has been limited to how to build
bodyText ||| parsing models on multiple homogeneous tree-
bodyText ||| bank. A possible solution is to simply concate-
bodyText ||| nate the two treebanks as training data. However
bodyText ||| this method may lead to a problem that if the size
bodyText ||| of CPS is significantly less than that of converted
bodyText ||| CDS, converted CDS may weaken the effect CPS
bodyText ||| might have. One possible solution is to reduce the
bodyText ||| weight of examples from converted CDS in parser
bodyText ||| training. Corpus weighting is exactly such an ap-
bodyText ||| proach, with the weight tuned on development set,
bodyText ||| that will be used for parsing on homogeneous tree-
bodyText ||| banks in this paper.
sectionHeader ||| 3 Experiments of Grammar Formalism
sectionHeader ||| Conversion
subsectionHeader ||| 3.1 Evaluation on WSJ section 22
bodyText ||| Xia et al. (2008) used WSJ section 19 from the
bodyText ||| Penn Treebank to extract DS to PS conversion
bodyText ||| rules and then produced dependency trees from
bodyText ||| WSJ section 22 for evaluation of their DS to PS
bodyText ||| conversion algorithm. They showed that their
bodyText ||| conversion algorithm outperformed existing meth-
bodyText ||| ods on the WSJ data. For comparison with their
bodyText ||| work, we conducted experiments in the same set-
bodyText ||| ting as theirs: using WSJ section 19 (1844 sen-
bodyText ||| tences) as CPS, producing dependency trees from
bodyText ||| WSJ section 22 (1700 sentences) as CDS5, and
bodyText ||| using labeled bracketing f-scores from the tool
bodyText ||| &quot;EVALB&quot; on WSJ section 22 for performance
bodyText ||| evaluation.
footnote ||| 5We used the tool &quot;Penn2Malt&quot; to produce dependency
footnote ||| structures from the Penn Treebank, which was also used for
footnote ||| PS to DS conversion in our conversion algorithm.
page ||| 49
table ||| 	DevScore	All the sentences
table ||| 		LR	LP	F
table ||| Models	(%)	(%)	(%)	(%)
table ||| The best result of
table ||| Xia et al. (2008)	-	90.7	88.1	89.4
table ||| Q-0-method	86.8	92.2	92.8	92.5
table ||| Q-10-method	88.0	93.4	94.1	93.8
tableCaption ||| Table 2: Comparison with the work of Xia et al.
table ||| (2008) on WSJ section 22.
table ||| 		All the sentences
table ||| 	DevScore	LR	LP	F
table ||| Models	(%)	(%)	(%)	(%)
table ||| Q-0-method	91.0	91.6	92.5	92.1
table ||| Q-10-method	91.6	93.1	94.1	93.6
tableCaption ||| Table 3: Results of our algorithm on WSJ section
tableCaption ||| 2-18 and 20-22.
bodyText ||| We employed Charniakâs maximum entropy in-
bodyText ||| spired parser (Charniak, 2000) to generate N-best
bodyText ||| (N=200) parses. Xia et al. (2008) used POS
bodyText ||| tag information, dependency structures and depen-
bodyText ||| dency tags in test set for conversion. Similarly, we
bodyText ||| used POS tag information in the test set to restrict
bodyText ||| search space of the parser for generation of better
bodyText ||| N-best parses.
bodyText ||| We evaluated two variants of our DS to PS con-
bodyText ||| version algorithm:
bodyText ||| Q-0-method: We set the value of Q as 0 for a
bodyText ||| baseline method.
bodyText ||| Q-10-method: We set the value of Q as 10 to
bodyText ||| see whether it is helpful for conversion to retrain
bodyText ||| the parser on converted trees.
bodyText ||| Table 2 shows the results of our conversion al-
bodyText ||| gorithm on WSJ section 22. In the experiment
bodyText ||| of Q-10-method, DevScore reached the highest
bodyText ||| value of 88.0% when q was 1. Then we used
bodyText ||| Cps,1 as the conversion result. Finally Q-10-
bodyText ||| method achieved an f-score of 93.8% on WSJ sec-
bodyText ||| tion 22, an absolute 4.4% improvement (42% er-
bodyText ||| ror reduction) over the best result of Xia et al.
bodyText ||| (2008). Moreover, Q-10-method outperformed Q-
bodyText ||| 0-method on the same test set. These results indi-
bodyText ||| cate that it is feasible to use a parser for DS to PS
bodyText ||| conversion and the conversion benefits from the
bodyText ||| use of converted trees for parser retraining.
subsectionHeader ||| 3.2 Evaluation on WSJ section 2-18 and
subsectionHeader ||| 20-22
bodyText ||| In this experiment we evaluated our conversion al-
bodyText ||| gorithm on a larger test set, WSJ section 2-18 and
bodyText ||| 20-22 (totally 39688 sentences). Here we also
bodyText ||| used WSJ section 19 as CPS. Other settings for
table ||| Training data	All the sentences
table ||| 	LR	LP	F
table ||| 	(%)	(%)	(%)
table ||| 1 x CTB + CDTPS	84.7	85.1	84.9
table ||| 2 x CTB + CDTPS	85.1	85.6	85.3
table ||| 5 x CTB + CDTPS	85.0	85.5	85.3
table ||| 10 x CTB +CDTPS	85.3	85.8	85.6
table ||| 20 x CTB +CDTPS	85.1	85.3	85.2
table ||| 50 x CTB +CDTPS	84.9	85.3	85.1
tableCaption ||| Table 4: Results of the generative parser on the de-
tableCaption ||| velopment set, when trained with various weight-
tableCaption ||| ing of CTB training set and CDTPS.
bodyText ||| this experiment are as same as that in Section 3. 1,
bodyText ||| except that here we used a larger test set.
bodyText ||| Table 3 provides the f-scores of our method with
bodyText ||| Q equal to 0 or 10 on WSJ section 2-18 and
bodyText ||| 20-22.
bodyText ||| With Q-10-method, DevScore reached the high-
bodyText ||| est value of 91.6% when q was 1. Finally Q-
bodyText ||| 10-method achieved an f-score of 93.6% on WSJ
bodyText ||| section 2-18 and 20-22, better than that of Q-0-
bodyText ||| method and comparable with that of Q-10-method
bodyText ||| in Section 3.1. It confirms our previous finding
bodyText ||| that the conversion benefits from the use of con-
bodyText ||| verted trees for parser retraining.
sectionHeader ||| 4 Experiments of Parsing
bodyText ||| We investigated our two-step solution on two ex-
bodyText ||| isting treebanks, CDT and CTB, and we used CDT
bodyText ||| as the source treebank and CTB as the target tree-
bodyText ||| bank.
bodyText ||| CDT consists of 60k Chinese sentences, anno-
bodyText ||| tated with POS tag information and dependency
bodyText ||| structure information (including 28 POS tags, and
bodyText ||| 24 dependency tags) (Liu et al., 2006). We did not
bodyText ||| use POS tag information as inputs to the parser in
bodyText ||| our conversion method due to the difficulty of con-
bodyText ||| version from CDT POS tags to CTB POS tags.
bodyText ||| We used a standard split of CTB for perfor-
bodyText ||| mance evaluation, articles 1-270 and 400-1151 as
bodyText ||| training set, articles 301-325 as development set,
bodyText ||| and articles 271-300 as test set.
bodyText ||| We used Charniakâs maximum entropy inspired
bodyText ||| parser and their reranker (Charniak and Johnson,
bodyText ||| 2005) for target grammar parsing, called a gener-
bodyText ||| ative parser (GP) and a reranking parser (RP) re-
bodyText ||| spectively. We reported ParseVal measures from
bodyText ||| the EVALB tool.
page ||| 50
table ||| 		All the sentences
table ||| 		LR	LP	F
table ||| Models	Training data	(%)	(%)	(%)
table ||| GP	CTB	79.9	82.2	81.0
table ||| RP	CTB	82.0	84.6	83.3
table ||| GP	10 x CTB + CDTPS	80.4	82.7	81.5
table ||| RP	10 x CTB + CDTPS	82.8	84.7	83.8
tableCaption ||| Table 5: Results of the generative parser (GP) and
tableCaption ||| the reranking parser (RP) on the test set, when
tableCaption ||| trained on only CTB training set or an optimal
tableCaption ||| combination of CTB training set and CDTPS.
subsectionHeader ||| 4.1 Results of a Baseline Method to Use CDT
bodyText ||| We used our conversion algorithm6 to convert the
bodyText ||| grammar formalism of CDT to that of CTB. Let
bodyText ||| CDTPS denote the converted CDT by our method.
bodyText ||| The average unlabeled dependency f-score of trees
bodyText ||| in CDTPS was 74.4%, and their average index in
bodyText ||| 200-best list was 48.
bodyText ||| We tried the corpus weighting method when
bodyText ||| combining CDTPS with CTB training set (abbre-
bodyText ||| viated as CTB for simplicity) as training data, by
bodyText ||| gradually increasing the weight (including 1, 2, 5,
bodyText ||| 10, 20, 50) of CTB to optimize parsing perfor-
bodyText ||| mance on the development set. Table 4 presents
bodyText ||| the results of the generative parser with various
bodyText ||| weights of CTB on the development set. Consid-
bodyText ||| ering the performance on the development set, we
bodyText ||| decided to give CTB a relative weight of 10.
bodyText ||| Finally we evaluated two parsing models, the
bodyText ||| generative parser and the reranking parser, on the
bodyText ||| test set, with results shown in Table 5. When
bodyText ||| trained on CTB only, the generative parser and the
bodyText ||| reranking parser achieved f-scores of 81.0% and
bodyText ||| 83.3%. The use of CDTPS as additional training
bodyText ||| data increased f-scores of the two models to 81.5%
bodyText ||| and 83.8%.
subsectionHeader ||| 4.2 Results of Two Strategies for a Better Use
subsectionHeader ||| of CDT
subsubsectionHeader ||| 4.2.1 Instance Pruning
bodyText ||| We used unlabeled dependency f-score of each
bodyText ||| converted tree as the criterion to rank trees in
bodyText ||| CDTPS and then kept only the top M trees
bodyText ||| with high f-scores as training data for pars-
bodyText ||| ing, resulting in a corpus CDTPMS. M var-
bodyText ||| ied from 100% xICDTPSI to 10% xICDTPSI
bodyText ||| with 10%xICDTPSI as the interval. ICDTPSI
footnote ||| 6The setting for our conversion algorithm in this experi-
footnote ||| ment was as same as that in Section 3.1. In addition, we used
footnote ||| CTB training set as CPS,trï¿½iï¿½, and CTB development set as
footnote ||| CPS,dev.
table ||| 		All the sentences
table ||| 		LR	LP	F
table ||| Models	Training data	(%)	(%)	(%)
table ||| GP	CTB + CDTa S	81.4	82.8	82.1
table ||| RP	CTB + CDTa S	83.0	85.4	84.2
tableCaption ||| Table 6: Results of the generative parser and the
tableCaption ||| reranking parser on the test set, when trained on
tableCaption ||| an optimal combination of CTB training set and
tableCaption ||| converted CDT.
bodyText ||| is the number of trees in CDTPS. Then
bodyText ||| we tuned the value of M by optimizing the
bodyText ||| parserâs performance on the development set with
bodyText ||| 10 x CTB+CDTPMS as training data. Finally the op-
bodyText ||| timal value of M was 100%x I CDT I. It indicates
bodyText ||| that even removing very few converted trees hurts
bodyText ||| the parsing performance. A possible reason is that
bodyText ||| most of non-perfect parses can provide useful syn-
bodyText ||| tactic structure information for building parsing
bodyText ||| models.
subsubsectionHeader ||| 4.2.2 Score Interpolation
bodyText ||| We used ï¿½Score(xj,t)7 to replace Score(xj,t) in
bodyText ||| our conversion algorithm and then ran the updated
bodyText ||| algorithm on CDT. Let CDTP S denote the con-
bodyText ||| verted CDT by this updated conversion algorithm.
bodyText ||| The values of A (varying from 0.0 to 1.0 with 0.1
bodyText ||| as the interval) and the CTB weight (including 1,
bodyText ||| 2, 5, 10, 20, 50) were simultaneously tuned on the
bodyText ||| development set8. Finally we decided that the op-
bodyText ||| timal value of A was 0.4 and the optimal weight of
bodyText ||| CTB was 1, which brought the best performance
bodyText ||| on the development set (an f-score of 86.1%). In
bodyText ||| comparison with the results in Section 4.1, the
bodyText ||| average index of converted trees in 200-best list
bodyText ||| increased to 2, and their average unlabeled depen-
bodyText ||| dency f-score dropped to 65.4%. It indicates that
bodyText ||| structures of converted trees become more consis-
bodyText ||| tent with the target grammar, as indicated by the
bodyText ||| increase of average index of converted trees, fur-
bodyText ||| ther away from the source grammar.
bodyText ||| Table 6 provides f-scores of the generative
bodyText ||| parser and the reranker on the test set, when
bodyText ||| trained on CTB and CDTP S. We see that the
bodyText ||| performance of the reranking parser increased to
footnote ||| 7Before calculating	ï¿½Score(xi,t),	we normal-
footnote ||| ized the values of Prob(xi,t) for each N-best list
footnote ||| by	(1)	Prob(xi,t)=Prob(xi,t)-Min(Prob(xi,*)),
footnote ||| (2)Prob(xi,t)=Prob(xi,t)/Max(Prob(xi,*)),	resulting
footnote ||| in that their maximum value was 1 and their minimum value
footnote ||| was 0.
footnote ||| 8Due to space constraint, we do not show f-scores of the
footnote ||| parser with different values of A and the CTB weight.
page ||| 51
table ||| 		All the sentences
table ||| 		LR	LP	F
table ||| Models	Training data	(%)	(%)	(%)
table ||| Self-trained GP	10 ï¿½ T+10 ï¿½ D+P	83.0	84.5	83.7
table ||| Updated RP	CTB+CDT. S	84.3	86.1	85.2
tableCaption ||| Table 7: Results of the self-trained gen-
tableCaption ||| erative parser and updated reranking parser
tableCaption ||| on the test set. 10 x T+10 x D+P stands for
tableCaption ||| 10 x CTB+10 x CDTP s+PDC.
bodyText ||| 84.2% f-score, better than the result of the rerank-
bodyText ||| ing parser with CTB and CDTPS as training data
bodyText ||| (shown in Table 5). It indicates that the use of
bodyText ||| probability information from the parser for tree
bodyText ||| conversion helps target grammar parsing.
subsectionHeader ||| 4.3 Using Unlabeled Data for Parsing
bodyText ||| Recent studies on parsing indicate that the use of
bodyText ||| unlabeled data by self-training can help parsing
bodyText ||| on the WSJ data, even when labeled data is rel-
bodyText ||| atively large (McClosky et al., 2006a; Reichart
bodyText ||| and Rappoport, 2007). It motivates us to em-
bodyText ||| ploy self-training technique for Chinese parsing.
bodyText ||| We used the POS tagged People Daily corpus9
bodyText ||| (Jan. 1998âJun. 1998, and Jan. 2000âDec.
