note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| based on aggregation of her personal and public sources.
bodyText ||| In order to verify the fundamental concepts on which
bodyText ||| SONAR relies, namely aggregation and the usage of public
bodyText ||| sources, we conducted three experiments. The first
bodyText ||| experiment examines different social networks derived
bodyText ||| from four of SONAR’s implemented public data sources.
bodyText ||| The second experiment involves a user study in which over
bodyText ||| a hundred users evaluated different buddylists derived from
bodyText ||| 24 different combinations of SONAR public as well as
bodyText ||| personal data sources. For the third experiment we
bodyText ||| interviewed 12 users about their usage of a SONAR UI and
bodyText ||| their thoughts on the different buddylists. The experiments
bodyText ||| examine the diversity of the public data sources, their value
bodyText ||| to the user, and whether they add value over personal data
bodyText ||| sources. Finally, we checked whether there exists an ideal
bodyText ||| weighting scheme of the sources, which may serve as the
bodyText ||| system’s default, and followed users as they were
bodyText ||| composing their own ideal weighting scheme.
bodyText ||| We note that the experiments in this paper examine
bodyText ||| buddylists and social networks generally, while, in practice,
bodyText ||| different semantics may yield different social networks. For
bodyText ||| example, the network consisting of users’ friends may be
bodyText ||| different from the network of people with whom users
bodyText ||| communicate most frequently, which may be different from
bodyText ||| the network of individuals with whom users share similar
bodyText ||| interests.
bodyText ||| The rest of the paper is organized as follows. The next
bodyText ||| section surveys related work, followed by a more detailed
bodyText ||| description of SONAR and typical usage scenarios. We
bodyText ||| then describe our hypotheses, research method, and results.
bodyText ||| The final section discusses conclusions and future work.
sectionHeader ||| RELATED WORK
bodyText ||| The formal discipline that studies interpersonal connections
bodyText ||| is called social network analysis (SNA) [29]. A social
bodyText ||| network (SN) is a graph that represents social entities and
bodyText ||| relationships between them. SNs have often been studied
bodyText ||| through the use of social science tools such as surveys and
bodyText ||| interviews, which require a great deal of human labor. The
bodyText ||| evolution of the Web, which is often referred to as Web 2.0
bodyText ||| [24], has introduced new possibilities for SN research.
subsectionHeader ||| Gathering SN Data from Computer Applications
bodyText ||| There are several popular SN services on the Web, which
bodyText ||| help to connect friends and business acquaintances1. These
bodyText ||| services define an explicit SN. Users directly specify who
bodyText ||| their friends are and often manually state the nature of the
bodyText ||| connection. The manual nature of these networks is perhaps
bodyText ||| their main disadvantage. Only part of the user’s actual SN
bodyText ||| will be registered in any such application, and since
bodyText ||| explicitly entering social data is tedious, even users who are
bodyText ||| registered are likely to have incomplete information about
bodyText ||| their network. These applications are useful for SONAR,
bodyText ||| providing very accurate, even if partial, social connections.
bodyText ||| The wealth of information in computer databases and
bodyText ||| applications is a good source for automatically obtaining
bodyText ||| various kinds of SN data without burdening users with the
bodyText ||| manual management of their network. For example,
bodyText ||| Wellman views computer networks as SNs and surveys
bodyText ||| how computer networks reflect and affect traditional SNs
footnote ||| 1 {myspace, facebook, linkedin, orkut, friendster}.com
page ||| 1018
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| [30]. In addition, data mining can discover subtle details of
bodyText ||| a relationship that a person may not be able to provide
bodyText ||| accurately. For example, the rate of email communication
bodyText ||| can be used to estimate the strength of social ties [19].
bodyText ||| Email is commonly used to extract SNs. Extraction of the
bodyText ||| sociocentric SN from email logs has been demonstrated in
bodyText ||| [28] in order to automatically identify communities. Other
bodyText ||| tools, such as ContactMap [19] and Personal Map [8],
bodyText ||| analyze emails to extract the user’s egocentric SN. Email is
bodyText ||| one of the important sources for SONAR, but it is definitely
bodyText ||| not the only one. SONAR’s philosophy states that there is
bodyText ||| much important social information outside the inbox.
bodyText ||| Another common source for SN information is the Web.
bodyText ||| Adamic et al. [1] describe techniques for mining links and
bodyText ||| text of homepages to predict social relationships. The
bodyText ||| strength of a connection between two people can be
bodyText ||| estimated by querying a search engine with their names and
bodyText ||| checking for web pages where they co-occur [14,17]. Since
bodyText ||| various data sources such as papers, organizational charts,
bodyText ||| and net-news archives are available on the internet or
bodyText ||| intranet, they too could be mined by web searching [14].
bodyText ||| SN extraction has been conducted on many other sources,
bodyText ||| including Usenet data [27] and Instant Messaging logs [25].
subsectionHeader ||| Public vs. Personal Data Sources
bodyText ||| Sociocentric network approaches may encounter difficulties
bodyText ||| using personal data sources due to privacy concerns. For
bodyText ||| example, mining email, even when results are displayed in
bodyText ||| aggregated forms, might expose private information [14].
bodyText ||| One solution is to limit data mining to public sources. For
bodyText ||| example, Aleman-Meza et al. [2] chose to aggregate only
bodyText ||| publicly available SN data due to privacy concerns.
bodyText ||| However, ignoring private information may exclude
bodyText ||| important data. An alternative solution is to have users opt-
bodyText ||| in to explicitly give permission to make certain private
bodyText ||| information public. For example, Smarr [26] suggests
bodyText ||| requiring users to opt-in to publish their information to a
bodyText ||| public Friend of a Friend (FOAF) file [10]. However, opt-in
bodyText ||| requires action and motivation on the part of users – so
bodyText ||| those publishing their FOAF files will cover only a small
bodyText ||| percentage of organization members.
bodyText ||| SONAR can aggregate both private and public sources,
bodyText ||| without exposing private data to other people, or requiring
bodyText ||| users to opt-in.
subsectionHeader ||| Aggregating SN Data from Different Sources
bodyText ||| No single archive or tool captures all our social relations
bodyText ||| with others. Aggregating SN data from several sources may
bodyText ||| improve the completeness of constructed SNs. For example,
bodyText ||| the ContactMap developers plan to extend their email
bodyText ||| mining tool to use sources such as voice mail and phone
bodyText ||| logs due to user complaints on the absence of phone-based
bodyText ||| contacts [19].
bodyText ||| Several tools combine different sources to generate better
bodyText ||| SNs. In [5], an email database is used to extract people
bodyText ||| names and email addresses – these are then searched on the
bodyText ||| Web, to extract keywords and to find additional related
bodyText ||| people for which the search is recursively applied. Web
bodyText ||| mining, face-to-face communication, and manually entering
bodyText ||| one’s SN are combined in [12] to construct the SN in a
bodyText ||| Japanese conference.
bodyText ||| A basic problem of aggregation is deciding on the
bodyText ||| algorithm to be used for combining data from various
bodyText ||| sources. A simple approach is to compute the aggregation
bodyText ||| as a linear combination of the individual sources. Cai et al.
bodyText ||| [4] propose a method for learning the optimal linear
bodyText ||| combination given input from the user that describes the
bodyText ||| user’s expectation. However, this method requires the user
bodyText ||| to specify the query in ways which may prove to be
bodyText ||| complex. Matsuo et al. [16] extract and integrate SNs from
bodyText ||| several different sources. They provide a rough sketch for
bodyText ||| integrating the networks into a single one by using a linear
bodyText ||| combination of the different networks. Our research tests
bodyText ||| whether there is a weighting scheme which is appropriate to
bodyText ||| most users, for a specific scenario.
subsectionHeader ||| Evaluation of Social Network Quality
bodyText ||| A common approach for validating an automatically
bodyText ||| constructed SN is to ask the people in the network about its
bodyText ||| correctness, usually by questionnaires that require rating
bodyText ||| various aspects of the SNs and/or providing open-ended
bodyText ||| feedback [8,19,28].
bodyText ||| Another possible approach used in SNA is to compare the
bodyText ||| automatically constructed network to external data. For
bodyText ||| example, Aleman-Meza et al. [2] detect conflict of interests
bodyText ||| between paper authors and referees by integrating data from
bodyText ||| several SNs. Their evaluation included comparison to data
bodyText ||| from an external source: a different existing system for
bodyText ||| detecting conflict of interest. The problem with this method
bodyText ||| of evaluation is that it is possible only if there exists a
bodyText ||| relevant external source, which can be used for comparison.
bodyText ||| This paper includes three types of evaluation. In the
bodyText ||| absence of an external source to compare to when
bodyText ||| evaluating an aggregated network, our first evaluation
bodyText ||| compares the networks obtained from individual sources to
bodyText ||| the other sources, to measure their uniqueness. The second
bodyText ||| evaluation is a user evaluation, where we evaluate and
bodyText ||| compare numerous linear combinations of different sources.
bodyText ||| The third evaluation employs interviews in order to receive
bodyText ||| user feedback on individual sources and their aggregation.
sectionHeader ||| SONAR IN DETAIL
bodyText ||| The purpose of the SONAR API is to provide open
bodyText ||| interfaces to SN data, “locked up” in a multitude of
bodyText ||| systems. SONAR specifies a way to share weighted SNs as
bodyText ||| relation lists. Clients may retrieve information about how
bodyText ||| people are connected based on different parameters. Like
bodyText ||| RSS, our goal is to make a read-only interface, simple to
bodyText ||| implement by the provider and consume by the client.
page ||| 1019
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| The first premise behind the SONAR API is that it is
bodyText ||| necessary to present the strength of ties between people. In
bodyText ||| contrast to APIs for specific SN applications like Facebook
bodyText ||| [6], SONAR does not model any specific semantics of the
bodyText ||| underlying system like “friending” or “communities”.
bodyText ||| Instead, it asks providers to boil down these semantics into
bodyText ||| floating point numbers between 0 and 1. SONAR
bodyText ||| aggregators combine results from multiple systems using a
bodyText ||| simple weighted average. This approach enables diverse
bodyText ||| applications from instant messaging clients through
bodyText ||| publication databases to SN sites to provide data supporting
bodyText ||| an aggregated view of relationships among people. SONAR
bodyText ||| clients are oblivious to the types of relations – when
bodyText ||| querying for strength of a relationship, all that the client
bodyText ||| sees is people and the weight of their associations.
bodyText ||| Users of aggregated SN data frequently want to understand
bodyText ||| how people are connected, or why a connection is stronger
bodyText ||| than another. To support this need, SONAR allows queries
bodyText ||| for evidence. Evidence is essentially a time-ordered log of
bodyText ||| entries, originating from each of the providers. It may
bodyText ||| include comments posted by one user in the other user’s
bodyText ||| blog, email messages or chat transcripts between them, or
bodyText ||| web sites that they both bookmarked. According to our
bodyText ||| privacy model, users do not have access to any private
bodyText ||| material of other people through this interface—it just
bodyText ||| organizes information they already had access to before.
subsectionHeader ||| SONAR API Specification
bodyText ||| We have implemented SONAR as a REST API. The API
bodyText ||| has four methods. The first three are fetching weighted
bodyText ||| people relationships, while the fourth provides evidence for
bodyText ||| connections. The methods are summarized in Table 1.
subsectionHeader ||| SONAR Aggregator
bodyText ||| SONAR is designed to enable an aggregator component
bodyText ||| that merges results from multiple providers. Like an HTTP
bodyText ||| proxy, the aggregator protocol is in most ways identical to
bodyText ||| the protocol for interacting with a SONAR provider. In fact,
bodyText ||| clients communicate with aggregators the exact same way
bodyText ||| they do with primary providers – through the SONAR API.
bodyText ||| The aggregator is configured to connect to one or more
bodyText ||| providers. When a request is received, the aggregator
bodyText ||| forwards it to each provider. It then processes the results by
bodyText ||| computing a weighted average and returns the result to the
bodyText ||| user. The original results from the different sources remain
bodyText ||| transparent to the user.
table ||| Name	Parameters*	Output
table ||| Strength	source (user) , target (user)	Float (0.0 to 1.0)
table ||| Relations	user(s), limit, offset	<list of people>
table ||| Network	user(s), degrees, threshold	<graph of people>
table ||| Evidence	users(s), limit, offset	<list of entries>
tableCaption ||| Table 1. SONAR API methods*
footnote ||| * All methods also accept parameters since and until. Since limits results to
footnote ||| those after the given date, until limits to those before the given date.
subsectionHeader ||| SONAR Providers
bodyText ||| We have implemented SONAR providers of over ten
bodyText ||| sources in our organizational intranet. The following four
bodyText ||| systems, which serve as public sources, were used in our
bodyText ||| experiments: BlogCentral (IBM’s corporate blogging
bodyText ||| system [14]), Fringe, for people tagging and friending [7],
bodyText ||| Dogear, for social bookmarking [19], and the IBM
bodyText ||| organizational chart.
bodyText ||| For the blog system, social relations are derived from the
bodyText ||| comments made to one’s blog. This information is an
bodyText ||| indication of the people who leave a trace in a blog, which
bodyText ||| is likely to imply that the author is aware of them. Fringe
bodyText ||| supports extraction of social information of both friending
bodyText ||| and tagging. Friending is a reciprocal action: one person
bodyText ||| invites the other to be friends and they are defined friends
bodyText ||| only if the invitation is accepted. Tagging people is one
bodyText ||| sided, yet indicates some level of connection. The SONAR
bodyText ||| provider that extracts SNs from Dogear is based on
bodyText ||| bookmark similarity information. The connections returned
bodyText ||| by this provider are those of people who bookmark the
bodyText ||| same pages. From the organizational chart we extracted, for
bodyText ||| each user, the user’s manager as well as the user’s direct
bodyText ||| peers - all employees who have the same manager.
bodyText ||| We have implemented several client-side SONAR
bodyText ||| providers that have access to the user’s private data. The
bodyText ||| experiments in this paper use two of these – email and chat
bodyText ||| transcripts. The outcome of these providers is only visible
bodyText ||| to the owner, visualizing an egocentric map of connections,
bodyText ||| but not revealing any private information to others.
bodyText ||| For the email information, our client requests the user’s
bodyText ||| password and then crawls the mailbox and collects details
bodyText ||| of people the user corresponds with. The chat information is
bodyText ||| easily accessible to our SONAR client, as the client is
bodyText ||| implemented as a plugin of Lotus Sametime, IBM’s chat
bodyText ||| system. We extract social information from the history of
bodyText ||| chat transcripts, as these indicate the people a person
bodyText ||| actually chats with.
subsectionHeader ||| SONAR Usage Scenarios
bodyText ||| To demonstrate the potential usage of the SONAR API, we
bodyText ||| created SonarBuddies – a plugin for Lotus Sametime. The
bodyText ||| plugin presents an alternative buddylist, which consists of
bodyText ||| the people most strongly related to the user, ordered by
bodyText ||| their strength of connection (see Figure 1(a)).
bodyText ||| Additional features include showing related people to any
bodyText ||| buddy on the list, the connection points (evidence) with a
bodyText ||| buddy (Figure 1(b)), and people who are connected to both
bodyText ||| the user and a buddy (Figure 1(c)).
bodyText ||| The SonarBuddies extension has a preference page in which
bodyText ||| the user may choose the relative weight of each data source,
bodyText ||| the number of buddies to display, and the number of days in
bodyText ||| history to consider. When adjusting the preferences, the
bodyText ||| user may see a preview of the buddylist. This enables fine-
bodyText ||| tuning the selection of weights (see Figure 2).
page ||| 1020
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
figureCaption ||| Figure 1. SONARBuddies UI
bodyText ||| SonarBuddies is just one example of a potential SONAR
bodyText ||| client. Below, are a few examples of more advanced
bodyText ||| scenarios that SONAR may support:
listItem ||| •	Expertise location (e.g., [14,18,31]) – SONAR, integrated
listItem ||| with search, may be used for scenarios of expertise location,
listItem ||| such as the basic “who knows about <topic>?”, but also
listItem ||| “who do I know that knows about <topic>?”, and the related
listItem ||| “who do I mostly communicate with about <topic>?”
listItem ||| •	Automatic completion of names (e.g., [21]) and groups–
listItem ||| completing a single string to a name may sort alternatives by
listItem ||| strength of social ties and relevance to the context. Moreover,
listItem ||| the completion of a whole group can be supported - e.g., if
listItem ||| one participates in a project of 10 people, typing the names of
listItem ||| 3 of them may automatically be completed to the entire
listItem ||| group. This may also be useful for resolving “who's missing
listItem ||| from the mail I’m about to send?”
listItem ||| •	Finding social paths to someone who is not directly related
listItem ||| to the user (e.g., [15])
listItem ||| •	Enhancing SN services by recommending people to connect
listItem ||| to based on other evidence and by enriching information
listItem ||| about existing friends: connection strength, evidence, and
listItem ||| temporal characteristics of relationships
sectionHeader ||| SONAR EXPERIMENTS
bodyText ||| SonarBuddies has been made available for download at the
bodyText ||| IBM intranet and over 1800 users downloaded and used it.
bodyText ||| SonarBuddies is mainly an egocentric application and it
bodyText ||| could be assumed that its success is due to heavy usage of
bodyText ||| private data sources by the users. However, from the usage
bodyText ||| data it is evident that public sources are explored. We
bodyText ||| envision the SONAR API as being heavily used by
bodyText ||| sociocentric applications and thus the interest in public data
bodyText ||| sources was encouraging.
bodyText ||| This section states our hypotheses, describes our
bodyText ||| experiments, and discusses the results.
subsectionHeader ||| Hypotheses
subsubsectionHeader ||| Public Data Sources
bodyText ||| The first group of hypotheses focuses on public data
bodyText ||| sources and their influence on the users’ SN. Public data
bodyText ||| sources are different in nature, ranging from social
bodyText ||| bookmarking systems to blogs and therefore we assume:
listItem ||| (1) Public data sources provide diverse SN information.
bodyText ||| There is no single public data source that holds all SN
bodyText ||| information, and each public source makes a
bodyText ||| significant contribution to the overall SN information.
bodyText ||| Moreover, as part of the user activities are performed
bodyText ||| “outside the mailbox”, the public sources provide valuable
bodyText ||| SN information which is not reflected in private sources.
bodyText ||| We thus raise the following 2 hypotheses:
listItem ||| (2) Public data sources provide SN information that is
listItem ||| valuable to the user.
listItem ||| (3) Public data sources enrich egocentric SN information.
listItem ||| By combining private sources with public sources, one
listItem ||| can potentially get a more complete picture of the SN.
subsubsectionHeader ||| Data Source Aggregation
bodyText ||| An additional hypothesis focuses on aggregation of SN
bodyText ||| information. A key concept behind SONAR is the ability to
bodyText ||| consolidate social information from multiple data sources,
bodyText ||| assuming that there is real value in such aggregation. The
bodyText ||| following hypothesis is explored:
listItem ||| (4) Aggregated SN information is of greater value to users
listItem ||| than information that originates from any single source.
bodyText ||| A SONAR client based on this hypothesis would need to
bodyText ||| use some weight combination in order to aggregate the
bodyText ||| different sources. While the user may have control over the
bodyText ||| weights, a SONAR client should have a default weight
bodyText ||| combination that would be reasonably good for all users for
bodyText ||| the most common scenario (such as finding the people the
bodyText ||| user communicates with the most). During our experiments,
bodyText ||| we wish to study the following hypothesis:
listItem ||| (5) For a basic scenario, there exists a weighting scheme
listItem ||| by which an aggregation of data sources most
listItem ||| reasonably represents most users’ SN.
bodyText ||| If this hypothesis is correct, our experiments may reveal the
bodyText ||| weighting scheme that we should use as default.
bodyText ||| Finally, an even more valuable aggregation of SNs can be
bodyText ||| achieved if users would share some of their private SN with
bodyText ||| others. While people are hesitant to share their private
bodyText ||| information, they may agree to share the buddylists created
bodyText ||| based on it, and thus allow a sociocentric view that is
bodyText ||| enhanced by private information. We hypothesize:
listItem ||| (6) People would be willing to share the buddylists created
listItem ||| based on their private sources
subsectionHeader ||| Research Method
bodyText ||| In order to examine our hypotheses, we conducted three
bodyText ||| experiments on SN information collected by SONAR.
subsubsectionHeader ||| Experiment 1: Information from Public Sources
bodyText ||| For the first experiment we gathered information from the
bodyText ||| four public sources. Our goal was to compare the lists of
bodyText ||| connected people from the different sources (hypothesis
bodyText ||| (1)) and show that no source covers the others and may thus
bodyText ||| serve as a single source of information (hypothesis (4)). The
bodyText ||| collaboration tools in IBM, like many Web 2.0 services on
page ||| 1021
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| the internet, are still in their diffusion phase and are not yet
bodyText ||| used by all. However, they are gaining momentum and have
bodyText ||| become quite prevalent. As we wanted to compare all
bodyText ||| sources, we decided to focus on users who use all of the
bodyText ||| chosen data sources. While such users are not a statistical
bodyText ||| sample, we refer to them as the early adopters of the
bodyText ||| technologies, and use their figures as a reflection of the
bodyText ||| potential of SN information that may be extracted from
bodyText ||| public sources as Web 2.0 technologies become ubiquitous
bodyText ||| [24].
bodyText ||| We started by locating the top 1000 heavy users of each of
bodyText ||| the tools (BlogCentral, Fringe, and Dogear). For blogs, we
bodyText ||| defined heavy users as those who received most comments
bodyText ||| in their blog. For Fringe we took the 1000 users with the
bodyText ||| largest lists of connections. For Dogear, the 1000 people
bodyText ||| with most bookmarks. Once we had these three lists, we
bodyText ||| took their union and received a list of 1761 users. We then
bodyText ||| obtained results from the different SONAR providers for all
bodyText ||| 1761 users, and examined those users who had a nonempty
bodyText ||| result in all four sources (the fourth source being the
bodyText ||| organizational chart). We ended up with a list of 273 such
bodyText ||| users. For every one of the four public sources and every
bodyText ||| one of the 273 users, we calculated the number of unique
bodyText ||| contributions of this source over the union of all other three
bodyText ||| sources.
subsubsectionHeader ||| Experiment 2: Online Questionnaire for Ranking Buddylists
bodyText ||| For the second experiment we implemented a dedicated
bodyText ||| plugin for Lotus Sametime. The plugin was easy to install
bodyText ||| and presented a questionnaire containing three sets of up to
bodyText ||| eight buddylists that were aggregated from the different
bodyText ||| sources and tailored specifically for the user. The user could
bodyText ||| not tell what the sources of the different lists had been.
bodyText ||| Before starting the experiment, we asked the user to
bodyText ||| imagine setting up an “ideal” buddylist for communication
bodyText ||| inside IBM. By this request, we framed the experiment to a
bodyText ||| basic scenario. The user was then asked to rank the
bodyText ||| buddylists by how close they were to representing the ideal
bodyText ||| buddylist. The scale for ranking was 1-4 (where “1” is
bodyText ||| good, and “4” is bad). In addition, we asked the user to
bodyText ||| mark a single buddylist as the “best” buddylist – relative to
bodyText ||| the other lists in that set.
bodyText ||| The first set of up to eight buddylists was composed solely
bodyText ||| from public sources. Our goal with this set was to examine
bodyText ||| the value of extracting SN information from public sources
bodyText ||| (hypothesis (2)), and to compare the quality of lists created
bodyText ||| by aggregation of different sources vs. the quality of lists
bodyText ||| created from a single source. The weight combinations of
bodyText ||| sources used in this set are displayed in the leftmost
bodyText ||| columns of Table 2 (1-8). We use the term “up to eight
bodyText ||| lists”, since if two different combinations created two
bodyText ||| identical lists (in both content and order), we only presented
bodyText ||| them once. If the user voted “best” for a list that was
bodyText ||| created from more than one combination, we added a vote
bodyText ||| to all these combinations.
bodyText ||| The second set of buddylists was also focused on public
bodyText ||| sources. The goal with this set was to learn whether a
bodyText ||| specific weight combination is preferred by most users and
bodyText ||| may serve as a default (hypothesis (5)). The weight
bodyText ||| combinations of sources used in this set are displayed in the
bodyText ||| rightmost columns of Table 2 (9-16).
bodyText ||| The last set of buddylists introduced information gathered
bodyText ||| from the user’s private sources. The goal of this set was to
bodyText ||| examine the value of information public sources add over
bodyText ||| private sources (hypothesis (3)), as well as to study the
bodyText ||| effect aggregation has on the lists (hypothesis (4)) –
bodyText ||| aggregation of private sources, and aggregation of a mix of
bodyText ||| private and public sources. The weight combinations of
bodyText ||| sources used in this set are displayed in Table 5 (17-24).
bodyText ||| Our plugin reported the user ranking of the buddylists to a
bodyText ||| dedicated server that produced a report with all results. The
bodyText ||| results visible to us did not contain any private information
bodyText ||| nor could we see the buddylists, we only examined the
bodyText ||| ranks (1-4) and the vote for best list in each set.
subsubsectionHeader ||| Experiment 3: Sliders UI for Personal Weight Combination
bodyText ||| A set of interviews we conducted, helped us examine
bodyText ||| hypotheses (2), (4), and (6), as well as hypothesis (5). It
bodyText ||| also gave us some insight about how people perceive their
bodyText ||| SN and what they feel about our UI.
