title ||| A Pseudo Random Coordinated Scheduling Algorithm for
bodyText ||| A pair of nodes can start exchanging user data packets at a check-
bodyText ||| point, which can expand through the slots following the checkpoint.
bodyText ||| The nodes remain active on the current link following a check-
bodyText ||| point until there is user data to be transmitted or one of them has to
bodyText ||| leave in order to attend a checkpoint on one of its other links. Af-
bodyText ||| ter a POLL/NULL packet pair has been exchanged indicating that
bodyText ||| there is no more user data left the nodes switch off their transmit-
bodyText ||| ters/receivers and remain idle until a next checkpoint comes on one
bodyText ||| of their links. However, during the communication any of the nodes
bodyText ||| can leave in order to attend a coming checkpoint on one of its other
bodyText ||| links. After one of the nodes has left the remaining peer will realize
bodyText ||| the absence of the node and will go idle until the time of its next
bodyText ||| checkpoint. If the master has left earlier the slave will realize the
bodyText ||| absence of the master at the next master-to-slave slot by not receiv-
bodyText ||| ing the expected poll. In the worst case the master has left before
bodyText ||| receiving the last packet response from the slave, which can be a 5
bodyText ||| slot packet in which case the slave wastes 5+1 slots before realiz-
bodyText ||| ing the absence of the master. Similarly, if the master does not get
bodyText ||| a response from the slave it assumes that the slave has already left
bodyText ||| the checkpoint and goes idle until its next checkpoint. Note that the
bodyText ||| master may also waste 5+1 slots in the worst case before realizing
bodyText ||| the absence of the slave.
bodyText ||| A node stores the current length of the base checking interval and
bodyText ||| the time of the next checkpoint for each of its Bluetooth links sep-
bodyText ||| arately. For its ith link a node maintains the variable Tcheck to
bodyText ||| store the length of the current base checking period in number of
bodyText ||| frames and the variable t(i)
bodyText ||| check, which stores the Bluetooth clock
bodyText ||| of the master at the next checkpoint. After passing a checkpoint
bodyText ||| the variable thheck is updated to the next checkpoint by running
bodyText ||| the pseudo random generator (PseudoChkGen) with the current
bodyText ||| value of the master’s clock t(i) and the length of the base checking
bodyText ||| period Tcheck and with the MAC address of the slave A(i)
bodyText ||| slave as in-
bodyText ||| put parameters; tcizeck = PseudoChkGen(Tcheck, A(i)slave, t(i)).
bodyText ||| The procedure PseudoChkGen is described in the Appendix.
bodyText ||| There is a maximum and minimum checking interval Tmax =
bodyText ||| 2fmax and Tmin = 2fmin, respectively. The length of the check-
bodyText ||| ing period must be a power of 2 number of frames and it must take
bodyText ||| a value from the interval [2fmin, 2fmax].
subsectionHeader ||| 5.3 Increasing and Decreasing Checking In-
subsectionHeader ||| tensity
bodyText ||| The increase and decrease procedures are used to adjust the check-
bodyText ||| ing intensity of a node according to the traffic intensity and to the
bodyText ||| availability of the peer device. Each node decides independently
bodyText ||| about the current checking intensity based on traffic measurements
bodyText ||| at checkpoints.
bodyText ||| Since the time spent by a node on a link is proportional to the ratio
bodyText ||| of the number of checkpoints on that link and the number of check-
bodyText ||| points on all links of the node, the bandwidth allocated to a link can
bodyText ||| be controlled by the intensity of checkpoints on that link. This can
bodyText ||| be shown by the following simple calculation.
bodyText ||| Let us assume that the node has L number of links and assume
bodyText ||| further that for the base checking periods on all links of the node
bodyText ||| it holds that Tmin :5 T(i)
bodyText ||| check < Tmax, Vi = 1, ... , L. Then the
bodyText ||| average number of checkpoints within an interval of length Tmaxis
equation ||| L
equation ||| N = 1 T ,)ax  , and the average time between two consecutive
equation ||| Tcheck
equation ||| checkpoints is
equation ||| t=	Tmax	=		1
equation ||| 	N
equation ||| 					,
equation ||| 			L	1  Th
equation ||| 				check
equation ||| 			i=1
bodyText ||| provided that the pseudo random generator produces a uniformly
bodyText ||| distributed sequence of checkpoints. Then, the share of link j from
bodyText ||| the total capacity of the node is
bodyText ||| A node has to measure the utilization of checkpoints on each of
bodyText ||| its links separately in order to provide input to the checking inten-
bodyText ||| sity increase and decrease procedures. According to the algorithm
bodyText ||| a given checkpoint is considered to be utilized if both nodes have
bodyText ||| shown up at the checkpoint and at least one Bluetooth packet carry-
bodyText ||| ing user data has been transmitted or received. If there has not been
bodyText ||| a successful poll at the checkpoint due to the unavailability of any
bodyText ||| of the nodes or if there has been only a POLL/NULL packet pair
bodyText ||| exchange but no user data has been transmitted, the checkpoint is
bodyText ||| considered to be unutilized. We note that due to packet losses the
bodyText ||| utilization of a given checkpoint might be interpreted differently by
bodyText ||| the nodes. However, this does not impact correct operation of the
bodyText ||| algorithm.
equation ||| .
equation ||| rj =
equation ||| 1/T(j) check
equation ||| L
equation ||| 1
equation ||| T(i)
equation ||| i=1 check
bodyText ||| To measure the utilization of checkpoints p(i) on the ith link of the
bodyText ||| node we employ the moving average method as follows. The uti-
bodyText ||| lization of a checkpoint equals to 1 if it has been utilized, otherwise
bodyText ||| it equals to 0. If the checkpoint has been utilized the variable p(i)
bodyText ||| is updated as,
equation ||| p(i) = quti • p(i) + (1 — quti) • 1;
bodyText ||| if the checkpoint has not been utilized it is updated as,
bodyText ||| p(i) = quti • p(i) + (1 — quti) • 0,
bodyText ||| where 0 < quti < 1 is the time scale parameter of the moving
bodyText ||| average method. A further parameter of the utilization measure-
bodyText ||| ment is the minimum number of samples that have to be observed
bodyText ||| before the measured utilization value is considered to be confident
bodyText ||| and can be used as input to decide about increase and decrease of
bodyText ||| checking intensity. This minimum number of samples is a denoted
bodyText ||| by Nsample,min.
bodyText ||| Finally, a node also has to measure its total utilization, which is
bodyText ||| defined as the fraction of time slots where the node has been active
bodyText ||| (transmitted or received) over the total number of time slots. To
bodyText ||| measure the total utilization of a node we employ the moving aver-
bodyText ||| age method again. Each node measures its own utilization p(node)
bodyText ||| and updates the p(node) variable after each Nuti,win number of
bodyText ||| slots as follows:
equation ||| (node) _ (node) (node) (node)
equation ||| p —quti•p +(1—
equation ||| quti )•p (win ),
bodyText ||| where p(win) is the fraction of time slots in the past time window
bodyText ||| of length Nuti,win where the node has been active over the total
bodyText ||| number of time slots Nuti,win.
bodyText ||| If the utilization of checkpoints on link i falls below the lower
bodyText ||| threshold plower, the current base checking period T(i)
bodyText ||| check will be
bodyText ||| doubled. Having a low checkpoint utilization can be either because
bodyText ||| one or both of the nodes have not shown up at all of the checkpoints
bodyText ||| or because there is not enough user data to be transmitted. In either
bodyText ||| cases the intensity of checkpoints has to be decreased. Whenever a
bodyText ||| decrease or increase is performed on link i the measured utilization
bodyText ||| p(i) must be reset.
bodyText ||| Since the parameter T (i)k is one of the inputs to the pseudo ran-
bodyText ||| chec
bodyText ||| dom checkpoint generation process, PseudoChkGen the check-
bodyText ||| points after the decrease will be generated according to the new
bodyText ||| period. Furthermore, due to the special characteristic of the check-
bodyText ||| point generation scheme the remaining checkpoints after the de-
bodyText ||| crease will be a subset of the original checkpoints, which guaran-
bodyText ||| tees that the two nodes can sustain communication independent of
bodyText ||| local changes in checking intensities.
bodyText ||| An example for the checking intensity decrease in case of a node
bodyText ||| pair A and B is shown in Figure 3. First, node A decreases check-
bodyText ||| ing intensity by doubling its current base checking period in re-
bodyText ||| sponse to the measured low utilization. As a consequence node B
bodyText ||| will find node A on average only at every second checkpoint and
bodyText ||| its measured utilization will decrease rapidly. When the measured
bodyText ||| utilization at node B falls below the threshold plower, B realizes
bodyText ||| that its peer has a lower checking intensity and follows the de-
bodyText ||| crease by doubling its current base checking period. Although we
bodyText ||| have not explicitly indicated in the Figure, it is assumed that there
bodyText ||| has been user data exchanged at each checkpoint where both nodes
bodyText ||| were present.
figure ||| checkpoints of A toward B
figure ||| node A reduces the checking
figure ||| intensity, by doubling its base period	checkpoints of B toward A
figure ||| ρ=0.35<ρlower	ρ=0.2	ρ=0.35	ρ=0.5	ρ=0.65 ρ=0.7
figure ||| node B realizes the decrease and
figure ||| doubles its base period
figureCaption ||| Figure 3: Checking intensity decrease
bodyText ||| Recall from the utilization measurement procedure that there is a
bodyText ||| minimum number of checkpoints Nsample,min that has to be sam-
bodyText ||| pled before the measured utilization is considered to be confident
bodyText ||| and can be used to decide about checking intensity decrease. The
bodyText ||| parameter Nsample,min together with the parameter of the mov-
bodyText ||| ing average method quti determine the time scale over which the
bodyText ||| utilization of checkpoints has to be above the threshold plower,
bodyText ||| otherwise the node decreases checking intensity. It might be also
bodyText ||| reasonable to allow that the parameter Nsample,min and the mov-
bodyText ||| ing average parameter quti can be changed after each decrease or
bodyText ||| increase taking into account for example the current checking in-
bodyText ||| tensity, the available resources of the node or the amount of user
bodyText ||| data to be transmitted, etc. However, in the current implementation
bodyText ||| we apply fixed parameter values.
bodyText ||| After a checkpoint where user data has been exchanged (not only a
bodyText ||| POLL/NULL packet pair) checking intensity can be increased pro-
bodyText ||| vided that the measured utilization of checkpoints exceeds the up-
bodyText ||| per threshold pupper and the node has available capacity. Formally
bodyText ||| a checking intensity increase is performed on link i if the following
bodyText ||| two conditions are satisfied: p(i) > pupper and p(node) < piinn T),
bodyText ||| where pupil r is the upper threshold of the total utilization of the
bodyText ||| node. This last condition ensures that the intensity of checkpoints
bodyText ||| will not increase unbounded. The intensity of checkpoints is dou-
bodyText ||| bled at each increase by dividing the current length of the base
bodyText ||| checking period T(n,eck by 2. For typical values of pupper we rec-
bodyText ||| ommend 0.8 < pupper < 0.9 in which case the respective plower
bodyText ||| value should be plower < 0.4 in order to avoid oscillation of in-
bodyText ||| creases and decreases.
bodyText ||| Figure 4 shows an example where node A and B communicate and
bodyText ||| after exchanging user data at the second checkpoint both nodes
bodyText ||| double the checking intensity. In the Figure we have explicitly in-
bodyText ||| dicated whether there has been user data exchanged at a checkpoint
bodyText ||| or not.
figureCaption ||| Figure 4: Checking intensity increase
