note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
bodyText ||| help users? Up until recently these tools have relied on pas-
bodyText ||| sive indicators to alert users. A passive indicator indicates
bodyText ||| a potential danger by changing colors, providing textual in-
bodyText ||| formation, or by other means without interrupting the user’s
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, or
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| CHI 2008, April 5 - 10, 2008, Florence, Italy.
copyright ||| Copyright 2008 ACM 978-1-60558-011-1/08/04...$5.00.
figureCaption ||| Figure 1. The active Internet Explorer 7.0 phishing warning.
figureCaption ||| Figure 2. The passive Internet Explorer 7.0 phishing warning.
bodyText ||| task. However, research has shown that passive indicators
bodyText ||| are failing users because users often fail to notice them or do
bodyText ||| not trust them [23].
bodyText ||| The newest web browsers now include active warnings, which
bodyText ||| force users to notice the warnings by interrupting them. Mi-
bodyText ||| crosoft’s Internet Explorer 7 includes both active and passive
bodyText ||| phishing warnings (Figures 1 and 2, respectively). When IE7
bodyText ||| encounters a confirmed phishing website, the browser will
bodyText ||| display an active warning message giving the user the op-
bodyText ||| tion of closing the window (recommended) or displaying the
bodyText ||| website (not recommended). This warning is a full screen
bodyText ||| error, which turns the URL bar red if the user chooses to dis-
bodyText ||| play the website (Figure 1). The passive indicator, a popup
page ||| 1065
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
figureCaption ||| Figure 3. The active Firefox 2.0 phishing warning.
bodyText ||| dialog box, is displayed to the user when the browser be-
bodyText ||| lieves a website is suspicious (Figure 2), but that website
bodyText ||| has not been verified as being a phishing website (i.e. it does
bodyText ||| not appear on a blacklist). We consider this warning to be
bodyText ||| more passive because it does not give the user any choices,
bodyText ||| nor does it make any recommendations.
bodyText ||| Firefox 2.0 also includes an active phishing warning, which
bodyText ||| was part of the Google Toolbar extension for previous ver-
bodyText ||| sions of Firefox. When a user encounters a confirmed phish-
bodyText ||| ing website, a non-interactive dimmed version of the web-
bodyText ||| site is displayed with an overlayed dialog box. The user is
bodyText ||| given a choice between continuing to the site or leaving. The
bodyText ||| user may also click the red ‘X’ in the corner of the warning,
bodyText ||| which has the same effect as continuing to the website (Fig-
bodyText ||| ure 3).
bodyText ||| In this study we compared the effectiveness of active and
bodyText ||| passive phishing warnings by analyzing them using a warn-
bodyText ||| ing analysis methodology used by researchers in the warning
bodyText ||| sciences field, called the Communication-Human Informa-
bodyText ||| tion Processing Model (C-HIP) model [21].
bodyText ||| This paper makes three contributions. First, it presents the
bodyText ||| results of a study evaluating the effectiveness of active secu-
bodyText ||| rity indicators in current web browsers. Second, it presents
bodyText ||| an analysis of the results using a model from the warning
bodyText ||| sciences. Third, it presents recommendations for improving
bodyText ||| these security indicators such that fewer users fall victim to
bodyText ||| online fraud.
bodyText ||| We first frame our study within the context of previous phish-
bodyText ||| ing and warning research, and then describe the methodol-
bodyText ||| ogy behind our study. We then discuss the results of our
bodyText ||| user study and how effective we determined each warning
bodyText ||| message to be. Finally, we make recommendations based on
bodyText ||| these results for designing more effective security indicators.
sectionHeader ||| BACKGROUND
bodyText ||| In this section we describe previous work related to users’
bodyText ||| susceptibility to phishing, warning indicators used in web
bodyText ||| browsers, and user perceptions of warning messages.
subsectionHeader ||| Phishing Susceptibility
bodyText ||| Despite growing efforts to educate users and create better
bodyText ||| detection tools, users are still very susceptible to phishing
bodyText ||| attacks. Unfortunately, due to the nature of the attacks, it is
bodyText ||| very difficult to estimate the number of people who actually
bodyText ||| fall victim. A 2006 report by Gartner estimated the costs at
bodyText ||| $1,244 per victim, an increase over the $257 they cited in
bodyText ||| a 2004 report [11]. In 2007 Moore and Clayton estimated
bodyText ||| the number of phishing victims by examining web server
bodyText ||| logs. They estimated that 311,449 people fall for phishing
bodyText ||| scams annually, costing around 350 million dollars [15]. An-
bodyText ||| other study in 2007 by Florencio and Herley estimated that
bodyText ||| roughly 0.4% of the population falls for phishing attacks an-
bodyText ||| nually [9].
bodyText ||| Phishing works because users are willing to trust websites
bodyText ||| that appear to be designed well. In a 2001 study on web-
bodyText ||| site credibility, Fogg et al. found that the “look and feel”
bodyText ||| of a website is often most important for gaining a user’s
bodyText ||| trust [10]. A 2006 phishing study by Dhamija et al. found
bodyText ||| that 90% of the participants were fooled by phishing web-
bodyText ||| sites. The researchers concluded that current security indi-
bodyText ||| cators (i.e. the lock icon, status bar, and address bar) are inef-
bodyText ||| fective because 23% of the participants failed to notice them
bodyText ||| or because they did not understand what they meant [7].
bodyText ||| In a similar study, Downs et al. showed participants eight
bodyText ||| emails, three of which were phishing. They found that the
bodyText ||| number of participants who expressed suspicion varied for
bodyText ||| each email; 47% expressed suspicion over a phishing mes-
bodyText ||| sage from Amazon, whereas 74% expressed suspicion over
bodyText ||| a phishing message from Citibank. Those who had inter-
bodyText ||| acted with certain companies in the past were significantly
bodyText ||| more likely to fall for phishing messages claiming to be from
bodyText ||| these companies. Participants were also likely to ignore or
bodyText ||| misunderstand web browser security cues [8].
subsectionHeader ||| Phishing Indicators
bodyText ||| New research has focused on creating new anti-phishing in-
bodyText ||| dicators because existing security indicators have failed. The
bodyText ||| Passpet system, created by Yee et al. in 2006, uses indicators
bodyText ||| so that users know they are at a previously-trusted website.
bodyText ||| Users can store an animal icon within the web browser for
bodyText ||| each trusted site with which they interact. The system will
bodyText ||| only send a password when the user recognizes that the ani-
bodyText ||| mal icons match. Preliminary user testing suggests that this
bodyText ||| system is easy for users to use [25]. Other proposals have
bodyText ||| also been put forth to modify browser chrome to help users
bodyText ||| detect phishing websites. In one system, “synchronized ran-
bodyText ||| dom dynamic boundaries,” by Ye and Smith, the browser
bodyText ||| chrome is modified to blink at a random rate. If the blink
bodyText ||| rate matches a trusted window’s blink rate, the user knows
bodyText ||| that the window in question has not been spoofed [24]. A
bodyText ||| similar solution using a trusted window was also proposed
bodyText ||| by Dhamija and Tygar in 2005. In their system the chrome
bodyText ||| of the browser window contains a colored pattern that must
bodyText ||| be matched with the trusted window. The user knows to rec-
bodyText ||| ognize the trusted window because it contains a personal im-
bodyText ||| age that the user selected during the initial configuration [6].
bodyText ||| Since all of these proposals require the use of complicated
bodyText ||| third-party tools, it’s unclear how many users will actually
bodyText ||| benefit from them. These proposals have only undergone
bodyText ||| minimal user testing in unrealistic environments. User test-
bodyText ||| ing should be performed under real world conditions before
bodyText ||| any new security indicator is recommended.
page ||| 1066
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
bodyText ||| The SiteKey system was introduced in 2005 to simplify au-
bodyText ||| thentication by not forcing the user to install additional soft-
bodyText ||| ware. SiteKey uses a system of visual authentication images
bodyText ||| that are selected by the user at the time of enrollment. When
bodyText ||| the user enters his or her username, the image is displayed.
bodyText ||| If the user recognizes the image as the original shared secret,
bodyText ||| it is safe to enter the password [2]. However, a recent study
bodyText ||| found that 92% of participants still logged in to the website
bodyText ||| using their own credentials when the correct image was not
bodyText ||| present [19]. However, this sample may have been drawn
bodyText ||| from a biased population since others refused to participate,
bodyText ||| citing privacy and security concerns.
bodyText ||| Some argue that the use of extended validation (EV) certifi-
bodyText ||| cates may help users detect phishing websites. An EV cer-
bodyText ||| tificate differs from a standard SSL certificate because the
bodyText ||| website owner must undergo background checks. A regular
bodyText ||| certificate only tells a user that the certificate was granted
bodyText ||| by a particular issuing authority, whereas an EV certificate
bodyText ||| also says that it belongs to a legally recognized company [4].
bodyText ||| The newest version of Microsoft’s Internet Explorer sup-
bodyText ||| ports EV certificates, coloring the URL bar green and dis-
bodyText ||| playing the name of the company. However, a recent study
bodyText ||| found that EV certificates did not make users less likely to
bodyText ||| fall for phishing attacks. The study also found that after
bodyText ||| reading a help file, users were less suspicious of fraudulent
bodyText ||| websites that did not yield warning indicators [13].
bodyText ||| Many web browser extensions for phishing detection cur-
bodyText ||| rently exist. Unfortunately, a recent study on anti-phishing
bodyText ||| toolbar accuracy found that these tools fail to identify a sub-
bodyText ||| stantial proportion of phishing websites [26]. A 2006 study
bodyText ||| by Wu et al. found that the usability of these tools is also
bodyText ||| lacking because many of them use passive indicators. Many
bodyText ||| users fail to notice the indicators, while others often do not
bodyText ||| trust them because they think the sites look trustworthy [23].
sectionHeader ||| A MODEL FOR WARNINGS
bodyText ||| In this paper we will analyze our user study results using
bodyText ||| a model from the warnings sciences. Computer scientists
bodyText ||| can benefit from studies in this field. Many studies have ex-
bodyText ||| amined “hazard matching” and “arousal strength.” Hazard
bodyText ||| matching is defined as accurately using warning messages to
bodyText ||| convey risks—if a warning does not adequately convey risk,
bodyText ||| the user may not take heed of the warning. Arousal strength
bodyText ||| is defined as the perceived urgency of the warning [12].
bodyText ||| To date, few studies have been conducted to evaluate the
bodyText ||| arousal strength of software warnings. In one study of warn-
bodyText ||| ing messages used in Microsoft Windows, researchers found
bodyText ||| that using different combinations of icons and text greatly af-
bodyText ||| fected participants’ risk perceptions. Participants were shown
bodyText ||| a series of dialog boxes with differing text and icons, and
bodyText ||| were instructed to estimate the severity of the warnings us-
bodyText ||| ing a 10-point Likert scale. The choice of icons and words
bodyText ||| greatly affected how each participant ranked the severity.
bodyText ||| The researchers also examined the extent to which individu-
bodyText ||| als will continue to pay attention to a warning after seeing it
bodyText ||| multiple times (“habituation”). They found that users dis-
bodyText ||| missed the warnings without reading them after they had
bodyText ||| seen them multiple times. This behavior continued even
figureCaption ||| Figure 4. Diagram of the different phases of the C-HIP model [21].
bodyText ||| when using a similar but different warning in a different sit-
bodyText ||| uation. The only way of recapturing the user’s attention was
bodyText ||| to increase the arousal strength of the warning [1].
bodyText ||| Wogalter proposed the Communication-Human Information
bodyText ||| Processing Model (C-HIP) for structuring warning research,
bodyText ||| as shown in Figure 4. He suggests that C-HIP be used to
bodyText ||| identify reasons that a particular warning is ineffective [21].
bodyText ||| The C-HIP model begins with a source delivering a warning
bodyText ||| through a channel to a receiver, who receives it along with
bodyText ||| other environmental stimuli that may distract from the mes-
bodyText ||| sage. The receiver goes through five information processing
bodyText ||| steps, which ultimately determine whether the warning re-
bodyText ||| sults in any change in behavior.
bodyText ||| We can ask the following questions to examine the different
bodyText ||| steps in Wogalter’s model [5]:
listItem ||| 1. Attention Switch and Maintenance — Do users notice the
listItem ||| indicators?
listItem ||| 2. Comprehension/Memory — Do users know what the indi-
listItem ||| cators mean?
listItem ||| 3. Comprehension/Memory — Do users know what they are
listItem ||| supposed to do when they see the indicators?
listItem ||| 4. Attitudes/Beliefs — Do they believe the indicators?
listItem ||| 5. Motivation — Are they motivated to take the recommended
listItem ||| actions?
listItem ||| 6. Behavior — Will they actually perform those actions?
listItem ||| 7. Environmental Stimuli — How do the indicators interact
listItem ||| with other indicators and other stimuli?
bodyText ||| Observing users as they complete a task while thinking aloud
bodyText ||| provides insights into most of the above questions. Alterna-
bodyText ||| tively, users can complete tasks and then fill out post-task
bodyText ||| questionnaires or participate in interviews, although these
bodyText ||| require users to remember why they did something and re-
bodyText ||| port it afterwards, and users sometimes say what they think
figure ||| Environmental
figure ||| Stimuli
figure ||| Comprehension
figure ||| Memory
figure ||| Attention
figure ||| Maintenance
figure ||| Motivation
figure ||| Attention
figure ||| Switch
figure ||| Attitudes
figure ||| Beliefs
figure ||| Behavior
figure ||| Channel
figure ||| Delivery
figure ||| Source
page ||| 1067
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
bodyText ||| the researcher wants to hear. In our study of active phishing
bodyText ||| indicators we performed a think-alound experiment followed
bodyText ||| by a post-task questionnaire. We then used the C-HIP model
bodyText ||| to analyze our data.
sectionHeader ||| METHODOLOGY
bodyText ||| In this study participants made online purchases and then
bodyText ||| were told to check their email, whereupon they encountered
bodyText ||| phishing messages we had sent them. We observed partic-
bodyText ||| ipants visit the URLs in these phishing messages, at which
bodyText ||| point the participants were exposed to the web browser warn-
bodyText ||| ing messages. We took note of whether participants read
bodyText ||| these warnings and how they chose to proceed. Finally, par-
bodyText ||| ticipants were given an exit survey.
bodyText ||| The primary purpose of this study was to examine the effec-
bodyText ||| tiveness of phishing warnings found in current web browsers.
bodyText ||| These warnings serve as the last line of defense against a user
bodyText ||| divulging his or her sensitive information to a con artist. In
bodyText ||| other words, prior to these warnings being displayed, it is
bodyText ||| likely that users believe they are visiting legitimate websites.
bodyText ||| Thus, we needed users to fall for the phishing messages we
bodyText ||| sent them during our study so that they would be in a similar
bodyText ||| state of mind when they encountered the warnings. At the
bodyText ||| same time, we needed our attack to be plausible. Thus, we
bodyText ||| simulated a spear phishing attack. Spear phishing “involves
bodyText ||| personalized emails or emails sent to a specifically targeted
bodyText ||| group, such as employees of a particular organization” [8].
bodyText ||| For instance, a phisher might send a message to email ad-
bodyText ||| dresses at aol.com announcing account changes impacting
bodyText ||| AOL users. Since all the recipients are AOL users, this scam
bodyText ||| may have increased credibility because users believe it to be
bodyText ||| relevant to them. In our study, if participants did not believe
bodyText ||| our phishing messages to be credible, they would be less
bodyText ||| likely to follow the links and thus would not see the browser
bodyText ||| warning messages.
bodyText ||| We framed our study as an “online shopping study”—items
bodyText ||| were purchased online, and then we sent the participants
bodyText ||| phishing messages claiming to be from those shopping web-
bodyText ||| sites. Participants were told that we were examining how
bodyText ||| they interact with shopping websites and that they needed to
bodyText ||| think aloud during their purchases. After the first purchase
bodyText ||| was made, participants checked their email to confirm that
bodyText ||| the order was going to be shipped, thereby encountering the
bodyText ||| first phishing message. Once the participants were confi-
bodyText ||| dent that the first purchase had been completed, instructions
bodyText ||| were provided for the second purchase. This purchase was
bodyText ||| then made using a different website, and a different phishing
bodyText ||| message was sent. Participants in the experimental condi-
bodyText ||| tions were given an exit survey before leaving. In this sec-
bodyText ||| tion we will provide the details of our recruitment process
bodyText ||| and the study design.
subsectionHeader ||| Recruitment
bodyText ||| This study was designed as a between-subjects study, with
bodyText ||| four different conditions using the Internet Explorer 7.0 and
bodyText ||| Firefox 2.0 web browsers: participants were shown either
bodyText ||| the Firefox warning (Figure 3), the active IE warning (Fig-
bodyText ||| ure 1), the passive IE warning (Figure 2), or no warning at
bodyText ||| all. As of June 2007, users of Internet Explorer and Firefox
bodyText ||| comprised 58.5% and 34.0% of all Internet users, respec-
bodyText ||| tively [18]. Additionally, both browsers have automatic up-
bodyText ||| date features. Thus, it is only a matter of time before most
bodyText ||| users will be using the newest versions of these browsers
bodyText ||| which contain these phishing warnings. We began recruiting
bodyText ||| participants in May of 2007.
bodyText ||| We did not tell participants that we were studying online se-
bodyText ||| curity because we wanted to simulate a natural environment
bodyText ||| by not priming them to security concerns. We recruited par-
bodyText ||| ticipants from all over Pittsburgh in order to make our re-
bodyText ||| sults generalizable. We attached flyers to telephone posts,
bodyText ||| bus stops, and community bulletin boards. We also posted
bodyText ||| online to Craigslist and a CMU website for recruiting study
bodyText ||| participants. We constructed a screening survey to screen out
bodyText ||| technically savvy individuals, users of certain web browsers,
bodyText ||| participants in previous phishing studies, and users of certain
bodyText ||| email providers. We also used this survey to glean some ba-
bodyText ||| sic demographic information from participants, such as age,
bodyText ||| gender, occupation, prior online shopping experience, etc.
bodyText ||| Participants who contacted us after seeing a recruitment flyer
bodyText ||| were directed to our online screening survey. Since we were
bodyText ||| examining the newest versions of Firefox (2.0) and IE (7.0)
bodyText ||| to include the active warnings, we made sure that all par-
bodyText ||| ticipants in the experimental conditions already used one of
bodyText ||| these browser versions. Thus the screening survey included
bodyText ||| a question about current browser version (with graphics de-
bodyText ||| picting how to determine the version) to screen out users of
bodyText ||| other web browsers.
bodyText ||| Since our lab has conducted previous studies on phishing,
bodyText ||| we were concerned about the potential for priming of prior
bodyText ||| participants. Thus we disqualified anyone who had previ-
bodyText ||| ously participated in a phishing-related study. We were also
bodyText ||| concerned that savvy users would not believe the emails, and
bodyText ||| thus not be exposed to the warnings. We asked four ques-
bodyText ||| tions to gauge each participant’s experience:
listItem ||| •	Have you ever designed a website?
listItem ||| •	Have you ever registered a domain name?
listItem ||| •	Have you ever used SSH?
listItem ||| •	Have you ever configured a firewall?
bodyText ||| In our pilot we discovered that participants who answered
bodyText ||| yes to all four questions were just as likely to believe the
bodyText ||| phishing emails as all other participants. Thus, we decided
bodyText ||| not to disqualify participants based on these questions.
bodyText ||| We tried to make our scenarios as realistic as possible by
bodyText ||| requiring participants to use their own email accounts and
bodyText ||| financial information for the purchases. The screening sur-
bodyText ||| vey explicitly asked whether or not they could check their
bodyText ||| email using a web browser on a foreign computer. We also
bodyText ||| asked them to enter their email addresses so that we could
bodyText ||| contact them as well as to determine which email provider
bodyText ||| they were using. We initially found that some of the larger
bodyText ||| free email providers were detecting our phishing messages
bodyText ||| and filtering them out. We minimized this problem by im-
bodyText ||| plementing DKIM and SPF on our outgoing mail server to
bodyText ||| help recipient mail servers verify the message sender. 1,2
footnote ||| 1http://www.dkim.org/
footnote ||| 2http://www.openspf.org/
page ||| 1068
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
bodyText ||| Of the 282 individuals who completed our screening sur-
bodyText ||| vey, only 70 qualified and showed up. Despite our efforts
bodyText ||| to screen out individuals who used email providers that were
bodyText ||| likely to filter out our messages, we still found that we could
bodyText ||| not collect data from ten participants because they did not re-
bodyText ||| ceive either of our phishing messages. These ten participants
bodyText ||| were not included in our results.
bodyText ||| Based on the browser versions that they indicated in the
bodyText ||| screening survey, participants were placed in one of the four
bodyText ||| conditions. The average age of participants was 28 (σ =
bodyText ||| 10.58), and there was no significant difference between the
bodyText ||| groups in terms of age or gender. The Firefox condition con-
bodyText ||| sisted of 20 users of Firefox 2.0, while the other two exper-
bodyText ||| imental conditions consisted of users of Internet Explorer
bodyText ||| 7 (20 participants in the active IE condition and 10 partic-
bodyText ||| ipants in the passive IE condition). The ten participants in
bodyText ||| the control group all used an older version of one of the two
bodyText ||| browsers. The control group was used to determine whether
bodyText ||| or not participants were willing to enter information into our
bodyText ||| phishing websites in the absence of any warning messages.
bodyText ||| This told us whether the warning was affecting phishing sus-
bodyText ||| ceptibility or if it could be attributed to some other factor.
bodyText ||| The group sizes were chosen based on a power analysis per-
bodyText ||| formed prior to recruitment.
bodyText ||| We were initially concerned that the self-selected nature of
bodyText ||| the groups (based on web browser preference) may have bi-
bodyText ||| ased our study. However, we found no statistical differences
bodyText ||| between the average number of hours participants in each
bodyText ||| group claimed to use the Internet, nor with regard to the av-
bodyText ||| erage number of email messages participants claimed to re-
bodyText ||| ceive. In each of the active warning groups, exactly seven
bodyText ||| participants answered “no” to all of the questions used to
bodyText ||| gauge technical prowess. Thus, there were equal numbers of
bodyText ||| novices in each group.
subsectionHeader ||| Scenarios
bodyText ||| We decided to spoof Amazon and eBay since they were the
bodyText ||| most commonly phished non-bank websites [17]. Thus, re-
bodyText ||| gardless of familiarity with the real websites, it is likely that
bodyText ||| participants have previously encountered phishing messages
bodyText ||| claiming to be from these websites. Our spoofed websites
bodyText ||| consisted of login forms for usernames and passwords. To
bodyText ||| make these websites look authentic, we registered two do-
bodyText ||| main names: ebay-login.net and amazonaccounts.net. The
bodyText ||| websites were designed to mimic the login pages of the orig-
bodyText ||| inal websites. We created two spoof URLs at each domain
bodyText ||| name.
bodyText ||| We took steps to ensure our phishing websites triggered the
bodyText ||| warnings in each web browser. Firefox downloads its lo-
bodyText ||| cally stored blacklist from Google, so we modified it locally
bodyText ||| to include our URLs [16]. Microsoft agreed to add our spoof
bodyText ||| URLs to their remote blacklists, causing those URLs to trig-
bodyText ||| ger the IE phishing warnings.
bodyText ||| We copied two common phishing emails spoofing Amazon
bodyText ||| and eBay and changed the content to fit our study. The
bodyText ||| message claiming to be from Amazon was sent out in plain
bodyText ||| text and informed the recipient that the order was delayed
bodyText ||| and would be cancelled unless the recipient clicked the in-
bodyText ||| cluded URL. The message claiming to be from eBay was in
bodyText ||| HTML and informed the recipient that all international or-
bodyText ||| ders needed to be confirmed by visiting a URL contained
bodyText ||| within the message. Both messages contained random or-
bodyText ||| der numbers to help convince the recipients of their legit-
bodyText ||| imacy, though no information specific to the recipients was
bodyText ||| included in these messages in order to make our attacks real-
bodyText ||| istic. The scenario was such that it would have been entirely
bodyText ||| possible for a person to have just completed a purchase from
bodyText ||| one of these websites and then received a generic phishing
bodyText ||| message spoofing that same website. It is also possible for
bodyText ||| a phisher to monitor wireless Internet traffic and conduct a
bodyText ||| similar phishing attack after detecting a purchase. We be-
bodyText ||| lieve that the coincidental nature of this attack was the reason
bodyText ||| why many more participants fell for our attacks than what
bodyText ||| has been found in similar studies [8, 7, 19, 14, 20]. Previous
bodyText ||| phishing studies have spoofed companies with whom vic-
bodyText ||| tims had relationships. However we are unaware of any user
bodyText ||| studies that have used phishing messages timed to coincide
bodyText ||| with a transaction with the spoofed brand.
bodyText ||| Participants arrived at our laboratory and were told that they
bodyText ||| would be purchasing two items online from Amazon and
bodyText ||| eBay. We randomized the order in which the purchases were
bodyText ||| made. We also informed participants that we were recording
bodyText ||| them, so they needed to think aloud about everything they
bodyText ||| were doing. Participants did the study individually with the
bodyText ||| experimenter sitting behind them in the laboratory.
bodyText ||| We were concerned that if we allowed participants to pur-
bodyText ||| chase whatever they wanted, they might take too long to de-
bodyText ||| cide, and that other factors might confound our results. We
bodyText ||| also wanted participants to focus on buying cheap items so
bodyText ||| that we could reimburse them for both purchases while still
bodyText ||| giving them enough additional money for their time. We lim-
bodyText ||| ited the scope of the purchases by asking them to purchase a
bodyText ||| box of paper clips from Amazon, which cost roughly $0.50,
bodyText ||| plus around $6 in shipping (the exact prices changed with
bodyText ||| each order since all participants did not purchase the same
bodyText ||| paperclips). We asked participants to make their eBay pur-
bodyText ||| chases from a cheap electronics store based in Hong Kong
bodyText ||| that sold a variety of items for around $5-$10, including
bodyText ||| shipping. Participants were compensated $35 for their time
bodyText ||| and the purchases, which were made using their personal
bodyText ||| credit cards.
bodyText ||| After each purchase, participants received a sheet of five
bodyText ||| questions relating to shopping. These questions were part
bodyText ||| of an unrelated study on shopping behaviors, but helped our
bodyText ||| study by convincing participants that this was indeed a shop-
bodyText ||| ping study. While the participant answered these questions,
bodyText ||| the experimenter sent them a phishing message. We con-
bodyText ||| structed a web interface for the study, so that the experi-
bodyText ||| menter only needed to enter an email address, the brand to
bodyText ||| spoof, and the experimental condition.
bodyText ||| After the written questions were completed, the experimenter
bodyText ||| told the participant to “check your email to make sure that
bodyText ||| the order is confirmed and ready to ship so we can move
bodyText ||| on.” When participants checked their email, they encoun-
bodyText ||| tered legitimate messages relating to their orders as well as
bodyText ||| a phishing message. After examining (and reacting) to all of
page ||| 1069
note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
table ||| Condition Name	Size	Clicked	Phished
table ||| Firefox	20	20(100%)	0(0%)
table ||| Active IE	20	19(95%)	9(45%)
table ||| Passive IE	10	10(100%)	9(90%)
table ||| Control	10	9(90%)	9(90%)
tableCaption ||| Table 1. An overview depicting the number of participants in each
tableCaption ||| condition, the number who clicked at least one phishing URL, and
tableCaption ||| the number who entered personal information on at least one phishing
tableCaption ||| website. For instance, nine of the control group participants clicked at
tableCaption ||| least one phishing URL. Of these, all nine participants entered personal
tableCaption ||| information on at least one of the phishing websites.
bodyText ||| the messages, participants received a set of instructions for
bodyText ||| the second purchase. After participants checked their email
bodyText ||| after the second purchase (thereby encountering the second
bodyText ||| phishing message), an exit survey was administered. This
bodyText ||| online exit survey contained questions about participants’ re-
bodyText ||| actions to the warning messages. The experimenter observed
bodyText ||| participants fill this out and asked followup questions if any
bodyText ||| of the responses were too terse or did not seem to follow
bodyText ||| the behaviors exhibited during the experiment. Those in the
bodyText ||| control group were not asked to complete an exit survey as
bodyText ||| they had not seen any warnings. Participants took an aver-
bodyText ||| age of forty minutes to complete all the tasks and were given
bodyText ||| $35 in cash before leaving.
bodyText ||| We were initially concerned that since participants did not
bodyText ||| explicitly want the items, the results might be skewed in fa-
bodyText ||| vor of participants acting more cautious. However, we be-
bodyText ||| lieve their desire to complete the study negated this. Thus,
bodyText ||| the desire to buy the items to complete the study was likely
bodyText ||| just as strong as if the participant were at home purchasing
bodyText ||| a desired item. Additionally, we do not believe that the cost
bodyText ||| of the items played any role since an attacker could use the
bodyText ||| stolen account credentials to make any number of larger pur-
bodyText ||| chases.
sectionHeader ||| RESULTS AND ANALYSIS
bodyText ||| Overall we found that participants were highly susceptible
bodyText ||| to our spear phishing attack. However, users of the active
bodyText ||| phishing warnings were largely protected, since 79% chose
bodyText ||| to heed them. We found a significant difference between
bodyText ||| the active IE and Firefox warnings (p < 0.0004 for Fisher’s
bodyText ||| exact test) as well as no significant difference between the
bodyText ||| passive IE warning and the control group (i.e. significantly
bodyText ||| more users were helped by the active Firefox warning than
bodyText ||| the active IE warning, while the passive IE warning is no dif-
bodyText ||| ferent than not displaying any warning). We also found sig-
bodyText ||| nificant differences between the active IE warning and the
bodyText ||| control group (p < 0.01) demonstrating that the active IE
bodyText ||| warning is still significantly better than not displaying any
bodyText ||| warning. Table 1 depicts these results. In this section we ex-
bodyText ||| amine how participants reacted to the initial phishing mes-
bodyText ||| sages, and then we use the C-HIP model to analyze why
bodyText ||| certain warnings performed better than others.
subsectionHeader ||| Phishing Susceptibility
bodyText ||| Our simulated spear phishing attack was highly effective:
bodyText ||| of the 106 phishing messages that reached participants’ in-
bodyText ||| boxes, participants clicked the URLs of 94 of them (89%).
bodyText ||| While all participants made purchases from both Amazon
bodyText ||| and eBay, not every participant received both of our phish-
bodyText ||| ing messages due to email filtering. Only two participants
bodyText ||| (3%) did not attempt to visit any of the phishing URLs. Of
bodyText ||| the 46 participants who received both phishing messages, 43
