title ||| A Geometric Constraint Library for
listItem ||| Geometric layout: A typical use of Chorus3D is to lay
listItem ||| out graphical objects. For example, it allows putting
listItem ||| objects parallel or perpendicular to others without re-
listItem ||| quiring predetermined positioning parameters. Also, it
listItem ||| provides constraint-based general graph layout based
listItem ||| on the spring model [14].
listItem ||| Constrained dragging: Chorus3D enables dragging ob-
listItem ||| jects with positioning constraints. For example, it
listItem ||| can constrain a dragged object to be on the surface
listItem ||| of a sphere. Constrained dragging is important for 3D
listItem ||| graphics because it provides a sophisticated way to ac-
page ||| 94
listItem ||| Translation: A translation transformation is characterized
listItem ||| with three variables tx, tr, and tz, and specifies the
listItem ||| translation of vector (tx,tr, tz).
listItem ||| Rotation: A rotation transformation is parameterized with
listItem ||| four variables rx, rr, rz, and rw, and specifies the ro-
listItem ||| tation of angle rw about the axis (rx, rr, rz).
listItem ||| Scale: A scale transformation is represented with three
listItem ||| variables sx, sr, and sz, and specifies the axis-wise
listItem ||| scale (sx, sr, sz) about the origin.
bodyText ||| We can express many practically useful transformations by
bodyText ||| using such elemental ones. In fact, any transformations rep-
bodyText ||| resented with Transform nodes in VRML can be realized by
bodyText ||| combining these kinds of transformations [4].
sectionHeader ||| 3. CONSTRAINT FRAMEWORK
bodyText ||| In this section, we briefly describe our framework for han-
bodyText ||| dling constraints. We base it on the framework for the 2D
bodyText ||| version of the Chorus constraint solver. See [13] for further
bodyText ||| detail.
subsectionHeader ||| 3.1 Problem Formulation
bodyText ||| We first present the mathematical formulation for modeling
bodyText ||| constraints and constraint systems. In the following, we
bodyText ||| write x to represent a variable vector (x1, x2, ... , xn) of
bodyText ||| n variables, and also v to indicate a variable value vector
bodyText ||| (v1, v2, ... , vn) of n real numbers (vi expresses the value of
bodyText ||| xi).
bodyText ||| To support various geometric constraints in a uniform man-
bodyText ||| ner, we adopt error functions as a means of expressing con-
bodyText ||| straints. An error function e(x) is typically associated with
bodyText ||| a single arithmetic constraint, and is defined as a func-
bodyText ||| tion from variable value vectors to errors expressed as non-
bodyText ||| negative real numbers; that is, e(v) gives the error of the
bodyText ||| associated constraint for v. An error function returns a zero
bodyText ||| if and only if the constraint is exactly satisfied. For example,
bodyText ||| e(x) = (xi — xj)2 can be used for the constraint xi = xj.
bodyText ||| We assume that, for each e(x), its gradient is known:
equation ||| De(x) =	�ae(x) ae(x) ae(x) ax1,ax2 ,...,axn )
bodyText ||| In the same way as constraint hierarchies [7], constraint sys-
bodyText ||| tems in our framework can be divided into levels consisting
bodyText ||| of constraints with equal strengths. Constraints with the
bodyText ||| strongest preference are said to be required (or hard), and
bodyText ||| are guaranteed to be always satisfied (if it is impossible,
bodyText ||| there will be no solution). By contrast, constraints with
bodyText ||| weaker preferences are said to be preferential (or soft), and
bodyText ||| may be relaxed if they conflict with stronger constraints.
bodyText ||| Solutions to constraint systems are defined as follows: let
bodyText ||| ei,j(x) be the error function of the j-th constraint (1 < j <
bodyText ||| mi) at strength level i (0 < i < l); then solutions v are
bodyText ||| determined with the optimization problem
bodyText ||| minimize	E(v) subject to e0,j (v) = 0 (1 < j < m0)
none ||| v
bodyText ||| commodate ordinary mouse dragging to 3D spaces.
bodyText ||| Inverse kinematics: Chorus3D is applicable to inverse
bodyText ||| kinematics, which is a problem of finding desired con-
bodyText ||| figurations of “articulated” objects [1, 20]. It allows
bodyText ||| the specification of articulated objects by using coor-
bodyText ||| dinate transformations, and can automatically calcu-
bodyText ||| late the parameters of the transformations that satisfy
bodyText ||| constraints. This method is also applicable to camera
bodyText ||| control by aiming at a possibly moving target object.
bodyText ||| In this paper, we demonstrate the usefulness of Chorus3D
bodyText ||| by presenting sample constraint-based 3D graphical appli-
bodyText ||| cations.
bodyText ||| This paper is organized as follows: We first present our ap-
bodyText ||| proach to the use of constraints for 3D graphics. Second,
bodyText ||| we describe our basic framework of constraints. Next, we
bodyText ||| present a method for processing coordinate transformations
bodyText ||| in our framework. We then provide the implementation of
bodyText ||| Chorus3D, and demonstrate examples of using constraints
bodyText ||| in 3D graphics. After giving related work and discussion, we
bodyText ||| mention the conclusions and future work of this research.
sectionHeader ||| 2. OUR APPROACH
bodyText ||| In this research, we integrate geometric constraints with 3D
bodyText ||| graphics. Basically, we realize this by extending our previ-
bodyText ||| ous 2D geometric constraint solver Chorus [13] to support
bodyText ||| 3D geometry. However, as already mentioned, it is not a
bodyText ||| straightforward task because 3D graphics typically requires
bodyText ||| handling scene graphs with hierarchical structures of coor-
bodyText ||| dinate systems, which is not covered by the 2D version of
bodyText ||| the Chorus constraint solver.
bodyText ||| To support hierarchies of coordinate systems, we introduce
bodyText ||| the following new model of constraints:
listItem ||| Point variables: Each point variable (which consists of
listItem ||| three real-valued constrainable variables) is associated
listItem ||| with one coordinate system, and its value is expressed
listItem ||| as local coordinates.
listItem ||| Geometric constraints: Geometric constraints on point
listItem ||| variables are evaluated by using the world coordinates
listItem ||| of the point variables (they can also refer to 1D vari-
listItem ||| ables for, e.g., distances and angles by using their val-
listItem ||| ues directly). A single constraint can refer to point
listItem ||| variables belonging to different coordinate systems.
listItem ||| Coordinate transformations: Parameters of coordinate
listItem ||| transformations are provided as constrainable vari-
listItem ||| ables, and the solver is allowed to change the param-
listItem ||| eters of transformations to appropriately satisfy given
listItem ||| constraints.
bodyText ||| With this model, we can gain the benefit of the easy mainte-
bodyText ||| nance of geometric relations by using constraints, as well as
bodyText ||| the convenience of modeling geometric objects by employing
bodyText ||| scene graphs.
bodyText ||| In our actual implementation, we provide the following three
bodyText ||| elemental kinds of coordinate transformations:
page ||| 95
bodyText ||| where E is an objective function defined as
equation ||| wiei,j (x)
bodyText ||| in which wi indicates the weight associated with strength i,
bodyText ||| and the relation w1 » w2 » . . . » wl holds. In this formu-
bodyText ||| lation, level 0 corresponds to required constraints, and the
bodyText ||| others to preferential ones. Intuitively, more weighted (or
bodyText ||| stronger) preferential constraints should be more satisfied.
bodyText ||| Our framework simulates constraint hierarchies. Particu-
bodyText ||| larly, if the squares of constraint violations are used to com-
bodyText ||| pute error functions, a system in our framework will obtain
bodyText ||| approximate solutions to the similar hierarchy solved with
bodyText ||| the criterion least-squares-better [3, 17]. The largest differ-
bodyText ||| ence is that a system in our framework slightly considers a
bodyText ||| weak constraint inconsistent with a stronger satisfiable one
bodyText ||| in computing its solutions, while the similar hierarchy would
bodyText ||| discard such a weak one.
bodyText ||| Our actual implementation of the Chorus3D constraint
bodyText ||| solver provides four external strengths required, strong,
bodyText ||| medium, and weak as well as two internal strengths very
bodyText ||| strong (used to approximately handle required nonlinear
bodyText ||| or inequality constraints) and very weak (exploited to make
bodyText ||| new solutions as close to previous ones as possible). It typ-
bodyText ||| ically assigns weights 324, 323, 322, 321, and 1 to strengths
bodyText ||| very strong, strong, medium, weak, and very weak respec-
bodyText ||| tively. These weights were determined according to the pre-
bodyText ||| cision of the actual numerical algorithm (described in the
bodyText ||| next subsection). To know how much these weights affect
bodyText ||| solutions, suppose a system of strong constraint x = 0 and
bodyText ||| medium one x = 100. Then the unique solution will be ob-
bodyText ||| tained as x = 3.0303 . . . (= 100/33). Thus the difference of
bodyText ||| strengths is obvious. According to our actual experience,
bodyText ||| this precision allows us to discriminate constraint strengths
bodyText ||| in most graphical applications.
subsectionHeader ||| 3.2 Algorithm
bodyText ||| To actually find solutions to constraint systems presented
bodyText ||| above, we need to solve their corresponding optimization
bodyText ||| problems. For this purpose, we designed a constraint sat-
bodyText ||| isfaction algorithm by combining a numerical optimization
bodyText ||| technique with a genetic algorithm. It uses numerical op-
bodyText ||| timization to find local solutions, while it adopts a genetic
bodyText ||| algorithm to search for global solutions.
bodyText ||| For numerical optimization, we mainly use the quasi-Newton
bodyText ||| method based on Broyden-Fletcher-Goldfarb-Sahnno updat-
bodyText ||| ing formula [2, 6], which is a fast iterative technique that
bodyText ||| exhibits superlinear convergence. Since it excludes fruit-
bodyText ||| less searches by utilizing its history, it is usually faster than
bodyText ||| straightforward Newton’s method.
bodyText ||| We introduced a genetic algorithm to alleviate the problem
bodyText ||| that some kinds of geometric constraints suffer from local op-
bodyText ||| timal but global non-optimal solutions [11, 16]. Generally,
bodyText ||| a genetic algorithm is a stochastic search method that re-
bodyText ||| peatedly transforms a population of potential solutions into
bodyText ||| another next-generation population [10, 15]. We typically
bodyText ||| necessitate it only for computing initial solutions; in other
bodyText ||| words, we can usually re-solve modified constraint systems
bodyText ||| without the genetic algorithm, only by applying numerical
bodyText ||| optimization to previous solutions.
sectionHeader ||| 4. PROCESSING COORDINATE
sectionHeader ||| TRANSFORMATIONS
bodyText ||| In this section, we propose a method for integrating coordi-
bodyText ||| nate transformations with our constraint framework.
bodyText ||| As already mentioned, we use world coordinates of points
bodyText ||| to evaluate 3D geometric constraints. A naive method for
bodyText ||| this is to duplicate point variables in all ancestor coordinate
bodyText ||| systems, and then to impose required constraints that rep-
bodyText ||| resent coordinate transformations between the point vari-
bodyText ||| ables. However, this method requires an optimization rou-
bodyText ||| tine supporting required nonlinear constraints, which lim-
bodyText ||| its the availability of actual techniques (in fact, we cannot
bodyText ||| use the quasi-Newton method for this purpose). Also, this
bodyText ||| method tends to yield many variables and constraints, and
bodyText ||| therefore requires an extra amount of memory.
bodyText ||| Below we propose a more widely applicable method for han-
bodyText ||| dling coordinate transformations. Its characteristic is to
bodyText ||| hide transformations from optimization routines, which is
bodyText ||| realized by embedding transformations in error functions.
subsectionHeader ||| 4.1 Model
bodyText ||| To begin with, we introduce another variable vector x' =
bodyText ||| (x'1, x'2, ... ,x' n), which is created by replacing variables for
bodyText ||| local coordinates of 3D points in x with the corresponding
bodyText ||| ones for world coordinates (1D variables remain the same).
bodyText ||| We can mathematically model this process as follows: Con-
bodyText ||| sider the sequence of the s transformations
equation ||| t0	t1	s 2	ts 1
equation ||| y0 (= x)� y1 �... t y3-1 —� y3 (= x')
bodyText ||| where y0 and y3 are equal to x and x' respectively, each
bodyText ||| yk (1 < k < s — 1) is an “intermediate” vector, and each tk
bodyText ||| (0 < k < s — 1) is a function that transforms yk into yk+1.
bodyText ||| Intuitively, tk corresponds to a coordinate transformation,
bodyText ||| and transforms related point variables from its source co-
bodyText ||| ordinate system into its destination system. It should be
bodyText ||| noted that, although transformations are, in general, hier-
bodyText ||| archical (or tree-structured), we can always find such a linear
bodyText ||| sequence by “serializing” them in an appropriate order.
bodyText ||| By using such transformations, we can compute x' as fol-
bodyText ||| lows:
equation ||| x' = t3-1(t3-2(...(t1(t0(x))) ... )) = t(x)
bodyText ||| where t is defined as the composition of all the elemental
bodyText ||| transformations. In the following description, we write yk,i
bodyText ||| to denote the i-th element of yk, and also tk,i to represent
bodyText ||| the i-th element of tk; that is,
equation ||| yk+1 = (yk+1,1 , yk+1,2, ... , yk+1,n)
equation ||| = (tk,1(yk),tk,2(yk), ..., tk,n(yk)) = tk(yk).
subsectionHeader ||| 4.2 Method
bodyText ||| Geometric constraints are evaluated by using world coordi-
bodyText ||| nates of points, which means that their error functions are
equation ||| Mi
equation ||| E
equation ||| j=1
equation ||| E(x) =
equation ||| �l
equation ||| i=1
page ||| 96
bodyText ||| defined as e(x'). Using the composed transformations, we	parameter of the coordinate transformation), we have
bodyText ||| can evaluate them as	yk,i = xi, which means that we have atk,j(yk)/axi.
bodyText ||| e(x') = e(t(x)).	Therefore, we can compute ae(x')/axi immediately.
bodyText ||| Importantly, we can efficiently realize this computation by
bodyText ||| applying only necessary transformations to actually used
bodyText ||| variables.
bodyText ||| We also need to compute the gradient of e(t(x)), i.e.,
equation ||| �ae(t(x)) ae(t(x)) ae(t(x))
equation ||| ax1 , ax2 , ..., axn ) .
bodyText ||| Basically, we can decompose each partial derivative
bodyText ||| ae(t(x))/axi into primitive expressions by repeatedly us-
bodyText ||| ing the chain rule. However, we should avoid the simple
bodyText ||| application of the chain rule since it would result in a large
bodyText ||| number of expressions.
bodyText ||| Instead, we perform a controlled way of decomposing such
bodyText ||| partial derivatives; it appropriately arranges the chain rule
bodyText ||| to restrict the computation to only necessary components.
bodyText ||| First, we decompose ae(t(x))/axi as follows:
equation ||| ats-1,j,(ys-1)
equation ||| axi
equation ||| ae(x')	ats-1,j,(ys-1)ats-2,js_1(ys-2)
equation ||| axj,Eays-1,js_1	axi
equation ||| js_1
equation ||| ats-2,js_1(ys-2)
equation ||| axi
equation ||| ae(x') ats-2,js_1(ys-2)
equation ||| ays-1,js_1	axi	.
bodyText ||| Note that each ae(x')/ax'j, is given by the defini-
bodyText ||| tion of the geometric constraint, and also that each
bodyText ||| ats-1,j,(ys-1)/ays-1,js_1 is a partial derivative in the gra-
bodyText ||| dient of a single coordinate transformation ts-1. Thus we
bodyText ||| can obtain each ae(x')/ays-1 ,js_1. Also, by repeating this
bodyText ||| process, we can compute, for each k,
equation ||| atk-1,jk (yk-1)
bodyText ||| and finally achieve
equation ||| ae(t(x))
equation ||| axi
equation ||| where each at0,j1(x)/axi is a component of the gradient of
bodyText ||| t0. Therefore, ae(t(x))/axi is now determined.
bodyText ||| Furthermore, we can considerably reduce the number of the
bodyText ||| computations of ae(x')/ayk,jk in practice. We can make the
bodyText ||| following observations about the above computation:
bodyText ||| 9 For each variable xj,, ae(x')/ax'j, can be non-zero only
bodyText ||| if xj,is actually needed to evaluate the designated con-
bodyText ||| straint.
bodyText ||| 9 If xi is originated in the coordinate system associated
bodyText ||| with tk (that is, xi is either a local coordinate or a
bodyText ||| These observations reveal that we need to transfer a partial
bodyText ||| derivative ae(x')/ayk,j to the next step only when xj rep-
bodyText ||| resents a really necessary coordinate that has not reached
bodyText ||| its local coordinate system. Also, since we can handle each
bodyText ||| necessary point independently, we can implement this pro-
bodyText ||| cess with a linear recursive function that hands over only
bodyText ||| three derivatives ae(x')/ayk,j at each recursive call.
sectionHeader ||| 5. IMPLEMENTATION
bodyText ||| We implemented the proposed method by developing a con-
bodyText ||| straint solver called Chorus3D, which is a 3D extension to
bodyText ||| our previous 2D geometric constraint solver Chorus [13]. We
bodyText ||| constructed Chorus3D as a C++ class library, and also de-
bodyText ||| veloped a native method interface to make it available to
bodyText ||| Java programs.
bodyText ||| Chorus3D allows programmers to add a new kind of arith-
bodyText ||| metic constraints (e.g., Euclidean geometric constraints) by
bodyText ||| constructing a new constraint class with a method that eval-
bodyText ||| uates their error functions. Also, programmers can intro-
bodyText ||| duce a new kind of non-arithmetic (or pseudo) constraints
bodyText ||| (for, e.g., general graph layout) by developing a new evalua-
bodyText ||| tion module which computes an “aggregate” error function
bodyText ||| for a given set of constraints.
bodyText ||| Chorus3D currently provides linear equality, linear inequal-
bodyText ||| ity, edit (update a variable value), stay (fix a variable value),
bodyText ||| Euclidean geometric constraints (for, e.g., parallelism, per-
bodyText ||| pendicularity, and distance equality), and graph layout con-
bodyText ||| straints based on the spring model [14]. Linear equality/
bodyText ||| inequality constraints can refer to only 1D variables (includ-
bodyText ||| ing elements of 3D point variables), while edit and stay con-
bodyText ||| straints can be associated with 1D and 3D point variables.
bodyText ||| Euclidean geometric constraints typically refer to point vari-
bodyText ||| ables although they sometimes require 1D variables for an-
bodyText ||| gles and distances. Each graph layout constraint represents
bodyText ||| a graph edge, and refers to two point variables as its asso-
bodyText ||| ciated graph nodes. As stated earlier, constraints on such
bodyText ||| point variables are evaluated by using world coordinates of
bodyText ||| the points. Also, a single constraint can refer to point vari-
bodyText ||| ables belonging to different coordinate systems.
bodyText ||| The application programming interface of Chorus3D is a
bodyText ||| natural extension to that of Chorus, which provides a certain
bodyText ||| compatibility with a recent linear solver called Cassowary
bodyText ||| [3]; in a similar way to Cassowary and Chorus, Chorus3D
bodyText ||| allows programmers to process constraint systems by cre-
bodyText ||| ating variables and constraints as objects, and by adding/
bodyText ||| removing constraint objects to/from the solver object. In
bodyText ||| addition, Chorus3D handles coordinate transformations as
bodyText ||| objects, and presents an interface for arranging them hier-
bodyText ||| archically.
sectionHeader ||| 6. EXAMPLES
bodyText ||| In this section, we present three examples to demonstrate
bodyText ||| how to incorporate geometric constraints into 3D graphics
bodyText ||| by using the Chorus3D constraint solver. All the examples
bodyText ||| are implemented in Java by using Java 3D as a graphics
equation ||| De(t(x)) =
equation ||| ae(t(x))
equation ||| axi
equation ||| =E
equation ||| j,
equation ||| ae(x')
equation ||| ax'j,
equation ||| =E
equation ||| j,
equation ||| = E
equation ||| js_1
equation ||| = E
equation ||| js_1
equation ||| I
equation ||| ats1,j, (ys-1)
equation ||| ae(x')
equation ||| E
equation ||| ays-1,js_1
equation ||| j,
equation ||| ax'j,
equation ||| I
equation ||| ae(t(x))
equation ||| axi
equation ||| =E	ae(x')
equation ||| jk
equation ||| 	ayk,jk
equation ||| =E	ae(x')
equation ||| j1
equation ||| 	ay1,j1
equation ||| axi
equation ||| at0,j1(x)
equation ||| axi
page ||| 97
figureCaption ||| Figure 1: A 3D geometric layout of a general graph
figureCaption ||| structure.
figureCaption ||| Figure 2: Dragging an object constrained to be on
figureCaption ||| a sphere.
bodyText ||| programming interface as well as the native method interface
bodyText ||| with Chorus3D. We also provide computation times taken
bodyText ||| for constraint satisfaction in these examples.
subsectionHeader ||| 6.1 Graph Layout
bodyText ||| The first example is an application which lays out a set
bodyText ||| of points with a general graph structure in a 3D space as
bodyText ||| shown in Figure 1. This application also allows a user to
bodyText ||| drag graph nodes with a mouse.' The used graph layout
bodyText ||| technique is based on a 3D extension to the spring model
bodyText ||| [14]. This kind of 3D graph layout is practically useful to
bodyText ||| information visualization, and has actually been adopted in
bodyText ||| a certain system [19].
bodyText ||| The constraint system of this graph layout consists of 26
bodyText ||| point variables (i.e., 78 real-valued variables), 31 graph lay-
bodyText ||| out constraints, and three linear equality constraints for fix-
bodyText ||| ing one of the point variables at the origin. When executed
bodyText ||| on an 866 MHz Pentium III processor running Linux 2.2.16,
bodyText ||| Chorus3D obtained an initial solution in 456 milliseconds. It
bodyText ||| performed constraint satisfaction typically within 250 mil-
bodyText ||| liseconds to reflect the user’s dragging a graph node.
subsectionHeader ||| 6.2 Constrained Dragging
bodyText ||| The second example is an application which allows a user
bodyText ||| to drag an object constrained to be on another spherical
bodyText ||| object. Figure 2 depicts this application, where the smaller
bodyText ||| solid spherical object is constrained to be on the surface of
bodyText ||| the larger wireframe one. The application declares a strong
bodyText ||| Euclidean geometric constraint which specifies a constant
bodyText ||| distance between the centers of these objects. When the
bodyText ||| user tries to drag the smaller object with a mouse, the appli-
bodyText ||| cation imposes another medium Euclidean constraint which
bodyText ||| collinearly locates the viewpoint, the 3D position of the
bodyText ||| mouse cursor (which is considered to be on the screen), and
footnote ||| 'Unlike constrained dragging in the next example, this
footnote ||| mouse operation is simply implemented with Java 3D’s
footnote ||| PickMouseBehavior classes.
footnote ||| Sphere
figureCaption ||| Figure 3: Implementation of constrained dragging.
bodyText ||| the center of the dragged object as shown in Figure 3. This
bodyText ||| collinearity constraint reflects the motion of the mouse in
bodyText ||| the position of the dragged object. Since the collinearity
bodyText ||| constraint is weaker than the first Euclidean constraint, the
bodyText ||| user cannot drag the smaller object to the outside of the
bodyText ||| larger sphere.
bodyText ||| The application initially declares one Euclidean geometric
bodyText ||| constraint on two point variables, and solved it in 1 mil-
bodyText ||| lisecond on the same computer as the first example. When
bodyText ||| the user tries to drag the smaller object, it adds another
bodyText ||| Euclidean constraint as well as two edit constraints for the
bodyText ||| viewpoint and mouse position. The solver maintained this
bodyText ||| constraint system usually within 2 milliseconds.
subsectionHeader ||| 6.3 Inverse Kinematics
bodyText ||| The final example applies inverse kinematics to a virtual
bodyText ||| robot arm by using constraints. Unlike the previous ex-
bodyText ||| amples, it takes advantage of coordinate transformations to
bodyText ||| express its constraint system.
figure ||| Mouse cursor which
figure ||| is on the screen
figure ||| Viewpoint
figure ||| Distance
figure ||| constraint
figure ||| Collinearity
figure ||| constraint
figure ||| Object which is on
figure ||| the sphere surface
figure ||| Screen
page ||| 98
figure ||| (a)	(b)	(c)
figureCaption ||| Figure 4: A robot arm application which performs inverse kinematics.
figure ||| (d)	(e)	(f)
bodyText ||| As illustrated in Figure 4(a), the robot arm consists of four
bodyText ||| parts called a base, a shoulder, an upper arm, and a forearm.
bodyText ||| Constraint satisfaction for inverse kinematics is performed
bodyText ||| to position its hand (the end of the forearm) at the target
bodyText ||| object if possible, or otherwise to make it maximally close
bodyText ||| to the target. Figures 4(b)–(f) show the movement of the
bodyText ||| robot arm. In Figures 4(b)–(e), its hand is positioned at
bodyText ||| the exact location of the target by using appropriate angles
bodyText ||| of its joints. By contrast, in Figure 4(f), the hand cannot
bodyText ||| reach the target, and therefore the arm is extended toward
bodyText ||| the target instead.
bodyText ||| Figure 5 describes the constraint program used in the robot
bodyText ||| arm application. After constructing a constraint solver
bodyText ||| s, it creates six coordinate transformations shldrTTfm,
bodyText ||| shldrRTfm, uarmTTfm, uarmRTfm, farmTTfm, and farmRTfm.
bodyText ||| Here the rotation angle parameters of the rotation trans-
bodyText ||| formations shldrRTfm, uarmRTfm, and farmRTfm will actu-
bodyText ||| ally work as variables that can be altered by the solver.
bodyText ||| Next, it generates a point variable handPos to represent
bodyText ||| the position of the hand, and then suggests the target po-
bodyText ||| sition to the hand by using a preferential edit constraint
bodyText ||| editHandPos. Finally, executing the solver, it obtains the
bodyText ||| desired angles shldrAngle, uarmAngle, and farmAngle of
bodyText ||| the rotation transformations. These angles will be passed
bodyText ||| to the Java 3D library to render the properly configured
bodyText ||| robot arm.
bodyText ||| This program generates a constraint system which contains
bodyText ||| three translation and three rotation transformations, one ex-
bodyText ||| plicit point variable as well as six point variables and three
bodyText ||| 1D variables for coordinate transformations, and one edit
bodyText ||| constraint. The solver found an initial solution to this sys-
bodyText ||| tem in 18 milliseconds, and obtained each new solution for
bodyText ||| a frame update typically within 10 milliseconds.
sectionHeader ||| 7. RELATED WORK AND DISCUSSION
bodyText ||| There has been work on integrating constraints or similar
bodyText ||| functions with 3D graphics languages to facilitate the spec-
bodyText ||| ification of graphical objects. For example, we can view the
bodyText ||| event routing mechanism in VRML [4] as a limited form of
bodyText ||| one-way propagation constraints. Also, there is an attempt
bodyText ||| to extend VRML by introducing one-way propagation and
bodyText ||| finite-domain combinatorial constraints [5]. However, they
bodyText ||| cannot handle more powerful simultaneous nonlinear con-
bodyText ||| straints such as Euclidean geometric constraints.
bodyText ||| Although many constraint solvers have been developed in
page ||| 99
figure ||| // constraint solver
figure ||| s = new C3Solver();
figure ||| // translation transformation for the shoulder: fixed to (0, .1, 0)
figure ||| shldrTTfm = new C3TranslateTransform(new C3Domain3D(0, .1, 0));
figure ||| s.add(shldrTTfm); // shldrTTfm is parented by the world coordinate system
figure ||| // rotation transformation for the shoulder: axis fixed to (0, 1, 0); angle ranging over [-10000, 10000]
figure ||| shldrRTfm = new C3RotateTransform(new C3Domain3D(0, 1, 0), new C3Domain(-10000, 10000));
figure ||| s.add(shldrRTfm, shldrTTfm); // shldrRTfm is parented by shldrTTfm
figure ||| // translation transformation for the upper arm: fixed to (0, .1, 0)
figure ||| uarmTTfm = new C3TranslateTransform(new C3Domain3D(0, .1, 0));
figure ||| s.add(uarmTTfm, shldrRTfm); // uarmTTfm is parented by shldrRTfm
figure ||| // rotation transformation for the upper arm: axis fixed to (0, 0, 1); angle ranging over [-1.57,1.57]
figure ||| uarmRTfm = new C3RotateTransform(new C3Domain3D(0, 0, 1), new C3Domain(-1.57, 1.57));
figure ||| s.add(uarmRTfm, uarmTTfm); // uarmRTfm is parented by uarmTTfm
figure ||| // translation transformation for the forearm: fixed to (0, .5, 0)
figure ||| farmTTfm = new C3TranslateTransform(new C3Domain3D(0, .5, 0));
figure ||| s.add(farmTTfm, uarmRTfm); // farmTTfm is parented by uarmRTfm
