title ||| A Distributed 3D Graphics Library
figureCaption ||| tributed logical graphics systems. We use the second definition here.
bodyText ||| Supported Cooperative Work (CSCW) and Distributed Virtual
bodyText ||| Environments (DVEs) have been making the transition from
bodyText ||| research labs to commercial products, the term distributed graphics
bodyText ||| is increasingly used to refer to systems for distributing the shared
bodyText ||| graphical state of multi-display/multi-person, distributed, interac-
bodyText ||| tive applications (Figure 1b). This is the definition that we use here.
bodyText ||| While many excellent, high-level programming libraries are
bodyText ||| available for building stand-alone 3D applications (e.g. Inventor
bodyText ||| [35], Performer [29], Java 3D [33]), there are no similarly powerful
bodyText ||| and general libraries for building distributed 3D graphics applica-
bodyText ||| tions. All CSCW and DVE systems with which we are familiar
bodyText ||| (e.g., [1, 7, 11, 12, 16, 28, 30, 31, 32, 34, 37, 41]) use the following
bodyText ||| approach: A mechanism is provided for distributing application
bodyText ||| state (either a custom solution or one based on a general-purpose
bodyText ||| distributed programming environment, such as ISIS [4] or Obliq
bodyText ||| [8]), and the state of the graphical display is maintained separately
bodyText ||| in the local graphics library. Keeping these “dual databases” syn-
bodyText ||| chronized is a complex, tedious, and error-prone endeavor. In con-
bodyText ||| trast, some non-distributed libraries, such as Inventor [35], allow
bodyText ||| programmers to avoid this problem by using the graphical scene
bodyText ||| description to encode application state. Extending this “single data-
bodyText ||| base” model to a distributed 3D graphics library is the goal of our
bodyText ||| work on Repo-3D.
bodyText ||| Repo-3D is an object-oriented, high-level graphics package,
bodyText ||| derived from Obliq-3D [25]. Its 3D graphics facilities are similar to
bodyText ||| those of other modern high-level graphics libraries. However, the
bodyText ||| objects used to create the graphical scenes are directly distribut-
bodyText ||| able—from the programmer’s viewpoint, the objects reside in one
bodyText ||| large distributed shared memory (DSM) instead of in a single
bodyText ||| process. The underlying system replicates any of the fine-grained
bodyText ||| objects across as many processes as needed, with no additional
bodyText ||| effort on the part of the programmer. Updates to objects are
bodyText ||| automatically reflected in all replicas, with any required objects
bodyText ||| automatically distributed as needed. By integrating the replicated
bodyText ||| objects into the programming languages we use, distributed
bodyText ||| applications may be built using Repo-3D with little more difficulty
bodyText ||| than building applications in a single process.
bodyText ||| No matter how simple the construction of a distributed applica-
bodyText ||| tion may be, a number of differences between distributed and
bodyText ||| monolithic applications must be addressed. These include:
listItem ||| •	Distributed control. In a monolithic application, a single com-
listItem ||| ponent can oversee the application and coordinate activities
listItem ||| among the separate components by notifying them of changes
listItem ||| to the application state. This is not possible in a non-trivial dis-
listItem ||| tributed application. Therefore, we must provide mechanisms
listItem ||| for different components to be notified of changes to the
listItem ||| distributed state.
listItem ||| •	Interactivity. Updates to distributed state will be slower than
listItem ||| updates to local state, and the amount of data that can be
listItem ||| distributed is limited by network bandwidth. If we do not want
listItem ||| to sacrifice interactive speed, we must be able to perform some
listItem ||| operations locally. For example, an object could be dragged
listItem ||| locally with the mouse, with only a subset of the changes
listItem ||| applied to the replicated state.
listItem ||| •	Local variations. There are times when a shared graphical
listItem ||| scene may need to be modified locally. For example, a
listItem ||| programmer may want to highlight the object under one user’s
listItem ||| mouse pointer without affecting the scene graph viewed by
listItem ||| other users.
bodyText ||| Repo-3D addresses these problems in two ways. First, a
bodyText ||| programmer can associate a notification object with any replicated
bodyText ||| object. The notification object’s methods will be invoked when the
bodyText ||| replicated object is updated. This allows reactive programs to be
bodyText ||| built in a straightforward manner. To deal with the second and third
bodyText ||| problems, we introduce the notion of local variations to graphical
bodyText ||| objects. That is, we allow the properties of a graphical object to be
bodyText ||| modified locally, and parts of the scene graph to be locally added,
bodyText ||| removed, or replaced.
bodyText ||| In Section 2 we describe how we arrived at the solution presented
bodyText ||| here. Section 3 discusses related work, and Section 4 offers a
bodyText ||| detailed description of the underlying infrastructure that was used.
bodyText ||| The design of Repo-3D is presented in Section 5, followed by
bodyText ||| some examples and concluding remarks in Sections 6 and 7.
sectionHeader ||| 2 BACKGROUND
bodyText ||| Repo-3D was created as part of a project to support rapid prototyp-
bodyText ||| ing of distributed, interactive 3D graphical applications, with a
bodyText ||| particular focus on DVEs. Our fundamental belief is that by
bodyText ||| providing uniform high-level support for distributed programming
bodyText ||| in the languages and toolkits we use, prototyping and experiment-
bodyText ||| ing with distributed interactive applications can be (almost) as
bodyText ||| simple as multi-threaded programming in a single process. While
bodyText ||| care must be taken to deal with network delays and bandwidth
bodyText ||| limitations at some stage of the program design (the languages and
bodyText ||| toolkits ought to facilitate this), it should be possible to ignore such
bodyText ||| issues until they become a problem. Our view can be summarized
bodyText ||| by a quote attributed to Alan Kay, “Simple things should be
bodyText ||| simple; complex things should be possible.”
bodyText ||| This is especially true during the exploration and prototyping
bodyText ||| phase of application programming. If programmers are forced to
bodyText ||| expend significant effort building the data-distribution components
bodyText ||| of the application at an early stage, not only will less time be spent
bodyText ||| exploring different prototypes, but radical changes in direction will
bodyText ||| become difficult, and thus unlikely. For example, the implementa-
bodyText ||| tion effort could cause programs to get locked into using a commu-
bodyText ||| nication scheme that may eventually prove less than ideal, or even
bodyText ||| detrimental, to the program’s final design.
bodyText ||| Since we are using object-oriented languages, we also believe
bodyText ||| that data distribution should be tightly integrated with the
bodyText ||| language’s general-purpose objects. This lets the language’s type
bodyText ||| system and programming constructs reduce or eliminate errors in
bodyText ||| the use of the data-distribution system. Language-level integration
bodyText ||| also allows the system to exhibit a high degree of network data
bodyText ||| transparency, or the ability for the programmer to use remote and
bodyText ||| local data in a uniform manner. Without pervasive, structured,
bodyText ||| high-level data-distribution support integrated into our program-
bodyText ||| ming languages and libraries, there are applications that will never
bodyText ||| be built or explored, either because there is too much programming
bodyText ||| overhead to justify trying simple things (“simple things are not
bodyText ||| simple”), or because the added complexity of using relatively
bodyText ||| primitive tools causes the application to become intractable (“com-
bodyText ||| plex things are not possible”).
bodyText ||| Of the tools available for integrating distributed objects into
bodyText ||| programming languages, client-server data sharing is by far the
bodyText ||| most common approach, as exemplified by CORBA [26],
bodyText ||| Modula-3 Network Objects [5], and Java RMI [39]. Unfortunately,
bodyText ||| interactive graphical applications, such as virtual reality, require
bodyText ||| that the data used to refresh the display be local to the process
bodyText ||| doing the rendering or acceptable frame refresh rates will not be
bodyText ||| achieved. Therefore, pure client-server approaches are inappropri-
bodyText ||| ate because at least some of the shared data must be replicated.
bodyText ||| Furthermore, since the time delay of synchronous remote method
bodyText ||| calls is unsuitable for rapidly changing graphical applications,
bodyText ||| shared data should be updated asynchronously. Finally, when data
bodyText ||| is replicated, local access must still be fast.
bodyText ||| The most widely used protocols for replicated data consistency,
bodyText ||| and thus many of the toolkits (e.g., ISIS [4] and Visual-Obliq [3]),
bodyText ||| allow data updates to proceed unimpeded, but block threads read-
bodyText ||| ing local data until necessary updates arrive. The same reason we
bodyText ||| need replicated data in the first place—fast local read access to the
bodyText ||| data—makes these protocols unsuitable for direct replication of the
bodyText ||| graphical data. Of course, these protocols are fine for replicating
bodyText ||| application state that will then be synchronized with a parallel
bodyText ||| graphical scene description, but that is what we are explicitly try-
bodyText ||| ing to avoid. Fortunately, there are replicated data systems (e.g.,
bodyText ||| Orca [2] or COTERIE [24]) that provide replicated objects that are
bodyText ||| well suited to interactive applications, and it is upon the second of
bodyText ||| these systems that Repo-3D is built.
sectionHeader ||| 3 RELATED WORK
bodyText ||| There has been a significant amount of work that falls under the
bodyText ||| first, older definition of distributed graphics. A large number of
bodyText ||| systems, ranging from established commercial products (e.g., IBM
bodyText ||| Visualization Data Explorer [21]) to research systems (e.g.,
bodyText ||| PARADISE [19] and ATLAS [14]), have been created to distribute
bodyText ||| interactive graphical applications over a set of machines. However,
bodyText ||| the goal of these systems is to facilitate sharing of application data
bodyText ||| between processes, with one process doing the rendering. While
bodyText ||| some of these systems can be used to display graphics on more
bodyText ||| than one display, they were not designed to support high-level
bodyText ||| sharing of graphical scenes.
bodyText ||| Most high-level graphics libraries, such as UGA [40], Inventor
bodyText ||| [35] and Java 3D [33], do not provide any support for distribution.
bodyText ||| Others, such as Performer [29], provide support for distributing
bodyText ||| components of the 3D graphics rendering system across multiple
bodyText ||| processors, but do not support distribution across multiple
bodyText ||| machines. One notable exception is TBAG [13], a high-level
bodyText ||| constraint-based, declarative 3D graphics framework. Scenes in
bodyText ||| TBAG are defined using constrained relationships between time-
bodyText ||| varying functions. TBAG allows a set of processes to share a
bodyText ||| single, replicated constraint graph. When any process asserts or
bodyText ||| retracts a constraint, it is asserted or retracted in all processes.
bodyText ||| However, this means that all processes share the same scene, and
bodyText ||| that the system’s scalability is limited because all processes have a
bodyText ||| copy of (and must evaluate) all constraints, whether or not they are
bodyText ||| interested in them. There is also no support for local variations of
bodyText ||| the scene in different processes.
bodyText ||| Machiraju [22] investigated an approach similar in flavor to ours,
bodyText ||| but it was not aimed at the same fine-grained level of interactivity
bodyText ||| and was ultimately limited by the constraints of the implementa-
bodyText ||| tion platform (CORBA and C++). For example, CORBA objects
bodyText ||| are heavyweight and do not support replication, so much of their
bodyText ||| effort was spent developing techniques to support object migration
bodyText ||| and “fine-grained” object sharing. However, their fine-grained
bodyText ||| objects are coarser than ours, and, more importantly, they do not
bodyText ||| support the kind of lightweight, transparent replication we desire.
bodyText ||| A programmer must explicitly choose whether to replicate, move,
bodyText ||| or copy an object between processes when the action is to occur (as
bodyText ||| opposed to at object creation time). Replicated objects are indepen-
bodyText ||| dent new copies that can be modified and used to replace the origi-
bodyText ||| nal—simultaneous editing of objects, or real-time distribution of
bodyText ||| changes as they are made is not supported.
bodyText ||| Of greater significance is the growing interest for this sort of sys-
bodyText ||| tem in the Java and VRML communities. Java, like Modula-3, is
bodyText ||| much more suitable as an implementation language than C or C++
bodyText ||| because of its cross-platform compatibility and support for threads
bodyText ||| and garbage collection: Without the latter two language features,
bodyText ||| implementing complex, large-scale distributed applications is
bodyText ||| extremely difficult. Most of the current effort has been focused on
bodyText ||| using Java as a mechanism to facilitate multi-user VRML worlds
bodyText ||| (e.g., Open Communities [38]). Unfortunately, these efforts
bodyText ||| concentrate on the particulars of implementing shared virtual
bodyText ||| environments and fall short of providing a general-purpose shared
bodyText ||| graphics library. For example, the Open Communities work is
bodyText ||| being done on top of SPLINE [1], which supports only a single
bodyText ||| top-level world in the local scene database.
bodyText ||| Most DVEs [11, 12, 16, 31, 32] provide support for creating
bodyText ||| shared virtual environments, not general purpose interactive 3D
bodyText ||| graphics applications. They implement a higher level of abstrac-
bodyText ||| tion, providing support for rooms, objects, avatars, collision detec-
bodyText ||| tion, and other things needed in single, shared, immersive virtual
bodyText ||| environments. These systems provide neither general-purpose
bodyText ||| programming facilities nor the ability to work with 3D scenes at a
bodyText ||| level provided by libraries such as Obliq-3D or Inventor. Some use
bodyText ||| communication schemes that prevent them from scaling beyond a
bodyText ||| relatively small number of distributed processes, but for most the
bodyText ||| focus is explicitly on efficient communication. SIMNET [7], and
bodyText ||| the later NPSNet [41], are perhaps the best known large-scale
bodyText ||| distributed virtual-environment systems. They use a fixed, well-
bodyText ||| defined communication protocol designed to support a single,
bodyText ||| large-scale, shared, military virtual environment.
bodyText ||| The techniques for object sharing implemented in recent CSCW
bodyText ||| toolkits [28, 30, 34, 37] provide some of the features we need,
bodyText ||| particularly automatic replication of data to ease construction of
bodyText ||| distributed applications. However, none of these toolkits has
bodyText ||| integrated the distribution of data into its programming language’s
bodyText ||| object model as tightly as we desire. As a result, they do not pro-
bodyText ||| vide a high enough level of network data transparency or suffi-
bodyText ||| ciently strong consistency guarantees. In groupware applications,
bodyText ||| inconsistencies tend to arise when multiple users attempt to per-
bodyText ||| form conflicting actions: the results are usually obvious to the
bodyText ||| users and can be corrected using social protocols. This is not an
bodyText ||| acceptable solution for a general-purpose, distributed 3D graphics
bodyText ||| toolkit. Furthermore, none of these CSCW systems provides any
bodyText ||| support for asynchronous update notification, or is designed to
bodyText ||| support the kind of large-scale distribution we have in mind.
bodyText ||| Finally, while distributed games, such as Quake, have become
bodyText ||| very popular, they only distribute the minimum amount of applica-
bodyText ||| tion state necessary. They do not use (or provide) an abstract, high-
bodyText ||| level distributed 3D graphics system.
bodyText ||| Network
figureCaption ||| Figure 2: The architecture of Repo-3D. Aside from native graphics
figureCaption ||| libraries (X, Win32, OpenGL, Renderware) the Modula-3 runtime
figureCaption ||| shields most of the application from the OS. The Replicated Object
figureCaption ||| package uses an Event communication package and the Network
figureCaption ||| Object package. DistAnim-3D is implemented on top of a variety of
figureCaption ||| native graphics libraries and Replicated Objects. Repo exposes most of
figureCaption ||| the useful Modula-3 packages, as well as using Network Objects and
figureCaption ||| Replicated Objects to present a distributed shared memory model to
figureCaption ||| the programmer.
sectionHeader ||| 4 UNDERLYING INFRASTRUCTURE
bodyText ||| Our work was done in the Modula-3 programming language [18].
bodyText ||| We decided to use Modula-3 because of the language itself and the
bodyText ||| availability of a set of packages that provide a solid foundation for
bodyText ||| our infrastructure. Modula-3 is a descendant of Pascal that corrects
bodyText ||| many of its deficiencies, and heavily influenced the design of Java.
bodyText ||| In particular, Modula-3 retains strong type safety, while adding
bodyText ||| facilities for exception handling, concurrence object-oriented
bodyText ||| programming, and automatic garbage collection . One of its most
bodyText ||| important features for our work is that it gives us uniform access to
bodyText ||| these facilities across all architectures.
bodyText ||| Repo-3D relies on a number of Modula-3 libraries, as illustrated
bodyText ||| in Figure 2. Distributed data sharing is provided by two packages,
bodyText ||| the Network Object client-server object package [5], and the
bodyText ||| Replicated Object shared object package [24] (see Section 4.1).
bodyText ||| DistAnim-3D is derived from Anim-3D [25], a powerful, non-
bodyText ||| distributed, general-purpose 3D library originally designed for 3D
bodyText ||| algorithm animation (see Section 4.2). Finally, Repo itself is a
bodyText ||| direct descendant of Obliq [8], and uses the Replicated Object
bodyText ||| package to add replicated data to Obliq (see Section 4.3).
subsectionHeader ||| 4.1 Distributed Shared Memory
bodyText ||| Repo-3D’s data sharing mechanism is based on the Shared Data-
bodyText ||| Object Model of Distributed Shared Memory (DSM) [20]. DSM
bodyText ||| allows a network of computers to be programmed much like a mul-
bodyText ||| tiprocessor, since the programmer is presented with the familiar
bodyText ||| paradigm of a common shared memory. The Shared Data-Object
bodyText ||| Model of DSM is particularly well suited to our needs since it is a
bodyText ||| high-level approach that can be implemented efficiently at the
bodyText ||| application level. In this model, shared data is encapsulated in
bodyText ||| user-defined objects and can only be accessed through those
bodyText ||| objects’ method calls. The DSM address space is partitioned
bodyText ||| implicitly by the application programmer, with an object being the
bodyText ||| smallest unit of sharing. All shared data is fully network transpar-
footnote ||| 2. The Modula-3 compiler we used is available from Critical Mass, Inc. as
footnote ||| part of the Reactor programming environment. The compiler, and thus
footnote ||| our system, runs on all the operating systems we have available (plus
footnote ||| others): Solaris, IRIX, HP-UX, Linux, and Windows NT and 95.
figure ||| Repo-3D
figure ||| Modula-3 Runtime
figure ||| Operating System Services
figure ||| Repo
figure ||| Network Objects
figure ||| Replicated Objects
figure ||| Events
figure ||| DistAnim-3D
figure ||| Native
figure ||| Graphics
bodyText ||| ent because it is encapsulated within the programming language
bodyText ||| objects.
bodyText ||| Distribution of new objects between the processes is as simple as
bodyText ||| passing them back and forth as parameters to, or return values
bodyText ||| from, method calls—the underlying systems take care of the rest.3
bodyText ||| Objects are only distributed to new processes as necessary, and (in
bodyText ||| our system) are removed by the garbage collector when they are no
bodyText ||| longer referenced. Furthermore, distributed garbage collection is
bodyText ||| supported, so objects that are no longer referenced in any process
bodyText ||| are removed completely.
bodyText ||| There are three kinds of distributed object semantics in our DSM:
listItem ||| •	Simple objects correspond to normal data objects, and have no
listItem ||| special distributed semantics. When a simple object is copied
listItem ||| between processes, a new copy is created in the destination
listItem ||| process that has no implied relationship to the object in the
listItem ||| source process.
listItem ||| •	Remote objects have client-server distribution semantics. When
listItem ||| a remote object is copied between processes, all processes
listItem ||| except the one in which the object was created end up with a
listItem ||| proxy object that forwards method invocations across the
listItem ||| network to the original object.
listItem ||| •	Replicated objects have replicated distribution semantics.
listItem ||| When a replicated object is passed between processes, a new
listItem ||| replica is created in the destination process. If any replica is
listItem ||| changed, the change is reflected in all replicas.
bodyText ||| The Network Object package provides support for remote
bodyText ||| objects. It implements distributed garbage collection, exception
bodyText ||| propagation back to the calling site, and automatic marshalling and
bodyText ||| unmarshalling of method arguments and return values of virtually
bodyText ||| any data type between heterogeneous machine architectures. The
bodyText ||| package is similar to other remote method invocation (RMI) pack-
bodyText ||| ages developed later, such as the Java RMI library [39]. All method
bodyText ||| invocations are forwarded to the original object, where they are
bodyText ||| executed in the order they are received.
bodyText ||| The Replicated Object package supports replicated objects. Each
bodyText ||| process can call any method of an object it shares, just as it can
bodyText ||| with a simple or remote object. We will describe the Replicated
bodyText ||| Object package in more detail, as Repo-3D relies heavily on its
bodyText ||| design, and the design of a replicated object system is less straight-
bodyText ||| forward than a remote one. The model supported by the Replicated
bodyText ||| Object package follows two principles:
listItem ||| •	All operations on an instance of an object are atomic and
listItem ||| serializable. All operations are performed in the same order on
listItem ||| all copies of the object. If two methods are invoked simulta-
listItem ||| neously, the order of invocation is nondeterministic, just as if
listItem ||| two threads attempted to access the same memory location
listItem ||| simultaneously in a single process.
listItem ||| •	The above principle applies to operations on single objects.
listItem ||| Making sequences of operations atomic is up to the program-
listItem ||| mer.
bodyText ||| The implementation of the Replicated Object package is based
bodyText ||| on the approach used in the Orca distributed programming
bodyText ||| language [2]. A full replication scheme is used, where a single
bodyText ||| object is either fully replicated in a process or not present at all.
bodyText ||| Avoiding partial replication significantly simplifies the implemen-
bodyText ||| tation and the object model, and satisfies the primary rationale for
bodyText ||| replication: fast read-access to shared data. To maintain replication
bodyText ||| consistency an update scheme is used, where updates to the object
bodyText ||| are applied to all copies.
footnote ||| 3. An important detail is how the communication is bootstrapped. In the
footnote ||| case of the Network and Replicated Object packages, to pass a first
footnote ||| object between processes, one of them exports the object to a special
footnote ||| network object demon under some known name on some known
footnote ||| machine. The second process then retrieves the object.
bodyText ||| The method of deciding what is and is not an update is what
bodyText ||| makes the Orca approach particularly interesting and easy to
bodyText ||| implement. All methods are marked as either read or update meth-
bodyText ||| ods by the programmer who creates the object type. Read methods
bodyText ||| are assumed to not change the state of the object and are therefore
bodyText ||| applied immediately to the local object without violating consis-
bodyText ||| tency. Update methods are assumed to change the state. To distrib-
bodyText ||| ute updates, arguments to the update method are marshalled into a
bodyText ||| message and sent to all replicas. To ensure all updates are applied
bodyText ||| in the same order, the current implementation of the Replicated
bodyText ||| Object package designates a sequencer process for each object.
bodyText ||| There may be more than one sequencer in the system to avoid
bodyText ||| overloading one process with all the objects (in this case, each
bodyText ||| object has its updates managed by exactly one of the sequencers.)
bodyText ||| The sequencer is responsible for assigning a sequence number to
bodyText ||| each message before it is sent to all object replicas. The replicas
bodyText ||| then execute the incoming update messages in sequence. The pro-
bodyText ||| cess that initiated the update does not execute the update until it
bodyText ||| receives a message back from the sequencer and all updates with
bodyText ||| earlier sequence numbers have been executed.
bodyText ||| There are three very important reasons for choosing this
bodyText ||| approach. First, it is easy to implement on top of virtually any
bodyText ||| object-oriented language, using automatically generated object
bodyText ||| subtypes and method wrappers that communicate with a simple
bodyText ||| runtime system. We do this in our Modula-3 implementation, and it
bodyText ||| would be equally applicable to an implementation in C++ or Java.
bodyText ||| For example, the JSDT [36] data-sharing package in Java uses a
bodyText ||| similar approach.
bodyText ||| Second, the Replicated Object package does not pay attention to
bodyText ||| (or even care) when the internal data fields of an object change.
bodyText ||| This allows the programmer great flexibility in deciding exactly
bodyText ||| what constitutes an update or not, and what constitutes the shared
bodyText ||| state 4. For example, objects could have a combination of global
bodyText ||| and local state, and the methods that change the local state could
bodyText ||| be classified as read methods since they do not modify the global
bodyText ||| state. Alternatively, read methods could do some work locally and
bodyText ||| then call an update method to propagate the results, allowing time-
bodyText ||| consuming computation to be done once and the result distributed
bodyText ||| in a clean way. We took advantage of both of these techniques in
bodyText ||| implementing Repo-3D.
bodyText ||| Finally, the immediate distribution of update methods ensures
bodyText ||| that changes are distributed in a timely fashion, and suggests a
bodyText ||| straightforward solution to the asynchronous notification problem.
bodyText ||| The Replicated Object package generates a Notification Object
bodyText ||| type for each Replicated Object type. These new objects have
bodyText ||| methods corresponding to the update methods of their associated
bodyText ||| Replicated Object. The arguments to these methods are the same as
bodyText ||| the corresponding Replicated Object methods, plus an extra
bodyText ||| argument to hold the Replicated Object instance. These notifiers
bodyText ||| can be used by a programmer to receive notification of changes to
bodyText ||| a Replicated Object in a structured fashion. To react to updates to a
bodyText ||| Replicated Object instance, a programmer simply overrides the
bodyText ||| methods of the corresponding Notification Object with methods
bodyText ||| that react appropriately to those updates, and associates an instance
footnote ||| 4. Of course, it falls squarely on the shoulders of the programmer to
footnote ||| ensure that the methods provided always leave the object in a consistent
footnote ||| state. This is not significantly different than what needs to be done
footnote ||| when building a complex object that is simultaneously accessed by
footnote ||| multiple threads in a non-distributed system. For example, if a
footnote ||| programmer reads an array of numbers from inside the object and then
footnote ||| uses an update method to write a computed average back into the
footnote ||| object, the internal array may have changed before the average is
footnote ||| written, resulting in a classic inconsistency problem. In general,
footnote ||| methods that perform computations based on internal state (rather than
footnote ||| on the method arguments) are potentially problematic and need to be
footnote ||| considered carefully.
figure ||| RootGO
figure ||| ChoiceGroupGO
figure ||| OrthoCameraGO
figure ||| PerspCameraGO
figure ||| AmbientLightGO
figure ||| VectorLightGO
figure ||| PointLightGO
figure ||| SpotLightGO
figure ||| GO
figure ||| IndexedLineSetGO
figure ||| NonSurfaceGO
figure ||| Text2DGO
figure ||| PolygonGO
figure ||| BoxGO
figure ||| SphereGO
figure ||| CylinderGO
figure ||| DiskGO
figure ||| TorusGO
figure ||| QuadMeshGO
figure ||| IndexedPolygonSetGO
figureCaption ||| Figure 3: The Repo-3D GO class hierarchy. Most of the classes are
figureCaption ||| also in Obliq-3D; the italicized ones were added to Repo-3D.
figureCaption ||| Figure 4: The relationship between properties, names, values, and
figureCaption ||| behaviors. Each oval represents an object and arrows show contain-
figureCaption ||| ment.
bodyText ||| of it with the Replicated Object instance. Each time an update
bodyText ||| method of the Replicated Object is invoked, the corresponding
bodyText ||| method of the Notifier Object is also invoked. Notification Objects
bodyText ||| eliminate the need for object polling and enable a “data-driven”
bodyText ||| flow of control.
subsectionHeader ||| 4.2 Obliq-3D
bodyText ||| Obliq-3D is composed of Anim-3D, a 3D animation package
bodyText ||| written in Modula-3, and a set of wrappers that expose Anim-3D to
bodyText ||| the Obliq programming language (see Section 4.3). Anim-3D is
bodyText ||| based on three simple and powerful concepts: graphical objects for
bodyText ||| building graphical scenes, properties for specifying the behavior of
bodyText ||| the graphical objects, and input event callbacks to support interac-
bodyText ||| tive behavior. Anim-3D uses the damage-repair model: whenever a
bodyText ||| graphical object or property changes (is damaged), the image is
bodyText ||| repaired without programmer intervention.
bodyText ||| Graphical objects (GOs) represent all the logical entities in the
bodyText ||| graphical scene: geometry (e.g., lines, polygons, spheres, polygon
bodyText ||| sets, and text), lights and cameras of various sorts, and groups of
bodyText ||| other GOs. One special type of group, the RootGO, represents a
bodyText ||| window into which graphics are rendered. GOs can be grouped
bodyText ||| together in any valid directed acyclic graph (DAG). The GO class
bodyText ||| hierarchy is shown in Figure 3.
bodyText ||| A property is a defined by a name and a value. The name deter-
bodyText ||| mines which attribute is affected by the property, such as “Texture
bodyText ||| Mode” or “Box Corner1”. The value specifies how it is affected
bodyText ||| and is determined by its behavior, a time-variant function that
bodyText ||| takes the current animation time and returns a value. Properties,
bodyText ||| property values, and behaviors are all objects, and their relation-
bodyText ||| ships are shown in Figure 4. When a property is created, its name
bodyText ||| and value are fixed. However, values are mutable and their behav-
bodyText ||| ior may be changed at any time. There are four kinds of behaviors
bodyText ||| for each type of properties: constant (do not vary over time),
bodyText ||| synchronous (follow a programmed set of requests, such as “move
bodyText ||| from A to B starting at time t=1 and taking 2 seconds”), asynchro-
bodyText ||| nous (execute an arbitrary time-dependent function to compute the
bodyText ||| value) and dependent (asynchronous properties that depend on
bodyText ||| other properties). Synchronous properties are linked to animation
bodyText ||| handles and do not start satisfying their requests until the anima-
bodyText ||| tion handle is signalled. By linking multiple properties to the same
bodyText ||| handle, a set of property value changes can be synchronized.
bodyText ||| Associated with each GO g is a partial mapping of property
bodyText ||| names to values determined by the properties that have been asso-
bodyText ||| ciated with g. A property associated with g affects not only g but
bodyText ||| all the descendants of g that do not override the property. A single
bodyText ||| property may be associated with any number of GOs. It is perfectly
bodyText ||| legal to associate a property with a GO that is not affected by it; for
bodyText ||| example, attaching a “Surface Color” property to a GroupGO does
bodyText ||| not affect the group node itself, but could potentially affect the
bodyText ||| surface color of any GO contained in that group. A RootGO sets an
bodyText ||| initial default value for each named property.
bodyText ||| There are three types of input event callbacks in Anim-3D, corre-
bodyText ||| sponding to the three kinds of interactive events they handle:
bodyText ||| mouse callbacks (triggered by mouse button events), motion call-
bodyText ||| backs (triggered by mouse motion events) and keyboard callbacks
bodyText ||| (triggered by key press events). Each object has three callback
bodyText ||| stacks, and the interactive behavior of an object can be redefined
bodyText ||| by pushing a new callback onto the appropriate stack. Any event
bodyText ||| that occurs within a root window associated with a RootGO r will
bodyText ||| be delivered to the top handler on r’s callback stack. The handler
bodyText ||| could delegate the event to one of r’s children, or it may handle it
bodyText ||| itself, perhaps changing the graphical scene in some way.
bodyText ||| DistAnim-3D is a direct descendant of Anim-3D. In addition to
bodyText ||| the objects being distributed, it has many additional facilities that
