title ||| 2-Source Dispersers for Sub-Polynomial Entropy and
construct ||| putable 2-source extractor f : ({0, 1}n)2 → {0, 1}m for en-
construct ||| tropy .4999n and m = 0(n).
bodyText ||| No better bounds are known for 2-source extractors. Now
bodyText ||| we turn our attention to 2-source dispersers. It turned out
bodyText ||| that progress for building good 2-source dispersers came via
bodyText ||| progress on extractors for more than 2 sources, all happening
bodyText ||| in fast pace in the last 2 years. The seminal paper of Bour-
bodyText ||| gain, Katz and Tao [6] proved the so-called ”sum-product
bodyText ||| theorem” in prime fields, a result in arithmetic combina-
bodyText ||| torics. This result has already found applications in diverse
bodyText ||| areas of mathematics, including analysis, number theory,
bodyText ||| group theory and ... extractor theory. Their work implic-
bodyText ||| itly contained dispersers for c = O(log(n/k)) independent
bodyText ||| sources of entropy k (with output m = Q(k)). The use of
bodyText ||| the ”sum-product” theorem was then extended by Barak et
bodyText ||| al. [3] to give extractors with similar parameters. Note that
bodyText ||| for linear entropy k = 0(n), the number of sources needed
bodyText ||| for extraction c is a constant!
bodyText ||| Relaxing the independence assumptions via the idea of
bodyText ||| repeated condensing, allowed the reduction of the number
bodyText ||| of independent sources to c = 3, for extraction from sources
bodyText ||| of any linear entropy k = 0(n), by Barak et al. [4] and
bodyText ||| independently by Raz [18].
bodyText ||| For 2 sources Barak et al. [4] were able to construct dis-
bodyText ||| persers for sources of entropy o(n). To do this, they first
bodyText ||| showed that if the sources have extra structure (block-source
bodyText ||| structure, defined below), even extraction is possible from 2
bodyText ||| sources. The notion of block-sources, capturing ”semi inde-
bodyText ||| pendence” of parts of the source, was introduced by Chor
bodyText ||| and Goldreich [8]. It has been fundamental in the develop-
bodyText ||| ment of seeded extractors and as we shall see, is essential
bodyText ||| for us as well.
construct ||| DefInItIOn 1.8 ([8] ). A distribution X = X1, ... , Xc
construct ||| is a c-block-source of (block) entropy k if every block Xi
construct ||| has entropy k even conditioned on fixing the previous blocks
construct ||| X1, • • • , Xi_1 to arbitrary constants.
footnote ||| 3The error is usually measured in terms of ℓ1 distance or
footnote ||| variation distance.
bodyText ||| This definition allowed Barak et al. [4] to show that their
bodyText ||| extractor for 4 independent sources, actually performs as
bodyText ||| well with only 2 independent sources, as long as both are
bodyText ||| 2-block-sources.
construct ||| TheOrem 1.9 ([4] ). There exists a polynomial time com-
construct ||| putable extractor f : ({0, 1}n)2 → {0, 1} for 2 independent
construct ||| 2-block-sources with entropy o(n).
bodyText ||| There is no reason to assume that the given sources are
bodyText ||| block-sources, but it is natural to try and reduce to this
bodyText ||| case. This approach has been one of the most successful in
bodyText ||| the extractor literature. Namely try to partition a source
bodyText ||| X into two blocks X = X1, X2 such that X1, X2 form a
bodyText ||| 2-block-source. Barak et al. introduced a new technique to
bodyText ||| do this reduction called the Challenge-Response mechanism,
bodyText ||| which is crucial for this paper. This method gives a way to
bodyText ||| “find” how entropy is distributed in a source X, guiding the
bodyText ||| choice of such a partition. This method succeeds only with
bodyText ||| small probability, dashing the hope for an extractor, but still
bodyText ||| yielding a disperser.
construct ||| TheOrem 1.10 ([4] ). There exists a polynomial time
construct ||| computable 2-source disperser f : ({0, 1}n)2 → {0, 1} for
construct ||| entropy o(n).
bodyText ||| Reducing the entropy requirement of the above 2-source
bodyText ||| disperser, which is what we achieve in this paper, again
bodyText ||| needed progress on achieving a similar reduction for extrac-
bodyText ||| tors with more independent sources. A few months ago Rao
bodyText ||| [?] was able to significantly improve all the above results
bodyText ||| for c ≥ 3 sources. Interestingly, his techniques do not use
bodyText ||| arithmetic combinatorics, which seemed essential to all the
bodyText ||| papers above. He improves the results of Barak et al. [3] to
bodyText ||| give c = O((logn)/(logk))-source extractors for entropy k.
bodyText ||| Note that now the number c of sources needed for extraction
bodyText ||| is constant, even when the entropy is as low as nδ for any
bodyText ||| constant δ!
bodyText ||| Again, when the input sources are block-sources with suf-
bodyText ||| ficiently many blocks, Rao proves that 2 independent sources
bodyText ||| suffice (though this result does rely on arithmetic combina-
bodyText ||| torics, in particular, on Bourgain’s extractor).
construct ||| TheOrem 1.11 ([?] ). There is a polynomial time com-
construct ||| putable extractor f : ({0, 1}n)2 → {0, 1}m for 2 independent
construct ||| c-block-sources with block entropy k and m = 0(k), as long
construct ||| as c = O((log n)/(log k)).
bodyText ||| In this paper (see Theorem 2.7 below) we improve this
bodyText ||| result to hold even when only one of the 2 sources is a c-
bodyText ||| block-source. The other source can be an arbitrary source
bodyText ||| with sufficient entropy. This is a central building block in
bodyText ||| our construction. This extractor, like Rao’s above, critically
bodyText ||| uses Bourgain’s extractor mentioned above. In addition it
bodyText ||| uses a theorem of Raz [18] allowing seeded extractors to have
bodyText ||| ”weak” seeds, namely instead of being completely random
bodyText ||| they work as long as the seed has entropy rate &gt; 1/2.
sectionHeader ||| 2. MAIN NOTIONS AND NEW RESULTS
bodyText ||| The main result of this paper is a polynomial time com-
bodyText ||| putable disperser for 2 sources of entropy no(1), significantly
bodyText ||| improving both the results of Barak et al. [4] (o(n) entropy).
bodyText ||| It also improves on Frankl and Wilson [9], who only built
bodyText ||| Ramsey Graphs and only for entropy ~O(√n).
bodyText ||| = (x, y)( mod 2). It is an extractor for entropy
page ||| 673
construct ||| ThEOREm 2.1 (MaIn thEOREm, REStatEd). There ex-
construct ||| ists a polynomial time computable 2-source disperser D :
construct ||| ({0, 1}n)2 → {0, 1} for entropy no(1).
bodyText ||| The construction of this disperser will involve the con-
bodyText ||| struction of an object which in some sense is stronger and
bodyText ||| in another weaker than a disperser: a subsource somewhere
bodyText ||| extractor. We first define a related object: a somewhere ex-
bodyText ||| tractor, which is a function producing several outputs, one of
bodyText ||| which must be uniform. Again we will ignore many technical
bodyText ||| issues such as error, min-entropy vs. entropy and more, in
bodyText ||| definitions and results, which are deferred to the full version
bodyText ||| of this paper.
construct ||| DEfInItIOn 2.2. A function f : ({0, 1}n)2 → ({0,1}m)ℓ
construct ||| is a 2-source somewhere extractor with ℓ outputs, for entropy
construct ||| k, if for every 2 independent k-sources X, Y there exists an
construct ||| i ∈ [ℓ] such the ith output f (X, Y)i is a uniformly distributed
construct ||| string of m bits.
bodyText ||| Here is a simple construction of such a somewhere extrac-
bodyText ||| tor with ℓ as large as poly(n) (and the p in its name will
bodyText ||| stress the fact that indeed the number of outputs is that
bodyText ||| large). It will nevertheless be useful to us (though its de-
bodyText ||| scription in the next sentence may be safely skipped). Define
bodyText ||| pSE(x, y)i = V(E(x, i), E(y, i)) where E is a ”strong” loga-
bodyText ||| rithmic seed extractor, and V is the Hadamard/Vazirani 2-
bodyText ||| source extractor. Using this construction, it is easy to see
bodyText ||| that:
construct ||| PROPOSItIOn 2.3. For every n, k there is a polynomial
construct ||| time computable somewhere extractor pSE : ({0, 1}n)2 →
construct ||| ({0, 1}m)ℓ with ℓ = poly(n) outputs, for entropy k, and m =
construct ||| Q(k).
bodyText ||| Before we define subsource somewhere extractor, we must
bodyText ||| first define a subsource.
construct ||| DEfInItIOn 2.4 (SUBSOURCES). Given random variables
construct ||| Z and Z^ on {0, 1}n we say that Z^ is a deficiency d subsource
construct ||| of Z and write Z^ ⊆ Z if there exists a set A ⊆ {0,1}n such
construct ||| that (Z|Z ∈ A) = Z^ and Pr[Z ∈ A] ≥ 2-d.
bodyText ||| A subsource somewhere extractor guarantees the ”some-
bodyText ||| where extractor” property only on subsources X&apos;, Y&apos; of the
bodyText ||| original input distributions X, Y (respectively). It will be
bodyText ||| extremely important for us to make these subsources as large
bodyText ||| as possible (i.e. we have to lose as little entropy as possible).
bodyText ||| Controlling these entropy deficiencies is a major technical
bodyText ||| complication we have to deal with. However we will be in-
bodyText ||| formal with it here, mentioning it only qualitatively when
bodyText ||| needed. We discuss this issue a little more in Section 6.
construct ||| DEfInItIOn 2.5. A function f : ({0, 1}n)2 → ({0,1}m)ℓ
construct ||| is a 2-source subsource somewhere extractor with ℓ outputs
construct ||| for entropy k, if for every 2 independent k-sources X, Y there
construct ||| exists a subsource X^ of X, a subsource Y^ of Y and an i ∈ [ℓ]
construct ||| such the ith output f (^X, Y^)i is a uniformly distributed string
construct ||| of m bits.
bodyText ||| A central technical result for us is that with this ”sub-
bodyText ||| source” relaxation, we can have much fewer outputs – in-
bodyText ||| deed we’ll replace poly(n) outputs in our first construction
bodyText ||| above with no(1) outputs.
construct ||| ThEOREm 2.6 (SUBSOURCE SOmEWhERE ExtRaCtOR).
construct ||| For every δ &gt; 0 there is a polynomial time computable sub-
construct ||| source somewhere extractor SSE : ({0, 1}n)2 → ({0, 1}m)ℓ
construct ||| with ℓ = no(1) outputs, for entropy k = nδ, with output
construct ||| m=√k.
bodyText ||| We will describe the ideas used for constructing this im-
bodyText ||| portant object and analyzing it in the next section, where
bodyText ||| we will also indicate how it is used in the construction of
bodyText ||| the final disperser. Here we state a central building block,
bodyText ||| mentioned in the previous section (as an improvement of the
bodyText ||| work of Rao [?]). We construct an extractor for 2 indepen-
bodyText ||| dent sources one of which is a block-sources with sufficient
bodyText ||| number of blocks.
construct ||| ThEOREm 2.7 (BlOCK SOURCE ExtRaCtOR). There is
construct ||| a polynomial time computable extractor B : ({0, 1}n)2 →
construct ||| {0,1}m for 2 independent sources, one of which is a c-block-
construct ||| sources with block entropy k and the other a source of en-
construct ||| tropy k, with m = 0(k), and c = O((log n)/(log k)).
bodyText ||| A simple corollary of this block-source extractor B, is the
bodyText ||| following weaker (though useful) somewhere block-source
bodyText ||| extractor SB. A source Z = Z1, Z2, • • • , Zt is a somewhere
bodyText ||| c-block-source of block entropy k if for some c indices i1 &lt;
bodyText ||| i2 &lt; • • • &lt; ic the source Zi1, Zi2, • • • , Zic is a c-block-source.
bodyText ||| Collecting the outputs of B on every c-subset of blocks re-
bodyText ||| sults in that somewhere extractor.
construct ||| COROllaRY 2.8. There is a polynomial time computable
construct ||| somewhere extractorSB : ({0, 1}n)2 → ({0, 1}m)ℓ for2 inde-
construct ||| pendent sources, one of which is a somewhere c-block-sources
construct ||| with block entropy k and t blocks total and the other a source
construct ||| of entropy k, with m = 0(k), c = O((log n)/(log k)), and
construct ||| ℓ ≤ tc.
bodyText ||| In both the theorem and corollary above, the values of
bodyText ||| entropy k we will be interested in are k = no(1). It follows
bodyText ||| that a block-source with a constant c = O(1) suffices.
sectionHeader ||| 3. THE CHALLENGE-RESPONSE MECH-
sectionHeader ||| ANISM
bodyText ||| We now describe abstractly a mechanism which will be
bodyText ||| used in the construction of the disperser as well as the sub-
bodyText ||| source somewhere extractor. Intuitively, this mechanism al-
bodyText ||| lows us to identify parts of a source which contain large
bodyText ||| amounts of entropy. One can hope that using such a mech-
bodyText ||| anism one can partition a given source into blocks in a way
bodyText ||| which make it a block-source, or alternatively focus on a part
bodyText ||| of the source which is unusually condensed with entropy -
bodyText ||| two cases which may simplify the extraction problem.
bodyText ||| The reader may decide, now or in the middle of this
bodyText ||| section, to skip ahead to the next section which describes
bodyText ||| the construction of the subsource somewhere extractor SSE,
bodyText ||| which extensively uses this mechanism. Then this section
bodyText ||| may seem less abstract, as it will be clearer where this mech-
bodyText ||| anism is used.
bodyText ||| This mechanism was introduced by Barak et al. [4], and
bodyText ||| was essential in their 2-source disperser. Its use in this paper
bodyText ||| is far more involved (in particular it calls itself recursively,
bodyText ||| a fact which creates many subtleties). However, at a high
bodyText ||| level, the basic idea behind the mechanism is the same:
bodyText ||| Let Z be a source and Z&apos; a part of Z (Z projected on a
bodyText ||| subset of the coordinates). We know that Z has entropy k,
page ||| 674
bodyText ||| and want to distinguish two possibilities: Z′ has no entropy
bodyText ||| (it is fixed) or it has at least k′ entropy. Z′ will get a pass
bodyText ||| or fail grade, hopefully corresponding to the cases of high or
bodyText ||| no entropy in Z′.
bodyText ||| Anticipating the use of this mechanism, it is a good idea
bodyText ||| to think of Z as a ”parent” of Z′, which wants to check if
bodyText ||| this ”child” has sufficient entropy. Moreover, in the context
bodyText ||| of the initial 2 sources X, Y we will operate on, think of Z
bodyText ||| as a part of X, and thus that Y is independent of Z and Z′.
bodyText ||| To execute this ”test” we will compute two sets of strings
bodyText ||| (all of length m, say): the Challenge C = C(Z′,Y) and
bodyText ||| the Response R = R(Z, Y). Z′ fails if C C R and passes
bodyText ||| otherwise.
bodyText ||| The key to the usefulness of this mechanism is the follow-
bodyText ||| ing lemma, which states that what ”should” happen, indeed
bodyText ||| happens after some restriction of the 2 sources Z and Y.
bodyText ||| We state it and then explain how the functions C and R are
bodyText ||| defined to accommodate its proof.
construct ||| Lemma 3.1. Assume Z, Y are sources of entropy k.
listItem ||| 1. If Z′ has entropy k′+O(m), then there are subsources
listItem ||| Z^ of Z and Y^ of Y, such that
listItem ||| Pr[^Z′ passes] = Pr[C(^Z′, Y^) C R(^Z, Y^)] &gt; 1—nO(1)2−m
listItem ||| 2. If Z′ is fixed (namely, has zero entropy), then for some
listItem ||| subsources Z^ of Z and Y^ of Y, we have
listItem ||| Pr[Z′ fails] = Pr[C(^Z′, Y^) C R(^Z, Y^)] = 1
bodyText ||| Once we have such a mechanism, we will design our dis-
bodyText ||| perser algorithm assuming that the challenge response mech-
bodyText ||| anism correctly identifies parts of the source with high or
bodyText ||| low levels of entropy. Then in the analysis, we will ensure
bodyText ||| that our algorithm succeeds in making the right decisions,
bodyText ||| at least on subsources of the original input sources.
bodyText ||| Now let us explain how to compute the sets C and R. We
bodyText ||| will use some of the constructs above with parameters which
bodyText ||| don’t quite fit.
bodyText ||| The response set R(Z, Y) = pSE(Z, Y) is chosen to be the
bodyText ||| output of the somewhere extractor of Proposition 2.3. The
bodyText ||| challenge set C(Z′, Y) = SSE(Z′, Y) is chosen to be the out-
bodyText ||| put of the subsource somewhere extractor of Theorem 2.6.
bodyText ||| Why does it work? We explain each of the two claims
bodyText ||| in the lemma in turn (and after each comment on the im-
bodyText ||| portant parameters and how they differ from Barak et al.
bodyText ||| [4]).
listItem ||| 1. Z′ has entropy. We need to show that Z′ passes the
listItem ||| test with high probability. We will point to the out-
listItem ||| put string in C(^Z′, Y^′) which avoids R(^Z, Y^) with high
listItem ||| probability as follows. In the analysis we will use the
listItem ||| union bound on several events, one associated with
listItem ||| each (poly(n) many) string in pSE(^Z, Y^). We note
listItem ||| that by the definition of the response function, if we
listItem ||| want to fix a particular element in the response set to
listItem ||| a particular value, we can do this by fixing E(Z, i) and
listItem ||| E(Y, i). This fixing keeps the restricted sources inde-
listItem ||| pendent and loses only O(m) entropy. In the subsource
listItem ||| of Z′ guaranteed to exist by Theorem 2.6 we can afford
listItem ||| to lose this entropy in Z′. Thus we conclude that one
listItem ||| of its outputs is uniform. The probability that this
listItem ||| output will equal any fixed value is thus 2−m, com-
listItem ||| pleting the argument. We note that we can handle
listItem ||| the polynomial output size of pSE, since the uniform
listItem ||| string has length m = no(1) (something which could
listItem ||| not be done with the technology available to Barak et
listItem ||| al. [4]).
listItem ||| 2. Z′ has no entropy. We now need to guarantee that
listItem ||| in the chosen subsources (which we choose) ^Z, Y^, all
listItem ||| strings in C = C(^Z′, Y^) are in R(^Z, Y^). First notice
listItem ||| that as Z′ is fixed, C is only a function of Y. We
listItem ||| set Y~ to be the subsource of Y that fixes all strings
listItem ||| in C = C(Y) to their most popular values (losing
listItem ||| only ℓm entropy from Y). We take care of includ-
listItem ||| ing these fixed strings in R(Z, Y~) one at a time, by
listItem ||| restricting to subsources assuring that. Let σ be any
listItem ||| m-bit string we want to appear in R(Z, Y~). Recall that
listItem ||| R(z, y) = V(E(z, i), E(y, i)). We pick a ”good” seed i,
listItem ||| and restrict Z, Y~ to subsources with only O(m) less
listItem ||| entropy by fixing E(Z, i) = a and E(Y~, i) = b to values
listItem ||| (a, b) for which V(a, b) = σ. This is repeated suc-
listItem ||| cessively ℓ times, and results in the final subsources
listItem ||| ^Z, Y^ on which ^Z′ fails with probability 1. Note that
listItem ||| we keep reducing the entropy of our sources ℓ times,
listItem ||| which necessitates that this ℓ be tiny (here we could
listItem ||| not tolerate poly(n), and indeed can guarantee no(1),
listItem ||| at least on a subsource – this is one aspect of how cru-
listItem ||| cial the subsource somewhere extractor SSE is to the
listItem ||| construction.
bodyText ||| We note that initially it seemed like the Challenge-Response
bodyText ||| mechanism as used in [4] could not be used to handle en-
bodyText ||| tropy that is significantly less than -,/n (which is approxi-
bodyText ||| mately the bound that many of the previous constructions
bodyText ||| got stuck at). The techniques of [4] involved partitioning
bodyText ||| the sources into t pieces of length n/t each, with the hope
bodyText ||| that one of those parts would have a significant amount of
bodyText ||| entropy, yet there’d be enough entropy left over in the rest
bodyText ||| of the source (so that the source can be partitioned into a
bodyText ||| block source).
