title ||| Automated Rich Presentation of a Semantic Topic
bodyText ||| information on these topics, extract the key points, fuse the
bodyText ||| information from different modalities, and then generate an
bodyText ||| expressive storyboard.
bodyText ||| Rich presentation can be very helpful to facilitate quickly
bodyText ||| grasping and better understanding the corresponding topic.
bodyText ||| People usually search information from (multimedia) database or
bodyText ||| the Internet. However, what they get is usually a bulk of
bodyText ||| unorganized information, with many duplicates and noise. It is
bodyText ||| tedious and costs a long time to get what they want by browsing
bodyText ||| the search results. If there is a tool to help summarize and
bodyText ||| integrate the multimodal information, and then produce a concise
bodyText ||| and informative storyboard, it will enable users to quickly figure
bodyText ||| out the overview contents of a topic that they want to understand.
bodyText ||| Rich presentation provides such a tool, and thus it could have
bodyText ||| many potential applications, such as education and learning,
bodyText ||| multimedia authoring, multimedia retrieval, documentary movie
bodyText ||| production, and information personalization.
bodyText ||| In this paper, we will present the approach to rich presentation. In
bodyText ||| order to produce a concise and informative storyboard to richly
bodyText ||| present a target topic, we need to answer the following questions.
bodyText ||| 1) How to extract the relevant information regarding the target
page ||| 745
bodyText ||| topic? 2) How to extract the key points from the relevant
bodyText ||| information and build a concise and informative storyboard? 3)
bodyText ||| How to fuse all the information from different modality? and 4)
bodyText ||| how to design the corresponding rendering interface?
figure ||| A Target Topic
figure ||| Rich Presentation
figureCaption ||| Fig. 1 The system framework of rich presentation of a target
figureCaption ||| semantic topic. It is mainly composed of three steps, relevant
figureCaption ||| multimodal information extraction, media analysis, and rich
figureCaption ||| presentation generation.
bodyText ||| In this paper, we propose a number of novel approaches to deal
bodyText ||| with the above issues and also present an example system. Fig. 1
bodyText ||| illustrates the proposed system framework of rich presentation. It
bodyText ||| is mainly composed of three steps, relevant multimodal informa-
bodyText ||| tion extraction, media analysis including multiple events cluster-
bodyText ||| ing, representative media detection and music rhythm analysis;
bodyText ||| and the final storyboard generation and music synchronization.
bodyText ||| In the proposed system, given the semantic topic, the relevant
bodyText ||| information, including text, image, video and music, is first
bodyText ||| extracted from the available multimedia database or the web data-
bodyText ||| base. User interaction is also allowed to provide extra relevant
bodyText ||| material or give relevant feedback. Then, the information is
bodyText ||| summarized, with an event clustering algorithm, to give a concise
bodyText ||| representation of the topic and figure out the overview of the
bodyText ||| contents. Other multimedia materials, such as representative
bodyText ||| images (or image sequences) and geographic information, are
bodyText ||| subsequently associated with each event. In the next step, all the
bodyText ||| above information is integrated to generate a storyboard, in which
bodyText ||| each event is presented as one or multiple slides. An incidental
bodyText ||| music, which is also possibly relevant to the topic, is finally
bodyText ||| synchronized with the storyboard to improve its expressiveness
bodyText ||| and attractiveness. Thus, with these steps, a concise and
bodyText ||| informative rich presentation regarding the target topic is gener-
bodyText ||| ated.
bodyText ||| The rest of the paper is organized as follows. Section 2 discusses
bodyText ||| the relevant information extraction corresponding to the target
bodyText ||| topic. Section 3 presents our approach to the topic representation,
bodyText ||| including multiple events clustering, event description, and
bodyText ||| representative media selection. Section 4 describes the approach
bodyText ||| to rich presentation generation, including storyboard generation,
bodyText ||| incidental music analysis and synchronization. Experiments and
bodyText ||| evaluations are presented in the Section 5. Conclusions are given
bodyText ||| in the Section 6.
sectionHeader ||| 2. OBTAINING RELEVANT INFORMATION
bodyText ||| To obtain the multimodal information which is relevant to the
bodyText ||| input topic (keyword), generally, we could search them from
bodyText ||| various databases which have been indexed with the “state-of-the-
bodyText ||| art” multimedia analysis techniques. However, in current stage,
bodyText ||| there is lack of such publicly available multimedia databases. The
bodyText ||| public search engine like MSN or Google indexes all the Internet
bodyText ||| web-pages and can return a lot of relevant information, but the
bodyText ||| search results usually contain much noise. We could also build a
bodyText ||| private database for this system to provide more relevant and
bodyText ||| clean results, but it will be too much expensive to collect and
bodyText ||| annotate sufficient multimedia data for various topics. In order to
bodyText ||| obtain relatively accurate and sufficient data for an arbitrary topic,
bodyText ||| in our system, we chose to collect the relevant multimodal
bodyText ||| information of the given topic from the news websites such as
bodyText ||| MSNBC, BBC and CNN, instead of building an available
bodyText ||| database from the scratch. These news websites are usually well
bodyText ||| organized and managed; and contain various kinds of high quality
bodyText ||| information including text, image and news video clips. Although
bodyText ||| the news websites are used as the information sources in our
bodyText ||| system, other various multimedia databases can be also easily
bodyText ||| incorporated into the system if they are available.
bodyText ||| Instead of directly submitting the topic as a query and getting the
bodyText ||| returned results by using the search function provided by the
bodyText ||| websites, in our system, we crawled the news documents from
bodyText ||| these websites in advance and then build a full-text index. It
bodyText ||| enables us to quickly obtain the relevant documents, and also en-
bodyText ||| able us to use some traditional information retrieval technologies,
bodyText ||| such as query expansion [13], to remove the query ambiguousness
bodyText ||| and get more relevant documents.
bodyText ||| In our approach, user interaction is also allowed to provide more
bodyText ||| materials relevant to the topic, or give relevant feedback on the
bodyText ||| returned results. For example, from the above websites, we can
bodyText ||| seldom find a music clip relevant to the target topic. In this case,
bodyText ||| users could provide the system a preferred music, which will be
bodyText ||| further used as incidental music to accompany with the storyboard
bodyText ||| presentation. Users could also give some feedbacks on the
bodyText ||| obtained documents. For example, if he gives a thumb-up to a
bodyText ||| document, the relevant information of the document needs to be
bodyText ||| presented in the final storyboard. On the other side, users could
bodyText ||| also thumb-down a document to remove the related information.
sectionHeader ||| 3. TOPIC REPRESENTATION
bodyText ||| A semantic topic is usually a quite broad concept and it usually
bodyText ||| contains multiple events. For example, in the topic “Harry Potter”,
bodyText ||| the publication of each book and the release of each movie could
bodyText ||| be considered as an event; while in the topic “World Cup 2002”,
bodyText ||| each match could also be taken as an event. For each event, there
bodyText ||| are usually many documents reporting it. Therefore, in order to
bodyText ||| generate an informative and expressive storyboard to present the
bodyText ||| topic, it would be better to decompose the obtained information
bodyText ||| and cluster the documents into different events.
bodyText ||| However, event definition is usually subjective, different
bodyText ||| individuals may have different opinions. It is also confusing in
bodyText ||| which scale an event should be defined. Also take “World Cup”
bodyText ||| as an example, in a larger scale, “World Cup 2002” and “World
bodyText ||| Cup 2006” could also be considered as a big event. Therefore,
bodyText ||| due to the above vagueness, in this paper, we do not strictly define
figure ||| Relevant multimodal information Retrieval
figure ||| User
figure ||| Interaction
figure ||| Music
figure ||| Text
figure ||| Relevant Media
figure ||| Rhythm Analysis
figure ||| •	Onset/Beat Sequence
figure ||| •	Strength confidence
figure ||| Multiple Events Clustering
figure ||| •	Event summary (4w + time)
figure ||| •	Geographic information
figure ||| Media Association
figure ||| •	Representative images
figure ||| •	Relevant video clips
figure ||| Storyboard Generation
figure ||| Event presentation, multimodal information fusion, layout design
figure ||| Storyboard
figure ||| Music and storyboard synchronization
page ||| 746
bodyText ||| each event of the target topic. Following our previous works on
bodyText ||| news event detection [14], an event is assumed as some similar
bodyText ||| information describing similar persons, similar keywords, similar
bodyText ||| places, and similar time duration. Therefore, in our system, an
bodyText ||| event is represented by four primary elements: who (persons),
bodyText ||| when (time), where (locations) and what (keywords); and event
bodyText ||| clustering is to group the documents reporting similar primary
bodyText ||| elements. As for the scale of event, in the paper, it could be
bodyText ||| adaptively determined by the time range of the obtained
bodyText ||| documents or the required event number.
bodyText ||| In this section, we present a novel clustering approach based on a
bodyText ||| generative model proposed in [14], instead of using traditional
bodyText ||| clustering methods such as K-means. After event clusters are
bodyText ||| obtained, the corresponding event summary is then extracted and
bodyText ||| other representative media is associated with each event.
subsectionHeader ||| 3.1 Multiple Event Clustering
bodyText ||| To group the documents into different events, essentially, we need
bodyText ||| to calculate p(ej I xi), which represents the probability that a docu-
bodyText ||| ment xi belongs to an event ej. Here, as mentioned above, an
bodyText ||| event ej (and thus the document xi describing the event) is
bodyText ||| represented by four primary elements: who (persons), when (time),
bodyText ||| where (locations) and what (keywords). That is,
equation ||| Event / Docment = {persons, locations, keywords, time}
bodyText ||| Assuming that a document is always caused by an event [14] and
bodyText ||| the four primary elements are independent, to calculate the
bodyText ||| probability p(ej I xi), in our approach, we first determine the likeli-
bodyText ||| hood that the document xi is generated from event ej, p(xi I ej)
bodyText ||| which could be further represented by the following generative
bodyText ||| model,
equation ||| p(xi | ej) =p(namei | ej)p(loci | ej)p(keyi | ej)p(timei | ej) (1)
bodyText ||| where namei, loci, keyi, and timei are the feature vectors
bodyText ||| representing persons, locations, keywords and time in the
bodyText ||| document xi, respectively. In our approach, the above entities are
bodyText ||| extracted by the BBN NLP tools [15]. The tool can extract seven
bodyText ||| types of entities, including persons, organizations, locations, date,
bodyText ||| time, money and percent. In our approach, the obtained organiza-
bodyText ||| tion entity is also considered as a person entity; and all the words
bodyText ||| except of persons, locations, and other stop-words are taken as
bodyText ||| keywords.
bodyText ||| In more detail, namei (similarly, loci and keyi) is a vector &lt;ci1,
bodyText ||| ci2, ..., ciNp&gt;, where cin is the occurrence frequency of the personn
bodyText ||| appears in the document xi, and personn is the nth person in the
bodyText ||| person vocabulary, which is composed of all the persons appeared
bodyText ||| in all the obtained documents (similarly, we can define keyword
bodyText ||| vocabulary and location vocabulary). Assuming Np is the size of
bodyText ||| person vocabulary, p(nameiI ej) could be further expressed by
equation ||| Np(namei | ej) = n p(personn | ej )cin (2)
equation ||| n=1
bodyText ||| Since the person, location and keyword are discrete variables
bodyText ||| represented by words, and the probability of the location and
bodyText ||| keyword can be also defined similarly as that of the person in (2),
bodyText ||| in the flowing sections, we will not discriminate them and
bodyText ||| uniformly represent the probability p(personn | ej) (correspond-
bodyText ||| ingly, the p(locationn | ej) and p(keywordn | ej)) as p(wn | ej), which
bodyText ||| denotes the probability that the word wn appears in the event ej
bodyText ||| On the other hand, the time of an event usually lasts a continuous
bodyText ||| duration. It is also observed, especially in the news domain, that
bodyText ||| the documents about an event usually increases at the beginning
bodyText ||| stage of the event and then decreases at the end. Therefore, in
bodyText ||| our approach, a Gaussian model N(uj, aj) is utilized to roughly
bodyText ||| represent the probability p(timei | ej), where uj and aj is the mean
bodyText ||| and standard deviation, respectively.
bodyText ||| To this end, in order to estimate the probability p(ej I xi), we need
bodyText ||| to estimate the parameters 6 = {p(wn | ej), uj, σj, 1!�j5K}, assuming
bodyText ||| K is the number of events (the selection of K is discussed in
bodyText ||| section 3.2). In our approach, the Maximum Likelihood is used to
bodyText ||| estimate the model parameters, as,
equation ||| θ* = argmaxθ log(p(X |θ)) =
equation ||| M	K
equation ||| =argmax θ ∑ log(∑ p(ej)p(xi | ej
equation ||| ia	j=1
equation ||| where X represents the corpus of the obtained documents; M and
equation ||| K are number of documents and events, respectively.
bodyText ||| Since it is difficult to derive a close formula to estimate the
bodyText ||| parameters, in our approach, an Expectation Maximization (EM)
bodyText ||| algorithm is applied to maximize the likelihood, by running E-step
bodyText ||| and M-step iteratively. A brief summary of these two steps is
bodyText ||| listed as follows, and more details can be found in [14].
listItem ||| •	In E-step, the posterior probability p(ej | xi) is estimated as:
equation ||| p(ej | xi)(t+1) =  p(xi | ej)(t)p(ej)(t)	(4)
equation ||| p( xi
equation ||| where the upper script (t) indicate the tth iteration.
listItem ||| •	In M-step, the model parameters are updated, as,
bodyText ||| where tf(i,n) is the term frequency of the word wn in the
bodyText ||| document xi and N is the corresponding vocabulary size. It
bodyText ||| is noted that, in (5), the Laplace smoothing [ 16] is applied to
bodyText ||| prevent zero probability for the infrequently occurring word.
bodyText ||| At last, the prior of each event is updated as:
equation ||| M
equation ||| ∑p (
equation ||| p(ej)(t+1) = i=1(8)
equation ||| M
bodyText ||| arg
bodyText ||| The algorithm can increase the log-likelihood consistently with
bodyText ||| the iterations; and then converge to a local maximum. Once the
bodyText ||| parameters are estimated, we can simply assign each document to
bodyText ||| an event, as following
equation ||| yi =argmaxj(p(ej |xi))	(9)
equation ||| where yi is the event label of the document xi.
equation ||| i=1
equation ||| M
equation ||| t+1)
equation ||| (
equation ||| (
equation ||| )
equation ||| (t
equation ||| u
equation ||| i=1
equation ||| ej
equation ||| +1)
equation ||| | xi
equation ||| (6)
equation ||| ∑p
equation ||| timei
equation ||| tf (i, n)
equation ||| p(wn | ej)(t+1) = 	Mi=1jN	(5)
equation ||| i=1	s=1
equation ||| 1+N+∑(p(e
equation |||  I x)	&apos;
equation ||| ∑s))
equation ||| tf 0
equation ||| ,
equation ||| M
equation ||| uj
equation ||| σ2(t+1) =  i=1 	/7)
equation ||| j	M
equation ||| l
equation ||| (
equation ||| ∑p
equation ||| )
equation ||| |xi
equation ||| i
equation ||| ej
equation ||| =1
equation ||| ∑ p(ej | xi)(t+1) ⋅ (timei −
equation ||| t+1) 2
equation ||| )
equation ||| (
equation ||| t+1)
equation ||| M
equation ||| |θ))
equation ||| maxθ log(∏ p(xi
equation ||| (3)
equation ||| ,θ))
equation ||| ej
equation ||| | xi
equation ||| ) (t+1)
page ||| 747
bodyText ||| The advantage of this generative approach is that it not only
bodyText ||| considers the temporal continuity of an event, it also can deal with
bodyText ||| the issue that some events overlap in some time durations. In this
bodyText ||| case, the Gaussian model of the event time can also be overlapped
bodyText ||| through this data-driven parameter estimation. From this view,
bodyText ||| the event clustering is also like a Gaussian mixture model (GMM)
bodyText ||| estimation in the timeline.
subsectionHeader ||| 3.2 Determining the Number of Events
bodyText ||| In the above approach to event clustering, the event number K is
bodyText ||| assumed known (as shown in (3)-(8)). However, the event number
bodyText ||| is usually very difficult to be determined a priori. In our approach,
bodyText ||| an intuitive way is adopted to roughly estimate the event number
bodyText ||| based on the document distribution along with the timeline.
bodyText ||| As mentioned above, it is assumed that each document is caused
bodyText ||| by an event, and the document number of an event changes with
bodyText ||| the development of the event. According to this property, each
bodyText ||| peak (or the corresponding contour) of the document distribution
bodyText ||| curve might indicate one event [14], as the Fig. 2 shows. Thus, we
bodyText ||| can roughly estimate the event number by simply counting the
bodyText ||| peak number. However, the curve is quite noisy and there
bodyText ||| inevitably exist some noisy peaks in the curve. In order to avoid
bodyText ||| the noisy peaks, in our approach, only the salient peaks are
bodyText ||| assumed to be relevant to the event number.
bodyText ||| To detect the salient peaks, we first smooth the document curve
bodyText ||| with a half-Hamming (raised-cosine) window, and then remove
bodyText ||| the very small peaks with a threshold. Fig.2 illustrates a
bodyText ||| smoothed document distribution with the corresponding threshold,
bodyText ||| collected on the topic “US Election” in four months. In
bodyText ||| experiments, the threshold is adaptively set as Yd-σd/2, where Yd
bodyText ||| and ad are the mean and standard deviation of the curve,
bodyText ||| respectively.
bodyText ||| After the smoothing and tiny peaks removal, we further detect the
bodyText ||| valleys between every two contingent peaks. Thus, the range of
bodyText ||| an event (which is correlated to the corresponding peak) can be
bodyText ||| considered as the envelope in the two valleys. As shown in Fig2,
bodyText ||| the duration denoted by Li+Ri is a rough range of the event
bodyText ||| correlated to the peak Pi. Assuming an important event usually
bodyText ||| has more documents and has effects in a longer duration, the
bodyText ||| saliency of each peak is defined as,
equation ||| Si =( P )(Li +Ri) (10)
equation ||| Pavr Davr
bodyText ||| where Pi is the ith peak, Li and Ri is the duration from the ith peak
bodyText ||| to the previous and next valley; Pavr is the average peak value and
bodyText ||| Davr is average duration between two valleys in the curve. Si is the
bodyText ||| saliency value of the peak Pi. It could also be considered as the
bodyText ||| normalized area under peak Pi, and thus, it roughly represents the
bodyText ||| document number of the corresponding event.
bodyText ||| In our approach, the top K salient peaks are selected to determine
bodyText ||| the event number:
equation ||| K=argmaxk{∑;1Si/∑N1S ≤η}	(11)
equation ||| where S; is the sorted saliency value from large to small, N is
bodyText ||| total number of detected peaks and ii is a threshold. In our
bodyText ||| experiments, ii is set as 0.9, which roughly means that at least
bodyText ||| 90% documents will be kept in the further initialization of event
bodyText ||| clustering. This selection scheme is designed to guarantee there is
bodyText ||| no important information is missed in presentation. After the
bodyText ||| event number and initial clusters (the most salient peaks with their
bodyText ||| corresponding range) are selected, the event parameters could be
bodyText ||| initialized and then updated iteratively.
figure ||| 0 20 40 60 80 100 120
figureCaption ||| Fig.2 Peak saliency definition. It also illustrates the smoothed
figureCaption ||| document distribution (document number per day) with the
figureCaption ||| corresponding threshold for tiny peak removal. Each peak Pi is
figureCaption ||| assumed to be correlated with each event.
bodyText ||| It is noted that some technology such as Bayesian Information
bodyText ||| Criteria (BIC) or minimum description length (MDL) [17] could
bodyText ||| be used to estimate the optimal event number, by searching
bodyText ||| through a reasonable range of the event number to find the one
bodyText ||| which maximizes the likelihood in (3). However, these algo-
bodyText ||| rithms take long time, and it is usually not necessary to estimate
bodyText ||| the exact event number in our scenario of rich presentation.
bodyText ||| Actually, in our system, the most important point of event cluster-
bodyText ||| ing is that the clustered documents ‘really’ represent the same
bodyText ||| event, rather than the event number, as observed in the experi-
bodyText ||| ments. Moreover, in the step of synchronization between the
bodyText ||| music and storyboard (in the section 4.2), the number of presented
bodyText ||| events may be further refined, based on the user’s preference, in
bodyText ||| order to match the presentation duration with the music duration.
subsectionHeader ||| 3.3 Event Description
bodyText ||| After obtaining the events and the corresponding documents, we
bodyText ||| not only need a concise event summary, but also need to extract
bodyText ||| some representative media to describe each event.
subsubsectionHeader ||| 3.3.1 Event Summary
bodyText ||| A simple way to summarize an event is to choose some
bodyText ||| representative words on the persons, locations and keywords of
bodyText ||| the event. For example, for the event ej, the ‘leading actor’ could
bodyText ||| be chosen as the person with the maximum p(personn | ej), while
bodyText ||| the major location could be selected based on p(locationn | ej).
bodyText ||| However, such brief description might have a bad readability.
bodyText ||| Therefore, in order to increase the readability of the summary, in
bodyText ||| our system, we also provide an alterative way. That is, we choose
bodyText ||| a candidate document to represent an event. For example, the
bodyText ||| document with the highest p(xi| ej) is a good candidate represen-
bodyText ||| tative of the event ej. However, a document might be too long to
bodyText ||| be shown on the storyboard. Therefore, in our system, only the
bodyText ||| “title-brow” (the text between the news title and news body) of
bodyText ||| the document, which usually exists and is usually a good
bodyText ||| overview (summary) of the document based on our observation
bodyText ||| (especially true in our case of news document), is selected to
bodyText ||| describe the event.
figure ||| 20
figure ||| 15
figure ||| 10
figure ||| 5
figure ||| 0
figure ||| Peaks relevant to event
figure ||| P;-1	P;+1
figure ||| L;	R;
figure ||| P;
figure ||| #Doc
figure ||| Threshold
figure ||| &apos;
figure ||| 748
figure ||| IV
figure ||| I
figure ||| III
figure ||| II
figureCaption ||| Fig. 3 The event template of the Storyboard, which illustrates (I) the representative media, (II)geographic information, (III) event summary,
figureCaption ||| and (IV) a film strip giving an overview of the events in the temporal order.
subsectionHeader ||| 3.3.2 Extracting Representative Media
bodyText ||| In the obtained documents describing an event, there are usually
bodyText ||| many illustrational images, with possible flashes and video clips.
bodyText ||| These media information is also a good representative of the
bodyText ||| corresponding event. However, since the obtained documents are
bodyText ||| directly crawled from the news websites, they usually contain
bodyText ||| many noisy multimedia resources, such as the advertisements.
bodyText ||| Moreover, there also possible exist some duplicate images in
bodyText ||| different documents describing the same event. Therefore, to
bodyText ||| extract the representative media from the documents, we need to
bodyText ||| remove noisy media and possible duplicate images. Before this,
bodyText ||| we also performed a pre-filtering to remove all the images smaller
bodyText ||| than 50 pixels in height or width.
listItem ||| •	Noisy Media Detection. In our approach, a simple but
listItem ||| efficient rule is used to remove the noisy media resources.
listItem ||| We find almost all advertisements are provided by other
listItem ||| agencies rather than these news websites themselves. That is,
listItem ||| the hosts of advertisement resources are from different
listItem ||| websites. Thus, in our approach, we extract the host names
listItem ||| from the URLs of all multimedia resources, and remove
listItem ||| those resources with different host name.
listItem ||| •	Duplicate Detection. A number of image signature schemes
bodyText ||| can be adopted here to accomplish duplicate detection. In
bodyText ||| our implementation, each image is converted into grayscale,
bodyText ||| and down-sampled to 8 × 8. That is, a 64-byte signature for
bodyText ||| each image is obtained. Then the Euclidean distance of the
bodyText ||| 64-byte signature are taken as the dissimilarity measure.
bodyText ||| Images have sufficiently small distance are considered as
bodyText ||| duplicates.
bodyText ||| Once removing the noisy resources and duplicate images, we
bodyText ||| simply select the 1-4 large images from the top representative
bodyText ||| documents (with the top largest p(xi|ej)), and take them as
bodyText ||| representative media of the corresponding event. The exact
bodyText ||| number of the selected images is dependent on the document
bodyText ||| number (i.e., the importance) of the event and the total image
bodyText ||| number the event has. It is noted that, in our current system, we
bodyText ||| only associates images with each event. However, other media
bodyText ||| like video and flashes can be chosen in a similar way.
sectionHeader ||| 4. RICH PRESENTATION GENERATION
bodyText ||| In the proposed system, the above obtained information, including
bodyText ||| event summary and representative media, are fused to generate a
bodyText ||| concise and informative storyboard, in order to richly present the
bodyText ||| target topic. In this section, we will first describe the storyboard
bodyText ||| generation for the target topic, by presenting each event with the
bodyText ||| multimodal information. Then, we present the approach to
bodyText ||| synchronizing the storyboard with an incidental music.
subsectionHeader ||| 4.1 Storyboard Generation
bodyText ||| In our approach, a storyboard of a target topic is generated by
bodyText ||| presenting each event of the topic slide by slide. To describe an
bodyText ||| event, we have obtained the corresponding information including
bodyText ||| the person, time, location, event summary and other relevant
bodyText ||| images. Therefore, to informatively present each event, we need
bodyText ||| first to design an event template (i.e., an interface) to integrate all
bodyText ||| the information.
bodyText ||| Fig. 3 illustrates the event template used in our proposed system,
bodyText ||| with an example event in the topic ‘US Election”. First, the
bodyText ||| template presents the representative images in the largest area
bodyText ||| (part I), since the pictures are more vivid than the words. As for
bodyText ||| each representative picture, the title and date of the document from
bodyText ||| which it is extracted is also illustrated. In the Fig.3, there are 4
bodyText ||| pictures extracted from 3 documents. Then, the corresponding
bodyText ||| event summaries of these three documents are presented (part III),
bodyText ||| where each paragraph refers to the summary of one document. If a
bodyText ||| user is interested in one document, he can click on the correspond-
bodyText ||| ing title to read more details. Moreover, the geographic informa-
bodyText ||| tion of the event is shown with a map in the top-left corner (part
bodyText ||| II), to give users a view of the event location. The map is obtained
bodyText ||| from “MapPoint Location” service [18], which can return a
page ||| 749
bodyText ||| corresponding map based on user’s location query. However, the
bodyText ||| mapping is usually difficult, especially when the event location is
bodyText ||| confusing so that the representative location is not accurately
bodyText ||| detected. For example, the event shown in the Fig 1 is mapped to
bodyText ||| Washington D.C. rather than New York where the republic
bodyText ||| convention is held, since Washington is the most frequently
bodyText ||| mentioned places in the documents. Finally, a film strip (part IV)
bodyText ||| is also presented, arranging each event in the temporal order,
bodyText ||| where each event is simply represented by a cluster of images,
bodyText ||| with the current event highlighted. It enables users to have a quick
bodyText ||| overview of the past and the future in the event sequence.
bodyText ||| By connecting various events slide by slide, we could get an
bodyText ||| informative storyboard regarding the target topic. In order to
bodyText ||| catch the development process of a topic, the events are ordered
bodyText ||| by their timestamps in the generated storyboard.
subsectionHeader ||| 4.2 Synchronizing with Music
bodyText ||| To make the storyboard more expressive and attractive, and to
bodyText ||| provide a more relaxing way to read information, in the proposed
bodyText ||| system, we will accompany the storyboard with an incidental
bodyText ||| music and align the transitions between event slides with the
bodyText ||| music beats, following the idea in music video generation [19][20].
bodyText ||| Sometimes, music could also provide extra information about the
bodyText ||| target topic. For example, when the target topic is a movie, the
bodyText ||| corresponding theme song could be chosen for the rich presenta-
bodyText ||| tion. In this sub-section, we will present our approach to music
bodyText ||| analysis and synchronization with the storyboard.
subsubsectionHeader ||| 4.2.1 Music Rhythm Analysis
bodyText ||| In the proposed system, we detect the onset sequences instead of
bodyText ||| the exact beat series to represent music rhythm. This is because
bodyText ||| the beat information is sometimes not obvious, especially in light
bodyText ||| music which is usually selected as incidental music. The strongest
bodyText ||| onset in a time window could be assumed as a “beat”. This is
bodyText ||| reasonable since there are some beat positions in a time window
bodyText ||| (for example, 5 seconds); thus, the most possible position of a beat
bodyText ||| is the position of the strongest onset.
bodyText ||| The process of onset estimation is illustrated in Fig. 4. After FFT
bodyText ||| is performed on each frame of 16ms-length, an octave-scale filter-
bodyText ||| bank is used to divide the frequency domain into six sub-bands,
bodyText ||| including [0, co0 /26), [co0 /26, co0 /25), ..., [co0 /22, co0 /2], where co0
bodyText ||| refers to the sampling rate.
figure ||| Onset Curve
figureCaption ||| Fig. 4 The process of onset sequence estimation
bodyText ||| After the amplitude envelope of each sub-band is extracted by
bodyText ||| using a half-Hamming window, a Canny operator is used for onset
bodyText ||| sequence detection by estimating its difference function,
equation ||| Di (n) = Ai (n) ⊗ C(n) (12)
