title ||| A Computational Approach to Reflective Meta-Reasoning about
bodyText ||| aware” in some way. More specifically, by reflection we mean the
bodyText ||| property of a computational or formal system to be able to access
bodyText ||| and internalize some of its own properties.
bodyText ||| There are many areas of computer science where reflection
bodyText ||| plays or should play a major role. When exploring properties of
bodyText ||| programming languages (and other languages) one often realizes
bodyText ||| that languages have at least two kinds of properties — semantic
bodyText ||| properties that have to do with the meaning of what the language’s
bodyText ||| constructs express and syntactic properties of the language itself.
bodyText ||| Suppose for example that we are exploring some language that
bodyText ||| contains arithmetic operations. And in particular, in this language
bodyText ||| one can write polynomials like x2 +2x + 1. In this case the number
bodyText ||| of roots of a polynomial is a semantic property since it has to do
bodyText ||| with the valuation of the polynomial. On the other hand, the degree
bodyText ||| of a polynomial could be considered an example of a syntactic
bodyText ||| property since the most natural way to define it is as a property of
bodyText ||| the expression that represents that polynomial. Of course, syntactic
bodyText ||| properties often have semantic consequences, which is what makes
bodyText ||| them especially important. In this example, the number of roots of
bodyText ||| a polynomial is bounded by its degree.
bodyText ||| Another area where reflection plays an important role is run-
bodyText ||| time code generation — in most cases, a language that supports
bodyText ||| run-time code generation is essentially reflective, as it is capable
bodyText ||| of manipulating its own syntax. In order to reason about run-time
bodyText ||| code generation and to express its semantics and properties, it is
bodyText ||| natural to use a reasoning system that is reflective as well.
bodyText ||| There are many different flavors of reflection. The syntactic
bodyText ||| reflection we have seen in the examples above, which is the ability
bodyText ||| of a system to internalize its own syntax, is just one of these
bodyText ||| many flavors. Another very important kind of reflection is logical
bodyText ||| reflection, which is the ability of a reasoning system or logic to
bodyText ||| internalize and reason about its own logical properties. A good
bodyText ||| example of a logical reflection is reasoning about knowledge —
bodyText ||| since the result of reasoning about knowledge is knowledge itself,
bodyText ||| the logic of knowledge is naturally reflective [Art04].
bodyText ||| In most cases it is natural for reflection to be iterated. In the
bodyText ||| case of syntactic reflection we might care not only about the syntax
bodyText ||| of our language, but also about the syntax used for expressing the
bodyText ||| syntax, the syntax for expressing the syntax for expressing the
bodyText ||| syntax and so forth. In the case of the logic of knowledge it is
bodyText ||| natural to have iterations of the form “I know that he knows that
bodyText ||| I know ...”.
bodyText ||| When a formal system is used to reason about properties of pro-
bodyText ||| gramming languages, iterated reflection magnifies the power of the
page ||| 2
bodyText ||| system, making it more natural to reason not just about individual
bodyText ||| languages, but also about classes of languages, language schemas,
bodyText ||| and so on. More generally, reflection adds a lot of additional power
bodyText ||| to a formal reasoning system [GS89, Art99]. In particular, it is
bodyText ||| well-known [G¨od36, Mos52, EM71, Par71] that reflection allows
bodyText ||| a super-exponential reduction in the size of certain proofs. In addi-
bodyText ||| tion, reflection could be a very useful mechanism for implement-
bodyText ||| ing proof search algorithms [ACU93, GWZ00, CFW04]. See also
bodyText ||| [Har95] for a survey of reflection in theorem proving.
subsectionHeader ||| 1.2 Uniform Reflection Framework
bodyText ||| For each of the examples in the previous section there are many
bodyText ||| ad-hoc ways of achieving the specific benefits of a specific fla-
bodyText ||| vor of reflection. This work aims at creating a unifying reflective
bodyText ||| framework that would allow achieving most of these benefits in a
bodyText ||| uniform manner, without having to reinvent and re-implement the
bodyText ||| basic reflective methodology every time. We believe that such a
bodyText ||| framework will increase the power of the formal reasoning tools,
bodyText ||| and it may also become an invaluable tool for exploring the proper-
bodyText ||| ties of novel programming languages, for analyzing run-time code
bodyText ||| generation, and for formalizing logics of knowledge.
bodyText ||| This paper establishes a foundation for the development of this
bodyText ||| framework — a new approach to reflective meta-reasoning about
bodyText ||| languages with bindings. We present a theory of syntax that:
listItem ||| •	in a natural way provides both a higher-order abstract syntax
listItem ||| (HOAS) approach to bindings and a de Bruijn-style approach
listItem ||| to bindings, with easy and natural translation between the two;
listItem ||| •	provides a uniform HOAS-style approach to both bound and
listItem ||| free variables that extends naturally to variable-length “vectors”
listItem ||| of binders;
listItem ||| •	permits meta-reasoning about languages — in particular, the
listItem ||| operators, languages, open-ended languages, classes of lan-
listItem ||| guages etc. are all first-class objects that can be reasoned about
listItem ||| both abstractly and concretely;
listItem ||| •	comes with a natural induction principle for syntax that can be
listItem ||| parameterized by the language being used;
listItem ||| •	provides a natural mapping between the object syntax and meta-
listItem ||| syntax that is free of exotic terms, and allows mapping the
listItem ||| object-level substitution operation directly to the meta-level one
listItem ||| (i.e. P-reduction);
listItem ||| •	is fully derived in a pre-existing type theory in a theorem
listItem ||| prover;
listItem ||| •	is designed to serve as a foundation for a general reflective
listItem ||| reasoning framework in a theorem prover;
listItem ||| •	is designed to serve as a foundation for a programming lan-
listItem ||| guage experimentation framework.
bodyText ||| The paper is structured as follows. Our work inherits a large
bodyText ||| number of ideas from previous efforts and we start in Section 2
bodyText ||| with a brief survey of existing techniques for formal reasoning
bodyText ||| about syntax. Next in Section 3 we outline our approach to rea-
bodyText ||| soning about syntax and in Section 4 we present a formal account
bodyText ||| of our theory based on a Martin-L¨of style computational type the-
bodyText ||| ory [CAB+86, HAB+] and the implementation of that account in
bodyText ||| the MetaPRL theorem prover [Hic97, Hic99, Hic01, HNC+03,
bodyText ||| HNK+, HAB+]. Then in Section 5 we outline our plan for building
bodyText ||| a uniform reflection framework based on the syntactic reflection.
bodyText ||| Finally, in Section 6 we resume the discussion of related work that
bodyText ||| was started in Section 2.
bodyText ||| 1.3 Notation and Terminology
bodyText ||| We believe that our approach to reasoning about syntax is fairly
bodyText ||| general and does not rely on any special features of the theo-
bodyText ||| rem prover we use. However, since we implement this theory in
bodyText ||| MetaPRL, we introduce some basic knowledge about MetaPRL
bodyText ||| terms.
bodyText ||| A MetaPRL term consists of:
listItem ||| 1. An operator name (like “sum”), which is a unique name indi-
listItem ||| cating the logic and component of a term;
listItem ||| 2. A list of parameters representing constant values; and
listItem ||| 3. A set of subterms with possible variable bindings.
bodyText ||| We use the following syntax to describe terms, based on the N u P R L
bodyText ||| definition [ACHA90]:
bodyText ||| In addition, MetaPRL has a meta-syntax somewhat similar to
bodyText ||| the higher-order abstract syntax presented in Pfenning and Elliott
bodyText ||| [PE88]. MetaPRL uses the second-order variables in the style of
bodyText ||| Huet and Lang [HL78] to describe term schemas. For example,
bodyText ||| Xx.V [x], where V is a second-order variable of arity 1, is a schema
bodyText ||| that stands for an arbitrary term whose top-level operator is X.
bodyText ||| This meta-syntax requires that every time a binding occurrence
bodyText ||| is explicitly specified in a schema, all corresponding bound occur-
bodyText ||| rences have to be specified as well. This requirement makes it very
bodyText ||| easy to specify free variable restrictions — for example, Xx.V,
bodyText ||| where V is a second-order meta-variable of arity 0, is a schema
bodyText ||| that stands for an arbitrary term whose top-level operator is X and
bodyText ||| whose body does not have any free occurrences of the variable
bodyText ||| bound by that X. In particular, the schema Xx. V matches the term
bodyText ||| Xy.1, but not the term Xx.x.
bodyText ||| In addition, this meta-language allows specifying certain term
bodyText ||| transformations, including implicit substitution specifications. For
bodyText ||| example, a beta reduction transformation may be specified using
bodyText ||| the following schema:
equation ||| (Xx.V1 [x]) V2 H V1 [V2]
bodyText ||| Here the substitution of V2 for x in V1 is specified implicitly.
bodyText ||| Throughout this paper we will use this second-order notation to
bodyText ||| denote arbitrary terms — namely, unless stated otherwise, when we
bodyText ||| write “Xx.t[x]” we mean an arbitrary term of this form, not a term
bodyText ||| containing a concrete second-order variable named “t”.
bodyText ||| As in LF [HHP93] we assume that object level variables (i.e.
bodyText ||| the variables of the language whose syntax we are expressing)
bodyText ||| are directly mapped to meta-theory variables (i.e. the variable of
bodyText ||| the language that we use to express the syntax). Similarly, we
bodyText ||| assume that the object-level binding structure is mapped to the
bodyText ||| meta-level binding structure. In other words, the object-level notion
bodyText ||| of the “binding/bound occurrence” is a subset of that in the meta-
bodyText ||| language. We also consider a-equal terms — both on the object
bodyText ||| level and on the meta-level — to be identical and we assume that
bodyText ||| substitution avoids capture by renaming.
bodyText ||| The sequent schema language we use [NH02] contains a num-
bodyText ||| ber of more advanced features in addition to those outlined here.
bodyText ||| However, for the purposes of this presentation, the basic features
bodyText ||| outlined above are sufficient.
sectionHeader ||| 2. Previous Models of Reflection
bodyText ||| In 1931 G¨odel used reflection to prove his famous incompleteness
bodyText ||| theorem [G¨od31]. To express arithmetic in arithmetic itself, he
bodyText ||| assigned a unique number (a G¨odel number) to each arithmetic
equation ||| opname
equation ||| �- J 
equation ||| operator name
equation ||| [p1; .. .; pn] f�v1.t1; . . . ; �vm.tm}
equation ||| Y	Y	J
equation ||| parameters	subterms
page ||| 3
bodyText ||| formula. A G¨odel number of a formula is essentially a numeric
bodyText ||| code of a string of symbols used to represent that formula.
bodyText ||| A modern version of the G¨odel’s approach was used by Aitken
bodyText ||| et al. [ACHA90, AC92, ACU93, Con94] to implement reflection
bodyText ||| in the NuPRL theorem prover [CAB+86, ACE+00]. A large part
bodyText ||| of this effort was essentially a reimplementation of the core of the
bodyText ||| NuPRL prover inside NuPRL’s logical theory.
bodyText ||| In G¨odel’s approach and its variations (including Aitken’s one),
bodyText ||| a general mechanism that could be used for formalizing one logical
bodyText ||| theory in another is applied to formalizing a logical theory in itself.
bodyText ||| This can be very convenient for reasoning about reflection, but for
bodyText ||| our purposes it turns out to be extremely impractical. First, when
bodyText ||| formalizing a theory in itself using generic means, the identity
bodyText ||| between the theory being formalized and the one in which the
bodyText ||| formalization happens becomes very obfuscated, which makes it
bodyText ||| almost impossible to relate the reflected theory back to the original
bodyText ||| one. Second, when one has a theorem proving system that already
bodyText ||| implements the logical theory in question, creating a completely
bodyText ||| new implementation of this logical theory inside itself is a very
bodyText ||| tedious redundant effort. Another practical disadvantage of the
bodyText ||| G¨odel numbers approach is that it tends to blow up the size of
bodyText ||| the formulas; and iterated reflection would cause the blow-up to
bodyText ||| be iterated as well, making it exponential or worse.
bodyText ||| A much more practical approach is being used in some pro-
bodyText ||| gramming languages, such as Lisp and Scheme. There, the com-
bodyText ||| mon solution is for the implementation to expose its internal syntax
bodyText ||| representation to user-level code by the quote constructor (where
bodyText ||| quote (t) prevents the evaluation of the expression t). The prob-
bodyText ||| lems outlined above are solved instantly by this approach: there is
bodyText ||| no blow-up, there is no repetition of structure definitions, there is
bodyText ||| even no need for verifying that the reflected part is equivalent to the
bodyText ||| original implementation since they are identical. Most Scheme im-
bodyText ||| plementations take this even further: the eval function is the inter-
bodyText ||| nal function for evaluating a Scheme expression, which is exposed
bodyText ||| to the user-level; Smith [Smi84] showed how this approach can
bodyText ||| achieve an infinite tower of processors. A similar language with the
bodyText ||| quotation and antiquotation operators was introduced in [GMO03].
bodyText ||| This approach, however, violates the congruence property with
bodyText ||| respect to computation: if two terms are computationally equal then
bodyText ||| one can be substituted for the other in any context. For instance,
bodyText ||| although 2 * 2 is equal to 4, the expressions “2*2” and “4” are
bodyText ||| syntactically different, thus we can not substitute 2*2 by 4 in
bodyText ||| the expression quote(2*2). The congruence property is essential
bodyText ||| in many logical reasoning systems, including the NuPRL system
bodyText ||| mentioned above and the MetaPRL system [HNC+03, HNK+,
bodyText ||| HAB+] that our group uses.
bodyText ||| A possible way to expose the internal syntax without violat-
bodyText ||| ing the congruence property is to use the so-called “quoted” or
bodyText ||| “shifted” operators [AA99, Bar01, Bar05] rather than quoting the
bodyText ||| whole expression at once. For any operator op in the original lan-
bodyText ||| guage, we add the quoted operator (denoted as op) to represent a
bodyText ||| term built with the operator op. For example, if the original lan-
bodyText ||| guage contains the constant “0” (which, presumably, represents the
bodyText ||| number 0), then in the reflected language, 0 would stand for the
bodyText ||| term that denotes the expression “0”. Generally, the quoted opera-
bodyText ||| tor has the same arity as the original operator, but it is defined on
bodyText ||| syntactic terms rather than on semantic objects. For instance, while
bodyText ||| * is a binary operator on numbers, * is a binary operator on terms.
bodyText ||| Namely, if t1 and t2 are syntactic terms that stand for expressions
bodyText ||| e1 and e2 respectively, then t1 *t2 is a new syntactic term that stands
bodyText ||| for the expression e1 *e2. Thus, the quotation of the expression 1 *2
bodyText ||| would be 1 * 2.
bodyText ||| In general, the well-formedness (typing) rule for a quoted oper-
bodyText ||| ator is the following:
equation ||| t1 E Term	...	tn E Term
equation ||| op{t1; ... ; tn} E Term
equation ||| where Term is a type of terms.
bodyText ||| Note that quotations can be iterated arbitrarily many times,
bodyText ||| allowing us to quote quoted terms. For instance, 1 stands for the
bodyText ||| term that denotes the term that denotes the numeral 1.
bodyText ||| Problems arise when quoting expressions that contain binding
bodyText ||| variables. For example, what is the quotation of Xx.x? There are
bodyText ||| several possible ways of answering this question. A commonly
bodyText ||| used approach [PE88, DH94, DFH95, ACM02, ACM03] in logical
bodyText ||| frameworks such as Elf [Pfe89], LF [HHP93], and Isabelle [PN90,
bodyText ||| Pau94] is to construct an object logic with a concrete X operator
bodyText ||| that has a type like
equation ||| (Term -+ Term) -+ Term or (Var -+ Term) -+ Term.
bodyText ||| In this approach, the quoted Xx.x might look like X(Xx.x) and the
bodyText ||| quoted Xx.1 might look like X(Xx.1). Note that in these examples
bodyText ||| the quoted terms have to make use of both the syntactic (i. e. quoted)
bodyText ||| operator X and the semantic operator X.
bodyText ||| Exotic Terms. Naive implementations of the above approach
bodyText ||| suffer from the well-known problem of exotic terms [DH95,
bodyText ||| DFH95]. The issue is that in general we can not allow applying
bodyText ||| the X operator to an arbitrary function that maps terms to terms (or
bodyText ||| variables to terms) and expect the result of such an application to
bodyText ||| be a “proper” reflected term.
bodyText ||| Consider for example the following term:
equation ||| X(Xx. if x = 1 then 1 else 2)
bodyText ||| It is relatively easy to see that it is not a real syntactic term and
bodyText ||| can not be obtained by quoting an actual term. (For comparison,
bodyText ||| consider X(Xx. if x = 1 then 1 else 2), which is a quotation of
bodyText ||| Xx. if x = 1 then 1 else 2).
bodyText ||| How can one ensure that Xe denotes a “real” term and not an
bodyText ||| “exotic” one? That is, is it equal to a result of quoting an actual
bodyText ||| term of the object language? One possibility is to require e to be
bodyText ||| a substitution function; in other words it has to be equal to an
bodyText ||| expression of the form Xx.t[x] where t is composed entirely of term
bodyText ||| constructors (i.e. quoted operators) and x, while using destructors
bodyText ||| (such as case analysis, the if operator used in the example above,
bodyText ||| etc) is prohibited.
bodyText ||| There are a number of approaches to enforcing the above restric-
bodyText ||| tion. One of them is the usage of logical frameworks with restricted
bodyText ||| function spaces [PE88, HHP93], where X-terms may only con-
bodyText ||| tain constructors. Another is to first formalize the larger type that
bodyText ||| does include exotic terms and then to define recursively a predicate
bodyText ||| describing the “validity” or “well-formedness” of a term [DH94,
bodyText ||| DFH95] thus removing the exotic terms from consideration. Yet
bodyText ||| another approach is to create a specialized type theory that com-
bodyText ||| bines the idea of restricted function spaces with a modal type oper-
bodyText ||| ator [DPS97, DL99, DL01]. There the case analysis is disallowed
bodyText ||| on objects of “pure” type T, but is allowed on objects of a special
bodyText ||| type ❑T. This allows expressing both the restricted function space
bodyText ||| “T1 -+ T2” and the unrestricted one “(�T1) -+ T2” within a single
bodyText ||| type theory.
bodyText ||| Another way of regarding the problem of exotic terms is that it
bodyText ||| is caused by the attempt to give a semantic definition to a primarily
bodyText ||| syntactic property. A more syntax-oriented approach was used by
bodyText ||| Barzilay et al. [BA02, BAC03, Bar05]. In Barzilay’s approach, the
bodyText ||| quoted version of an operator that introduces a binding has the
bodyText ||| same shape (i.e. the number of subterms and the binding structure)
bodyText ||| as the original one and the variables (both the binding and the
none ||| (1)
page ||| 4
bodyText ||| bound occurrences) are unaffected by the quotation. For instance,
bodyText ||| the quotation of Xx.x is just Xx.x.
bodyText ||| The advantages of this approach include:
listItem ||| •	This approach is simple and clear.
listItem ||| •	Quoted terms have the same structure as original ones, inherit-
listItem ||| ing a lot of properties of the object syntax.
listItem ||| •	In all the above approaches, the a-equivalence relation for
listItem ||| quoted terms is inherited “for free”. For example, Xx.x and
listItem ||| Xy.y are automatically considered to be the same term.
listItem ||| •	Substitution is also easy: we do not need to re-implement the
listItem ||| substitution that renames binding variables to avoid the capture
listItem ||| of free variables; we can use the substitution of the original
listItem ||| language instead.
bodyText ||| To prune exotic terms, Barzilay says that Xx.t[x] is a valid term
bodyText ||| when Xx.t[x] is a substitution function. He demonstrates that it is
bodyText ||| possible to formalize this notion in a purely syntactical fashion. In
bodyText ||| this setting, the general well-formedness rule for quoted terms with
bodyText ||| bindings is the following:
equation ||| is substk {x1, · · · , xk.t[&quot;x]}	· · ·	is substl {z 1, · · · , zl.s[&quot;z]}
equation ||| op{x1, · · · , xk.t[&quot;x]; · · · ; z1, · · · , zl.s[&quot;z]} E Term
bodyText ||| (2)
bodyText ||| where is substn {x1 , · · · , xn.t[&quot;x]} is the proposition that t is a sub-
bodyText ||| stitution function over variables x1 , · · · , xn (in other words, it is a
bodyText ||| syntactic version of the Valid predicate of [DH94, DFH95]). This
bodyText ||| proposition is defined syntactically by the following two rules:
equation ||| is substn {x1, · · · , xn . xi}
equation ||| and
equation ||| is substn+k{x1, · · · , xn,y1, · · · , yk.t[&quot;x;&quot;y]}
equation ||| ...
equation ||| is substn+l {x1, · · · , xn, z1, ··· , zl.s[&quot;x; &quot;z]}}
equation ||| is substn {x1 · · ·xn.op{y1 · · ·yk.t[&quot;x; &quot;y]; · · · ; z1 · · ·zl.s[&quot;x; &quot;z]}}
bodyText ||| In this approach the is substn {} and X operators are essentially
bodyText ||| untyped (in NuPRL type theory, the computational properties of
bodyText ||| untyped terms are at the core of the semantics; types are added on
bodyText ||| top of the untyped computational system).
bodyText ||| Recursive Definition and Structural Induction Principle. A
bodyText ||| difficulty shared by both the straightforward implementations of
bodyText ||| the (Term -+ Term) -+ Term approach and by the Barzilay’s one
bodyText ||| is the problem of recursively defining the Term type. We want to
bodyText ||| define the Term type as the smallest set satisfying rules (1) and (2).
bodyText ||| Note, however, that unlike rule (1), rule (2) is not monotonic in the
bodyText ||| sense that is substk {x1, · · · , xk.t[&quot;x]} depends non-monotonically
bodyText ||| on the Term type. For example, to say whether Xx.t[x] is a term, we
bodyText ||| should check whether t is a substitution function over x. It means at
bodyText ||| least thatfor every x in Term, t[x] should be in Term as well. Thus
bodyText ||| we need to define the whole type Term before using (2), which
bodyText ||| produces a logical circle. Moreover, since X has type (Term -+
bodyText ||| Term) -+ Term, it is hard to formulate the structural induction
bodyText ||| principle for terms built with the X term constructor.
bodyText ||| Variable-Length Lists of Binders. In Barzilay’s approach, for
bodyText ||| each number n, is substn {} is considered to be a separate operator
bodyText ||| — there is no way to quantify over n, and there is no way to
bodyText ||| express variable-length lists of binders. This issue of expressing the
bodyText ||| unbounded-length lists of binders is common to some of the other
bodyText ||| approaches as well.
bodyText ||| Meta-Reasoning. Another difficulty that is especially apparent
bodyText ||| in Barzilay’s approach is that it only allows reasoning about con-
bodyText ||| crete operators in concrete languages. This approach does not pro-
bodyText ||| vide the ability to reason about operators abstractly; in particular,
bodyText ||| there is no way to state and prove meta-theorems that quantify over
bodyText ||| operators or languages, much less classes of languages.
sectionHeader ||| 3. Higher-Order Abstract Syntax
sectionHeader ||| with Inductive Definitions
bodyText ||| Although it is possible to solve the problems outlined in the previ-
bodyText ||| ous Section (and we will return to the discussion of some of those
bodyText ||| solutions in Section 6), our desire is to avoid these difficulties from
bodyText ||| the start. We propose a natural model of reflection that manages to
bodyText ||| work around those difficulties. We will show how to give a sim-
bodyText ||| ple recursive definition of terms with binding variables, which does
bodyText ||| not allow the construction of exotic terms and does allow structural
bodyText ||| induction on terms.
bodyText ||| In this Section we provide a conceptual overview of our ap-
bodyText ||| proach; details are given in Section 4.
subsectionHeader ||| 3.1 Bound Terms
bodyText ||| One of the key ideas of our approach is how we deal with terms
bodyText ||| containing free variables. We extend to free variables the principle
bodyText ||| that variable names do not really matter. In fact, we model free
bodyText ||| variables as bindings that can be arbitrarily a-renamed. Namely,
bodyText ||| we will write bterm{x1, · · · , xn.t[&quot;x]} for a term t over variables
bodyText ||| x1, · · ·, xn. For example, instead of term x*y we will use the
bodyText ||| term bterm{x, y.x*y} when it is considered over variables x and
bodyText ||| y and bterm{x, y, z.x*y} when it is considered over variables x,
bodyText ||| y and z. Free occurrences of xi in t[&quot;x] are considered bound
bodyText ||| in bterm{x1, · · · , xn.t[&quot;x]} and two a-equal bterm{} expressions
bodyText ||| (“bterms”) are considered to be identical.
bodyText ||| Not every bterm is necessarily well-formed. We will define the
bodyText ||| type of terms in such a way as to eliminate exotic terms. Consider
bodyText ||| for example a definition of lambda-terms.
construct ||| EXAMPLE 1. We can define a set of reflected lambda-terms as the
construct ||| smallest set such that
listItem ||| •	bterm{x1, · · · , xn.xi}, where 1 &lt; i &lt; n, is a lambda-term (a
listItem ||| variable);
listItem ||| •	ifbterm{x1, · · · , xn, xn+1.t[&quot;x] ) is a lambda-term, then
listItem ||| bterm{x1 , · · · , xn .Xxn+1 .t[&quot;x])
listItem ||| is also a lambda-term (an abstraction);
listItem ||| •	if bterm{x1, · · · , xn.t1 [&quot;x]} and bterm{x1, · · · , xn.t2[&quot;x]} are
listItem ||| lambda-terms, then
listItem ||| bterm{x1; · · · ; xn.apply{t1 [&quot;x]; t2[&quot;x]}}
listItem ||| is also a lambda-term (an application).
bodyText ||| In a way, bterms could be understood as an explicit coding for
bodyText ||| Barzilay’s substitution functions. And indeed, some of the basic
bodyText ||| definitions are quite similar. The notion of bterms is also very
bodyText ||| similar to that of local variable contexts [FPT99].
subsectionHeader ||| 3.2 Terminology
bodyText ||| Before we proceed further, we need to define some terminology.
construct ||| DEFINITION 1. We change the notion of subterm so that the sub-
construct ||| terms of a bterm are also bterms. For example, the immediate sub-
construct ||| terms of bterm{x, y.x*y} are bterm{x, y.x} and bterm{x, y.y}; the
construct ||| immediate subterm ofbterm{x.Xy.x} is bterm{x, y.x}.
construct ||| DEFINITION 2. We call the number of outer binders in a bterm
construct ||| expression its binding depth. Namely, the binding depth of the
construct ||| bterm bterm{x1, · · · , xn.t[&quot;x]} is n.
construct ||| DEFINITION 3. Throughout the rest of the paper we use the notion
construct ||| of operator shape. The shape ofan operator is a list ofnatural num-
construct ||| bers each stating how many new binders the operator introduces on
page ||| 5
bodyText ||| the corresponding subterm. The length of the shape list is therefore
bodyText ||| the arity of the operator. For example, the shape of the + operator
bodyText ||| is [0; 0] and the shape of the X operator is [1].
bodyText ||| The mapping from operators to shapes is also sometimes called
bodyText ||| a binding signature of a language [FPT99, Plo90].
construct ||| DEFINITION 4. Let op be an operator with shape [d1; · · · ; dN],
construct ||| and let btl be a list of bterms [b1; · · · ; bM]. We say that btl is
construct ||| compatible with op at depth n when,
listItem ||| 1. N=M;
listItem ||| 2. the binding depth of bterm bj is n + dj for each 1 &lt; j &lt; N.
subsectionHeader ||| 3.3 Abstract Operators
bodyText ||| Expressions of the form bterm{&quot;x.op{· · · }} can only be used to ex-
bodyText ||| press syntax with concrete operators. In other words, each expres-
bodyText ||| sion of this form contains a specific constant operator op. However,
bodyText ||| we would like to reason about operators abstractly; in particular,
bodyText ||| we want to make it possible to have variables of the type “Op” that
bodyText ||| can be quantified over and used in the same manner as operator
bodyText ||| constants. In order to address this we use explicit term constructors
bodyText ||| in addition to bterm{&quot;x.op{· · · }} constants.
bodyText ||| The expression mk bterm{n; “op”; btl}, where “op” is some en-
bodyText ||| coding of the quoted operator op, stands for a bterm with binding
bodyText ||| depth n, operator op and subterms btl. Namely,
equation ||| mk bterm{n; op; bterm{x1 , · · · , xn, &quot;y1 .t1 [&quot;x; &quot;y1]} :: · · · ::
equation ||| bterm{x1, · · · ,xn,&quot;yk.tk[&quot;x; &quot;yk]} :: nil}
equation ||| is bterm{x1, · · · , xn.op {&quot;y1 .t1 [&quot;x; &quot;y1]; · · · ; &quot;yk.tk[&quot;x; &quot;yk]}}. Here,
equation ||| nil is the empty list and :: is the list cons operator and there-
equation ||| fore the expression b1 :: · · · :: bn :: nil represents the concrete list
equation ||| [b1; ··· ; bn].
bodyText ||| Note that if we know the shape of the operator op and we know
bodyText ||| that the mk bterm expression is well-formed (or, more specifically,
bodyText ||| if we know that btl is compatible with op at depth n), then it
bodyText ||| would normally be possible to deduce the value of n (since n is
bodyText ||| the difference between the binding depth of any element of the list
bodyText ||| btl and the corresponding element of the shape(op) list). There are
bodyText ||| two reasons, however, for supplying n explicitly:
listItem ||| •	When btl is empty (in other words, when the arity of op is 0),
listItem ||| the value of n can not be deduced this way and still needs to be
listItem ||| supplied somehow. One could consider 0-arity operators to be a
listItem ||| special case, but this results in a significant loss of uniformity.
listItem ||| •	When we do not know whether an mk bterm expression is
listItem ||| necessarily well-formed (and as we will see it is often useful
listItem ||| to allow this to happen), then a lot of definitions and proofs
listItem ||| are greatly simplified when the binding depth of mk bterm
listItem ||| expressions is explicitly specified.
bodyText ||| Using the mk bterm constructor and a few other similar con-
bodyText ||| structors that will be introduced later, it becomes easy to reason ab-
bodyText ||| stractly about operators. Indeed, the second argument to mk bterm
bodyText ||| can now be an arbitrary expression, not just a constant. This has a
bodyText ||| cost of making certain definitions slightly more complicated. For
bodyText ||| example, the notion of “compatible with op at depth n” now be-
bodyText ||| comes an important part of the theory and will need to be explicitly
bodyText ||| formalized. However, this is a small price to pay for the ability to
bodyText ||| reason abstractly about operators, which easily extends to reason-
