title ||| An Intensional Approach to the Specification of Test Cases
bodyText ||| erations such as new product purchases and update of the
bodyText ||| product catalogue, as well as supporting decision making
bodyText ||| by generating reports regarding the most profitable product
bodyText ||| lines, names and addresses of loss-making customers, etc.
bodyText ||| In order to test such application programs, it is necessary
bodyText ||| to create test fixtures that simulate the presence of the rest
bodyText ||| of the information system. Fixtures for traditional test cases
bodyText ||| typically consist of in-memory objects and data structures
bodyText ||| that provide the inputs to the program being tested. This
bodyText ||| kind of fixture is also needed when testing database appli-
bodyText ||| cations (especially when performing unit testing); however,
bodyText ||| since it is unrealistic (and often incorrect) to execute test
bodyText ||| cases against an empty database, we need to create addi-
bodyText ||| tional fixture elements within the database itself.
bodyText ||| Current practice in the software industry is to maintain
bodyText ||| one or more test databases that can be used for testing in-
bodyText ||| dividual programs. These databases can be artificially gen-
bodyText ||| erated (e.g., using tools such as DBMonster1 and DataFac-
bodyText ||| tory2) or they may be subsets of the live database, taken
bodyText ||| as a snapshot at some recent point in time. Copies of the
bodyText ||| live data sets have the advantage that they are more likely
bodyText ||| to be representative of the patterns of data encountered in
bodyText ||| practice, while artificial data sets have the advantage that
bodyText ||| they can be made to embody specific characteristics (such
bodyText ||| as particular data skew patterns or volumes), which may be
bodyText ||| useful for load and stress testing.
bodyText ||| Both approaches, however, suffer from several disadvan-
bodyText ||| tages. The most significant problem occurs when none of
bodyText ||| the available test databases are suitable starting points for a
bodyText ||| particular test case. For example, suppose a particular test
bodyText ||| case executes a program which purges inactive customers,
bodyText ||| with the aim of verifying that the business rule forbidding
bodyText ||| deletion of customers with negative balances is correctly en-
bodyText ||| forced. If none of the test databases contains any inactive
bodyText ||| customers with negative balances, then the test case can-
bodyText ||| not be executed successfully. For a one-off test run, testing
bodyText ||| personnel can choose a database that is close to what is re-
bodyText ||| quired, and manually update it so that it is suitable for use
bodyText ||| with the test case. But if a complete test suite is to be exe-
bodyText ||| cuted (possibly including test cases which themselves make
bodyText ||| modifications to the database state) then in the worst case
footnote ||| 1http://DBMonster.kernelpanic.pl
footnote ||| 2http://www.quest.com/datafactory
page ||| 102
bodyText ||| this manual intervention will be required in between every
bodyText ||| test case execution. This is clearly undesirable if test suites
bodyText ||| are large or time-consuming to execute, or if the test suite
bodyText ||| is to be run in batch (as in the case of overnight regression
bodyText ||| testing, for example).
bodyText ||| Current research in testing for database systems proposes
bodyText ||| two approaches to this problem. One of these is to include
bodyText ||| within the test case description a full (extensional) specifica-
bodyText ||| tion of the database state against which it is to be run (and
bodyText ||| of the database state that should be produced if the test has
bodyText ||| executed successfully) [13, 14]. This solution is exemplified
bodyText ||| by DBUnit3, an extension of the JUnit testing framework4
bodyText ||| that is designed for testing database applications written in
bodyText ||| Java. Each DBUnit test case is accompanied by an XML
bodyText ||| file describing the data set required for the test. Before each
bodyText ||| test run, DBUnit clears the database state and inserts the
bodyText ||| data described by the XML file.
bodyText ||| This approach has the advantage of simplicity, but it places
bodyText ||| a considerable burden on testing personnel, especially when
bodyText ||| complex database states are required. It is also inefficient,
bodyText ||| since the database must be continually destroyed and recre-
bodyText ||| ated between tests, even when significant parts of the database
bodyText ||| might have been reused by the succeeding tests. Moreover,
bodyText ||| maintenance of a large suite of such tests is extremely chal-
bodyText ||| lenging, since any small change to the database schema may
bodyText ||| require corresponding changes to many test cases.
bodyText ||| The second approach that has been explored in the liter-
bodyText ||| ature is more efficient in that it requires the creation of only
bodyText ||| one database state per test suite (rather than one per test
bodyText ||| case). It is exemplified by the AGENDA database testing
bodyText ||| toolkit [6, 7], which can automatically generate a database
bodyText ||| state given information about the schema, some data gen-
bodyText ||| eration functions for individual attributes and some user-
bodyText ||| selected heuristics describing the kind of database state re-
bodyText ||| quired. The AGENDA tool also generates test cases from a
bodyText ||| simple analysis of the program being verified. The user must
bodyText ||| then add preconditions to each test case that are checked
bodyText ||| just before it is executed and that will prevent a case from
bodyText ||| being executed against an inappropriate database state. This
bodyText ||| approach successfully relieves the user of the need to specify
bodyText ||| complete database states in full detail, but at a cost. The
bodyText ||| user must accept that some of the test cases may not be
bodyText ||| executed because the database state fails the precondition,
bodyText ||| even when it would require only a small change to bring the
bodyText ||| database into a suitable state for the test. Since only one
bodyText ||| database state is created per test suite, this problem of failed
bodyText ||| tests is likely to become more severe as the size of the test
bodyText ||| suite grows. There is also a potential inefficiency involved
bodyText ||| in generating test descriptions and inputs, and in creating
bodyText ||| the additional log tables and constraints/triggers needed by
bodyText ||| the AGENDA tool, for test cases that are not in fact going
bodyText ||| to be executed.
bodyText ||| Ideally, we would prefer to be able to combine the advan-
bodyText ||| tages of both these approaches, to give a form of database
bodyText ||| test case that is quick and natural to specify, and which
bodyText ||| maximises the number of cases within the suite that can be
bodyText ||| executed while minimising the number of full test databases
bodyText ||| that need to be maintained. Our thesis is that this can
bodyText ||| be achieved by allowing testing personnel to describe the
bodyText ||| database states involved in their test cases intensionally, in
footnote ||| 3http://www.dbunit.org
footnote ||| 4http://www.junit.org
bodyText ||| the form of declarative conditions that the input database
bodyText ||| must satisfy, and by providing a testing harness that can
bodyText ||| automatically adjust the input database so that the test
bodyText ||| conditions are satisfied [19].
bodyText ||| In this paper, we present a language for specifying such
bodyText ||| intensional database tests, and describe its semantics and
bodyText ||| operational behaviour (Section 2). We present an algorithm
bodyText ||| for automatically modifying database states so that test pre-
bodyText ||| conditions are satisfied (Section 3), thus ensuring that all
bodyText ||| test cases can be executed without requiring any human
bodyText ||| intervention. We further describe how we have extended the
bodyText ||| JUnit testing framework to allow intensional database tests
bodyText ||| to be specified and executed in practice (Section 4). Finally,
bodyText ||| we present the results of an evaluation of the performance
bodyText ||| of the techniques (Section 5) and conclude (Section 6).
sectionHeader ||| 2. SPECIFYING INTENSIONAL TESTS
bodyText ||| A conventional test case is typically modelled as a triple
bodyText ||| &lt; p, i, o &gt;, which denotes a test that executes program p
bodyText ||| with inputs (e.g., parameters) denoted by i. If no faults are
bodyText ||| encountered during the test execution, the output that will
bodyText ||| be produced is o. In the case of test cases for database ap-
bodyText ||| plications, we must add two further elements—the specifica-
bodyText ||| tion of the database state against which p is to be executed,
bodyText ||| and some statement of the database state that should result
bodyText ||| from the execution of p if it is operating correctly according
bodyText ||| to its specification.
bodyText ||| For example, consider the example program mentioned
bodyText ||| in Section 1 that prunes inactive customer details from the
bodyText ||| database. For this test case, we require a database state that
bodyText ||| contains at least one inactive customer. This could easily
bodyText ||| be stated as a predicate logic condition over the database,
bodyText ||| assuming the obvious mapping between stored relations and
bodyText ||| predicates, e.g.:
construct ||| (3custNo, lastOrderOn, a, b, c)
construct ||| customer(custNo, a, b, c, lastOrderOn) n
construct ||| lastOrderOn &lt; today — 90
bodyText ||| The program in question does not access any parts of the
bodyText ||| database other than the customer table. Therefore, we do
bodyText ||| not care what values the other tables contain and need not
bodyText ||| mention them in the intensional specification of the test.
bodyText ||| This approach works equally well for observing the results
bodyText ||| of the test. For example, when testing the customer pruning
bodyText ||| behaviour, we might require that no inactive customer with
bodyText ||| a non-negative balance should exist in the database after
bodyText ||| the test:
construct ||| -((3custNum, lastOrderDate, a, b, c)
construct ||| customer(custNum, a, bal, c, lastOrderDate) n
construct ||| lastOrderDate &lt; today — 90 n bal &gt; 0)
bodyText ||| Effectively, the test case describes a set of valid (i.e., fault-
bodyText ||| free) state transition for the database, as a classic pre/post-
bodyText ||| condition pair.
bodyText ||| This first-order-logic style of database specification does
bodyText ||| not work so well when we consider the testing problem in
bodyText ||| more depth, however. The problem is that we need to do
bodyText ||| more than test the input database for compliance with the
bodyText ||| requirements of the test case; we also need to extract in-
bodyText ||| formation from it to be used to instantiate other elements
page ||| 103
bodyText ||| of the test case. For example, suppose we wish to test a
bodyText ||| program that deletes details of individual customers. Such
bodyText ||| programs typically require some input from the user, identi-
bodyText ||| fying the specific customer record that is to be deleted (e.g.,
bodyText ||| by supplying the relevant customer code as a parameter).
bodyText ||| This could be achieved by requiring the tester to embed the
bodyText ||| customer code into the test case elements, as literal values.
bodyText ||| Alternatively, we could search for a suitable customer that
bodyText ||| already exists in the database, using a standard database
bodyText ||| query, and use the values from that in specifying the inputs
bodyText ||| for the test case. This would minimise the amount of work
bodyText ||| required to prepare the database for test execution (since we
bodyText ||| would be using data already present in the database), and it
bodyText ||| would also mean that test cases can be written very quickly,
bodyText ||| since the user does not need to specify every last detail of
bodyText ||| the data to be used.
bodyText ||| Under this approach, the specification of the input database
bodyText ||| state now has a dual role: it must state the condition that
bodyText ||| determines whether the database state is suitable for execu-
bodyText ||| tion of the test case and it must also return bindings for the
bodyText ||| free variables that appear in the remaining components of
bodyText ||| the test case. For the latter purpose, we would prefer to use
bodyText ||| a straightforward query language, while for the former we
bodyText ||| require the ability to place conditions on the data. With a
bodyText ||| simple extension of a standard query language such as SQL,
bodyText ||| we can combine both these purposes in a single statement.
bodyText ||| For example, the following statement:
construct ||| ANY :cn GENERATED BY
construct ||| SELECT custNo FROM customer
construct ||| WHERE lastOrderDate &lt; today() - 90
construct ||| AND balance &lt; 0
bodyText ||| retrieves the customer code of some record that meets the
bodyText ||| given conditions (an inactive customer with negative bal-
bodyText ||| ance) from the database, and binds it to the variable : cn.
bodyText ||| It also places a cardinality constraint on the result of the
bodyText ||| query, that at least one such binding must exist (implied by
bodyText ||| the use of the keyword ANY).
bodyText ||| The variable : cn can then be used to specify other ele-
bodyText ||| ments of the test case. The obvious usage in this example is
bodyText ||| in specifying the inputs to the program being tested, but it
bodyText ||| can also be used in describing the expected outputs of the
bodyText ||| program. In this example test case, the correct behaviour
bodyText ||| of the DeleteCustomer program is to reject the deletion
bodyText ||| of : cn, since customers with a negative balance cannot be
bodyText ||| purged from the database. We might therefore give the fol-
bodyText ||| lowing specification of the desired output database state:
construct ||| AT LEAST 1 :cn2 GENERATED BY
construct ||| SELECT custNo FROM customer
construct ||| WHERE custNo = :cn
bodyText ||| Of course, not all test cases are best specified in terms of
bodyText ||| values retrieved from the database. For example, suppose
bodyText ||| that we wish to write test cases for a program that adds new
bodyText ||| customers to the database. The inputs to this program are
bodyText ||| the details of the new customer, and the precondition for one
bodyText ||| particular test case states that no customer should exist that
bodyText ||| has the same customer code as that of the customer being
bodyText ||| created. We cannot retrieve the customer details from the
bodyText ||| database in this case, as they have not yet been stored in it.
bodyText ||| Again, we could force the user to include the required values
bodyText ||| as literals in the test case, but ideally we would like to give
figure ||| &lt;CONDITION&gt;::= &lt;TYPE&gt; &lt;BINDINGLIST&gt;
figure ||| GENERATED BY &lt;SELECT&gt;
figure ||| &lt;TYPE&gt;::= ANY I NO I AT LEAST &lt;i&gt; I
figure ||| AT MOST &lt;i&gt; EXACTLY &lt;i&gt; |
figure ||| ALL I FIRST
figure ||| &lt;i&gt;::= {0-9}
figure ||| &lt;BINDINGLIST&gt;
figure ||| ::=&lt;BINDING&gt; { ‘,’ &lt;BINDINGLIST&gt; }
figure ||| &lt;BINDING&gt;::= {A-Z I a-z}
figure ||| &lt;SELECT&gt; ::= ...
figureCaption ||| Figure 1: Simplified BNF Grammar for SQL Exten-
figureCaption ||| sions
bodyText ||| more support to the process of test case generation. One
bodyText ||| way to achieve this is to allow user-defined data generator
bodyText ||| functions to be incorporated within queries as though they
bodyText ||| were relations. For example, the following expression states
bodyText ||| our requirements for this test case, while also binding the
bodyText ||| variables needed for input to the program:
construct ||| ANY :cn, :name, :addr, :bal GENERATED BY
construct ||| SELECT gc.custno, gc.name, gc.addr, 0
construct ||| FROM genCustomerDetails() AS gc
construct ||| WHERE gc.custno NOT IN (
construct ||| SELECT custno
construct ||| FROM customer
construct ||| WHERE balance &gt; 0)
bodyText ||| Here, the data generator function getCustomerDetails ( )
bodyText ||| is used as if it were a normal relation, whereas in fact the
bodyText ||| results it returns are computed on the fly. In fact, several
bodyText ||| of the main commercial database management systems al-
bodyText ||| ready allow user-defined functions to be embedded in queries
bodyText ||| in this way, so this does not require a further extension of
bodyText ||| SQL. Figure 1 shows the minimal extensions that are needed
bodyText ||| to support all the kinds of constrained query shown above
bodyText ||| using the SQL99 standard [17].
subsectionHeader ||| 2.1 Test Case Semantics
bodyText ||| Clearly, the semantics of these intensional database test
bodyText ||| cases is more complex than for traditional extensional tests.
bodyText ||| However, we can define their semantics formally in terms
bodyText ||| of a mapping from intensional tests to sets of equivalent
bodyText ||| extensional database test cases. We first present a formal
bodyText ||| definition of the structure of our intensional test cases:
construct ||| DefInItIOn 1. An intensional database test case is a quin-
construct ||| tuple &lt; p, i, DBi, o, DBo &gt;, where:
listItem ||| •	p is the program to be executed in the test,
listItem ||| •	i is a tuple of n variables and literals that describes the
listItem ||| inputs to be given to program p, where n is the number
listItem ||| of parameters expected by p,
listItem ||| •	DBi is a set of constrained queries that together specify
listItem ||| the initial database state.
listItem ||| •	o is a tuple of m variables and literal that describes the
listItem ||| expected outputs from the program p.
listItem ||| •	DBo is a set of constrained queries that together specify
listItem ||| the conditions that must hold in the database state after
listItem ||| execution of p if no fault has been encountered.
page ||| 104
bodyText ||| A constrained query has the form &lt; Q, min, max, vars &gt;,
bodyText ||| where Q is a standard relational algebra query, min and
bodyText ||| max describe the constraints on the cardinality of the query
bodyText ||| result set, and vars is the list of variables bound by the
bodyText ||| query result.
bodyText ||| A database test case is well-formed for use with a partic-
bodyText ||| ular database schema Σ iff:
listItem ||| 9 for every variable v that occurs free in i, DBi, o and
listItem ||| DBo, there exists a query in DBi that provides a bind-
listItem ||| ing for v,
listItem ||| 9 for every query &lt; q, n, m, vs &gt; in DBi U DBo, q is a
listItem ||| well-formed query over Σ that returns k-tuples, where
listItem ||| IvsI = k, and
listItem ||| 9 there are no circular variable dependencies amongst
listItem ||| the queries in DBi.
bodyText ||| We can now define a semantics for the intensional database
bodyText ||| test cases as follows. Every intensional test case is equivalent
bodyText ||| to a set of extensional test cases. An extensional test case
bodyText ||| defines a specific test run, in terms of actual inputs and
bodyText ||| outputs, rather than expressions denoting sets of inputs and
bodyText ||| outputs. The set of all possible extensional test cases is
bodyText ||| given by:
equation ||| PxGnxDBxGxDB
bodyText ||| where P is the set of all programs, G is the set of all lit-
bodyText ||| erals, Gn is the set of all n-tuples formed from G and DB
bodyText ||| is the set of all database states (relative to all schemas)5.
bodyText ||| The components of each extensional test are the program
bodyText ||| to be tested, the input values, the initial database state,
bodyText ||| the expected output and the expected final database state,
bodyText ||| respectively.
bodyText ||| An intensional test case is effectively a shorthand expres-
bodyText ||| sion for a set of extensional test cases that are all derived
bodyText ||| from the same equivalence partition of the test case inputs.
bodyText ||| An intensional database test &lt; p, i, DBi, o, DBo &gt;, where
bodyText ||| DBi = {&lt; qi, ni, mi, vi &gt;} and DBo = {&lt; qo, no, mo, vo &gt;},
bodyText ||| is equivalent to the following set of extensional tests:
equation ||| {&lt; p, i[vi/v], dbi, o[vi/v], dbo &gt; I
equation ||| dbi E DB n
equation ||| (ni &lt;_ Iqi(dbi)I &lt;_ mi) n
equation ||| v E qi(dbi) n
equation ||| dbo E DB n
equation ||| (no &lt;_ I (qo [vi /v])(dbo)I &lt;_ mo)}
bodyText ||| We use the notation exp[01/02] to express the substitution of
bodyText ||| the values in 01 by the corresponding values in 02 whereever
bodyText ||| they occur in exp. Therefore, this expression denotes the set
bodyText ||| of extensional tests where the input database satisfies the
bodyText ||| constraints imposed by the initial constrained query, and
bodyText ||| where the bindings from execution of that query (here ex-
bodyText ||| pressed as the tuple of variables v) are substituted into the
footnote ||| 5For simplicity of presentation, we assume that all programs
footnote ||| require the same number of inputs (n). In practice, n can
footnote ||| be the largest number of inputs required by any program,
footnote ||| and the unused values can be filled with nulls.
bodyText ||| expressions defining the inputs, expected output and ex-
bodyText ||| pected final database state before they too are evaluated 6.
bodyText ||| The idea underlying this notion of an intensional test is
bodyText ||| that when any of its corresponding extensional sets are ex-
bodyText ||| ecuted, the intensional test is itself deemed to have been
bodyText ||| executed. Thus, the use of intensional tests allows much
bodyText ||| greater freedom at test execution time, since we may choose
bodyText ||| any of the possible extensional tests, depending on which is
bodyText ||| closest to our starting environment. In the next section, we
bodyText ||| will consider the practical ramifications of this approach to
bodyText ||| testing, and describe how the semantics just described can
bodyText ||| be implemented in practice.
sectionHeader ||| 3. DATABASE PREPARATION
bodyText ||| The execution of an intensional database test case con-
bodyText ||| sists of three distinct phases: 1) preparation of the environ-
bodyText ||| ment for test execution; 2) execution of the test with the
bodyText ||| prepared inputs; and 3) capture and storage of the results,
bodyText ||| for later analysis. Since all the work of finding bindings
bodyText ||| for the variables in the test case specification is done in the
bodyText ||| preparation phase, the final two phases are straightforward
bodyText ||| and differ little from standard testing procedures. When
bodyText ||| program execution is complete, the constrained query that
bodyText ||| determines whether the test has been successful or not is
bodyText ||| evaluated against the database, and the output from the
bodyText ||| program is checked against what is expected. In the case
bodyText ||| of test failure, the details of the actual extensional test that
bodyText ||| was executed are recorded, for diagnosis purposes.
bodyText ||| The first phase, however, is more complex. If we were
bodyText ||| content to execute only those test cases which happen to
bodyText ||| be suitable for use with the initial database state, then the
bodyText ||| preparation phase would simply be a matter of executing
bodyText ||| the input constrained queries against the database and, if
bodyText ||| they are all successful, using the bindings thus produced
bodyText ||| to instantiate the remaining components of the test case.
bodyText ||| However, thanks to the declarative nature of our test case
bodyText ||| specifications, the testing framework can be pro-active in
bodyText ||| cases where the given database is not suitable for use by
bodyText ||| the test case, and can automatically generate a sequence of
bodyText ||| updates that will cause the constrained queries to produce
bodyText ||| the required number of bindings.
bodyText ||| In fact, this problem is similar (though not identical) to
bodyText ||| one that has been studied by the database and artificial in-
bodyText ||| telligence communities for many years. It is known variously
bodyText ||| as the view update problem [9], the knowledge base update
bodyText ||| problem [12], and the transaction repair problem [10]. Many
bodyText ||| database systems have the capability to define views on top
bodyText ||| of the basic database. A view is a kind of virtual relation.
bodyText ||| To the user, it appears to be a normal relation, but it con-
bodyText ||| tains no stored data. Instead, the contents of the view are
bodyText ||| defined by a expression over other relations, and attempts
bodyText ||| to retrieve data from the view are converted into queries
bodyText ||| over these relations. To take a simple example for illustra-
bodyText ||| tion, we might create a view called Debtors which appears
bodyText ||| to be a relation of the same name containing all customers
bodyText ||| with a negative balance. Attempts to retrieve Debtors is
footnote ||| 6For simplicity of presentation, we assume here that there
footnote ||| is only one query in each of DBi and DBo. In practice,
footnote ||| it may be necessary to include several queries, each pro-
footnote ||| ducing different bindings and imposing different cardinality
footnote ||| constraints. In this case, the constraints must be conjoined,
footnote ||| and the full set of bindings can be retrieved by performing
footnote ||| a natural join of all the queries, with join condition true.
page ||| 105
bodyText ||| converted into a query against the customer table with an
bodyText ||| added constraint on the balance.
bodyText ||| If views are truly to act as normal relations then it should
bodyText ||| be possible to update them as well query them. But what
bodyText ||| does it mean to update a virtual relation? In this case, the
bodyText ||| view update must be converted into a sequence of updates
bodyText ||| on the stored relations that will cause the desired change in
bodyText ||| the contents of the view itself. This is a non-trivial problem
bodyText ||| for realistic view languages, and becomes even more difficult
bodyText ||| when we move into the context of knowledge bases, where
bodyText ||| virtual relations can be defined using rules over other rela-
bodyText ||| tions, and when we add integrity constraints that must be
bodyText ||| maintained by all updates [1, 2, 3, 4, 5, 8, 11].
bodyText ||| Only in very narrow circumstances does a view update
bodyText ||| have a single translation into real updates [15, 18]. Various
bodyText ||| heuristics for selecting from amongst the possible transla-
bodyText ||| tions have been proposed (of which the most common is to
bodyText ||| choose the update that results in the smallest change to the
bodyText ||| existing data set [2]), but in real applications user input is
bodyText ||| needed in order to identify the translation that corresponds
bodyText ||| most closely to the real world state that the database should
bodyText ||| reflect [10].
bodyText ||| In the case of intensional database tests, we have a query
bodyText ||| (the constrained query that describes our requirements for
bodyText ||| the test) that does not produce the correct number of an-
bodyText ||| swers when executed against the test database. We need to
bodyText ||| find a sequence of updates to the base data that will cause
bodyText ||| our query to produce the number of answers we need. How-
bodyText ||| ever, in this case, there is no requirement to find the set of
bodyText ||| updates that matches the state of reality — any sensible up-
bodyText ||| date that satisfies the query conditions will be acceptable.
bodyText ||| This simplifies the problem considerably, removing the need
bodyText ||| for complex search procedures and for any user input.
subsectionHeader ||| 3.1 The Preparation Algorithm
bodyText ||| One of the advantages of using a query-based language
bodyText ||| for test specification (as opposed to a predicate calculus-
bodyText ||| based language) is that we can make use of a very common
bodyText ||| and easy-to-analyse internal form for (relational) database
bodyText ||| queries, called relational algebra. This form provides a small
bodyText ||| number of operations on relations that can be combined to
bodyText ||| form complex queries. For example, the three most basic
bodyText ||| (and useful) relational algebra operators are:
listItem ||| 9 The projection operator, πAttsR, which creates a re-
listItem ||| lation from R by deleting all attributes not in Atts.
listItem ||| For example, π[Country]Customer produces a relation
listItem ||| that contains just the countries that appear in the
listItem ||| Customer relation.
listItem ||| 9 The selection operator, QcR, which creates a relation
listItem ||| that contains all the rows from relation R that satisfy
listItem ||| the condition c. For example, Qbal&lt;0 Customer returns
listItem ||| a relation containing details of all customers with neg-
listItem ||| ative balances.
listItem ||| 9 The join operator, R ✶c S, which creates a relation
listItem ||| containing rows from the cross product of R and S that
listItem ||| satisfy the join condition c. The query Debtor ✶dNo=WNo
listItem ||| Inactive returns details of all debtors who are also in-
listItem ||| active.
bodyText ||| Since the result of each relational algebra operator is itself
bodyText ||| a relation, together they form a closed algebra. This means
bodyText ||| that we can form arbitrarily complex queries by applying
bodyText ||| operators to the results of other operators. For example, a
bodyText ||| query which retrieves the customer number of all customers
bodyText ||| with a negative balance would be written as:
equation ||| π[custNo] (Qbalance&lt;0 Customer)
bodyText ||| A common way to visualise such expressions is as a tree of
bodyText ||| operators. The tree for the above query is shown in Figure 2.
figureCaption ||| Figure 2: Relational Algebra Tree for Negative Bal-
figureCaption ||| ance Query.
bodyText ||| Our algorithm for preparing a database for testing is based
bodyText ||| around this notion of a relational algebra tree. We take the
bodyText ||| cardinality constraints from the test specification, and push
bodyText ||| them down through the nodes of the input database query
bodyText ||| tree, collecting up additional conditions as we go. When we
bodyText ||| reach a leaf node (i.e. a base relation), we make updates
bodyText ||| to the database so that the pushed-down constraints are
bodyText ||| satisfied for that relation.
bodyText ||| At each stage, we collect up the different kinds of con-
bodyText ||| straint and push them further down into the tree. These
bodyText ||| constraint types are:
listItem ||| 9 Min and Max, the upper and lower bounds on the de-
listItem ||| sired cardinality of the result set.
listItem ||| 9 SelC, the selection conditions on the relations that we
listItem ||| are interested in.
listItem ||| 9 UAtts, the collection of attributes that are used in the
listItem ||| constrained query, and that must be populated in any
listItem ||| new data that we insert.
bodyText ||| We also build up a collection of queries that describe the
bodyText ||| data that has been prepared for testing so far, as we progress
bodyText ||| through the tree. We call these queries “bindings” (Bgs),
bodyText ||| since they give us values for the variables that occur within
bodyText ||| the selection and join conditions. At each stage, the bindings
bodyText ||| should contain one query for each leaf node that has so far
bodyText ||| been prepared.
bodyText ||| It is easiest to see how this works by considering a simple
bodyText ||| example, such as that shown in Figure 2. Let us assume we
bodyText ||| have a constrained query that requires at least one customer
bodyText ||| with negative balance to exist, and that our database does
bodyText ||| not currently contain any such customers. We begin at the
bodyText ||| root node of the tree, with only the cardinality constraints
bodyText ||| extracted from the test specification:
equation ||| Min = 1, Max = null, SelC = true,
equation ||| UAtts = 0, Bgs = 0
bodyText ||| The top node is a projection operator. Projection does not
bodyText ||| affect the cardinality of the result set, nor impose any condi-
bodyText ||| tions, but it does tell us something about the attributes used
page ||| 106
figureCaption ||| Figure 3: Relational Algebra Tree Showing Multiple
figureCaption ||| Joins
bodyText ||| by the query. We therefore add the projection attributes to
bodyText ||| UAtts and push the constraints down to the next node:
equation ||| Min = 1, Max = null, SelC = true,
equation ||| UAtts = {custNo}, Bgs = 0
bodyText ||| Next we must deal with the selection node. Selection nodes
bodyText ||| reduce the cardinality of their input, so we need to push
bodyText ||| down the selection conditions to ensure that any updates
bodyText ||| we may make affect the correct tuples. We also need to add
bodyText ||| any attributes appearing in the selection condition to UAtts:
equation ||| Min = 1, Max = null, SelC = balance &lt; 0,
equation ||| UAtts = {custNo, balance}, Bgs = 0
bodyText ||| The final node is the leaf node, representing the Customer
bodyText ||| relation. We construct a query from the conditions on that
bodyText ||| relation and execute it, to find out how many answers are
bodyText ||| currently in the database. In this case, there are none, so
bodyText ||| we need to insert a new Customer record with at least
bodyText ||| the custNo and balance attributes populated, and with
bodyText ||| a negative balance. If there are any integrity constraints
bodyText ||| on this relation, then we need to make sure they are also
bodyText ||| satisfied by the new data.
bodyText ||| We use the DBMonster data generator mentioned earlier
bodyText ||| to create the new data. It allows generation functions to
bodyText ||| be specified for attributes, and additional constraints to be
bodyText ||| placed on them. It will also maintain primary key, foreign
bodyText ||| key, non-null and domain constraints if configured appro-
bodyText ||| priately using the information present in the pushed-down
bodyText ||| constraints.
bodyText ||| Of course, this is a very simple example. In general, we
bodyText ||| can expect to have to deal with more complicated queries
bodyText ||| involving several joins, such as that shown in Figure 3. This
bodyText ||| relational algebra tree is equivalent to the following con-
bodyText ||| strained query:
construct ||| ANY :orderNo, :productNo GENERATED BY
construct ||| SELECT o.orderno, p.productno
construct ||| FROM Order o, Orderdetail d, Product p
construct ||| WHERE o.orderno = d.orderno AND
construct ||| d.productno = p.productno AND
construct ||| p.price &gt; 50
bodyText ||| which requires that at least one order must exist that in-
bodyText ||| volves the purchase of at least one product that costs more
bodyText ||| than £50. Joins complicate the process of preparing the
bodyText ||| database, because they introduce dependencies between the
bodyText ||| updates that take place at different leaf nodes. For example,
