title ||| An expressive aspect language for system applications
bodyText ||| fore showing their crosscutting nature and finally explaining
bodyText ||| the lack in current aspect-oriented languages to handle them
bodyText ||| properly.
subsectionHeader ||| 2.1 TCP to UDP protocol
bodyText ||| HTTP was essentially designed as a file transfer proto-
bodyText ||| col running on top of TCP, a connection-oriented protocol
bodyText ||| ensuring communication reliability. While the average Web
bodyText ||| page size does not exceed 8 KB [4], the cost of retrieving
bodyText ||| a Web page is often dominated by data exchanged for con-
bodyText ||| trol purposes of TCP rather than by the page content itself.
bodyText ||| This is not a new problem, many researches have already
bodyText ||| pointed out that TCP is not suitable for short-lived connec-
bodyText ||| tions. While HTTP 1.1 has introduced persistent connec-
bodyText ||| tions allowing a client to retrieve multiple pages from the
bodyText ||| same server through the same TCP connection, the number
bodyText ||| of simultaneous TCP connections is limited by operating
bodyText ||| systems. Servers have a strong incentive to close HTTP
bodyText ||| connections as soon as possible. Hence, despite the per-
bodyText ||| sistent connection mechanism, many studies conclude that
bodyText ||| TCP should be replaced by UDP to retrieve short pages [10,
bodyText ||| 29, 7]. In spite of its performance improvements, the number
bodyText ||| of legacy Web applications has prevented a wide adoption
bodyText ||| of this solution. Typical legacy Web applications have to be
figureCaption ||| Figure 1: Typical usage of the TCP and UDP APIs.
bodyText ||| stopped to switch the protocol. The traditional approach
bodyText ||| to avoid depriving a subnetwork from Internet connectivity
bodyText ||| while stopping the cache is to swap the application between
bodyText ||| different machines. This approach is not only expensive in
bodyText ||| terms of hardware, it complicates the administrative task of
bodyText ||| the Web cache administrator and poses the problem of con-
bodyText ||| sistently transferring the runtime state of the application
bodyText ||| before restarting it. Stopping an e-commerce Web server
bodyText ||| means a loss of money and many small companies can not
bodyText ||| afford the cost of redundant servers. For a wide acceptance,
bodyText ||| a HTTP dialect using UDP as transport protocol should
bodyText ||| thus be deployable on demand at runtime.
bodyText ||| In addition, replacing TCP by UDP in an application is
bodyText ||| relatively difficult. The choice of a transport protocol is
bodyText ||| usually based on standards believed to be ever-lasting and
bodyText ||| made at an early design stage. Hence no particular effort is
bodyText ||| made to localize this design decision in a single piece of code.
bodyText ||| For example, despite a modularization effort, the TCP API
bodyText ||| provided by the operating system is used directly in 7 of the
bodyText ||| 104 ” . c” source files of the Squid Web cache.
bodyText ||| As shown in Fig. 1, the TCP API is built around a set of
bodyText ||| C functions to be invoked sequentially by the application. In
bodyText ||| a properly written program, TCP functions are first used to
bodyText ||| establish the connection (typically with socket, connect,
bodyText ||| bind and listen), exchange data through the connection
bodyText ||| (typically with read and write) and then close it (typically
bodyText ||| close). UDP uses similar but less functions. UDP applica-
bodyText ||| tions first direct the operating system to dedicate the appro-
bodyText ||| priate resources to exchange data (typically with socket and
bodyText ||| bind), then exchange data through these resources (typically
bodyText ||| with sendto and recvfrom) before releasing them (typically
bodyText ||| with close). Hence, the problem is not only difficult be-
bodyText ||| cause TCP-related function invocations are scattered but
bodyText ||| because the relative order of each invocation is important in
bodyText ||| order to map it onto the appropriate UDP function.
bodyText ||| This example is typical of protocol based APIs. When
bodyText ||| such an API is used in an undisciplined way, it becomes
bodyText ||| quickly impossible to replace it by another one. Today,
bodyText ||| aspect-oriented systems lack an appropriate sequencing con-
bodyText ||| struct in their language. Moreover, many do not provide the
bodyText ||| ability to weave aspects dynamically.
subsectionHeader ||| 2.2 Buffer overflows
bodyText ||| In C, the size of an array is fixed at allocation time. Ac-
bodyText ||| cording to ISO and ANSI standards [2], an invalid array
bodyText ||| access does not result in an immediate error but leads to
bodyText ||| an implementation-dependent behavior. Such behavior is
bodyText ||| increasingly exploited by hackers to circumvent security re-
figure ||| TCP Protocol	Time	UDP Protocol
figure ||| Server Network Client	Server Network Client
figure ||| bind
figure ||| listen
figure ||| accept
figure ||| read
figure ||| write
figure ||| close
figure ||| socket
figure ||| connect
figure ||| write
figure ||| read
figure ||| close
figure ||| socket
figure ||| socket
figure ||| bind
figure ||| recvfrom
figure ||| sendto
figure ||| close
figure ||| socket
figure ||| recvfrom
figure ||| close
figure ||| sendto
page ||| 28
bodyText ||| strictions [37]. It is therefore crucial for C programmers to
bodyText ||| ensure every access to an array to be valid. On the other
bodyText ||| hand, bound checking code is error prone: it is easy to for-
bodyText ||| get to check an access and even when the access is checked,
bodyText ||| it is easy to compare the index locating the access with an
bodyText ||| inappropriate bound. Therefore, researchers have proposed
bodyText ||| to make compilers responsible for enforcing proper array ac-
bodyText ||| cess [22, 31]. The problem is that even the most efficient
bodyText ||| system (CRED [31]) slows down an application up to 130%.
bodyText ||| Moreover, most frequently used compilers like gcc do not
bodyText ||| support bound checking.
bodyText ||| Today, administrators discovering a buffer overflow in pro-
bodyText ||| duction software are left with no other option than stopping
bodyText ||| the application and restarting a bug free version. This was
bodyText ||| the solution chosen when a buffer overflow was discovered
bodyText ||| in Squid in [6]. While widely used, this solution suffers from
bodyText ||| three major drawbacks. First, it does not enforce continuous
bodyText ||| servicing since the service delivered by the application is not
bodyText ||| available during the update. Second, this solution entails an
bodyText ||| important information loss: an administrator has no means
bodyText ||| to learn whether the buffer overflow has been exploited by
bodyText ||| a hacker or not. Third, it misunderstands the performance
bodyText ||| trade-off, i.e. it is not necessary to check every array access,
bodyText ||| it is only necessary to perform enough checking to discour-
bodyText ||| age hackers. Therefore, bound checking code should only
bodyText ||| run when an environment becomes hostile [23].
bodyText ||| Bound checking code tends to crosscut the entire applica-
bodyText ||| tion. For example, properly written C functions accepting
bodyText ||| an array argument commonly take a second argument hold-
bodyText ||| ing the array size: the first one allows the function to access
bodyText ||| the array while the second is used to ensure correctness of
bodyText ||| accesses. In Squid, bound checking code can be found in
bodyText ||| any of the 104 ” . c” files of its source code. On the 57635
bodyText ||| lines composing these ” . c” files, at least 485 check bounds.
bodyText ||| This problem fails to be handled properly in current as-
bodyText ||| pect languages as they lack the ability to trigger advices
bodyText ||| upon access made through the alias of a variable. Again,
bodyText ||| many aspect-oriented systems offer only static weaving ca-
bodyText ||| pabilities preventing the administrator to choose the trade-
bodyText ||| off security/performance suiting his needs.
subsectionHeader ||| 2.3 From fetching to prefetching
bodyText ||| Operations like retrieving a file on a local disk or over the
bodyText ||| Web can be sped up if the underlying software anticipates
bodyText ||| user requests and start to fetch documents beforehand. Such
bodyText ||| prefetching schemes distinguish themselves from each other
bodyText ||| in the way they predict future user requests. These ”ora-
bodyText ||| cles” actually prevent a clean encapsulation of prefetching
bodyText ||| in a single module communicating with the rest of the appli-
bodyText ||| cation through well-defined interfaces since predictions are
bodyText ||| based on information meant to be private to other modules.
bodyText ||| In addition, it is very likely that there is no universal per-
bodyText ||| fect oracle [19]. A statically linked prefetching module is
bodyText ||| therefore inappropriate, but prefetching modules along with
bodyText ||| the necessary oracles should be loaded and unloaded on the
bodyText ||| fly. Due to their crosscutting nature, prefetching modules
bodyText ||| including such oracles are better written with aspects [32].
bodyText ||| Coady et al. have already pointed out the crosscutting
bodyText ||| nature of prefetching in the FreeBSD OS [12]. In our pre-
bodyText ||| vious work considering the Squid Web cache, we reached a
bodyText ||| similar conclusion [32]. We have previously shown that this
bodyText ||| concern can be addressed with cflow-like constructs.
bodyText ||| Despite potential performance improvements, prefetching
bodyText ||| also increases resource consumption (e.g. network prefetch-
bodyText ||| ing consumes local storage and bandwidth). When the pres-
bodyText ||| sure on resources is too high, prefetching computation com-
bodyText ||| petes for them against regular user requests, and slows down
bodyText ||| their treatment instead of speeding it up. In such cases,
bodyText ||| prefetching should therefore be, temporarily, disabled. Squid
bodyText ||| essentially manages file descriptors, a resource only available
bodyText ||| in a limited quantity. A file descriptor is used between the
bodyText ||| underlying operating system and applications to describe a
bodyText ||| network connection or a file on the disk. Squid’s file descrip-
bodyText ||| tor management is based on a global variable that tracks the
bodyText ||| number of file descriptors currently in use. By comparing
bodyText ||| its value with the maximum number of file descriptors al-
bodyText ||| lowed by the operating system, it is possible to estimate that
bodyText ||| prefetching should be disabled or resumed.
bodyText ||| For this problem of file descriptor consumption, the cur-
bodyText ||| rent practice of checking if prefetching should be disabled or
bodyText ||| not within the advice, is a bad practice that impedes both
bodyText ||| readability and maintainability. A mechanism is needed
bodyText ||| within the aspect language to restraint the advice execu-
bodyText ||| tion at times where the pressure on resources is too high.
bodyText ||| This problem were not addressed in our previous work.
sectionHeader ||| 3. AN EXPRESSIVE ASPECT LANGUAGE
sectionHeader ||| FOR SYSTEM PROGRAMMING IN C
bodyText ||| While AOP seems to be the obvious choice to tackle the
bodyText ||| crosscutting concerns introduced above, none of the existing
bodyText ||| AO systems provides explicit support for some of their es-
bodyText ||| sential elements, in particular, join point sequences for pro-
bodyText ||| tocols, and references to aliases which are local to a function.
bodyText ||| In this section we introduce a new aspect language for
bodyText ||| system programming in C that allows such crosscutting con-
bodyText ||| cerns to be expressed concisely. In order to make this point,
bodyText ||| we first revisit the examples by concisely aspectizing them
bodyText ||| using our language. (Note that our aspect language is ex-
bodyText ||| pressive in the sense of enabling the concise definition of cer-
bodyText ||| tain types of aspects, especially compared to other tools for
bodyText ||| system-level manipulations, but not necessarily more expres-
bodyText ||| sive than existing approaches in a language-theoretic sense.)
bodyText ||| We then define the join point model underlying our language
bodyText ||| precisely, followed by the definition of its syntax and infor-
bodyText ||| mal semantics. Finally, we illustrate how its semantics can
bodyText ||| be formally defined in terms of a small-step operational se-
bodyText ||| mantics using the framework introduced in [14].
subsectionHeader ||| 3.1 Example crosscutting concerns revisited
bodyText ||| We now revisit the concerns discussed in section 2 in order
bodyText ||| to show our language in action and give evidence that it
bodyText ||| allows such concerns to be concisely modularized.
bodyText ||| The aspect shown in Fig. 2 translates transport protocols
bodyText ||| from TCP to UDP. A protocol defines a sequence of func-
bodyText ||| tion calls, so the top-level operator of this aspect is seq.
bodyText ||| The sequence aspect syntactically consists of a list of pairs
bodyText ||| of pointcut and advice (separated by then). In the exam-
bodyText ||| ple, the TCP protocol starts with a call to socket() with
bodyText ||| three constant arguments: AF INET, SOCK STREAM and
bodyText ||| 0. When such a call is matched, the second parameter is
bodyText ||| replaced by SOCK DGRAM as required by the UDP proto-
bodyText ||| col. The result of this transformed call, the file descriptor,
bodyText ||| is bound to fd by return(fd). Then the next call to con-
bodyText ||| nect() with the same file descriptor fd as its first parameter
bodyText ||| is matched. In this case the values of the other parameters
page ||| 29
figure ||| seq( call(int socket(int, int, int)) &amp;&amp; args(AF INET, SOCK STREAM, 0) &amp;&amp; return(fd)
figure ||| then socket(AF INET, SOCK DGRAM, 0);
figure ||| call(int connect(int, struct socketaddr*, socklen t)) &amp;&amp; args(fd, address, length)
figure ||| then returnZero(); // where int returnZero() { return 0; }
figure ||| ( call(size t read(int, void*, size t)) &amp;&amp; args(fd, readBuffer, readLength)
figure ||| then recvfrom(fd, readBuffer, readLength, 0, address, length);
figure ||| 11call(size t write(int, void*, size t)) &amp;&amp; args(fd, writeBuffer, writeLength)
figure ||| then sendto(fd, writeBuffer, writeLength, 0, address, length);) *
figure ||| call(int close(int)) &amp;&amp; args(fd) ; )
figure ||| Figure 2: An Aspect for Switching Transport Protocols, from TCP to UDP
figure ||| seq( call(void * malloc(size t))
figure ||| &amp;&amp; args(allocatedSize) &amp;&amp; return(buffer) ;
figure ||| write(buffer) &amp;&amp; size(writtenSize)
figure ||| &amp;&amp; if(writtenSize &gt; allocatedSize)
figure ||| then reportOverflow(); *
figure ||| call(void free(void*)) )
figureCaption ||| Figure 3: An Aspect for Detecting Buffer Overflow
bodyText ||| are bound to arguments address and length, and the original
bodyText ||| call is replaced by returnZero(). Indeed, there is no connect
bodyText ||| step in the UDP protocol. After that, calls to read() and
bodyText ||| write() (using the ‘or’ on aspects: 11) on the same file de-
bodyText ||| scriptor fd are translated to UDP recvfrom() and sendto(),
bodyText ||| respectively. Note that sequences of such access are poten-
bodyText ||| tially translated (due to use of the repetition operator *).
bodyText ||| Finally, a call to close() on fd terminates the TCP protocol
bodyText ||| as well as the UDP protocol and thus is not modified (i.e.,
bodyText ||| there is no then clause). This last step is required to free
bodyText ||| the variables used in the sequence (here, fd, address and
bodyText ||| length). Indeed, this aspect can use numerous (instances of
bodyText ||| these) variables when it deals with interleaved sequences, as
bodyText ||| each call to socket() creates a new instance of the sequence.
bodyText ||| The aspect shown in Fig. 3 detects buffer overflows. The
bodyText ||| corresponding sequence starts when the function malloc()
bodyText ||| returns the buffer address which is then bound to buffer.
bodyText ||| Then, each time this address is accessed (through a global
bodyText ||| variable or a local alias) the size of the data to be written is
bodyText ||| compared with the size of the initially allocated memory. If
bodyText ||| the former exceeds the latter, an overflow is indicated. The
bodyText ||| sequence ends when the memory is deallocated using free().
bodyText ||| The aspect in Fig. 4 introduces prefetching in a web cache.
bodyText ||| The first controlf low phrase initializes prefetching when
bodyText ||| an HTTP response is built (clientBuildReply()) within the
bodyText ||| control flow of a client request (clientSendMoreData()). The
bodyText ||| until clause stops prefetching when the number of connec-
bodyText ||| tion becomes too large, a situation where prefetching would
bodyText ||| effectively degrade performance. The second controlf low
bodyText ||| phrase analyzes hyperlinks in a page being transmitted (i.e.,
bodyText ||| when comm write mbuf() is called within the control flow
bodyText ||| of clientSendMoreData()). Finally, the last call phrase pre-
bodyText ||| fetches hyperlinks analyzed by the second aspect. It does so
bodyText ||| by replacing the method call to clientWriteComplete() with
bodyText ||| retrieveHyperlinks(). Finally, note that the two require
bodyText ||| clauses at the top of the aspect declare the types of the
bodyText ||| global variables of the base program used in the aspects.
subsectionHeader ||| 3.2 Join points
bodyText ||| A join point model defines the points in the execution
bodyText ||| of the base program to which pointcuts may refer. In our
figure ||| JP::= callJP(valfunId( −→val))
figure ||| readGlobalJP(varId,val)
figure ||| readJP(@, val)
figure ||| writeGlobalJP(varId, val, size)
figure ||| writeJP(@, val, size)
figure ||| controlflowJP(−−−−→
figure ||| funId, cfEnd)
figure ||| controlflowstarJP(−−−−→
figure ||| funId, cfEnd)
figure ||| cfEnd::= callJP(val funId(−→val))
figure ||| 1readGlobalJP(varId,val)
figure ||| 1writeGlobalJP(varId, val, size)
figure ||| val::= 011121...	//int
figure ||| 1@0 1 @1 1 @2 1 ... // int*
figure ||| 1... // values of other C types
figureCaption ||| Figure 5: Join point model
bodyText ||| case, join points are defined by JP in the grammar shown
bodyText ||| in Fig. 5. A join point is either:
listItem ||| •	A call of a function callJP(v1 funId(−→v2)) with function
listItem ||| name funId, return value vi and a vector of arguments →−v2.
listItem ||| •	A read access which comes in two variants:
listItem ||| readGlobalJP(varId,v) denotes reading a global vari-
listItem ||| able with name varId holding the value v; readJP(@, v)
listItem ||| denotes reading a global variable or a local alias with
listItem ||| address @ holding the value v.
listItem ||| •	Write access which also comes in two variants:
listItem ||| writeGlobalJP(varId, v, size) denotes assignment to a global
listItem ||| variable with name varId of the value v of size size.
listItem ||| writeJP(@, v, size) denotes assignment to a global variable
listItem ||| or a local alias with address @ of the value v of size size.
listItem ||| •	A cflow expression controlflowJP( f Inu d, c), where
listItem ||| f Inu d = [funId1, .., funIda] is a stack of function names, and
listItem ||| c (either a function call or an access to a global variable) oc-
bodyText ||| curs within the body of function funId�. Such a join point
bodyText ||| requires a call to funId�+1 within the body of funId�.
listItem ||| •	A cflow expression controlflowstarJP( f unId, c), where
listItem ||| −−−−→
bodyText ||| f Inu d = [funId1, .., funIda] is a partial stack of function
bodyText ||| names, and c (either a function call or an access to a global
bodyText ||| variable) occurs within the control flow of function funId�.
bodyText ||| Such a join point requires a call to funId�+1 within the
bodyText ||| control flow of (i.e., not necessarily in the body of) funId�.
bodyText ||| Two features of this join point model may be surprising
bodyText ||| at first sight: distinction of accesses to aliases from those to
bodyText ||| global variables and explicit representation of control flow
page ||| 30
figure ||| require Number Of Fd as int*;
figure ||| require Squid MaxFd as int*;
figure ||| controlflow(call(void clientSendMoreData(void*, char*, size t)),
figure ||| call(HttpReply * clientBuildReply(clientHttpRequest*, char*, size t))
figure ||| &amp;&amp; args( request, buffer, buffer Size ))
figure ||| then startPrefetching(request, buffer, bufferSize);
figure ||| &amp;&amp; until(writeGlobal(int * Number Of Fd) &amp;&amp; if((*Number Of Fd) * 100/(*Squid MaxFd) ≥ 75) ; )
figure ||| controlflow( call(void clientSendMoreData(void*, char*, size t)),
figure ||| call(void comm write mbuf(int, MemBuf, void*, void*))
figure ||| &amp;&amp; args(fd, mb, handler, handlerData) &amp;&amp; if (! isPre f etch(handler)) )
figure ||| then parseHyperlinks(fd, mb, handler, handlerData);
figure ||| call(void clientWriteComplete(int, char*, size t, int, void*))
figure ||| &amp;&amp; args(fd, buf, size, error, data) &amp;&amp; if(! isPre f etch(handler))
figure ||| then retrieveHyperlinks(fd, buf, size, error, data);
figureCaption ||| Figure 4: An Aspect for Prefetching
bodyText ||| expressions. Both are motivated by our quest for efficiency
bodyText ||| and are grounded in strong implementation constraints in
bodyText ||| the context of dynamic weaving of binary C code: an access
bodyText ||| to a local alias is several magnitudes slower than that to a
bodyText ||| global variable and matching of control flow join points can
bodyText ||| be done using an atomic test on the implementation level.
subsectionHeader ||| 3.3 Pointcuts
bodyText ||| We now present a pointcut language (see Fig. 6) that pro-
bodyText ||| vides constructs to match individual join points.
bodyText ||| Primitive pointcuts are defined by PPrim and comprise
bodyText ||| three basic pointcuts matching calls, global variable accesses,
bodyText ||| and control flow join points. Primitive pointcuts can also be
bodyText ||| combined using a logical “or” noted I I.
bodyText ||| A call pointcut PCall selects all function call join points
bodyText ||| −→
bodyText ||| callJP(val funId(val)), i.e., all calls to a function matching
bodyText ||| the signature type funId(t pe), where the arguments of the
bodyText ||| function can be bound to pointcut variables using argument
bodyText ||| binder args( −−−−−→
bodyText ||| pattern ) and the return value can be bound to
bodyText ||| a pointcut variable using a return clause return( pattern ).
bodyText ||| The two constructs args( −−−−−→
bodyText ||| pattern ) and return( pattern )
bodyText ||| can also provide pattern matching by using values (or al-
bodyText ||| ready bound pointcut variables) in pattern. Pointcuts can
bodyText ||| also depend on a boolean condition using the if-constructor.
bodyText ||| A global access pointcut PAccGlobal selects either all read
bodyText ||| join points readGlobalJP(varId, val) or all write join points
bodyText ||| writ eGlobalJP(varId, val, size) on the global base program
bodyText ||| variable varId. In these cases, the read or written value can
bodyText ||| be bound to a variable using value(pattern); in addition, the
bodyText ||| size of the written value can be bound with size(varName).
bodyText ||| Pattern matching can also be used for variable access.
bodyText ||| A control flow pointcut PCf of the form controlflow(
bodyText ||| PCallSig1,..., PCallSign, PCfEnd) matches all join points
bodyText ||| of the form controlflowJP(funId1, ..., funIdn, cfEnd), where
bodyText ||| the function identifier in PCallSigi is funIdi. Similarly, a
bodyText ||| control flow pointcut may match a global variable access
bodyText ||| for a given stack configuration. The pointcuts of the form
bodyText ||| controlflowstar(... ) select calls or global variable accesses
bodyText ||| in a stack context allowing for calls that are not directly
bodyText ||| nested within one another.
bodyText ||| Finally, PAcc, an access pointcut for a global variable or
bodyText ||| all of its local aliases, matches all join points of the form
bodyText ||| readJP or writeJP.
figure ||| Asp::= AspPrim [ &amp;&amp; until( AspPrim) ]
figure ||| IAspSeq [ &amp;&amp; until( AspPrim ) ]
figure ||| AspPrim::= PPrim Advice
figure ||| AspSeq::= seq( AspPrim
figure ||| AspSeqElts
figure ||| AspSeqElt )
figure ||| AspSeqElts ::_ [AspSeqElts] AspSeqElt [ * ]
figure ||| AspSeqElt::= AspPrim
figure ||| IPAcc Advice
figure ||| I(AspSeqElt II AspSeqElt)
figure ||| Advice::= [ then funId(pat�) ] ;
figureCaption ||| Figure 7: Aspect language
subsectionHeader ||| 3.4 Aspect Language
bodyText ||| The aspect language we propose is defined in Fig. 7. As-
bodyText ||| pects Asp are either primitive AspPrim, or sequences of
bodyText ||| primitive aspects AspSeq.
bodyText ||| A primitive aspect AspPrim combines a primitive point-
bodyText ||| cut with an advice that will be applied to all join points
bodyText ||| selected by the pointcut. If the primitive pointcut has the
bodyText ||| form p1 II p2, then all variables used in the advice have to
bodyText ||| be bound in both, p1 and p2.
bodyText ||| An advice (Advice) is a C function call that replaces a join
bodyText ||| point in the base program execution (similarly to around in
bodyText ||| AspectJ). It must have the same return type as the join
bodyText ||| point it replaces: the type of the global variable in case of a
bodyText ||| read access, void for a write access and the return type of
bodyText ||| the function for a call. When the advice is empty (no then
bodyText ||| clause), the original join point is executed. The original join
bodyText ||| point can be skipped by calling an empty C function.
bodyText ||| A sequence aspect is composed of a sequence of primitive
bodyText ||| aspects. A sequence starts when the first primitive aspect
bodyText ||| matches. Then the second primitive aspect becomes active
bodyText ||| instead of the first one. When it matches, the third aspect
bodyText ||| becomes active instead of the second one. And so on, until
bodyText ||| the last primitive aspect in the sequence. All but the first
bodyText ||| and last primitive aspects can be repeated zero or multiple
bodyText ||| times by using *: in this case, the primitive aspect is ac-
page ||| 31
figure ||| PPrim	
figure ||| PCall	
figure ||| PCallSig	
figure ||| PIf	
figure ||| PAccGlobal	
figure ||| PCf	::=
figure ||| 1controlflowstar( PCallSigList, PCfEnd )
figure ||| PCallSigList ::= PCallSig [ , PCallSigList]
figure ||| PCall 1 PAccGlobal
figure ||| PCall
figure ||| 1PAccGlobal
figure ||| 1PCf
figure ||| 1PPrim11 PPrim
figure ||| ::=
figure ||| PCallSig [ &amp;&amp; args(−−−−−→
figure ||| pattern) ] [ &amp;&amp; return( pattern) ] [ &amp;&amp; PIf ]
figure ||| call( type funId(t pe) )
