title ||| A New Approach to Intranet Search
bodyText ||| relevance search, when a user types a query, the system returns a
bodyText ||| list of ranked documents with the most relevant documents on the
bodyText ||| top.
bodyText ||| Relevance search can only serve average needs well. It cannot,
bodyText ||| however, help users to find information in a specific type, e.g.,
bodyText ||| definitions of a term and experts on a topic. The characteristic of
bodyText ||| intranet search does not seem to be sufficiently leveraged in the
bodyText ||| commercial systems.
bodyText ||| In this paper, we try to address intranet search in a novel approach.
bodyText ||| We assume that the needs of information access on intranets can
bodyText ||| be categorized into searches for information in different types. An
bodyText ||| analysis on search log data on the intranet of Microsoft and an
bodyText ||| analysis on the results of a survey conducted at Microsoft have
bodyText ||| verified the correctness of the assumption.
bodyText ||| Our proposal then is to take a strategy of ‘divide-and-conquer’.
bodyText ||| We first figure out the most important types of search, e.g.,
bodyText ||| definition search, expert search. For each type, we employ
bodyText ||| information extraction technologies to extract, fuse, and
bodyText ||| summarize search results in advance. Finally, we combine all the
bodyText ||| types of searches together, including the traditional relevance
page ||| 460
bodyText ||| search, in a unified system. In this paper, we refer to the approach
bodyText ||| as ‘search by type’. Search by type can also be viewed as a
bodyText ||| simplified version of Question Answering, adapted to intranet.
bodyText ||| The advantage of the new search approach lies in that it can help
bodyText ||| people find the types of information which relevance search
bodyText ||| cannot easily find. The approach is particularly reasonable on
bodyText ||| intranets, because in such space users are information workers and
bodyText ||| search needs are business oriented.
bodyText ||| We have developed a system based on the approach, which is
bodyText ||| called ‘Information Desk’. Information Desk can help users to
bodyText ||| find term definitions, homepages of groups or topics, employees’
bodyText ||| personal information and experts on topics, on their company
bodyText ||| intranets.
bodyText ||| The system has been put into practical use since November 24th,
bodyText ||| 2004. Each month, about 500 Microsoft employees make access
bodyText ||| to the system. Both the results of an analysis on a survey and the
bodyText ||| results of an analysis on system log show that the features of
bodyText ||| definition search and homepage search are really helpful. The
bodyText ||| results also show that search by type is necessary at enterprise.
sectionHeader ||| 2. RELATED WORK
sectionHeader ||| 2.1 Intranet Search
bodyText ||| The needs on search on intranets are huge. It is estimated that
bodyText ||| intranets at enterprises have tens or even hundreds of times larger
bodyText ||| data collections (both structured and unstructured) than internet.
bodyText ||| As explained above, however, many users are not satisfied with
bodyText ||| the current intranet search systems. How to help people access
bodyText ||| information on intranet is a big challenge in information retrieval.
bodyText ||| Much effort has been made recently on solutions both in industry
bodyText ||| and in academia.
bodyText ||| Many commercial systems [35, 36, 37, 38, 39] dedicated to
bodyText ||| intranet search have been developed. Most of the systems view
bodyText ||| intranet search as a problem of conventional relevance search.
bodyText ||| In the research community, ground designs, fundamental
bodyText ||| approaches, and evaluation methodologies on intranet search have
bodyText ||| been proposed.
bodyText ||| Hawking et al [17] made ten suggestions on how to conduct high
bodyText ||| quality intranet search. Fagin et al [12] made a comparison
bodyText ||| between internet search and intranet search. Recently, Hawking
bodyText ||| [16] conducted a survey on previous work and made an analysis
bodyText ||| on the intranet search problem. Seven open problems on intranet
bodyText ||| search were raised in their paper.
bodyText ||| Chen et al [3] developed a system named ‘Cha-Cha’, which can
bodyText ||| organize intranet search results in a novel way such that the
bodyText ||| underlying structure of the intranet is reflected. Fagin et al [12]
bodyText ||| proposed a new ranking method for intranet search, which
bodyText ||| combine various ranking heuristics. Mattox et al [25] and
bodyText ||| Craswell et al [7] addressed the issue of expert finding on a
bodyText ||| company intranet. They developed methods that can automatically
bodyText ||| identify experts in an area using documents on the intranet.
bodyText ||| Stenmark [30] proposed a method for analyzing and evaluating
bodyText ||| intranet search tools.
subsectionHeader ||| 2.2 Question Answering
bodyText ||| Question Answering (QA) particularly that in TREC
bodyText ||| (http://trec.nist.gov/) is an application in which users type
bodyText ||| questions in natural language and the system returns short and
bodyText ||| usually single answers to the questions.
bodyText ||| When the answer is a personal name, a time expression, or a place
bodyText ||| name, the QA task is called ‘Factoid QA’. Many QA systems have
bodyText ||| been developed, [2, 4, 18, 20, 22, 27]. Factoid QA usually
bodyText ||| consists of the following steps: question type identification,
bodyText ||| question expansion, passage retrieval, answer ranking, and answer
bodyText ||| creation.
bodyText ||| TREC also has a task of ‘Definitional QA’. In the task, “what is
bodyText ||| &lt;term&gt;” and “who is &lt;person&gt;” questions are answered in a
bodyText ||| single combined text [1, 11, 15, 33, 34]. A typical system consists
bodyText ||| of question type identification, document retrieval, key sentence
bodyText ||| matching, kernel fact finding, kernel fact ranking, and answer
bodyText ||| generation.
sectionHeader ||| 3. OUR APPROACH TO INTRANET
sectionHeader ||| SEARCH
bodyText ||| Search is nothing but collecting information based on users’
bodyText ||| information access requests. If we can correctly gather
bodyText ||| information on the basis of users’ requests, then the problem is
bodyText ||| solved. Current intranet search is not designed along this
bodyText ||| direction. Relevance search can help create a list of ranked
bodyText ||| documents that serve only average needs well. The limitation of
bodyText ||| this approach is clear. That is, it cannot help users to find
bodyText ||| information of a specific type, e.g., definitions of a term. On the
bodyText ||| other hand, Question Answering (QA) is an ideal form for
bodyText ||| information access. When a user inputs a natural language
bodyText ||| question or a query (a combination of keywords) as a description
bodyText ||| of his search need, it is ideal to have the machine ‘understand’ the
bodyText ||| input and return only the necessary information based on the
bodyText ||| request. However, there are still lots of research work to do before
bodyText ||| putting QA into practical uses. In short term, we need consider
bodyText ||| adopting a different approach.
bodyText ||| One question arises here: can we take a hybrid approach?
bodyText ||| Specifically, on one hand, we adopt the traditional approach for
bodyText ||| search, and on the other hand, we realize some of the most
bodyText ||| frequently asked types of search with QA. Finally, we integrate
bodyText ||| them in a single system. For the QA part, we can employ
bodyText ||| information extraction technologies to extract, fuse, and
bodyText ||| summarize the results in advance. This is exactly the proposal we
bodyText ||| make to intranet search.
bodyText ||| Can we categorize users’ search needs easily? We have found that
bodyText ||| we can create a hierarchy of search needs for intranet search, as
bodyText ||| will be explained in section 4.
bodyText ||| On intranets, users are information workers and their motivations
bodyText ||| for conducting search are business oriented. We think, therefore,
bodyText ||| that our approach may be relatively easily realized on intranets
bodyText ||| first. (There is no reason why we cannot apply the same approach
bodyText ||| to the internet, however.)
bodyText ||| To verify the correctness of the proposal, we have developed a
bodyText ||| system and made it available internally at Microsoft. The system
bodyText ||| called Information Desk is in operation on the intranet of
bodyText ||| Microsoft and receives accesses from about 500 employees per
bodyText ||| month.
bodyText ||| At Information Desk, we try to solve the most important types of
bodyText ||| search first - find term definitions, homepages of groups or topics,
bodyText ||| experts on topics, and employees’ personal information. We are
page ||| 461
bodyText ||| also trying to increase the number of search types, and integrate
bodyText ||| them with the conventional relevance search. We will explain the
bodyText ||| working of Information Desk in section 5.
sectionHeader ||| 4. ANALYSIS OF SEARCH NEEDS
bodyText ||| In this section, we describe our analyses on intranet search needs
bodyText ||| using search query logs and survey results.
subsectionHeader ||| 4.1 Categorization of Search Needs
bodyText ||| In order to understand the underlying needs of search queries, we
bodyText ||| would need to ask the users about their search intentions.
bodyText ||| Obviously, this is not feasible. We conducted an analysis by using
bodyText ||| query log data. Here query log data means the records on queries
bodyText ||| typed by users, and documents clicked by the users after sending
bodyText ||| the queries.
bodyText ||| Our work was inspirited by those of Rose and Levinson [28]. In
bodyText ||| their work, they categorized the search needs of users on internet
bodyText ||| by analyzing search query logs.
bodyText ||| We tried to understand users’ search needs on intranet by
bodyText ||| identifying and organizing a manageable number of categories of
bodyText ||| the needs. The categories encompass the majority of actual
bodyText ||| requests users may have when conducting search on an intranet.
bodyText ||| We used a sample of queries from the search engine of the
bodyText ||| intranet of Microsoft. First, we brainstormed a number of
bodyText ||| categories, based on our own experiences and previous work.
bodyText ||| Then, we modified the categories, including adding, deleting, and
bodyText ||| merging categories, by assigning queries to the categories.
bodyText ||| Given a query, we used the following information to deduce the
bodyText ||| underlying search need:
listItem ||| •	the query itself
listItem ||| •	the documents returned by the search engine
listItem ||| •	the documents clicked on by the user
bodyText ||| For example, if a user typed a keyword of ‘.net’ and clicked a
bodyText ||| homepage of .net, then we judged that the user was looking for a
bodyText ||| homepage of .net.
bodyText ||| As we repeated the process, we gradually reached the conclusion
bodyText ||| that search needs on intranet can be categorized as a hierarchical
bodyText ||| structure shown in Figure 1. In fact, the top level of the hierarchy
bodyText ||| resembles that in the taxonomy proposed by Rose and Levinson
bodyText ||| for internet [28]. However, the second level differs. On intranet,
bodyText ||| users’ search needs are less diverse than those on internet, because
bodyText ||| the users are information workers and their motivations of
bodyText ||| conducting search are business oriented.
bodyText ||| There is a special need called ‘tell me about’ here. It is similar to
bodyText ||| the traditional relevance search. Many search needs are by nature
bodyText ||| difficult to be categorized, for example, “I want to find documents
bodyText ||| related to both .net and SQL Server”. We can put them into the
bodyText ||| category.
bodyText ||| We think that the search needs are not Microsoft specific; one can
bodyText ||| image that similar needs exist in other companies as well.
figure ||| 	When (time)
figure ||| 	Where
figure ||| 	(place)
figure ||| 	Why (reason)
figure ||| Informational	What is
figure ||| 	(definition) knows
figure ||| 	Who	about (expert)
figure ||| 	Who is
figure ||| 	(person)
figure ||| 	How
figure ||| 	to (manual)
figure ||| 	Tell
figure ||| 	me about (relevance)
figure ||| 	Group
figure ||| 	Person
figure ||| 	Product
figure ||| Navigational	
figure ||| 	Technology
figure ||| 	Services
figure ||| Transactional	
figureCaption ||| Figure 1. Categories of search needs
subsectionHeader ||| 4.2 Analysis on Search Needs – by Query Log
bodyText ||| We have randomly selected 200 unique queries and tried to assign
bodyText ||| the queries to the categories of search needs described above.
bodyText ||| Table 1 shows the distribution. We have also picked up the top
bodyText ||| 350 frequently submitted queries and assigned them to the
bodyText ||| categories. Table 2 shows the distribution. (There is no result for
bodyText ||| ‘why’, ‘what is’, and ‘who knows about’, because it is nearly
bodyText ||| impossible to guess users’ search intensions by only looking at
bodyText ||| query logs.)
bodyText ||| For random queries, informational needs are dominating. For high
bodyText ||| frequency queries, navigational needs are dominating. The most
bodyText ||| important types for random queries are relevance search, personal
bodyText ||| information search, and manual search. The most important types
bodyText ||| for high frequency queries are home page search and relevance
bodyText ||| search.
subsectionHeader ||| 4.3 Analysis on Search Needs – by Survey
bodyText ||| We can use query log data to analyze users’ search needs, as
bodyText ||| described above. However, there are two shortcomings in the
bodyText ||| approach. First, sometimes it is difficult to guess the search
bodyText ||| intensions of users by only looking at query logs. This is
bodyText ||| especially true for the categories of ‘why’ and ‘what’. Usually it is
bodyText ||| hard to distinguish them from ‘relevance search’. Second, query
bodyText ||| log data cannot reveal users’ potential search needs. For example,
bodyText ||| many employees report that they have needs of searching for
bodyText ||| experts on specific topics. However, it is difficult to find expert
bodyText ||| searches from query log at a conventional search engine, because
bodyText ||| users understand that such search is not supported and they do not
bodyText ||| conduct the search.
bodyText ||| To alleviate the negative effect, we have conducted another
bodyText ||| analysis through a survey. Although a survey also has limitation
bodyText ||| (i.e., it only asks people to answer pre-defined questions and thus
bodyText ||| can be biased), it can help to understand the problem from a
bodyText ||| different perspective.
page ||| 462
tableCaption ||| Table 1. Distribution of search needs for random queries
table ||| Category of Search Needs	Percentage
table ||| When	0.02
table ||| Where	0.02
table ||| Why	NA
table ||| What is	NA
table ||| Who knows about	NA
table ||| Who is	0.23
table ||| How to	0.105
table ||| Tell me about	0.46
table ||| Informational total	0.835
table ||| Groups	0.03
table ||| Persons	0.005
table ||| Products	0.02
table ||| Technologies	0.02
table ||| Services	0.06
table ||| Navigational total	0.135
table ||| Transactional	0.025
table ||| Other	0.005
tableCaption ||| Table 2. Distribution of search needs for high frequency queries
table ||| Category of Search Needs	Relative Prevalence
table ||| When	0.0057
table ||| Where	0.0143
table ||| Why	NA
table ||| What is	NA
table ||| Who knows about	NA
table ||| Who is	0.0314
table ||| How to	0.0429
table ||| Tell me about	0.2143
table ||| Informational total	0.3086
table ||| Groups	0.0571
table ||| Persons	0.0057
table ||| Products	0.26
table ||| Technologies	0.0829
table ||| Services	0.2371
table ||| Navigational total	0.6428
table ||| Transactional	0.0086
table ||| Other	0.04
figureCaption ||| Figure 2. Survey results on search needs
bodyText ||| In the survey, we have asked questions regarding to search needs
bodyText ||| at enterprise. 35 Microsoft employees have taken part in the
bodyText ||| survey. Figure 2 shows the questions and the corresponding
bodyText ||| results.
bodyText ||| We see from the answers that definition search, manual search,
bodyText ||| expert finding, personal information search, and time schedule
bodyText ||| search are requested by the users. Homepage finding on
bodyText ||| technologies and products are important as well. Search for a
bodyText ||| download site is also a common request.
bodyText ||| I have experiences of conducting search at Microsoft intranet in
bodyText ||| order to (multiple choice)
figure ||| •	download a software, a document, or a picture. E.g., &quot;getting
figure ||| MSN logo&quot;
figure ||| 71 %
figure ||| •	make use of a service. E.g., &quot;getting a serial number of
figure ||| Windows&quot;
figure ||| 	53 %
figure ||| •	none of the above
figure ||| 18 %
figure ||| I have experiences of conducting search at Microsoft intranet to
figure ||| look for the web sites (or homepages) of (multiple choice)
figure ||| •	technologies
figure ||| 74 %
figure ||| •	products
figure ||| 	74 %
figure ||| •	services
figure ||| 	68 %
figure ||| •	projects
figure ||| 	68 %
figure ||| •	groups
figure ||| 	60 %
figure ||| •	persons
figure ||| 42 %
figure ||| •	none of the above
figure ||| 11 %
figure ||| I have experiences of conducting search at Microsoft intranet in
figure ||| which the needs can be translated into questions like? (multiple
figure ||| choice)
figure ||| •	‘what is’ - e.g., &quot;what is blaster&quot;
figure ||| 77 %
figure ||| •	‘how to’ - &quot;how to submit expense report&quot;
figure ||| 54 %
figure ||| •	‘where’ - e.g., &quot;where is the company store&quot;
figure ||| 51 %
figure ||| •	‘who knows about’ - e.g., &quot;who knows about data mining&quot;
figure ||| 51 %
figure ||| •	‘who is’ - e.g., &quot;who is Rick Rashid&quot;
figure ||| 45 %
figure ||| •	‘when’ - e.g., &quot;when is TechFest&apos;05 &quot;
figure ||| 42 %
figure ||| •	‘why’ - e.g., &quot;why do Windows NT device drivers contain
figure ||| trusted code&quot;
figure ||| 28 %
figure ||| •	none of the above
figure ||| 14 %
page ||| 463
figure ||| Longhorn	Go			
figure ||| What is	Who is	Where is homepage of	Who knows about			
figure ||| 	What is	Who isWhere is homepage of	Who knows about		
figure ||| 	Definition of Longhorn	
figure ||| 	Longhorn is the codename for the next release of the Windows operating system, planned for release in FY 2005. Longhorn will further Microsoft’s long term vision for ...	
figure ||| 	http://url1	
figure ||| 	Longhorn is a platform that enables incredible user experiences that are unlike anything possible with OS releases to date. This session describes our approach and philosophy that...	
figure ||| 	http://url2	
figure ||| 	Longhorn is the platform in which significant improvements in the overall manageability of the system by providing the necessary infrastructure to enable standardized configuration/change management, structured eventing and monitoring, and a unified software distribution mechanism will be made. In order to achieve this management with each Longhorn...	
figure ||| 	http://url3	
figure ||| 	Longhorn is the evolution of the .NET Framework on the client and the biggest investment that Microsoft has made in the Windows client development platform in years. Longhorn is the platform for smart , connected...	
figure ||| 	http://url4	
figure ||| 	Longhorn is the platform for smart, connected applications, combining the best features of the Web, such as ease of deployment and rich content with the power of the Win32 development platform, enabling developers to build a new breed of applications that take real advantage of the connectivity, storage, and graphical capabilities of the modern personal	
figure ||| 	computer .	
figure ||| 	http//url5	
figure ||| 	Office	Go		
figure ||| 	What is	Who is	Where is homepage of	Who knows about		
figure ||| 	What is	Who is	Where is homepage of	Who knows about		
figure ||| 	Homepages of Office	
figure ||| 	Office Portal Site	
figure ||| 	This is the internal site for Office	
figure ||| 	http://url1	
figure ||| 	Office Site (external)	
figure ||| 	Microsoft.com site offering information on the various Office products. Links include FAQs, downloads, support, and more.	
figure ||| 	http:/url2	
figure ||| 	Office	
figure ||| 	New Office Site	
figure ||| 	http://url3	
figure ||| 	Office Office	
figure ||| 	http://url4	
figure ||| 	Data Mining	Go		
figure ||| 	What is	Who is	Where is homepage of	Who knows about		
figure ||| 	What is	Who is	Where is homepage of	Who knows about		
figure ||| 	People Associated with Data mining	
figure ||| 	Jamie MacLennan	DEVELOPMENT LEAD	
figure ||| 	US-SQL Data Warehouse +1 (425) XXXXXXX XXXXXX Associated documents(4):		
figure ||| 	•	is author of document entitled Data Mining Tutorial		
figure ||| 	http://url1		
figure ||| 	•	is author of document entitled Solving Business Problems Using Data Mining		
figure ||| 	http://url2		
figure ||| 	Jim Gray	DISTINGUISHED ENGINEER		
figure ||| 	US-WAT MSR San Francisco +XXXXXXXXXXX	
figure ||| 	Associated documents(2):	
figure ||| 	•	is author of document entitled Mainlining Data Mining	
figure ||| 	http://url3	
figure ||| 	•	is author of document entitled Data Mining the SDSS SkyServer Database	
figure ||| 	http://url4	
figure ||| Bill Gates	Go			
figure ||| What is	Who is	Where is homepage of	Who knows about			
figure ||| What is	Who is	Where is homepage of	Who knows about			
figure ||| 	Bill Gates	CHRMN &amp; CHIEF SFTWR ARCHITECT		
figure ||| 	US-Executive-Chairman	
figure ||| 	+1 (425) XXXXXXX XXXXXX	
figure ||| 	Documents of Bill Gates(118)	
figure ||| 	•	My advice to students: Education counts	
figure ||| 	http://url1	
figure ||| 	•	Evento NET Reviewers – Seattle –7/8 Novembro	
figure ||| 	http://url2	
figure ||| 	•	A Vision for Life Long Learning – Year 2020	
figure ||| 	http://url3	
figure ||| 	•	Bill Gates answers most frequently asked questions.	
figure ||| 	http://url4	
figure ||| 	&gt;&gt;more 	
figure ||| 	Top 10 terms appearing in documents of Bill Gates	
figure ||| 	Term 1 (984.4443) Term 2 (816.4247) Term 3 (595.0771) Term 4 (578.5604) Term 5 (565.7299) Term 6 (435.5366) Term 7 (412.4467) Term 8 (385.446) Term 9 (346.5993) Term 10 (345.3285)	
figureCaption ||| Figure 3: Information Desk system
sectionHeader ||| 5. INFORMATION DESK
sectionHeader ||| 5.1 Features
bodyText ||| Currently Information Desk provides four types of search. The
bodyText ||| four types are:
listItem ||| 1. ‘what is’ – search of definitions and acronyms. Given a term,
listItem ||| it returns a list of definitions of the term. Given an acronym, it
listItem ||| returns a list of possible expansions of the acronym.
listItem ||| 2. ‘who is’ – search of employees’ personal information. Given
listItem ||| the name of a person, it returns his/her profile information,
listItem ||| authored documents and associated key terms.
listItem ||| 3. ‘where is homepage of’ – search of homepages. Given the
listItem ||| name of a group, a product, or a technology, it returns a list of
listItem ||| its related home pages.
listItem ||| 4. ‘who knows about’ – search of experts. Given a term on a
listItem ||| technology or a product, it returns a list of persons who might
listItem ||| be experts on the technology or the product.
figureCaption ||| Figure 4. Workflow of Information Desk
bodyText ||| There are check boxes on the UI, and each represents one search
bodyText ||| type. In search, users can designate search types by checking the
bodyText ||| corresponding boxes and then submit queries. By default, all the
bodyText ||| boxes are checked.
bodyText ||| For example, when users type ‘longhorn’ with the ‘what is’ box
bodyText ||| checked, they get a list of definitions of ‘Longhorn’ (the first
bodyText ||| snapshot in figure 3). Users can also search for homepages (team
bodyText ||| web sites) related to ‘Office’, using the ‘where is homepage’
bodyText ||| feature (the second snapshot in figure 3). Users can search for
bodyText ||| experts on, for example, ‘data mining’ by asking ‘who knows
bodyText ||| about data mining’ (the third snapshot in figure 3). Users can also
bodyText ||| get a list of documents that are automatically identified as being
bodyText ||| authored by ‘Bill Gates’, for example, with the ‘who is’ feature
bodyText ||| (the last snapshot in figure 3). The top ten key terms found in his
bodyText ||| documents are also given.
bodyText ||| Links to the original documents, from which the information has
bodyText ||| been extracted, are also available on the search result UIs.
subsectionHeader ||| 5.2 Technologies
subsectionHeader ||| 5.2.1 Architecture
bodyText ||| Information Desk makes use of information extraction
bodyText ||| technologies to support the search by type feaatures. The
bodyText ||| technologies include automatically extracting document metadata
bodyText ||| and domain specific knowledge from a web site using information
bodyText ||| extraction technologies. The domain specific knowledge includes
bodyText ||| definition, acronym, and expert. The document metadata includes
bodyText ||| title, author, key term, homepage. Documents are in the form of
bodyText ||| Word, PowerPoint, or HTML. Information Desk stores all the
bodyText ||| data in Microsoft SQL Server and provides search using web
figure ||| homepage
figure ||| term
figure ||| Where is homepage of
figure ||| Crawler &amp;
figure ||| Extractor
figure ||| definition
figure ||| acronym
figure ||| document
figure ||| key term
figure ||| person
figure ||| document
figure ||| what is
figure ||| who is
figure ||| who knows about
figure ||| MS Web
figure ||| Information Desk
figure ||| Web Server
figure ||| term
figure ||| person
figure ||| term
page ||| 464
bodyText ||| services. Figure 4 shows the workflow of Information Desk.
bodyText ||| Currently, there are 4 million documents crawled from the
bodyText ||| Microsoft intranet.
bodyText ||| Below we explain each feature in details. Table 3 shows which
bodyText ||| feature employs what kind of mining technology.
tableCaption ||| Table 3. Information extraction technologies employed
table ||| 	`What is&apos;	`Who is&apos;	`Who knows	`Where is homepage&apos;
table ||| 			about&apos;	
table ||| Definition extraction	Yes			
table ||| Acronym extraction	Yes			
table ||| Homepage				Yes
table ||| finding				
table ||| Title		Yes	Yes	
table ||| extraction				
table ||| Author extraction		Yes	Yes	
table ||| Key term extraction		Yes	Yes	
table ||| Expert mining			Yes	
subsubsectionHeader ||| 5.2.2 `What is&apos;
bodyText ||| There are two parts in the feature: definition finding and acronym
bodyText ||| recognition.
bodyText ||| In definition finding, we extract from the entire collection of
bodyText ||| documents &lt;term, definition, score&gt; triples. They are respectively
bodyText ||| a term, a definitional excerpt of the term, and its score
bodyText ||| representing its likelihood of being a good definition. We assign
bodyText ||| the scores using a statistical model. Both paragraphs and
bodyText ||| sentences can be considered as definition excerpts in our approach.
bodyText ||| Currently, we only consider the use of paragraphs.
bodyText ||| As model, we employ SVM (Support Vector Machines) [31],
bodyText ||| which identifies whether a given paragraph is a definition of the
bodyText ||| first noun phrase (term) in the paragraph. There are positive
bodyText ||| features in the SVM model. For example, if the term appears at
bodyText ||| the beginning of the paragraph or repeatedly occurs in the
bodyText ||| paragraph, then it is likely the paragraph is a (good) definition on
bodyText ||| the term. There are also negative features. If words like `she&apos;, `he&apos;,
bodyText ||| or `said&apos; occurs in the paragraph, or many adjectives occur in the
bodyText ||| paragraph, then it is likely the paragraph is not a (good) definition.
bodyText ||| In search, given a query term, we retrieve all the triples matched
bodyText ||| against the query term and present the corresponding definitions
bodyText ||| in descending order of the scores.
bodyText ||| The top 1 and top 3 precision of our approach in definition
bodyText ||| ranking are 0.550 and 0.887 respectively. They are much better
bodyText ||| than the baseline method of employing relevance search.
bodyText ||| Methods for extracting definitions from documents have been
bodyText ||| proposed [1, 10, 11, 15, 21, 24, 33]. All of the methods resorted to
bodyText ||| human-defined rules for the extraction and did not consider
bodyText ||| ranking of definitions. In Information Desk, we rank definitions
bodyText ||| according to their likelihoods of being good definitions,
bodyText ||| represented by SVM scores. See [32] for details.
bodyText ||| In acronym recognition, we find candidate acronym and candidate
bodyText ||| expansion pairs from text using pattern matching. There are ten
bodyText ||| types of patterns. For example, one of them is `&lt;expansion&gt;
bodyText ||| (&lt;acronym&gt;)&apos; in which &lt;expansion&gt; denotes a phrase with the
bodyText ||| first letters in the words capitalized and &lt;acronym&gt; denotes a
bodyText ||| sequence of the capitalized letters in the same order. The pattern
bodyText ||| matches sentences such as &quot;Active Directory is implemented
bodyText ||| using the Lightweight Directory Access Protocol (LDAP)&quot;. We
bodyText ||| then store all the acronyms, their expansions, and the numbers of
bodyText ||| occurrences of the expansions.
bodyText ||| In search, given an acronym, we retrieve all the expansions
bodyText ||| against the acronym and present the corresponding expansions in
bodyText ||| descending order of their numbers of occurrences.
subsubsectionHeader ||| 5.2.3 `Who is&apos;
bodyText ||| We first harvest all the employees&apos; personal information from a
bodyText ||| database. It includes name, alias, title, and contact information.
bodyText ||| We next automatically extract titles and authors from all the Word
bodyText ||| and PowerPoint documents on the intranet. With the extracted
bodyText ||| titles and authors we bring together all the documents to each
bodyText ||| person, which are thought authored by him/her. Finally, we
bodyText ||| extract key terms from the documents for each person and pick up
bodyText ||| the top ten key terms in terms of TF-IDF. This feature lies mainly
bodyText ||| on document metadata extraction.
bodyText ||| Metadata of documents such as title and author is useful for
bodyText ||| document processing. However, people seldom define document
bodyText ||| metadata by themselves. We collected 6,000 Word and 6,000
bodyText ||| PowerPoint documents and examined how many titles and authors
bodyText ||| in the file properties are correct. We found that the accuracies
bodyText ||| were only 0.265 and 0.126 respectively.
bodyText ||| We take a machine learning approach to automatically extract
bodyText ||| titles and authors from the bodies of Office documents, as shown
bodyText ||| in Figure 5. We annotate titles in sample documents (for Word
bodyText ||| and PowerPoint respectively) and take them as training data, train
bodyText ||| statistical models, and perform title extraction using the trained
