title ||| A New Statistical Formula for Chinese Text Segmentation
bodyText ||| each left character, they calculated the probability and entropy
bodyText ||| value for that character given that it occurs to the left of the
bodyText ||| candidate word. The same is done for the characters to the right
bodyText ||| of the candidate word. If the sum of the entropy values for the
bodyText ||| left characters and the sum of the entropy values for the right
bodyText ||| characters are both high, than the candidate word is considered
bodyText ||| likely to be a word. In other words, a character string is likely to
bodyText ||| be a word if it has several different characters to the left and to
bodyText ||| the right of it in the corpus, and none of the left and right
bodyText ||| characters predominate (i.e. not strongly associated with the
bodyText ||| character string).
bodyText ||| Ogawa & Matsuda [15] developed a statistical method to
bodyText ||| segment Japanese text. Instead of attempting to identify words
bodyText ||| directly, they developed a formula to estimate the probability that
bodyText ||| a bigram straddles a word boundary. They referred to this as the
bodyText ||| segmentation probability. This was complemented with some
bodyText ||| syntactic information about which class of characters could be
bodyText ||| combined with which other class.
bodyText ||| All the above mathematical formulas used for identifying words
bodyText ||| and word boundaries were developed based on theoretical
bodyText ||| considerations and not derived empirically.
bodyText ||| Other researchers have developed statistical methods to find the
bodyText ||| best segmentation for the whole sentence rather than focusing on
bodyText ||| identifying individual words. Sproat et al. [17] developed a
bodyText ||| stochastic finite state model for segmenting text. In their model,
bodyText ||| a word dictionary is represented as a weighted finite state
bodyText ||| transducer. Each weight represents the estimated cost of the
bodyText ||| word (calculated using the negative log probability). Basically,
bodyText ||| the system selects the sentence segmentation that has the
bodyText ||| smallest total cost. Chang & Chen [1] developed a method for
bodyText ||| word segmentation and part-of-speech tagging based on a first-
bodyText ||| order hidden Markov model.
equation ||| MI(BC) =
page ||| 83
sectionHeader ||| 3. RESEARCH METHOD
bodyText ||| The purpose of this study was to empirically develop a statistical
bodyText ||| formula for identifying 2-character words as well as to
bodyText ||| investigate the usefulness of various factors for identifying the
bodyText ||| words. A sample of 400 sentences was randomly selected from 2
bodyText ||| months (August and September 1995) of news articles from the
bodyText ||| Xin Hua News Agency, comprising around 2.3 million characters.
bodyText ||| The sample sentences were manually segmented. The
bodyText ||| segmentation rules described in [10] were followed fairly closely.
bodyText ||| More details of the manual segmentation process, especially with
bodyText ||| regard to identifying meaningful words will be given in [5].
bodyText ||| 300 sentences were used for model building, i.e. using regression
bodyText ||| analysis to develop a statistical formula. 100 sentences were set
bodyText ||| aside for model validation to evaluate the formula developed in
bodyText ||| the regression analysis. The sample sentences were broken up
bodyText ||| into overlapping bigrams. In the regression analysis, the
bodyText ||| dependent variable was whether a bigram was a two-character
bodyText ||| word according to the manual segmentation. The independent
bodyText ||| variables were various corpus statistics derived from the corpus
bodyText ||| (2 months of news articles).
bodyText ||| The types of frequency information investigated were:
listItem ||| 1. Relative frequency of individual characters and bigrams
listItem ||| (character pairs) in the corpus, i.e. the number of times the
listItem ||| character or bigram occurs in the corpus divided by the total
listItem ||| number of characters in the corpus.
listItem ||| 2. Document frequency of characters and bigrams, i.e. the
listItem ||| number of documents in the corpus containing the character
listItem ||| or bigram divided by the total number of documents in the
listItem ||| corpus.
listItem ||| 3. Weighted document frequency of characters and bigrams. To
listItem ||| calculate the weighted document frequency of a character
listItem ||| string, each document containing the character string is
listItem ||| assigned a score equal to the square of the number of times
listItem ||| the character string occurs in the document. The scores for all
listItem ||| the documents containing the character string are then
listItem ||| summed and divided by the total number of documents in the
listItem ||| corpus to obtain the weighted document frequency for the
listItem ||| character string. The rationale is that if a character string
listItem ||| occurs several times within the same document, this is
listItem ||| stronger evidence that the character string constitutes a word,
listItem ||| than if the character string occurs once in several documents.
listItem ||| Two or more characters can occur together by chance in
listItem ||| several different documents. It is less likely for two
listItem ||| characters to occur together several times within the same
listItem ||| document by chance.
listItem ||| 4. Local frequency in the form of within-document frequency of
listItem ||| characters and bigrams, i.e. the number of times the character
listItem ||| or bigram occurs in the document being segmented.
listItem ||| 5. Contextual information. Frequency information of characters
listItem ||| adjacent to a bigram is used to help determine whether the
listItem ||| bigram is a word. For the character string	A B C D
listItem ||| , to determine whether the bigram BC is a word,
listItem ||| frequency information for the adjacent characters A and D, as
listItem ||| well as the overlapping bigrams AB and BC were considered.
listItem ||| 6. Positional information. We studied whether the position of a
listItem ||| character string (at the beginning, middle or end of a
listItem ||| sentence) gave some indication of whether the character
listItem ||| string was a word.
bodyText ||| The statistical model was developed using forward stepwise
bodyText ||| logistic regression, using the Proc Logistic function in the SAS
bodyText ||| v.6.12 statistical package for Windows. Logistic regression is an
bodyText ||| appropriate regression technique when the dependent variable is
bodyText ||| binary valued (takes the value 0 or 1). The formula developed
bodyText ||| using logistic regression predicts the probability (more
bodyText ||| accurately, the log of the odds) that a bigram is a meaningful
bodyText ||| word.
bodyText ||| In the stepwise regression, the threshold for a variable to enter
bodyText ||| the model was set at the 0.001 significance level and the
bodyText ||| threshold for retaining a variable in the model was set at 0.01. In
bodyText ||| addition, preference was given to relative frequencies and local
bodyText ||| frequencies because they are easier to calculate than document
bodyText ||| frequencies and weighted document frequencies. Also, relative
bodyText ||| frequencies are commonly used in previous studies.
bodyText ||| Furthermore, a variable was entered in a model only if it gave a
bodyText ||| noticeable improvement to the effectiveness of the model. During
bodyText ||| regression analysis, the effectiveness of the model was estimated
bodyText ||| using the measure of concordance that was automatically output
bodyText ||| by the SAS statistical program. A variable was accepted into the
bodyText ||| model only if the measure of concordance improved by at least
bodyText ||| 2% when the variable was entered into the model.
bodyText ||| We evaluated the accuracy of the segmentation using measures of
bodyText ||| recall and precision. Recall and precision in this context are
bodyText ||| defined as follows:
equation ||| Recall = No. of 2-character words identified in the automatic
equation ||| segmentation that are correct
equation ||| No. of 2-character words identified in the manual
equation ||| segmentation
equation ||| Precision = No. of 2-character words identified in the automatic
equation ||| segmentation that are correct
equation ||| No. of 2-character words identified in the automatic
equation ||| segmentation
sectionHeader ||| 4. STATISTICAL FORMULAS
sectionHeader ||| DEVELOPED
subsectionHeader ||| 4.1 The Contextual Information Formula
bodyText ||| The formula that was developed for 2-character words is as
bodyText ||| follows. Given a character string A B C D , the
bodyText ||| association strength for bigram BC is:
equation ||| Assoc(BC) = 0.35 * log2 freq(BC) + 0.37 * log2 freq(A) +
equation ||| 0.32 log2 freq(D) – 0.36 * log2 docfreqwt(AB) –
equation ||| 0.29 * log2 docfreqwt(CD) + 5.91
bodyText ||| where freq refers to the relative frequency in the corpus and
bodyText ||| docfreqwt refers to the weighted document frequency. We refer to
bodyText ||| this formula as the contextual information formula. More details
bodyText ||| of the regression model are given in Table 1.
bodyText ||| The formula indicates that contextual information is helpful in
bodyText ||| identifying word boundaries. A in the formula refers to the
bodyText ||| character preceding the bigram that is being processed, whereas
bodyText ||| D is the character following the bigram. The formula indicates
bodyText ||| that if the character preceding and the character following the
bodyText ||| bigram have high relative frequencies, then the bigram is more
bodyText ||| likely to be a word.
page ||| 84
table ||| 		Parameter	Standard	Wald		Pr >	Standardized
table ||| Variable	DF	Estimate	Error	Chi-Square		Chi-Square	Estimate
table ||| INTERCPT	1	5.9144	0.1719	1184.0532	0.0001	.
table ||| Log freq(BC)	1	0.3502	0.0106	1088.7291	0.0001	0.638740
table ||| Log freq(A)	1	0.3730	0.0113	1092.1382	0.0001	0.709621
table ||| Log freq(D)	1	0.3171	0.0107	886.4446	0.0001	0.607326
table ||| Log docfreqwt(AB)	1	-0.3580	0.0111	1034.0948	0.0001	-0.800520
table ||| Log docfreqwt(CD)	1	-0.2867	0.0104	754.2276	0.0001	-0.635704
table ||| Note: freq refers to the relative frequency, and docfreqwt refers to the
table ||| weighted document frequency.
table ||| Association of Predicted Probabilities and Observed Responses
table ||| Somers' D = 0.803
table ||| Gamma	= 0.803
table ||| Tau-a	= 0.295
table ||| (23875432 pairs)	c	= 0.901
table ||| Concordant	=	90.1%
table ||| Discordant	=	9.8%
table ||| Tied	=	0.1%
tableCaption ||| Table 1. Final regression model for 2-character words
bodyText ||| Contextual information involving the weighted document
bodyText ||| frequency was also found to be significant. The formula indicates
bodyText ||| that if the overlapping bigrams AB and CD have high weighted
bodyText ||| document frequencies, then the bigram BC is less likely to be a
bodyText ||| word. We tried replacing the weighted document frequencies
bodyText ||| with the unweighted document frequencies as well as the relative
bodyText ||| frequencies. These were found to give a lower concordance score.
bodyText ||| Even with docfreq (AB) and docfreq (CD) in the model, docfreqwt
bodyText ||| (AB) and docfreqwt (CD) were found to improve the model
bodyText ||| significantly. However, local frequencies were surprisingly not
bodyText ||| found to be useful in predicting 2-character words.
bodyText ||| We investigated whether the position of the bigram in the
bodyText ||| sentence was a significant factor. We included a variable to
bodyText ||| indicate whether the bigram occurred just after a punctuation
bodyText ||| mark or at the beginning of the sentence, and another variable to
bodyText ||| indicate whether the bigram occurred just before a punctuation
bodyText ||| mark or at the end of a sentence. The interaction between each of
bodyText ||| the position variables and the various relative frequencies
bodyText ||| were not significant. However, it was found that whether or not
bodyText ||| the bigram was at the end of a sentence or just before a
bodyText ||| punctuation mark was a significant factor. Bigrams at the end of
bodyText ||| a sentence or just before a punctuation mark tend to be words.
bodyText ||| However, since this factor did not improve the concordance score
bodyText ||| by 2%, the effect was deemed too small to be included in the
bodyText ||| model.
bodyText ||| It should be noted that the contextual information used in the
bodyText ||| study already incorporates some positional information. The
bodyText ||| frequency of character A (the character preceding the bigram)
bodyText ||| was given the value 0 if the bigram was preceded by a
bodyText ||| punctuation mark or was at the beginning of a sentence.
bodyText ||| Similarly, the frequency of character D (the character following
bodyText ||| the bigram) was given the value 0 if the bigram preceded a
bodyText ||| punctuation mark.
bodyText ||| We also investigated whether the model would be different for
bodyText ||| high and low frequency words. We included in the regression
bodyText ||| analysis the interaction between the relative frequency of the
bodyText ||| bigram and the other relative frequencies. The interaction terms
bodyText ||| were not found to be significant. Finally, it is noted that the
bodyText ||| coefficients for the various factors are nearly the same, hovering
bodyText ||| around 0.34.
subsectionHeader ||| 4.2 Improved Mutual Information Formula
bodyText ||| In this study, the contextual information formula (CIF) was
bodyText ||| evaluated by comparing it with the mutual information formula
bodyText ||| (MIF). We wanted to find out whether the segmentation results
bodyText ||| using the CIF was better than the segmentation results using the
bodyText ||| MIF.
bodyText ||| In the CIF model, the coefficients of the variables were
bodyText ||| determined using regression analysis. If CIF was found to give
bodyText ||| better results than MIF, it could be because the coefficients for
bodyText ||| the variables in CIF had been determined empirically – and not
bodyText ||| because of the types of variables in the formula. To reject this
bodyText ||| explanation, regression analysis was used to determine the
bodyText ||| coefficients for the factors in the mutual information formula.
bodyText ||| We refer to this new version of the formula as the improved
bodyText ||| mutual information formula.
bodyText ||| Given a character string	A B C D	, the improved
bodyText ||| mutual information formula is:
equation ||| Improved MI(BC) = 0.39 * log2 freq(BC) - 0.28 * log2 freq(B) -
equation ||| 0.23 log2 freq(C) - 0.32
bodyText ||| The coefficients are all close to 0.3. The formula is thus quite
bodyText ||| similar to the mutual information formula, except for a
bodyText ||| multiplier of 0.3.
sectionHeader ||| 5. SEGMENTATION ALGORITHMS
bodyText ||| The automatic segmentation process has the following steps:
listItem ||| 1. The statistical formula is used to calculate a score for each
listItem ||| bigram to indicate its association strength (or how likely the
listItem ||| bigram is a word).
listItem ||| 2. A threshold value is then set and used to decide which
listItem ||| bigram is a word. If a bigram obtains a score above the
listItem ||| threshold value, then it is selected as a word. Different
listItem ||| threshold values can be used, depending on whether the user
listItem ||| prefers high recall or high precision.
listItem ||| 3. A segmentation algorithm is used to resolve conflict. If two
listItem ||| overlapping bigrams both have association scores above the
page ||| 85
table ||| 	Precision
table ||| Recall	Comparative Forward Match	Forward Match	Improvement
table ||| Mutual Information		-	-
table ||| 90%	51%
table ||| 80%	52%	47%	5%
table ||| 70%	53%	51%	2%
table ||| 60%	54%	52%	2%
table ||| Improved Mutual Information
table ||| 90%	51%		-	-
table ||| 80%	53%	46%	7%
table ||| 70%	54%	52%	2%
table ||| 60%	55%	54%	1%
table ||| Contextual Information Formula
table ||| 90%	55%	54%	1%
table ||| 80%	62%	62%	0%
table ||| 70%	65%	65%	0%
table ||| 60%	68%	68%	0%
tableCaption ||| Table 2. Recall and precision values for the comparative
tableCaption ||| forward match segmentation algorithm vs. forward match
bodyText ||| threshold value, then there is conflict or ambiguity. The
bodyText ||| frequency of such conflicts will rise as the threshold value is
bodyText ||| lowered. The segmentation algorithm resolves the conflict
bodyText ||| and selects one of the bigrams as a word.
bodyText ||| One simple segmentation algorithm is the forward match
bodyText ||| algorithm. Consider the sentence A B C D E . The
bodyText ||| segmentation process proceeds from the beginning of the
bodyText ||| sentence to the end. First the bigram AB is considered. If the
bodyText ||| association score is above the threshold, then AB is taken as a
bodyText ||| word, and the bigram CD is next considered. If the association
bodyText ||| score of AB is below the threshold, the character A is taken as a
bodyText ||| 1-character word. And the bigram BC is next considered. In
bodyText ||| effect, if the association score of both AB and BC are above
bodyText ||| threshold, the forward match algorithm selects AB as a word and
bodyText ||| not BC.
bodyText ||| The forward match method for resolving ambiguity is somewhat
bodyText ||| arbitrary and not satisfactory. When overlapping bigrams exceed
bodyText ||| the threshold value, it simply decides in favour of the earlier
bodyText ||| bigram. Another segmentation algorithm was developed in this
bodyText ||| study which we refer to as the comparative forward match
bodyText ||| algorithm. This has an additional step:
bodyText ||| If 2 overlapping bigrams AB and BC both have scores above
bodyText ||| the threshold value then their scores are compared. If AB has a
bodyText ||| higher value, then it is selected as a word, and the program
bodyText ||| next considers the bigrams CD and DE. On the other hand, if
bodyText ||| AB has a lower value, then character A is selected as a 1-
bodyText ||| character word, and the program next considers bigrams BC
bodyText ||| and CD.
bodyText ||| The comparative forward match method (CFM) was compared
bodyText ||| with the forward match method (FM) by applying them to the 3
bodyText ||| statistical formulas (the contextual information formula, the
bodyText ||| mutual information formula and the improved mutual
bodyText ||| information formula). One way to compare the effectiveness of
bodyText ||| the 2 segmentation algorithms is by comparing their precision
bodyText ||| figures at the same recall levels. The precision figures for
table ||| Precision
table ||| Recall	Mutual	Improved Mutual Contextual
table ||| Information	Information	Information
table ||| 90%	57%	(0.0)	57%	(-2.5)	61%	(-1.5)
table ||| 80%	59%	(3.7)	59%	(-1.5)	66%	(-0.8)
table ||| 70%	59%	(4.7)	60%	(-1.0)	70%	(-0.3)
table ||| 60%	60%	(5.6)	62%	(-0.7)	74%	(0.0)
table ||| * Threshold values are given in parenthesis.
tableCaption ||| Table 3. Recall and precision for three statistical formulas
bodyText ||| selected recall levels are given in Table 2. The results are based
bodyText ||| on the sample of 300 sentences.
bodyText ||| The comparative forward match algorithm gave better results for
bodyText ||| the mutual information and improved mutual information
bodyText ||| formulas – especially at low threshold values when a large
bodyText ||| number of conflicts are likely. Furthermore, for the forward
bodyText ||| match method, the recall didn t go substantially higher than
bodyText ||| 80% even at low threshold values.
bodyText ||| For the contextual information formula, the comparative forward
bodyText ||| match method did not perform better than forward match, except
bodyText ||| at very low threshold values when the recall was above 90%.
bodyText ||| This was expected because the contextual information formula
bodyText ||| already incorporates information about neighboring characters
bodyText ||| within the formula. The formula gave very few conflicting
bodyText ||| segmentations. There were very few cases of overlapping
bodyText ||| bigrams both having association scores above the threshold –
bodyText ||| except when threshold values were below –1.5.
sectionHeader ||| 6. EVALUATION
subsectionHeader ||| 6.1 Comparing the Contextual Information
subsectionHeader ||| Formula with the Mutual Information
subsectionHeader ||| Formula
bodyText ||| In this section we compare the effectiveness of the contextual
bodyText ||| information formula with the mutual information formula and
bodyText ||| the improved mutual information formula using the 100
bodyText ||| sentences that had been set aside for evaluation purposes. For the
bodyText ||| contextual information formula, the forward match segmentation
bodyText ||| algorithm was used. The comparative forward match algorithm
bodyText ||| was used for the mutual information and the improved mutual
bodyText ||| information formulas.
bodyText ||| The three statistical formulas were compared by comparing their
bodyText ||| precision figures at 4 recall levels – at 60%, 70%, 80% and 90%.
bodyText ||| For each of the three statistical formulas, we identified the
bodyText ||| threshold values that would give a recall of 60%, 70%, 80% and
bodyText ||| 90%. We then determined the precision values at these threshold
bodyText ||| values to find out whether the contextual information formula
bodyText ||| gave better precision than the other two formulas at 60%, 70%,
bodyText ||| 80% and 90% recall. These recall levels were selected because a
bodyText ||| recall of 50% or less is probably unacceptable for most
bodyText ||| applications.
bodyText ||| The precision figures for the 4 recall levels are given in Table 3.
bodyText ||| The recall-precision graphs for the 3 formulas are given in Fig. 1.
bodyText ||| The contextual information formula substantially outperforms
bodyText ||| the mutual information and the improved mutual information
bodyText ||| formulas. At the 90% recall level, the contextual information
page ||| 86
table ||| Avg Precision
table ||| Avg	Mutual	Improved Mutual Contextual
table ||| Recall Information	Information	Information
table ||| 90%	57%	(1.0)	58%	(-2.3)	61%	(-1.5)
table ||| 80%	60%	(3.8)	60%	(-1.4)	67%	(-0.7)
table ||| 70%	59%	(4.8)	60%	(-1.0)	70%	(-0.3)
table ||| 60%	60%	(5.6)	63%	(-0.6)	73%	(0.0)
table ||| * Threshold values are given in parenthesis.
tableCaption ||| Table 4. Average recall and average precision for the three
tableCaption ||| statistical formulas
figure ||| 60	65	70	75	80	85	90	95
figure ||| Recall(%)
figureCaption ||| Fig. 1. Recall-precision graph for the three statistical
bodyText ||| formula was better by about 4%. At the 60% recall level, it
bodyText ||| outperformed the mutual information formula by 14% (giving a
bodyText ||| relative improvement of 23%). The results also indicate that the
bodyText ||| improved mutual information formula does not perform better
bodyText ||| than the mutual information formula.
subsectionHeader ||| 6.2 Statistical Test of Significance
bodyText ||| In order to perform a statistical test, recall and precision figures
bodyText ||| were calculated for each of the 100 sentences used in the
bodyText ||| evaluation. The average recall and the average precision across
bodyText ||| the 100 sentences were then calculated for the three statistical
bodyText ||| formulas. In the previous section, recall and precision were
bodyText ||| calculated for all the 100 sentences combined. Here, recall and
bodyText ||| precision were obtained for individual sentences and then the
bodyText ||| average across the 100 sentences was calculated. The average
bodyText ||| precision for 60%, 70%, 80% and 90% average recall are given
bodyText ||| in Table 4.
bodyText ||| For each recall level, an analysis of variance with repeated
bodyText ||| measures was carried out to find out whether the differences in
bodyText ||| precision were significant. Pairwise comparisons using Tukey s
bodyText ||| HSD test was also carried out. The contextual information
bodyText ||| formula was significantly better (a=0.001) than the mutual
bodyText ||| information and the improved mutual information formulas at all
bodyText ||| 4 recall levels. The improved mutual information formula was
bodyText ||| not found to be significantly better than mutual information.
table ||| Association Score>1.0 (definite errors)
table ||| (	)	university (agricultural
table ||| university)
table ||| (	)	geology (geologic age)
table ||| (	)	plant (upland plant)
table ||| (	)	sovereignty (sovereign state)
table ||| Association Score Between –1.0 and 1.0
table ||| (borderline errors)
table ||| (	)	statistics (statistical data)
table ||| (	)	calamity (natural calamity)
table ||| (	)	resources (manpower resources)
table ||| (	)	professor (associate professor)
table ||| (	)	poor (pauperization)
table ||| (	)	fourteen (the 14th day)
table ||| (	)	twenty (twenty pieces)
tableCaption ||| Table 5. Simple words that are part of a longer
tableCaption ||| meaningful word
table ||| Association Score >1.0 (definite errors)
table ||| will through
table ||| telegraph [on the] day [31 July]
table ||| Association Score Between –1.0 and 1.0
table ||| (borderline errors)
table ||| still	to
table ||| will be
table ||| people etc.
table ||| I want
table ||| Person's name
table ||| (	)	Wan Wen Ju
table ||| Place name
table ||| (	)	a village name in China
table ||| (	)	Canada
table ||| Name of an organization/institution
table ||| (	)	Xin Hua Agency
table ||| (	)	The State Department
tableCaption ||| Table 6. Bigrams incorrectly identified as words
sectionHeader ||| 7. ANALYSIS OF ERRORS
bodyText ||| The errors that arose from using the contextual information
bodyText ||| formula were analyzed to gain insights into the weaknesses of
bodyText ||| the model and how the model can be improved. There are two
bodyText ||| types of errors: errors of commission and errors of omission.
bodyText ||| Errors of commission are bigrams that are identified by the
bodyText ||| automatic segmentation to be words when in fact they are not
bodyText ||| (according to the manual segmentation). Errors of omission are
bodyText ||| bigrams that are not identified by the automatic segmentation to
bodyText ||| be words but in fact they are.
bodyText ||| The errors depend of course on the threshold values used. A high
bodyText ||| threshold (e.g. 1.0) emphasizes precision and a low threshold
bodyText ||| (e.g. –1.0) emphasizes recall. 50 sentences were selected from
bodyText ||| the 100 sample sentences to find the distribution of errors at
bodyText ||| different regions of threshold values.
figure ||| Contextual information
figure ||| Mutual information
