title ||| Accelerated Focused Crawling through
figure ||| Crawl
figure ||| database
page ||| 148
bodyText ||| encountered in u an unvisited link to v. A simple crawler
bodyText ||| (which we call the baseline) will use the relevance of u
bodyText ||| to topic c* (which, in a Bayesian setting, we can denote
bodyText ||| Pr(c*lu)) as the estimated relevance of the unvisited page
bodyText ||| v. This reflects our belief that pages across a hyperlink
bodyText ||| are more similar than two randomly chosen pages on the
bodyText ||| Web, or, in other words, topics appear clustered in the
bodyText ||| Web graph [11, 23]. Node v will be added to the crawler’s
bodyText ||| priority queue with priority Pr(c*lu). This is essentially a
bodyText ||| “best-first” crawling strategy. When v comes to the head
bodyText ||| of the queue and is actually fetched, we can verify if the
bodyText ||| gamble paid off, by evaluating Pr(c* lv). The fraction of
bodyText ||| relevant pages collected is called the harvest rate. If V
bodyText ||| is the set of nodes collected, the harvest rate is defined
bodyText ||| as (1/lVl) E vEVPr(c*lv). Alternatively, we can measure
bodyText ||| the loss rate, which is one minus the harvest rate, i.e., the
bodyText ||| (expected) fraction of fetched pages that must be thrown
bodyText ||| away. Since the effort on relevant pages is well-spent,
bodyText ||| reduction in loss rate is the primary goal and the most
bodyText ||| appropriate figure of merit.
bodyText ||| For focused crawling applications to succeed, the “leap
bodyText ||| of faith” from u to v must pay off frequently. In other words,
bodyText ||| if Pr(c*lv) is often much less than the preliminary estimate
bodyText ||| Pr(c*lu), a great deal of network traffic and CPU cycles
bodyText ||| are being wasted eliminating bad pages. Experience with
bodyText ||| random walks on the Web show that as one walks away
bodyText ||| from a fixed page u0 relevant to topic c0, the relevance of
bodyText ||| successive nodes u1, u2,... to c0 drops dramatically within
bodyText ||| a few hops [9, 23]. This means that only a fraction of out-
bodyText ||| links from a page is typically worth following. The average
bodyText ||| out-degree of the Web graph is about 7 [29]. Therefore, a
bodyText ||| large number of page fetches may result in disappointment,
bodyText ||| especially if we wish to push the utility of focused crawling
bodyText ||| to topic communities which are not very densely linked.
bodyText ||| Even w.r.t. topics that are not very narrow, the
bodyText ||| number of distracting outlinks emerging from even fairly
bodyText ||| relevant pages has grown substantially since the early
bodyText ||| days of Web authoring [4]. Template-based authoring,
bodyText ||| dynamic page generation from semi-structured databases,
bodyText ||| ad links, navigation panels, and Web rings contribute many
bodyText ||| irrelevant links which reduce the harvest rate of focused
bodyText ||| crawlers. Topic-based link discrimination will also reduce
bodyText ||| these problems.
subsectionHeader ||| 1.1 Our contribution: Leaping with more faith
subsectionHeader ||| In this paper we address the following questions:
bodyText ||| How much information about the topic of the HREF
bodyText ||| target is available and/or latent in the HREF source page,
bodyText ||| its tag-tree structure, and its text? Can these sources be
bodyText ||| exploited for accelerating a focused crawler?
bodyText ||| Our basic idea is to use two classifiers. Earlier, the regular
bodyText ||| baseline classifier was used to assign priorities to unvisited
bodyText ||| frontier nodes. This no longer remains its function. The role
bodyText ||| of assigning priorities to unvisited URLs in the crawl frontier
bodyText ||| is now assigned to a new learner called the apprentice, and
bodyText ||| the priority of v is specific to the features associated with
bodyText ||| the (u, v) link which leads to it1. The features used by the
bodyText ||| apprentice are derived from the Document Object Model or
footnote ||| 'If many u’s link to a single v, it is easiest to freeze the priority of
bodyText ||| v when the first-visited u linking to v is assessed, but combinations
bodyText ||| of scores are also possible.
figureCaption ||| Figure 2: The apprentice is continually presented with
figureCaption ||| training cases (u, v) with suitable features. The apprentice
figureCaption ||| is interposed where new outlinks (u, v) are registered with
figureCaption ||| the priority queue, and helps assign the unvisited node v a
figureCaption ||| better estimate of its relevance.
bodyText ||| DOM (http://www.w3.org/DOM/) of u. Meanwhile, the role
bodyText ||| of the baseline classifier becomes one of generating training
bodyText ||| instances for the apprentice, as shown in Figure 2. We may
bodyText ||| therefore regard the baseline learner as a critic or a trainer,
bodyText ||| which provides feedback to the apprentice so that it can
bodyText ||| improve “on the job.”
bodyText ||| The critic-apprentice paradigm is related to reinforce-
bodyText ||| ment learning and AI programs that learn to play games
bodyText ||| [26, §1.2]. We argue that this division of labor is natural
bodyText ||| and effective. The baseline learner can be regarded as
bodyText ||| a user specification for what kind of content is desired.
bodyText ||| Although we limit ourselves to a generative statistical model
bodyText ||| for this specification, this can be an arbitrary black-box
bodyText ||| predicate. For rich and meaningful distinction between
bodyText ||| Web communities and topics, the baseline learner needs
bodyText ||| to be fairly sophisticated, perhaps leveraging off human
bodyText ||| annotations on the Web (such as topic directories). In
bodyText ||| contrast, the apprentice specializes in how to locate pages
bodyText ||| to satisfy the baseline learner. Its feature space is more
bodyText ||| limited, so that it can train fast and adapt nimbly to
bodyText ||| changing fortunes at following links during a crawl. In
bodyText ||| Mitchell’s words [27], the baseline learner recognizes “global
bodyText ||| regularity” while the apprentice helps the crawler adapt
bodyText ||| to “local regularity.” This marked asymmetry between
bodyText ||| the classifiers distinguishes our approach from Blum and
bodyText ||| Mitchell’s co-training technique [3], in which two learners
bodyText ||| train each other by selecting unlabeled instances.
bodyText ||| Using a dozen topics from a topic taxonomy derived
bodyText ||| from the Open Directory, we compare our enhanced crawler
bodyText ||| with the baseline crawler. The number of pages that are
bodyText ||| thrown away (because they are irrelevant), called the loss
bodyText ||| rate, is cut down by 30–90%. We also demonstrate that
bodyText ||| the fine-grained tag-tree model, together with our synthesis
bodyText ||| and encoding of features for the apprentice, are superior to
bodyText ||| simpler alternatives.
sectionHeader ||| 1.2 Related work
bodyText ||| Optimizing the priority of unvisited URLs on the crawl
bodyText ||| frontier for specific crawling goals is not new. FISHSEARCH
bodyText ||| by De Bra et al. [12, 13] and SHARKSEARCH by Hersovici
bodyText ||| et al. [16] were some of the earliest systems for localized
bodyText ||| searches in the Web graph for pages with specified keywords.
figure ||| ... submit (u,v)
figure ||| to the apprentice
figure ||| If Pr(c*|u)is
figure ||| large enough...
figure ||| Dmoz
figure ||| topic
figure ||| taxonomy
figure ||| Submit page for classification
figure ||| Baseline learner (Critic)
figure ||| + -
figure ||| Apprentice
figure ||| assigns more
figure ||| accurate priority
figure ||| to node v	Frontier URLS
figure ||| priority queue
figure ||| Class models
figure ||| consisting of
figure ||| term stats
figure ||| Apprentice learner
figure ||| Class
figure ||| models
figure ||| Newly fetched
figure ||| page u
figure ||| Crawler
figure ||| Pick
figure ||| best
figure ||| Online
figure ||| training
figure ||| An instance (u,v)
figure ||| for the apprentice
figure ||| Pr(c*|v)
figure ||| u
figure ||| Crawl
figure ||| database
figure ||| Pr(c|u) for
figure ||| all classes c
figure ||| v
page ||| 149
bodyText ||| In another early paper, Cho et al. [10] experimented with a
bodyText ||| variety of strategies for prioritizing how to fetch unvisited
bodyText ||| URLs. They used the anchor text as a bag of words to
bodyText ||| guide link expansion to crawl for pages matching a specified
bodyText ||| keyword query, which led to some extent of differentiation
bodyText ||| among out-links, but no trainer-apprentice combination was
bodyText ||| involved. No notion of supervised topics had emerged at
bodyText ||| that point, and simple properties like the in-degree or the
bodyText ||| presence of specified keywords in pages were used to guide
bodyText ||| the crawler.
bodyText ||| Topical locality on the Web has been studied for a few
bodyText ||| years. Davison made early measurements on a 100000-
bodyText ||| node Web subgraph [11] collected by the DISCOWEB system.
bodyText ||| Using the standard notion of vector space TFIDF similarity
bodyText ||| [31], he found that the endpoints of a hyperlink are much
bodyText ||| more similar to each other than two random pages, and that
bodyText ||| HREFs close together on a page link to documents which are
bodyText ||| more similar than targets which are far apart. Menczer has
bodyText ||| made similar observations [23]. The HYPERCLASS hypertext
bodyText ||| classifier also uses such locality patterns for better semi-
bodyText ||| supervised learning of topics [7], as does IBM’s Automatic
bodyText ||| Resource Compilation (ARC) and Clever topic distillation
bodyText ||| systems [6, 8].
bodyText ||| Two important advances have been made beyond the
bodyText ||| baseline best-first focused crawler: the use of context graphs
bodyText ||| by Diligenti et al. [14] and the use of reinforcement learning
bodyText ||| by Rennie and McCallum [30]. Both techniques trained
bodyText ||| a learner with features collected from paths leading up to
bodyText ||| relevant nodes rather than relevant nodes alone. Such paths
bodyText ||| may be collected by following backlinks.
bodyText ||| Diligenti et al. used a classifier (learner) that regressed
bodyText ||| from the text of u to the estimated link distance from u to
bodyText ||| some relevant page w, rather than the relevance of u or an
bodyText ||| outlink (u, v), as was the case with the baseline crawler.
bodyText ||| This lets their system continue expanding u even if the
bodyText ||| reward for following a link is not immediate, but several
bodyText ||| links away. However, they do favor links whose payoffs
bodyText ||| are closest. Our work is specifically useful in conjunction
bodyText ||| with the use of context graphs: when the context graph
bodyText ||| learner predicts that a goal is several links away, it is crucial
bodyText ||| to offer additional guidance to the crawler based on local
bodyText ||| structure in pages, because the fan-out at that radius could
bodyText ||| be enormous.
bodyText ||| Rennie and McCallum [30] also collected paths leading
bodyText ||| to relevant nodes, but they trained a slightly different
bodyText ||| classifier, for which:
listItem ||| 9 An instance was a single HREF link like (u, v).
listItem ||| 9 The features were terms from the title and headers
listItem ||| (<h1> ... </h1> etc.) of u, together with the text
listItem ||| in and ‘near’ the anchor (u, v). Directories and
listItem ||| pathnames were also used. (We do not know the
listItem ||| precise definition of ‘near’, or how these features were
listItem ||| encoded and combined.)
listItem ||| 9 The prediction was a discretized estimate of the
listItem ||| number of relevant nodes reachable by following (u, v),
listItem ||| where the reward from goals distant from v was
listItem ||| geometrically discounted by some factor γ < 1/2 per
listItem ||| hop.
bodyText ||| Rennie and McCallum obtained impressive harvests of
bodyText ||| research papers from four Computer Science department
bodyText ||| sites, and of pages about officers and directors from 26
bodyText ||| company Websites.
bodyText ||| Lexical proximity and contextual features have been
bodyText ||| used extensively in natural language processing for disam-
bodyText ||| biguating word sense [15]. Compared to plain text, DOM
bodyText ||| trees and hyperlinks give us a richer set of potential features.
bodyText ||| Aggarwal et al. have proposed an “intelligent crawling”
bodyText ||| framework [1] in which only one classifier is used, but similar
bodyText ||| to our system, that classifier trains as the crawl progresses.
bodyText ||| They do not use our apprentice-critic approach, and do not
bodyText ||| exploit features derived from tag-trees to guide the crawler.
bodyText ||| The “intelligent agents” literature has brought forth
bodyText ||| several systems for resource discovery and assistance to
bodyText ||| browsing [19]. They range between client- and site-level
bodyText ||| tools. Letizia [18], Powerscout, and WebWatcher [17] are
bodyText ||| such systems. Menczer and Belew proposed InfoSpiders
bodyText ||| [24], a collection of autonomous goal-driven crawlers without
bodyText ||| global control or state, in the style of genetic algorithms. A
bodyText ||| recent extensive study [25] comparing several topic-driven
bodyText ||| crawlers including the best-first crawler and InfoSpiders
bodyText ||| found the best-first approach to show the highest harvest
bodyText ||| rate (which our new system outperforms).
bodyText ||| In all the systems mentioned above, improving the
bodyText ||| chances of a successful “leap of faith” will clearly reduce
bodyText ||| the overheads of fetching, filtering, and analyzing pages.
bodyText ||| Furthermore, whereas we use an automatic first-generation
bodyText ||| focused crawler to generate the input to train the apprentice,
bodyText ||| one can envisage specially instrumented browsers being used
bodyText ||| to monitor users as they seek out information.
bodyText ||| We distinguish our work from prior art in the following
bodyText ||| important ways:
bodyText ||| Two classifiers: We use two classifiers. The first one is
bodyText ||| used to obtain ‘enriched’ training data for the second one.
bodyText ||| (A breadth-first or random crawl would have a negligible
bodyText ||| fraction of positive instances.) The apprentice is a simplified
bodyText ||| reinforcement learner. It improves the harvest rate, thereby
bodyText ||| ‘enriching’ the data collected and labeled by the first learner
bodyText ||| in turn.
bodyText ||| No manual path collection: Our two-classifier frame-
bodyText ||| work essentially eliminates the manual effort needed to
bodyText ||| create reinforcement paths or context graphs. The input
bodyText ||| needed to start off a focused crawl is just a pre-trained topic
bodyText ||| taxonomy (easily available from the Web) and a few focus
bodyText ||| topics.
bodyText ||| Online training: Our apprentice trains continually, ac-
bodyText ||| quiring ever-larger vocabularies and improving its accuracy
bodyText ||| as the crawl progresses. This property holds also for the
bodyText ||| “intelligent crawler” proposed by Aggarwal et al., but they
bodyText ||| have a single learner, whose drift is controlled by precise
bodyText ||| relevance predicates provided by the user.
bodyText ||| No manual feature tuning: Rather than tune ad-hoc
bodyText ||| notions of proximity between text and hyperlinks, we encode
bodyText ||| the features of link (u, v) using the DOM-tree of u, and
bodyText ||| automatically learn a robust definition of ‘nearness’ of a
bodyText ||| textual feature to (u, v). In contrast, Aggarwal et al
bodyText ||| use many tuned constants combining the strength of text-
bodyText ||| and link-based predictors, and Rennie et al. use domain
bodyText ||| knowledge to select the paths to goal nodes and the word
bodyText ||| bags that are submitted to their learner.
page ||| 150
sectionHeader ||| 2 Methodology and algorithms
bodyText ||| We first review the baseline focused crawler and then
bodyText ||| describe how the enhanced crawler is set up using the
bodyText ||| apprentice-critic mechanism.
subsectionHeader ||| 2.1 The baseline focused crawler
bodyText ||| The baseline focused crawler has been described in detail
bodyText ||| elsewhere [9, 14], and has been sketched in Figure 1. Here
bodyText ||| we review its design and operation briefly.
bodyText ||| There are two inputs to the baseline crawler.
listItem ||| •	A topic taxonomy or hierarchy with example URLs
listItem ||| for each topic.
listItem ||| •	One or a few topics in the taxonomy marked as the
listItem ||| topic(s) of focus.
bodyText ||| Although we will generally use the terms ‘taxonomy’ and
bodyText ||| ‘hierarchy’, a topic tree is not essential; all we really need is
bodyText ||| a two-way classifier where the classes have the connotations
bodyText ||| of being ‘relevant’ or ‘irrelevant’ to the topic(s) of focus.
bodyText ||| A topic hierarchy is proposed purely to reduce the tedium
bodyText ||| of defining new focused crawls. With a two-class classifier,
bodyText ||| the crawl administrator has to seed positive and negative
bodyText ||| examples for each crawl. Using a taxonomy, she composes
bodyText ||| the ‘irrelevant’ class as the union of all classes that are not
bodyText ||| relevant. Thanks to extensive hierarchies like Dmoz in the
bodyText ||| public domain, it should be quite easy to seed topic-based
bodyText ||| crawls in this way.
bodyText ||| The baseline crawler maintains a priority queue on the
bodyText ||| estimated relevance of nodes v which have not been visited,
bodyText ||| and keeps removing the highest priority node and visiting it,
bodyText ||| expanding its outlinks and checking them into the priority
bodyText ||| queue with the relevance score of v in turn. Despite its
bodyText ||| extreme simplicity, the best-first crawler has been found to
bodyText ||| have very high harvest rates in extensive evaluations [25].
bodyText ||| Why do we need negative examples and negative classes
bodyText ||| at all? Instead of using class probabilities, we could maintain
bodyText ||| a priority queue on, say, the TFIDF cosine similarity
bodyText ||| between u and the centroid of the seed pages (acting as an
bodyText ||| estimate for the corresponding similarity between v and the
bodyText ||| centroid, until v has been fetched). Experience has shown
bodyText ||| [32] that characterizing a negative class is quite important to
bodyText ||| prevent the centroid of the crawled documents from drifting
bodyText ||| away indefinitely from the desired topic profile.
bodyText ||| In this paper, the baseline crawler also has the implicit
bodyText ||| job of gathering instances of successful and unsuccessful
bodyText ||| “leaps of faith” to submit to the apprentice, discussed next.
subsectionHeader ||| 2.2 The basic structure of the apprentice
subsectionHeader ||| learner
bodyText ||| In estimating the worth of traversing the HREF (u, v), we
bodyText ||| will limit our attention to u alone. The page u is modeled
bodyText ||| as a tag tree (also called the Document Object Model or
bodyText ||| DOM). In principle, any feature from u, even font color and
bodyText ||| site membership may be perfect predictors of the relevance
bodyText ||| of v. The total number of potentially predictive features will
bodyText ||| be quite staggering, so we need to simplify the feature space
bodyText ||| and massage it into a form suited to conventional learning
bodyText ||| algorithms. Also note that we specifically study properties
bodyText ||| of u and not larger contexts such as paths leading to u,
bodyText ||| meaning that our method may become even more robust and
bodyText ||| useful in conjunction with context graphs or reinforcement
bodyText ||| along paths.
bodyText ||| Initially, the apprentice has no training data, and passes
bodyText ||| judgment on (u, v) links according to some fixed prior
bodyText ||| obtained from a baseline crawl run ahead of time (e.g., see
bodyText ||| the statistics in §3.3). Ideally, we would like to train the
bodyText ||| apprentice continuously, but to reduce overheads, we declare
bodyText ||| a batch size between a few hundred and a few thousand
bodyText ||| pages. After every batch of pages is collected, we check if any
bodyText ||| page u fetched before the current batch links to some page
bodyText ||| v in the batch. If such a (u, v) is found, we extract suitable
bodyText ||| features for (u, v) as described later in this section, and add
bodyText ||| ((u, v), Pr(c* |v)� as another instance of the training data for
bodyText ||| the apprentice. Many apprentices, certainly the simple naive
bodyText ||| Bayes and linear perceptrons that we have studied, need not
bodyText ||| start learning from scratch; they can accept the additional
bodyText ||| training data with a small additional computational cost.
subsubsectionHeader ||| 2.2.1 Preprocessing the DOM tree
bodyText ||| First, we parse u and form the DOM tree for u. Sadly,
bodyText ||| much of the HTML available on the Web violates any
bodyText ||| HTML standards that permit context-free parsing, but
bodyText ||| a variety of repair heuristics (see, e.g., HTML Tidy,
bodyText ||| available at http://www.w3.org/People/Raggett/tidy/)
bodyText ||| let us generate reasonable DOM trees from bad HTML.
figureCaption ||| Figure 3: Numbering of DOM leaves used to derive offset
figureCaption ||| attributes for textual tokens. ‘@’ means “is at offset”.
bodyText ||| Second, we number all leaf nodes consecutively from left
bodyText ||| to right. For uniformity, we assign numbers even to those
bodyText ||| DOM leaves which have no text associated with them. The
bodyText ||| specific <a href ... > which links to v is actually an internal
bodyText ||| node a,, which is the root of the subtree containing the
bodyText ||| anchor text of the link (u, v). There may be other element
bodyText ||| tags such as <em> or <b> in the subtree rooted at a,. Let
bodyText ||| the leaf or leaves in this subtree be numbered f(a,) through
bodyText ||| r(a,) ≥ f(a,). We regard the textual tokens available from
bodyText ||| any of these leaves as being at DOM offset zero w.r.t. the
bodyText ||| (u, v) link. Text tokens from a leaf numbered p, to the left of
bodyText ||| f(a,), are at negative DOM offset p — f(a,). Likewise, text
bodyText ||| from a leaf numbered p to the right of r(a,) are at positive
bodyText ||| DOM offset p — r(a,). See Figure 3 for an example.
subsubsectionHeader ||| 2.2.2 Features derived from the DOM and text
subsubsectionHeader ||| tokens
bodyText ||| Many related projects mentioned in §1.2 use a linear notion
bodyText ||| of proximity between a HREF and textual tokens. In the
bodyText ||| ARC system, there is a crude cut-off distance measured
figure ||| @-2		@-1		@0		@0		@1		@2		@3
figure ||| TEXT
figure ||| tt
figure ||| li
figure ||| TEXT
figure ||| TEXT
figure ||| ul
figure ||| li
figure ||| a
figure ||| HREF
figure ||| font
figure ||| TEXT
figure ||| TEXT
figure ||| li
figure ||| TEXT em
figure ||| TEXT
figure ||| li
page ||| 151
bodyText ||| in bytes to the left and right of the anchor. In the
bodyText ||| Clever system, distance is measured in tokens, and the
bodyText ||| importance attached to a token decays with the distance.
bodyText ||| In reinforcement learning and intelligent predicate-based
bodyText ||| crawling, the exact specification of neighborhood text is not
bodyText ||| known to us. In all cases, some ad-hoc tuning appears to be
bodyText ||| involved.
bodyText ||| We claim (and show in §3.4) that the relation between
bodyText ||| the relevance of the target v of a HREF (u, v) and the
bodyText ||| proximity of terms to (u, v) can be learnt automatically. The
bodyText ||| results are better than ad-hoc tuning of cut-off distances,
bodyText ||| provided the DOM offset information is encoded as features
bodyText ||| suitable for the apprentice.
bodyText ||| One obvious idea is to extend the Clever model: a page
bodyText ||| is a linear sequence of tokens. If a token t is distant x from
bodyText ||| the HREF (u, v) in question, we encode it as a feature (t, x).
bodyText ||| Such features will not be useful because there are too many
bodyText ||| possible values of x, making the (t, x) space too sparse to
bodyText ||| learn well. (How many HREFS will be exactly five tokens
bodyText ||| from the term ‘basketball’?)
bodyText ||| Clearly, we need to bucket x into a small number of
bodyText ||| ranges. Rather than tune arbitrary bucket boundaries by
bodyText ||| hand, we argue that DOM offsets are a natural bucketing
bodyText ||| scheme provided by the page author. Using the node
bodyText ||| numbering scheme described above, each token t on page u
bodyText ||| can be annotated w.r.t. the link (u, v) (for simplicity assume
bodyText ||| there is only one such link) as (t, d), where d is the DOM
bodyText ||| offset calculated above. This is the main set of features
bodyText ||| used by the apprentice. We shall see that the apprentice
bodyText ||| can learn to limit IdI to less than dmax = 5 in most cases,
bodyText ||| which reduces its vocabulary and saves time.
bodyText ||| A variety of other feature encodings suggest themselves.
bodyText ||| We are experimenting with some in ongoing work (§4),
bodyText ||| but decided against some others. For example, we do not
bodyText ||| expect gains from encoding specific HTML tag names owing
bodyText ||| to the diversity of authoring styles. Authors use <div>,
bodyText ||| <span>, <layer> and nested tables for layout control in
bodyText ||| non-standard ways; these are best deflated to a nameless
bodyText ||| DOM node representation. Similar comments apply to
bodyText ||| HREF collections embedded in <ul>, <ol>, <td> and
bodyText ||| <dd>. Font and lower/upper case information is useful
bodyText ||| for search engines, but would make features even sparser
bodyText ||| for the apprentice. Our representation also flattens two-
bodyText ||| dimensional tables to their “row-major” representation.
bodyText ||| The features we ignore are definitely crucial for other
bodyText ||| applications, such as information extraction. We did not
bodyText ||| see any cases where this sloppiness led to a large loss rate.
bodyText ||| We would be surprised to see tables where relevant links
bodyText ||| occurred in the third column and irrelevant links in the fifth,
bodyText ||| or pages where they are rendered systematically in different
bodyText ||| fonts and colors, but are not otherwise demarcated by the
bodyText ||| DOM structure.
subsubsectionHeader ||| 2.2.3 Non-textual features
bodyText ||| Limiting d may lead us to miss features of u that may be
bodyText ||| useful at the whole-page level. One approach would be to use
bodyText ||| “d = oo” for all d larger in magnitude than some threshold.
bodyText ||| But this would make our apprentice as bulky and slow to
bodyText ||| train as the baseline learner.
bodyText ||| Instead, we use the baseline learner to abstract u for
bodyText ||| the apprentice. Specifically, we use a naive Bayes baseline
bodyText ||| learner to classify u, and use the vector of class probabilities
bodyText ||| returned as features for the apprentice. These features can
bodyText ||| help the apprentice discover patterns such as
bodyText ||| “Pages about /Recreation/Boating/Sailing often
bodyText ||| link to pages about /Sports/Canoe_and_Kayaking.”
bodyText ||| This also covers for the baseline classifier confusing between
bodyText ||| classes with related vocabulary, achieving an effect similar
bodyText ||| to context graphs.
bodyText ||| Another kind of feature can be derived from co-citation.
bodyText ||| If v1 has been fetched and found to be relevant and HREFS
bodyText ||| (u, v1) and (u, v2) are close to each other, v2 is likely to
bodyText ||| be relevant. Just like textual tokens were encoded as (t, d)
bodyText ||| pairs, we can represent co-citation features as (p, d), where
bodyText ||| p is a suitable representation of relevance.
bodyText ||| Many other features can be derived from the DOM tree
bodyText ||| and added to our feature pool. We discuss some options
bodyText ||| in §4. In our experience so far, we have found the (t, d)
bodyText ||| features to be most useful. For simplicity, we will limit our
bodyText ||| subsequent discussion to (t, d) features only.
subsectionHeader ||| 2.3 Choices of learning algorithms for the
subsectionHeader ||| apprentice
bodyText ||| Our feature set is thus an interesting mix of categorical,
bodyText ||| ordered and continuous features:
listItem ||| 9 Term tokens (t, d) have a categorical component t and
listItem ||| a discrete ordered component d (which we may like to
listItem ||| smooth somewhat). Term counts are discrete but can
listItem ||| be normalized to constant document length, resulting
listItem ||| in continuous attribute values.
listItem ||| 9 Class names are discrete and may be regarded as
bodyText ||| synthetic terms. The probabilities are continuous.
bodyText ||| The output we desire is an estimate of Pr(c* Iv), given all the
bodyText ||| observations about u and the neighborhood of (u, v) that
bodyText ||| we have discussed. Neural networks are a natural choice
