title ||| A Resilient Packet-Forwarding Scheme against Maliciously
bodyText ||| rity mechanisms should be provided against various attacks
bodyText ||| such as node capture, physical tampering, eavesdropping,
bodyText ||| denial of service, etc [23, 33, 38].
bodyText ||| Previous research efforts against outsider attacks in key-
bodyText ||| management schemes [4, 13, 32] and secure node-to-node
bodyText ||| communication mechanisms [24, 32] in sensor networks are
bodyText ||| well-defined. Those security protections, however, break
bodyText ||| down when even a single legitimate node is compromised.
bodyText ||| It turns out to be relatively easy to compromise a legiti-
bodyText ||| mate node [14], which is to extract all the security infor-
bodyText ||| mation from the captured node and to make malicious code
bodyText ||| running for the attacker’s purpose.
bodyText ||| Even a small number of compromised nodes can pose
bodyText ||| severe security threats on the entire part of the network,
bodyText ||| launching several attacks such as dropping legitimate re-
bodyText ||| ports, injecting bogus sensing reports, advertising inconsis-
bodyText ||| tent routing information, eavesdropping in-network commu-
bodyText ||| nication using exposed keys, etc. Such disruption by the
bodyText ||| insider attacks can be devastating unless proper security
bodyText ||| countermeasures against each type of attacks are provided.
bodyText ||| In reality, detecting all of the compromised nodes in the
bodyText ||| network is not always possible, so we should pursue grace-
bodyText ||| ful degradation [35], with a small number of compromised
bodyText ||| nodes. The fundamental principle for defense against the
bodyText ||| insider attacks is to restrict the security impact of a node
bodyText ||| compromise as close to the vicinity of the compromised node
bodyText ||| as possible.
bodyText ||| When the attacker compromises a legitimate node, it may
bodyText ||| first try to replicate the captured node indefinitely with the
bodyText ||| same ID and spread them over the network. Against such
bodyText ||| attacks, a distributed detection mechanism (based on emer-
bodyText ||| gent properties [11]) has been proposed by Parno et al. [31].
bodyText ||| In addition, Newsome et al. [30] have presented the tech-
bodyText ||| niques that prevent the adversary from arbitrarily creating
bodyText ||| new IDs for nodes.
bodyText ||| Using cryptographic information obtained from a cap-
bodyText ||| tured node, attackers can establish pairwise keys with any
bodyText ||| legitimate nodes in order to eavesdrop communication any-
page ||| 59
bodyText ||| where in the network. Localized key-establishment scheme
bodyText ||| by Zhu et al. [46] is a good solution against such an in-
bodyText ||| sider attack. Since the scheme does not allow a cloned node
bodyText ||| (by inside-attackers) to establish pairwise keys with any le-
bodyText ||| gitimate nodes except the neighbors of the compromised
bodyText ||| nodes, the cryptographic keys extracted from the compro-
bodyText ||| mised node are of no use for attackers.
bodyText ||| Compromised nodes can also inject false sensing reports
bodyText ||| to the network (i.e. report fabrication attacks [39]), which
bodyText ||| causes false alarms at the base station or the aggregation
bodyText ||| result to far deviate from the true measurement. Proposed
bodyText ||| en-route filtering mechanisms [8, 39, 41, 44, 47] that de-
bodyText ||| tect and drop such false reports effectively limit the impact
bodyText ||| of this type of attacks. Also, proposed secure aggregation
bodyText ||| protocols [34, 40] have addressed the problem of false data
bodyText ||| injection, and they ensure that the aggregated result is a
bodyText ||| good approximation to the true value in the presence of a
bodyText ||| small number of compromised nodes.
bodyText ||| Advertising inconsistent routing information by compro-
bodyText ||| mised nodes can disrupt the whole network topology. Hu et
bodyText ||| al. [19, 20] have proposed SEAD, a secure ad-hoc network
bodyText ||| routing protocol that uses efficient one-way hash functions
bodyText ||| to prevent any inside attackers from injecting inconsistent
bodyText ||| route updates. A few secure routing protocols [6, 27] in sen-
bodyText ||| sor networks have been proposed to detect and exclude the
bodyText ||| compromised nodes injecting inconsistent route updates.
bodyText ||| Compromised nodes also can silently drop legitimate re-
bodyText ||| ports (i.e. selective forwarding attacks [23]), instead of for-
bodyText ||| warding them to the next-hop toward the base station. Since
bodyText ||| data reports are delivered over multihop wireless paths to
bodyText ||| the base station, even a small number of strategically-placed
bodyText ||| packet-dropping nodes can deteriorate the network through-
bodyText ||| put significantly. In order to bypass such nodes, most work
bodyText ||| on secure routing and reliable delivery in sensor networks re-
bodyText ||| lies on multipath forwarding scheme [5, 6, 7, 10], or interleaved-
bodyText ||| mesh forwarding scheme [26, 29, 39, 42].
bodyText ||| Among the insider attacks described above, this paper fo-
bodyText ||| cuses on defense against compromised nodes’ dropping of le-
bodyText ||| gitimate reports and we present a resilient packet-forwarding
bodyText ||| scheme using Neighbor Watch System (NWS) against ma-
bodyText ||| liciously packet-dropping nodes in sensor networks. We in-
bodyText ||| vestigate the misbehavior of a maliciously packet-dropping
bodyText ||| node and show that an acknowledgement (ACK) that its
bodyText ||| packets were correctly received at the next-hop node does
bodyText ||| not guarantee reliable delivery from the security perspective.
bodyText ||| NWS is specifically designed for hop-by-hop reliable de-
bodyText ||| livery in face of malicious nodes that drop relaying packets,
bodyText ||| as well as faulty nodes that fail to relay packets. Unlike pre-
bodyText ||| vious work [10, 29, 42] with multipath data forwarding, our
bodyText ||| scheme basically employs single-path data forwarding, which
bodyText ||| consumes less power than multipath schemes. As the packet
bodyText ||| is forwarded along the single-path toward the base station,
bodyText ||| our scheme, however, converts into multipath data forward-
bodyText ||| ing at the location where NWS detects relaying nodes’ mis-
bodyText ||| behavior.
bodyText ||| NWS exploits the dense deployment of large-scale static
bodyText ||| sensor networks and the broadcast nature of communication
bodyText ||| pattern to overhear neighbors’ communication for free.
bodyText ||| The contribution of this paper is two-fold. First, we in-
bodyText ||| vestigate the misbehavior of a maliciously packet-dropping
bodyText ||| node and propose a resilient packet-forwarding scheme, which
bodyText ||| basically employs single-path data forwarding, in face of
bodyText ||| such nodes, as well as faulty nodes. Second, our scheme
bodyText ||| can work with any existing routing protocols. Since it is
bodyText ||| designed not for securing specific protocols but for universal
bodyText ||| protocols, it can be applied to any existing routing protocols
bodyText ||| as a security complement.
bodyText ||| The rest of paper is organized as follows. Background is
bodyText ||| given in Section 2. We present our resilient packet-forwarding
bodyText ||| scheme in Section 3. An evaluation of the scheme is given
bodyText ||| and discussed in Section 4. We present conclusions and fu-
bodyText ||| ture work in Section 5.
sectionHeader ||| 2. BACKGROUND
sectionHeader ||| 2.1 Network Model
bodyText ||| Sensor networks typically comprise one or multiple base
bodyText ||| stations and hundreds or thousands of inexpensive, small,
bodyText ||| static, and resource-constrained nodes scattered over a wide
bodyText ||| area. An inexpensive sensor node cannot afford tamper-
bodyText ||| resistant packaging. We assume that a large number of sen-
bodyText ||| sor nodes are deployed in high density over a vast field, such
bodyText ||| that the expected degree of a node is high; each sensor has
bodyText ||| multiple neighbors within its communication range. Sensing
bodyText ||| data or aggregated data are sent along the multihop route
bodyText ||| to the base station. We assume that each sensor node has
bodyText ||| a constant transmission range, and communication links are
bodyText ||| bidirectional.
bodyText ||| Our sensor network model employs a key-establishment
bodyText ||| scheme that extends the one in LEAP [46] where the im-
bodyText ||| pact of a node compromise is localized in the immediate
bodyText ||| neighborhood of the compromised node, and our scheme is
bodyText ||| based on it. To evolve from LEAP, we will describe it briefly
bodyText ||| in Section 2.4.
subsectionHeader ||| 2.2 Threat Model
bodyText ||| The attacks launched from outsiders hardly cause much
bodyText ||| damage to the network, since the rouge node, which does not
bodyText ||| possesses the legitimate credentials (e.g. the predistributed
bodyText ||| key ring from the key pool [13]), fails to participate in the
bodyText ||| network. On the other hand, there may be multiple attacks
bodyText ||| from insiders (e.g. dropping legitimate reports, injecting
bodyText ||| false sensing reports, advertising inconsistent route infor-
bodyText ||| mation, and eavesdropping in-network communication us-
bodyText ||| ing exposed keys, etc), and the combination of such attacks
bodyText ||| can lead to disruption of the whole network. Thus, proper
bodyText ||| security countermeasures (specifically designed to protect
bodyText ||| against each type of the attacks) should be provided.
bodyText ||| Among them, in this paper, we focus on defending against
bodyText ||| compromised nodes’ dropping of legitimate reports; Other
bodyText ||| attacks mentioned above are effectively dealt with by several
bodyText ||| proposed schemes as described in the previous section.
bodyText ||| We consider a packet-dropping node as not merely a faulty
bodyText ||| node, but also an arbitrarily malicious node. Some previous
bodyText ||| work [3, 29, 36] on reliable delivery uses an acknowledge-
bodyText ||| ment (ACK) that its packets were correctly received at the
bodyText ||| next-hop node, in order to find out unreliable links. How-
bodyText ||| ever, in the presence of maliciously packet-dropping nodes,
bodyText ||| simply receiving ACK from a next-hop node does not guar-
bodyText ||| antee that the packet will be really forwarded by the next-
bodyText ||| hop node. For example, node u forwards a packet to com-
bodyText ||| promised node v, and node u waits for ACK from node v.
bodyText ||| Node v sends back ACK to node u, and then node v silently
bodyText ||| drops the packet. This simple example shows that receiving
bodyText ||| ACK is not enough for reliable delivery in face of maliciously
bodyText ||| packet-dropping nodes.
page ||| 60
bodyText ||| For more reliability, we should check whether the next-
bodyText ||| hop node really forwards the relaying packet to its proper
bodyText ||| next-hop node. Fortunately, due to the broadcast nature of
bodyText ||| communication pattern in sensor networks, we can overhear
bodyText ||| neighbors’ communication for free (for now per-link encryp-
bodyText ||| tion is ignored). After forwarding a packet to next-hop node
bodyText ||| v and buffering recently-sent packets, by listening in on node
bodyText ||| v’s traffic, we can tell whether node v really transmits the
bodyText ||| packet. Watchdog [28] mechanism (extension to DSR [22]),
bodyText ||| implicit ACK in M2 RC [29], and local monitoring in DI-
bodyText ||| CAS [25] detect misbehaving nodes in this way. However,
bodyText ||| this kind of simple overhearing schemes does not guarantee
bodyText ||| reliable delivery, either.
bodyText ||| With arbitrarily malicious nodes, we should be assured
bodyText ||| that the node, to which the next-hop node forwards the
bodyText ||| relaying packet, is really a neighbor of the next-hop node.
bodyText ||| For example, node u forwards a packet to compromised node
bodyText ||| v, and node u listens in on node v’s traffic to compare each
bodyText ||| overheard packet with the packet in the buffer. Node v
bodyText ||| transmits the relaying packet whose intended next-hop id
bodyText ||| marked with any id in the network such as x that is not a
bodyText ||| neighbor of v. Then node u overhears this packet from node
bodyText ||| v, and considers it forwarded correctly despite the fact that
bodyText ||| none actually receives the packet. The packet is eventually
bodyText ||| dropped without being detected. We refer to this attack as
bodyText ||| blind letter attack.
bodyText ||| We consider packet-dropping attacks to be addressed in
bodyText ||| this paper as ones ranging from the naive case (e.g. a faulty
bodyText ||| node) to the most malicious one (e.g. a node launching
bodyText ||| blind letter attack). We focus on developing a solution to
bodyText ||| such attacks.
subsectionHeader ||| 2.3 Notation
bodyText ||| We use the following notation throughout the paper:
listItem ||| •	u, v are principals, such as communicating nodes.
listItem ||| •	R.. is a random number generated by u.
listItem ||| •	fK is a family of pseudo-random function [12].
listItem ||| •MAC(K, M1 |M2) denotes the message authentication
listItem ||| code (MAC) of message - concatenation of M1 and M2,
listItem ||| with MAC key K.
subsectionHeader ||| 2.4 Key-Establishment Scheme in LEAP
bodyText ||| LEAP supports the establishment of four types of keys for
bodyText ||| each sensor node - an individual key shared with the base
bodyText ||| station, a pairwise key shared with its neighbor, a cluster
bodyText ||| key shared with its surrounding neighbors, and a group key
bodyText ||| shared by all the nodes in the networks.
bodyText ||| It assumes that the time interval Test for a newly deployed
bodyText ||| sensor node to complete the neighbor discovery phase (e.g.
bodyText ||| tens of seconds) is smaller than the time interval T.i. that is
bodyText ||| necessary for the attacker to compromise a legitimate node
bodyText ||| (i.e. T�i. &gt; Test). Some existing work [1, 39] has made
bodyText ||| similar assumptions, which are believed to be reasonable.
bodyText ||| The four steps for a newly added node u to establish a
bodyText ||| pairwise key with each of its neighbors are as follows:
listItem ||| 1. KEY PRE-dIStRIbUtIOn. Each node u is loaded with
listItem ||| a common initial key KI, and derives its master key
listItem ||| K.. = fKI (u).
listItem ||| 2. NEIghbOR DISCOVERY. Once deployed, node u sets
listItem ||| up a timer to fire after time T�i., broadcasts its id,
listItem ||| and waits for each neighbor v’s ACK. The ACK from
listItem ||| v is authenticated using the master key K, of node v.
listItem ||| Since node u knows KI, it can derive K, = fKI (v).
listItem ||| u−→∗: u,R...
listItem ||| v−→u: v, MAC(K,, R.. |v).
listItem ||| 3. PAIRWISE KEY EStAblIShmEnt. Node u computes its
listItem ||| pairwise key with v, K..,, as K.., = fKv (u). Node v
listItem ||| also computes K.., in the same way. K.., serves as
listItem ||| their pairwise key.
listItem ||| 4. KEY ERASURE. When its timer expires, node u erases
listItem ||| KI and all the master keys of its neighbors. Every
listItem ||| node, however, keeps its own master key, in order to
listItem ||| establish pairwise keys with later-deployed nodes.
bodyText ||| Once erasing KI, a node will not be able to establish a
bodyText ||| pairwise key with any other nodes that have also erased KI.
bodyText ||| Without KI, a cloned node (by an attacker compromising a
bodyText ||| legitimate node after T.i.) fails to establish pairwise keys
bodyText ||| with any nodes except the neighbors of the compromised
bodyText ||| node. In such a way, LEAP localizes the security impact of
bodyText ||| a node compromise.
sectionHeader ||| 3. A RESILIENT PACKET-FORWARDING
sectionHeader ||| SCHEME USING NEIGHBOR WATCH SYS-
sectionHeader ||| TEM
bodyText ||| In this section, we present our resilient packet-forwarding
bodyText ||| scheme using Neighbor Watch System (NWS). NWS works
bodyText ||| with the information provided by Neighbor List Verification
bodyText ||| (NLV) to be described in Section 3.2.
subsectionHeader ||| 3.1 Neighbor Watch System
bodyText ||| Our scheme seeks to achieve hop-by-hop reliable delivery
bodyText ||| in face of maliciously packet-dropping nodes, basically em-
bodyText ||| ploying single-path forwarding. To the best of our knowl-
bodyText ||| edge, proposed works so far rely on multipath forwarding
bodyText ||| or diffusion-based forwarding, exploiting a large number of
bodyText ||| nodes in order to deliver a single packet. ACK-based tech-
bodyText ||| nique is not a proper solution at all as explained in the
bodyText ||| previous section.
bodyText ||| With NWS, we can check whether the next-hop node re-
bodyText ||| ally forwards the relaying packet to the actual neighbor of
bodyText ||| the next-hop node. The basic idea of our scheme is as fol-
bodyText ||| lows:
listItem ||| 1. Neighbor List Verification. After deployment, dur-
listItem ||| ing neighbor discovery phase, every node u gets to
listItem ||| know of not only its immediate neighbors, but also the
listItem ||| neighbors’ respective neighbor lists (i.e. u’s neighbors’
listItem ||| neighbor lists). The lists are verified using Neighbor
listItem ||| List Verification to be described in Section 3.2. Every
listItem ||| node stores its neighbors’ neighbor lists in the neighbor
listItem ||| table.
listItem ||| 2. Packet Forwarding to Next-hop. If node u has
listItem ||| a packet to be relayed, it buffers the packet and for-
listItem ||| wards the packet (encrypted with cluster key of node
listItem ||| u so that neighbors of node u can overhear it) to its
listItem ||| next-hop node v. As in LEAP, a cluster key is a key
listItem ||| shared by a node and all its neighbors, for passive par-
listItem ||| ticipation.
page ||| 61
figureCaption ||| Figure 1: Neighbor Watch System. Sub-watch
figureCaption ||| nodes w and y, as well as primary-watch node u lis-
figureCaption ||| ten in on v’s traffic.
listItem ||| 3. Designation of Watch Nodes. Overhearing the
listItem ||| packet from node u to node v, among neighbors of
listItem ||| node u, the nodes that are also neighbors of node v (in
listItem ||| Figure 1, nodes w and y) are designated as sub-watch
listItem ||| nodes and store the packet in the buffer. Other nodes
listItem ||| (that are not neighbors of node v) discard the packet.
listItem ||| Node u itself is a primary-watch node. A primary-
listItem ||| watch node knows which nodes are sub-watch nodes,
listItem ||| since every node has the knowledge of not only its
listItem ||| neighbors but also their respective neighbor lists.
listItem ||| 4. Neighbor Watch by Sub-Watch Node. Sub-watch
listItem ||| nodes w and y listen in on node v’s traffic to compare
listItem ||| each overheard packet with the packet in the buffer.
listItem ||| To defend against blind letter attack, each of them
listItem ||| also checks whether the packet’s intended next-hop is
listItem ||| a verified neighbor of node v, by looking up the neigh-
listItem ||| bor table. If all correct, the packet in the buffer is
listItem ||| removed and the role of the sub-watch node is over.
listItem ||| If the packet has remained in the buffer for longer
listItem ||| than a certain timeout, sub-watch nodes w and y for-
listItem ||| ward the packet (encrypted with their respective clus-
listItem ||| ter keys) to their respective next-hop nodes other than
listItem ||| node v. Then the role of a sub-watch node is over (each
listItem ||| of them is now designated as a primary-watch node for
listItem ||| the packet it has forwarded).
listItem ||| 5. Neighbor Watch by Primary-Watch Node. Primary-
listItem ||| watch node u does the same job as sub-watch nodes.
bodyText ||| The only difference, however, is that it listens in on
bodyText ||| not only node v’s traffic, but also sub-watch nodes w’s
bodyText ||| and y’s. If the packet is correctly forwarded on by at
bodyText ||| least one of them (nodes v, w, or y), primary-watch
bodyText ||| node u removes the packet in the buffer and the role
bodyText ||| of the primary-watch node is over.
bodyText ||| Otherwise, after a certain timeout, primary-watch node
bodyText ||| u forwards the packet (encrypted with its cluster key)
bodyText ||| to its next-hop other than node v.
bodyText ||| As the packet is forwarded on, this procedure (except for
bodyText ||| Neighbor List Verification) of NWS is performed at each
bodyText ||| hop so that hop-by-hop reliable delivery can be achieved
bodyText ||| with mainly depending on single-path forwarding. On the
bodyText ||| other hand, in the previous approaches [29, 39, 42], when
bodyText ||| forwarding a packet, a node broadcasts the packet with no
bodyText ||| designated next-hop, and all neighbors with smaller costs&apos;
bodyText ||| &apos;The cost at a node is the minimum energy overhead to
figureCaption ||| Figure 2: An example of our packet-forwarding
figureCaption ||| scheme. Only the nodes that relay the packet are
figureCaption ||| presented. With the help of sub-watch nodes (grey
figureCaption ||| ones), our scheme bypasses two packet-dropping
figureCaption ||| nodes en-route to the base station.
bodyText ||| or within a specific geographic region continue forwarding
bodyText ||| the packet anyway. For example, in Figure 1, if nodes v,
bodyText ||| w, and y have smaller costs than node u in the previous
bodyText ||| approaches, they all forward2 the packet from node u. In
bodyText ||| our scheme, however, sub-watch nodes w and y are just on
bodyText ||| watch in designated next-hop node v, instead of uncondi-
bodyText ||| tionally forwarding the packet. If no packet-dropping occurs
bodyText ||| en-route to the base station, the packet may be forwarded
bodyText ||| along single-path all the way through.
bodyText ||| However, a packet-dropping triggers the multipath for-
bodyText ||| warding for the dropped packet. If the designated next-hop
bodyText ||| node v in Figure 1 has not forwarded the relaying packet to
bodyText ||| its certified neighbor by a certain timeout, sub-watch nodes
bodyText ||| w and y forward the packet to their respective next-hop.
bodyText ||| At the point, the packet is sent over multiple paths. Since
bodyText ||| the location where the packet-dropping occurs is likely in
bodyText ||| an unreliable region, this prompt reaction of the conver-
bodyText ||| sion to multipath forwarding augments the robustness in our
bodyText ||| scheme. The degree of multipath depends on the number of
bodyText ||| the sub-watch nodes. Figure 2 shows an example of our
bodyText ||| packet-forwarding scheme, bypassing two packet-dropping
bodyText ||| nodes en-route to the base station. If a node utilizes a cache
bodyText ||| [16, 21] for recently-received packets, it can suppress the
bodyText ||| same copy of previously-received one within a certain time-
bodyText ||| out, as nodes u and v in Figure 2.
bodyText ||| Our scheme requires that a relaying packet should be en-
bodyText ||| crypted with a cluster key of a forwarding node, in order
bodyText ||| that all its neighbors can decrypt and overhear it. In fact,
bodyText ||| per-link encryption provides better robustness to a node
bodyText ||| compromise, since a compromised node can decrypt only
bodyText ||| the packets addressed to it. Thus, there exists a tradeoff
bodyText ||| between resiliency against packet-dropping and robustness
bodyText ||| to a node compromise. However, encryption with a cluster
bodyText ||| key provides an intermediate level of robustness to a node
bodyText ||| compromise [24] (a compromised node can overhear only
bodyText ||| its immediate neighborhood), and also supports local broad-
bodyText ||| cast (i.e. resiliency against packet-dropping), so that we can
bodyText ||| achieve graceful degradation in face of compromised nodes.
bodyText ||| forward a packet from this node to the base station.
footnote ||| 2It is the broadcast transmission with no designated next-
footnote ||| hop, and, if needed, the packet should be encrypted with a
footnote ||| cluster key in order for all neighbors to overhear it.
figure ||| u
figure ||| y
figure ||| v
figure ||| w
figure ||| Base
figure ||| Station
figure ||| v
figure ||| u
page ||| 62
bodyText ||| To make our scheme work (against blind letter attack), we
bodyText ||| must address the problem of how a node proves that it re-
bodyText ||| ally has the claimed neighbors. It is the identical problem of
bodyText ||| how a node verifies the existence of its neighbors’ neighbors.
bodyText ||| Apparently, a node has the knowledge of its direct neigh-
bodyText ||| bors by neighbor discovery and pairwise key establishment
bodyText ||| phases. However, in the case of two-hop away neighbors,
bodyText ||| as in Figure 1, malicious node v can inform its neighbor u
bodyText ||| that it also has neighbor node x (any possible id in the net-
bodyText ||| work) which in fact is not a neighbor of node v. Node u has
bodyText ||| to believe it, since node x is not a direct neighbor of node
bodyText ||| u, and only the node v itself knows its actual surrounding
bodyText ||| neighbors. Then, how do we verify the neighbors’ neigh-
bodyText ||| bors? The answer to this critical question is described in
bodyText ||| the next subsection.
subsectionHeader ||| 3.2 Neighbor List Verification
bodyText ||| To verify neighbors’ neighbors, we present Neighbor List
bodyText ||| Verification (NLV) which extends the pairwise key estab-
bodyText ||| lishment in LEAP. During neighbor discovery in LEAP, two
bodyText ||| messages are exchanged between neighbors to identify each
bodyText ||| other. On the other hand, NLV adopts three-way handshak-
bodyText ||| ing neighbor discovery, in order to identify not only com-
bodyText ||| municating parties but also their respective neighbors.
bodyText ||| NLV has two cases of neighbor discovery. One is that
bodyText ||| neighbor discovery between two nodes that are both still
bodyText ||| within the initial Tmin3 (referred as pure nodes). The other
bodyText ||| is that neighbor discovery between a newly-deployed node
bodyText ||| within the initial Tmin and an existing node over the initial
bodyText ||| Tmin (referred as an adult node).
bodyText ||| Neighbor Discovery between Pure Nodes. Neighbor
bodyText ||| list verification process between pure nodes is quite simple.
bodyText ||| If a pure node broadcasts its neighbor list before the elapse of
bodyText ||| its initial Tmin, we can accept the list as verifiable. Thus, the
bodyText ||| key point here is to keep track of each other’s Tmin, and to
bodyText ||| make sure that both broadcast their respective neighbor lists
bodyText ||| before their respective Tmin. The following shows the three-
bodyText ||| way handshaking neighbor discovery between pure node u
bodyText ||| and v:
figure ||| u----+*: u,Ru.
figure ||| v ----+u : �v, Tv, �Rv ,  MAC(Kv, Ru J Ku JMv).
figure ||| M„
figure ||| u----+v: u,Tu , MAC(Kuv, RvJMu).
figure ||| M.
bodyText ||| where Tv and Tu are the amount of time remaining until
bodyText ||| Tmin of v and Tmin of u, respectively. Once deployed, node
bodyText ||| u sets up a timer to fire after time Tmin. Then, it broadcasts
bodyText ||| its id, and waits for each neighbor v’s ACK. The ACK from
bodyText ||| every neighbor v is authenticated using the master key Kv of
bodyText ||| node v. Since node u knows KI4, it can derive Kv = fKI (v).
bodyText ||| The ACK from node v contains Tv, the amount of time
bodyText ||| remaining until Tmin of node v. If Tv is a non-zero value,
bodyText ||| node v claims to be a pure node. Ku in MAC proves node
bodyText ||| v to be a pure node, since pure node v should know KI
bodyText ||| and derive Ku = fKI (u). Node u records ˇTv (Tv added
footnote ||| 3Tmin is the time interval, necessary for the attacker to com-
footnote ||| promise a legitimate node as in LEAP [46].
footnote ||| 4Each node u is loaded with a common initial key KI, and
footnote ||| derives its master key Ku = fKI (u). After time Tmin, node
footnote ||| u erases KI and all the master keys of its neighbors.
figureCaption ||| Figure 3: Neighbor Discovery between Pure node x
figureCaption ||| and Adult node u. Grey and white nodes represent
figureCaption ||| adult and pure nodes, respectively.
bodyText ||| to the current time of node u) in the entry for node v in
bodyText ||| the neighbor table. Node u computes its pairwise key with
bodyText ||| v, Kuv = fK„ (u).5 Node u also generates MAC(Kv, v Ju)
bodyText ||| (which means that v certifies u as an immediate neighbor),
bodyText ||| and stores it as a certificate.
bodyText ||| The ACK from node u also contains Tu, the amount of
bodyText ||| time remaining until Tmin of u. This ACK is authenticated
bodyText ||| using their pairwise key Kuv, which proves node u a pure
bodyText ||| node and u’s identity. Node v then records ˇTu (Tu added
bodyText ||| to the current time of v) in the entry for u in the neighbor
bodyText ||| table. It also generates MAC(Ku, uJv) and stores it as a
bodyText ||| certificate. Then, the three-way handshaking is done.
bodyText ||| Every pure node u broadcasts its neighbor list just prior
bodyText ||| to Tmin of u. Each receiving neighbor v checks whether the
bodyText ||| receiving time at v is prior to ˇTu in the neighbor table. If
bodyText ||| yes, the neighbor list of u is now certified by each neighbor v.
bodyText ||| Neighbor Discovery between A Pure Node and An
bodyText ||| Adult node. After most nodes have completed bootstrap-
bodyText ||| ping phase, new nodes can be added in the network. Con-
bodyText ||| sider Figure 3. The issue here is how adult node u can as-
bodyText ||| sure its existing neighbors (v and w) of the existence of its
bodyText ||| newly-added neighbor x. This is a different situation from
bodyText ||| the above neighbor list verification case between two pure
bodyText ||| nodes. Thus, the messages exchanged during the three-way
bodyText ||| handshaking are somewhat different in this case. The fol-
bodyText ||| lowing shows the three-way handshaking neighbor discovery
bodyText ||| between pure node x and adult node u:
equation ||| x----+ * :	x, Rx.
equation ||| , MAC(Kxu, Ru JMx).
bodyText ||| Newly-added node x sets up a timer to fire after time Tmin.
bodyText ||| Then, it broadcasts its id, and waits for each neighbor u’s
footnote ||| 5Node v also computes Kuv in the same way. Kuv serves as
footnote ||| their pairwise key.
equation ||| r
equation ||| t
equation ||| z
equation ||| v
equation ||| w
equation ||| u
equation ||| x
equation ||| q
equation ||| certificate ��	�
equation ||| certificate ��	�
equation ||| u----+ x : u, Tu, Ru, v,	MAC(Kv, vJu), w, MAC(Kw, wJu)
equation ||| 	�	��	�
equation ||| M.
equation ||| , MAC(Ku, Rx JMu).
equation ||| x----+u:	certificate ��	�	one—time cert. �	one—time cert.
equation ||| 			^ �
equation ||| MAC(Kx, xJu), v, MAC(Kv, xJu), w, MAC(Kw, xJu)
equation ||| �	��	�
equation ||| Ms
equation ||| x, Tx,
page ||| 63
bodyText ||| ACK. The ACK from every neighbor u is authenticated us-
bodyText ||| ing the master key Ku of node u. Since node x knows KI,
bodyText ||| it can derive Ku = fKI (u). The ACK from node u contains
bodyText ||| Tu, the amount of time remaining until Tmin of u. If Tu is
bodyText ||| zero, node u is an adult node that may already have mul-
bodyText ||| tiple neighbors as in Figure 3. Node u reports its certified
