C. . C C. C. C. . C. C. C. c singleCap nonNum 0 no no no no no no possibleEditors 5 stopPunct editor
Shaw, , S Sh Sha Shaw , w, aw, haw, shaw InitCap nonNum 21 maleName no lastName no placeName no possibleEditors 6 contPunct editor
and a a an and and d nd and and and others nonNum 0 no no no no no no possibleEditors 6 others editor
T. . T T. T. T. . T. T. T. t singleCap nonNum 0 no no no no no no possibleEditors 6 stopPunct editor
Denvir, , D De Den Denv , r, ir, vir, denvir InitCap nonNum 0 no no no no no no possibleEditors 7 contPunct editor
editors, , e ed edi edit , s, rs, ors, editors others nonNum 0 no no no no no no possibleEditors 7 contPunct editor
Proc. . P Pr Pro Proc . c. oc. roc. proc InitCap nonNum 0 no no no no no no possibleEditors 7 stopPunct booktitle
5th. . 5 5t 5th 5th. . h. th. 5th. 5th others ordinal 0 no no no no no no possibleEditors 7 stopPunct booktitle
BCS-FACS A B BC BCS BCS- S CS ACS FACS bcsfacs AllCap nonNum 0 no no no no no no possibleEditors 8 others booktitle
Refinement a R Re Ref Refi t nt ent ment refinement InitCap nonNum 0 no no no no no no possibleEditors 8 others booktitle
Workshop, , W Wo Wor Work , p, op, hop, workshop InitCap nonNum 0 no no no no no no possibleEditors 8 contPunct booktitle
1992. . 1 19 199 1992 . 2. 92. 992. 1992 others year 0 no no no no no no possibleEditors 9 stopPunct date

M. . M M. M. M. . M. M. M. m singleCap nonNum 0 no no no no no no noEditors 0 stopPunct author
Kitsuregawa, , K Ki Kit Kits , a, wa, awa, kitsuregawa InitCap nonNum 0 no no no no no no noEditors 0 contPunct author
H. . H H. H. H. . H. H. H. h singleCap nonNum 0 no no no no no no noEditors 0 stopPunct author
Tanaka, , T Ta Tan Tana , a, ka, aka, tanaka InitCap nonNum 4 no no lastName no no no noEditors 1 contPunct author
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 1 others author
T. . T T. T. T. . T. T. T. t singleCap nonNum 0 no no no no no no noEditors 1 stopPunct author
Moto-oka. . M Mo Mot Moto . a. ka. oka. motooka InitCap nonNum 0 no no no no no no noEditors 2 stopPunct author
Application a A Ap App Appl n on ion tion application InitCap nonNum 0 no no no no no no noEditors 2 others title
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 3 others title
hash a h ha has hash h sh ash hash hash others nonNum 4 no no lastName no no no noEditors 3 others title
to a t to to to o to to to to others nonNum 36 no no lastName no no publisherName noEditors 3 others title
data a d da dat data a ta ata data data others nonNum 0 no no no no no no noEditors 4 others title
base a b ba bas base e se ase base base others nonNum 5 maleName no lastName no no no noEditors 4 others title
machine a m ma mac mach e ne ine hine machine others nonNum 0 no no no no no no noEditors 5 others title
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 5 others title
its a i it its its s ts its its its others nonNum 0 no no no no no no noEditors 5 others title
architecture. . a ar arc arch . e. re. ure. architecture others nonNum 0 no no no no no no noEditors 6 stopPunct title
New a N Ne New New w ew New New new InitCap nonNum 36 no no lastName no no publisherName noEditors 6 others journal
Generation a G Ge Gen Gene n on ion tion generation InitCap nonNum 0 no no no no no no noEditors 6 others journal
Computing, , C Co Com Comp , g, ng, ing, computing InitCap nonNum 0 no no no no no no noEditors 7 contPunct journal
1(1), , 1 1( 1(1 1(1) , ), 1), (1), 11 others possibleVol 0 no no no no no no noEditors 7 contPunct volume
1983. . 1 19 198 1983 . 3. 83. 983. 1983 others year 0 no no no no no no noEditors 8 stopPunct date

Alexander a A Al Ale Alex r er der nder alexander InitCap nonNum 5 maleName no lastName no no no noEditors 0 others author
Vrchoticky. . V Vr Vrc Vrch . y. ky. cky. vrchoticky InitCap nonNum 0 no no no no no no noEditors 0 stopPunct author
Modula/R A M Mo Mod Modu R /R a/R la/R modular InitCap nonNum 0 no no no no no no noEditors 0 others title
language a l la lan lang e ge age uage language others nonNum 0 no no no no no no noEditors 1 others title
definition. . d de def defi . n. on. ion. definition others nonNum 0 no no no no no no noEditors 1 stopPunct title
Technical a T Te Tec Tech l al cal ical technical InitCap nonNum 0 no no no no no no noEditors 1 others tech
Report a R Re Rep Repo t rt ort port report InitCap nonNum 0 no no no no no no noEditors 2 others tech
TU A T TU TU TU U TU TU TU tu AllCap nonNum 4 no no lastName no no no noEditors 2 others tech
Wien a W Wi Wie Wien n en ien Wien wien InitCap nonNum 20 no no lastName no placeName no noEditors 3 others tech
rr-02-92, , r rr rr- rr-0 , 2, 92, -92, rr0292 others possiblePage 0 no no no no no no noEditors 3 multiHyphen tech
version a v ve ver vers n on ion sion version others nonNum 0 no no no no no no noEditors 3 others tech
2.0, , 2 2. 2.0 2.0, , 0, .0, 2.0, 20 others 2dig 0 no no no no no no noEditors 4 contPunct tech
Dept. . D De Dep Dept . t. pt. ept. dept InitCap nonNum 0 no no no no no no noEditors 4 stopPunct institution
for a f fo for for r or for for for others nonNum 32 no no no no no publisherName noEditors 5 others institution
Real-Time a R Re Rea Real e me ime Time realtime InitCap nonNum 0 no no no no no no noEditors 5 others institution
Systems, , S Sy Sys Syst , s, ms, ems, systems InitCap nonNum 0 no no no no no no noEditors 5 contPunct institution
Technical a T Te Tec Tech l al cal ical technical InitCap nonNum 0 no no no no no no noEditors 6 others institution
University a U Un Uni Univ y ty ity sity university InitCap nonNum 48 no no no no placeName publisherName noEditors 6 others institution
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 6 others institution
Vienna, , V Vi Vie Vien , a, na, nna, vienna InitCap nonNum 16 no no no no placeName no noEditors 7 contPunct institution
May a M Ma May May y ay May May may InitCap nonNum 14 no femaleName lastName monthName no no noEditors 7 others date
1993. . 1 19 199 1993 . 3. 93. 993. 1993 others year 0 no no no no no no noEditors 8 stopPunct date

Marc a M Ma Mar Marc c rc arc Marc marc InitCap nonNum 5 maleName no lastName no no no noEditors 0 others author
Shapiro a S Sh Sha Shap o ro iro piro shapiro InitCap nonNum 4 no no lastName no no no noEditors 0 others author
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 0 others author
Susan a S Su Sus Susa n an san usan susan InitCap nonNum 6 no femaleName lastName no no no noEditors 1 others author
Horwitz. . H Ho Hor Horw . z. tz. itz. horwitz InitCap nonNum 4 no no lastName no no no noEditors 1 stopPunct author
Fast a F Fa Fas Fast t st ast Fast fast InitCap nonNum 4 no no lastName no no no noEditors 1 others title
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 2 others title
accurate a a ac acc accu e te ate rate accurate others nonNum 0 no no no no no no noEditors 2 others title
flow-insensitive a f fl flo flow e ve ive tive flowinsensitive others nonNum 0 no no no no no no noEditors 2 others title
points-to a p po poi poin o to -to s-to pointsto others nonNum 0 no no no no no no noEditors 3 others title
analysis. . a an ana anal . s. is. sis. analysis others nonNum 0 no no no no no no noEditors 3 stopPunct title
In a I In In In n In In In in InitCap nonNum 4 no no lastName no no no noEditors 4 others booktitle
Proceedings a P Pr Pro Proc s gs ngs ings proceedings InitCap nonNum 0 no no no no no no noEditors 4 others booktitle
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 4 others booktitle
the a t th the the e he the the the others nonNum 32 no no no no no publisherName noEditors 5 others booktitle
24th a 2 24 24t 24th h th 4th 24th 24th others ordinal 0 no no no no no no noEditors 5 others booktitle
Annual a A An Ann Annu l al ual nual annual InitCap nonNum 0 no no no no no no noEditors 5 others booktitle
ACM A A AC ACM ACM M CM ACM ACM acm AllCap nonNum 0 no no no no no no noEditors 6 others booktitle
Symposium a S Sy Sym Symp m um ium sium symposium InitCap nonNum 0 no no no no no no noEditors 6 others booktitle
on a o on on on n on on on on others nonNum 4 no no lastName no no no noEditors 6 others booktitle
Principles a P Pr Pri Prin s es les ples principles InitCap nonNum 0 no no no no no no noEditors 7 others booktitle
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 7 others booktitle
Programming a P Pr Pro Prog g ng ing ming programming InitCap nonNum 0 no no no no no no noEditors 8 others booktitle
Languages, , L La Lan Lang , s, es, ges, languages InitCap nonNum 0 no no no no no no noEditors 8 contPunct booktitle
January a J Ja Jan Janu y ry ary uary january InitCap nonNum 12 no no lastName monthName no no noEditors 8 others date
1997. . 1 19 199 1997 . 7. 97. 997. 1997 others year 0 no no no no no no noEditors 9 stopPunct date

W. . W W. W. W. . W. W. W. w singleCap nonNum 32 no no no no no publisherName noEditors 0 stopPunct author
Landi a L La Lan Land i di ndi andi landi InitCap nonNum 4 no no lastName no no no noEditors 0 others author
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 0 others author
B. . B B. B. B. . B. B. B. b singleCap nonNum 32 no no no no no publisherName noEditors 0 stopPunct author
G. . G G. G. G. . G. G. G. g singleCap nonNum 32 no no no no no publisherName noEditors 1 stopPunct author
Ryder. . R Ry Ryd Ryde . r. er. der. ryder InitCap nonNum 4 no no lastName no no no noEditors 1 stopPunct author
Aliasing a A Al Ali Alia g ng ing sing aliasing InitCap nonNum 0 no no no no no no noEditors 1 others title
with a w wi wit with h th ith with with others nonNum 0 no no no no no no noEditors 2 others title
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 2 others title
without a w wi wit with t ut out hout without others nonNum 0 no no no no no no noEditors 2 others title
pointers: : p po poi poin : s: rs: ers: pointers others nonNum 0 no no no no no no noEditors 3 contPunct title
A A A A A A A A A A a singleCap nonNum 32 no no no no no publisherName noEditors 3 others title
problem a p pr pro prob m em lem blem problem others nonNum 0 no no no no no no noEditors 3 others title
taxonomy. . t ta tax taxo . y. my. omy. taxonomy others nonNum 0 no no no no no no noEditors 4 stopPunct title
Center a C Ce Cen Cent r er ter nter center InitCap nonNum 20 no no lastName no placeName no noEditors 4 others institution
for a f fo for for r or for for for others nonNum 32 no no no no no publisherName noEditors 4 others institution
Computer a C Co Com Comp r er ter uter computer InitCap nonNum 0 no no no no no no noEditors 4 others institution
Aids a A Ai Aid Aids s ds ids Aids aids InitCap nonNum 0 no no no no no no noEditors 5 others institution
for a f fo for for r or for for for others nonNum 32 no no no no no publisherName noEditors 5 others institution
Industrial a I In Ind Indu l al ial rial industrial InitCap nonNum 0 no no no no no no noEditors 5 others institution
Productivity a P Pr Pro Prod y ty ity vity productivity InitCap nonNum 0 no no no no no no noEditors 6 others institution
Technical a T Te Tec Tech l al cal ical technical InitCap nonNum 0 no no no no no no noEditors 6 others tech
Report a R Re Rep Repo t rt ort port report InitCap nonNum 0 no no no no no no noEditors 6 others tech
CAIP-TR-125, , C CA CAI CAIP , 5, 25, 125, caiptr125 others hasDig 0 no no no no no no noEditors 7 multiHyphen tech
Rutgers a R Ru Rut Rutg s rs ers gers rutgers InitCap nonNum 4 no no lastName no no no noEditors 7 others institution
University, , U Un Uni Univ , y, ty, ity, university InitCap nonNum 48 no no no no placeName publisherName noEditors 7 contPunct institution
September a S Se Sep Sept r er ber mber september InitCap nonNum 8 no no no monthName no no noEditors 8 others date
1990. . 1 19 199 1990 . 0. 90. 990. 1990 others year 0 no no no no no no noEditors 8 stopPunct date

W. . W W. W. W. . W. W. W. w singleCap nonNum 32 no no no no no publisherName noEditors 0 stopPunct author
H. . H H. H. H. . H. H. H. h singleCap nonNum 0 no no no no no no noEditors 0 stopPunct author
Enright. . E En Enr Enri . t. ht. ght. enright InitCap nonNum 4 no no lastName no no no noEditors 0 stopPunct author
Improving a I Im Imp Impr g ng ing ving improving InitCap nonNum 0 no no no no no no noEditors 0 others title
the a t th the the e he the the the others nonNum 32 no no no no no publisherName noEditors 1 others title
efficiency a e ef eff effi y cy ncy ency efficiency others nonNum 0 no no no no no no noEditors 1 others title
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 1 others title
matrix a m ma mat matr x ix rix trix matrix others nonNum 0 no no no no no no noEditors 2 others title
operations a o op ope oper s ns ons ions operations others nonNum 0 no no no no no no noEditors 2 others title
in a i in in in n in in in in others nonNum 4 no no lastName no no no noEditors 2 others title
the a t th the the e he the the the others nonNum 32 no no no no no publisherName noEditors 3 others title
numerical a n nu num nume l al cal ical numerical others nonNum 0 no no no no no no noEditors 3 others title
solution a s so sol solu n on ion tion solution others nonNum 0 no no no no no no noEditors 3 others title
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 4 others title
stiff a s st sti stif f ff iff tiff stiff others nonNum 4 no no lastName no no no noEditors 4 others title
ordinary a o or ord ordi y ry ary nary ordinary others nonNum 0 no no no no no no noEditors 4 others title
differential a d di dif diff l al ial tial differential others nonNum 0 no no no no no no noEditors 5 others title
equations. . e eq equ equa . s. ns. ons. equations others nonNum 0 no no no no no no noEditors 5 stopPunct title
ACM A A AC ACM ACM M CM ACM ACM acm AllCap nonNum 0 no no no no no no noEditors 5 others journal
Trans. . T Tr Tra Tran . s. ns. ans. trans InitCap nonNum 0 no no no no no no noEditors 6 stopPunct journal
Math. . M Ma Mat Math . h. th. ath. math InitCap nonNum 4 no no lastName no no no noEditors 6 stopPunct journal
Softw., , S So Sof Soft , ., w., tw., softw InitCap nonNum 0 no no no no no no noEditors 6 contPunct journal
4(2), , 4 4( 4(2 4(2) , ), 2), (2), 42 others possibleVol 0 no no no no no no noEditors 7 contPunct volume
127-136, , 1 12 127 127- , 6, 36, 136, 127136 others possiblePage 0 no no no no no no noEditors 7 contPunct pages
June a J Ju Jun June e ne une June june InitCap nonNum 14 no femaleName lastName monthName no no noEditors 7 others date
1978. . 1 19 197 1978 . 8. 78. 978. 1978 others year 0 no no no no no no noEditors 8 stopPunct date

Gmytrasiewicz, , G Gm Gmy Gmyt , z, cz, icz, gmytrasiewicz InitCap nonNum 0 no no no no no no noEditors 0 contPunct author
P. . P P. P. P. . P. P. P. p singleCap nonNum 0 no no no no no no noEditors 0 stopPunct author
J., , J J. J., J., , ., J., J., j singleCap nonNum 4 no no lastName no no no noEditors 0 contPunct author
Durfee, , D Du Dur Durf , e, ee, fee, durfee InitCap nonNum 4 no no lastName no no no noEditors 0 contPunct author
E. . E E. E. E. . E. E. E. e singleCap nonNum 32 no no no no no publisherName noEditors 1 stopPunct author
H., , H H. H., H., , ., H., H., h singleCap nonNum 0 no no no no no no noEditors 1 contPunct author
& & & & & & & & & & empty AllCap nonNum 0 no no no no no no noEditors 1 others author
Wehe, , W We Weh Wehe , e, he, ehe, wehe InitCap nonNum 4 no no lastName no no no noEditors 1 contPunct author
D. . D D. D. D. . D. D. D. d singleCap nonNum 0 no no no no no no noEditors 2 stopPunct author
K. . K K. K. K. . K. K. K. k singleCap nonNum 0 no no no no no no noEditors 2 stopPunct author
(1991a). . ( (1 (19 (199 . ). a). 1a). 1991a others hasDig 0 no no no no no no noEditors 2 stopPunct date
A A A A A A A A A A a singleCap nonNum 32 no no no no no publisherName noEditors 2 others title
decision a d de dec deci n on ion sion decision others nonNum 0 no no no no no no noEditors 3 others title
theoretic a t th the theo c ic tic etic theoretic others nonNum 0 no no no no no no noEditors 3 others title
approach a a ap app appr h ch ach oach approach others nonNum 0 no no no no no no noEditors 3 others title
to a t to to to o to to to to others nonNum 36 no no lastName no no publisherName noEditors 4 others title
coordinating a c co coo coor g ng ing ting coordinating others nonNum 0 no no no no no no noEditors 4 others title
multiagent a m mu mul mult t nt ent gent multiagent others nonNum 0 no no no no no no noEditors 4 others title
interaction. . i in int inte . n. on. ion. interaction others nonNum 0 no no no no no no noEditors 4 stopPunct title
In a I In In In n In In In in InitCap nonNum 4 no no lastName no no no noEditors 5 others booktitle
Proceedings a P Pr Pro Proc s gs ngs ings proceedings InitCap nonNum 0 no no no no no no noEditors 5 others booktitle
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 5 others booktitle
the a t th the the e he the the the others nonNum 32 no no no no no publisherName noEditors 5 others booktitle
Twelfth a T Tw Twe Twel h th fth lfth twelfth InitCap nonNum 0 no no no no no no noEditors 6 others booktitle
International a I In Int Inte l al nal onal international InitCap nonNum 32 no no no no no publisherName noEditors 6 others booktitle
Joint a J Jo Joi Join t nt int oint joint InitCap nonNum 0 no no no no no no noEditors 6 others booktitle
Conference a C Co Con Conf e ce nce ence conference InitCap nonNum 0 no no no no no no noEditors 6 others booktitle
on a o on on on n on on on on others nonNum 4 no no lastName no no no noEditors 7 others booktitle
Artificial a A Ar Art Arti l al ial cial artificial InitCap nonNum 0 no no no no no no noEditors 7 others booktitle
Intelligence, , I In Int Inte , e, ce, nce, intelligence InitCap nonNum 0 no no no no no no noEditors 7 contPunct booktitle
pp. . p pp pp. pp. . p. pp. pp. pp others nonNum 0 no no no no no no noEditors 8 stopPunct pages
62-68 0 6 62 62- 62-6 8 68 -68 2-68 6268 others possiblePage 0 no no no no no no noEditors 8 others pages
Sydney, , S Sy Syd Sydn , y, ey, ney, sydney InitCap nonNum 23 maleName femaleName lastName no placeName no noEditors 8 contPunct location
Australia. . A Au Aus Aust . a. ia. lia. australia InitCap nonNum 48 no no no no placeName publisherName noEditors 8 stopPunct location

A. . A A. A. A. . A. A. A. a singleCap nonNum 32 no no no no no publisherName noEditors 0 stopPunct author
Bookstein a B Bo Boo Book n in ein tein bookstein InitCap nonNum 0 no no no no no no noEditors 0 others author
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 0 others author
S. . S S. S. S. . S. S. S. s singleCap nonNum 32 no no no no no publisherName noEditors 0 stopPunct author
T. . T T. T. T. . T. T. T. t singleCap nonNum 0 no no no no no no noEditors 1 stopPunct author
Klein, , K Kl Kle Klei , n, in, ein, klein InitCap nonNum 4 no no lastName no no no noEditors 1 contPunct author
Detecting a D De Det Dete g ng ing ting detecting InitCap nonNum 0 no no no no no no noEditors 1 others title
content-bearing a c co con cont g ng ing ring contentbearing others nonNum 0 no no no no no no noEditors 2 others title
words a w wo wor word s ds rds ords words others nonNum 0 no no no no no no noEditors 2 others title
by a b by by by y by by by by others nonNum 0 no no no no no no noEditors 2 others title
serial a s se ser seri l al ial rial serial others nonNum 0 no no no no no no noEditors 3 others title
clustering, , c cl clu clus , g, ng, ing, clustering others nonNum 0 no no no no no no noEditors 3 contPunct title
Proceedings a P Pr Pro Proc s gs ngs ings proceedings InitCap nonNum 0 no no no no no no noEditors 3 others booktitle
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 3 others booktitle
the a t th the the e he the the the others nonNum 32 no no no no no publisherName noEditors 4 others booktitle
Nineteenth a N Ni Nin Nine h th nth enth nineteenth InitCap nonNum 0 no no no no no no noEditors 4 others booktitle
Annual a A An Ann Annu l al ual nual annual InitCap nonNum 0 no no no no no no noEditors 4 others booktitle
International a I In Int Inte l al nal onal international InitCap nonNum 32 no no no no no publisherName noEditors 5 others booktitle
ACM A A AC ACM ACM M CM ACM ACM acm AllCap nonNum 0 no no no no no no noEditors 5 others booktitle
SIGIR A S SI SIG SIGI R IR GIR IGIR sigir AllCap nonNum 0 no no no no no no noEditors 5 others booktitle
Conference a C Co Con Conf e ce nce ence conference InitCap nonNum 0 no no no no no no noEditors 6 others booktitle
on a o on on on n on on on on others nonNum 4 no no lastName no no no noEditors 6 others booktitle
Research a R Re Res Rese h ch rch arch research InitCap nonNum 0 no no no no no no noEditors 6 others booktitle
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 6 others booktitle
Development a D De Dev Deve t nt ent ment development InitCap nonNum 0 no no no no no no noEditors 7 others booktitle
in a i in in in n in in in in others nonNum 4 no no lastName no no no noEditors 7 others booktitle
Information a I In Inf Info n on ion tion information InitCap nonNum 0 no no no no no no noEditors 7 others booktitle
Retrieval, , R Re Ret Retr , l, al, val, retrieval InitCap nonNum 0 no no no no no no noEditors 8 contPunct booktitle
pp. . p pp pp. pp. . p. pp. pp. pp others nonNum 0 no no no no no no noEditors 8 stopPunct pages
319327, , 3 31 319 3193 , 7, 27, 327, 319327 others 4+dig 0 no no no no no no noEditors 8 contPunct pages
1995. . 1 19 199 1995 . 5. 95. 995. 1995 others year 0 no no no no no no noEditors 9 stopPunct date

U. . U U. U. U. . U. U. U. u singleCap nonNum 0 no no no no no no noEditors 0 stopPunct author
Dayal, , D Da Day Daya , l, al, yal, dayal InitCap nonNum 4 no no lastName no no no noEditors 0 contPunct author
H. . H H. H. H. . H. H. H. h singleCap nonNum 0 no no no no no no noEditors 0 stopPunct author
Garcia-Molina, , G Ga Gar Garc , a, na, ina, garciamolina InitCap nonNum 0 no no no no no no noEditors 0 contPunct author
M. . M M. M. M. . M. M. M. m singleCap nonNum 0 no no no no no no noEditors 1 stopPunct author
Hsu, , H Hs Hsu Hsu, , u, su, Hsu, hsu InitCap nonNum 4 no no lastName no no no noEditors 1 contPunct author
B. . B B. B. B. . B. B. B. b singleCap nonNum 32 no no no no no publisherName noEditors 1 stopPunct author
Kao, , K Ka Kao Kao, , o, ao, Kao, kao InitCap nonNum 4 no no lastName no no no noEditors 1 contPunct author
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 2 others author
M.- - M M. M.- M.- - .- M.- M.- m singleCap nonNum 0 no no no no no no noEditors 2 contPunct author
C. . C C. C. C. . C. C. C. c singleCap nonNum 0 no no no no no no noEditors 2 stopPunct author
Shan. . S Sh Sha Shan . n. an. han. shan InitCap nonNum 20 no no lastName no placeName no noEditors 2 stopPunct author
Third a T Th Thi Thir d rd ird hird third InitCap nonNum 0 no no no no no no noEditors 3 others title
generation a g ge gen gene n on ion tion generation others nonNum 0 no no no no no no noEditors 3 others title
TP A T TP TP TP P TP TP TP tp AllCap nonNum 0 no no no no no no noEditors 3 others title
monitors: : m mo mon moni : s: rs: ors: monitors others nonNum 0 no no no no no no noEditors 4 contPunct title
A A A A A A A A A A a singleCap nonNum 32 no no no no no publisherName noEditors 4 others title
database a d da dat data e se ase base database others nonNum 0 no no no no no no noEditors 4 others title
challenge. . c ch cha chal . e. ge. nge. challenge others nonNum 0 no no no no no no noEditors 4 stopPunct title
In a I In In In n In In In in InitCap nonNum 4 no no lastName no no no noEditors 5 others booktitle
ACM A A AC ACM ACM M CM ACM ACM acm AllCap nonNum 0 no no no no no no noEditors 5 others booktitle
SIGMOD A S SI SIG SIGM D OD MOD GMOD sigmod AllCap nonNum 0 no no no no no no noEditors 5 others booktitle
Conference a C Co Con Conf e ce nce ence conference InitCap nonNum 0 no no no no no no noEditors 5 others booktitle
on a o on on on n on on on on others nonNum 4 no no lastName no no no noEditors 6 others booktitle
Management a M Ma Man Mana t nt ent ment management InitCap nonNum 0 no no no no no no noEditors 6 others booktitle
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 6 others booktitle
Data, , D Da Dat Data , a, ta, ata, data InitCap nonNum 0 no no no no no no noEditors 6 contPunct booktitle
pages a p pa pag page s es ges ages pages others nonNum 4 no no lastName no no no noEditors 7 others pages
393-397, , 3 39 393 393- , 7, 97, 397, 393397 others possiblePage 0 no no no no no no noEditors 7 contPunct pages
Washington, , W Wa Was Wash , n, on, ton, washington InitCap nonNum 21 maleName no lastName no placeName no noEditors 7 contPunct location
D. . D D. D. D. . D. D. D. d singleCap nonNum 0 no no no no no no noEditors 8 stopPunct location
C., , C C. C., C., , ., C., C., c singleCap nonNum 0 no no no no no no noEditors 8 contPunct location
May a M Ma May May y ay May May may InitCap nonNum 14 no femaleName lastName monthName no no noEditors 8 others date
1993. . 1 19 199 1993 . 3. 93. 993. 1993 others year 0 no no no no no no noEditors 8 stopPunct date

C. . C C. C. C. . C. C. C. c singleCap nonNum 0 no no no no no no noEditors 0 stopPunct author
Qiao a Q Qi Qia Qiao o ao iao Qiao qiao InitCap nonNum 4 no no lastName no no no noEditors 0 others author
and a a an and and d nd and and and others nonNum 0 no no no no no no noEditors 0 others author
R. . R R. R. R. . R. R. R. r singleCap nonNum 0 no no no no no no noEditors 1 stopPunct author
Melhem, , M Me Mel Melh , m, em, hem, melhem InitCap nonNum 0 no no no no no no noEditors 1 contPunct author
"Reducing a " "R "Re "Red g ng ing cing reducing InitCap nonNum 0 no no no no no no noEditors 2 leadQuote title
Communication a C Co Com Comm n on ion tion communication InitCap nonNum 0 no no no no no no noEditors 2 others title
Latency a L La Lat Late y cy ncy ency latency InitCap nonNum 0 no no no no no no noEditors 3 others title
with a w wi wit with h th ith with with others nonNum 0 no no no no no no noEditors 3 others title
Path a P Pa Pat Path h th ath Path path InitCap nonNum 0 no no no no no no noEditors 4 others title
Multiplexing a M Mu Mul Mult g ng ing xing multiplexing InitCap nonNum 0 no no no no no no noEditors 4 others title
in a i in in in n in in in in others nonNum 4 no no lastName no no no noEditors 4 others title
Optically a O Op Opt Opti y ly lly ally optically InitCap nonNum 0 no no no no no no noEditors 5 others title
Interconnected a I In Int Inte d ed ted cted interconnected InitCap nonNum 0 no no no no no no noEditors 5 others title
Multiprocessor a M Mu Mul Mult r or sor ssor multiprocessor InitCap nonNum 0 no no no no no no noEditors 6 others title
Systems", , S Sy Sys Syst , ", s", ms", systems InitCap nonNum 0 no no no no no no noEditors 6 endQuote title
Proc. . P Pr Pro Proc . c. oc. roc. proc InitCap nonNum 0 no no no no no no noEditors 7 stopPunct booktitle
of a o of of of f of of of of others nonNum 48 no no no no placeName publisherName noEditors 7 others booktitle
HPCA-1, , H HP HPC HPCA , 1, -1, A-1, hpca1 others hasDig 0 no no no no no no noEditors 8 contPunct booktitle
1995. . 1 19 199 1995 . 5. 95. 995. 1995 others year 0 no no no no no no noEditors 8 stopPunct date

Ramadge, , R Ra Ram Rama , e, ge, dge, ramadge InitCap nonNum 0 no no no no no no noEditors 0 contPunct author
P., , P P. P., P., , ., P., P., p singleCap nonNum 0 no no no no no no noEditors 0 contPunct author
& & & & & & & & & & empty AllCap nonNum 0 no no no no no no noEditors 0 others author
Wonham, , W Wo Won Wonh , m, am, ham, wonham InitCap nonNum 0 no no no no no no noEditors 1 contPunct author
