title ||| Brutus: A Semantic Role Labeling System Incorporating CCG, CFG, and
bodyText ||| PARG feature (Gildea and Hockenmaier, 2003) and
bodyText ||| the argument mapping feature. Removing them has
bodyText ||| a strong effect on accuracy when labeling treebank
bodyText ||| parses, as shown in our feature ablation results in ta-
bodyText ||| ble 4. We do not report results including the Argu-
bodyText ||| ment Mapping feature but not the PARG feature, be-
bodyText ||| cause some predicate-argument relation information is
bodyText ||| assumed in generating the Argument Mapping feature.
table ||| 	P	R	F
table ||| +PARG +AM	88.77%	86.15%	87.44%
table ||| +PARG -AM	88.42%	85.78%	87.08%
table ||| -PARG -AM	87.92%	84.65%	86.26%
tableCaption ||| Table 4: The effects of removing key features from the
tableCaption ||| system on gold standard parses.
bodyText ||| The same is true for automatic parses, as shown in ta-
bodyText ||| ble 5.
sectionHeader ||| 11 Error Analysis
bodyText ||| Many of the errors made by the Brutus system can be
bodyText ||| traced directly to erroneous parses, either in the auto-
bodyText ||| matic or treebank parse. In some cases, PP attachment
page ||| 42
figure ||| with	even brief exposures	causing	symptoms
figure ||| (((vp\vp)/vp[ng])/np	n/n	n/n	n	(s[ng]\np)/np	np
figure ||| 	ï¿½ 	ï¿½
figure ||| n
figure ||| s[ng]\np
figure ||| n
figure ||| np â cause.Arg0
figure ||| 		ï¿½
figure ||| (vp\vp)/vp[ng]			ï¿½
figure ||| 	vp\vp
figureCaption ||| Figure 6: In this case, with is the head of with even brief exposures, so the role is correctly marked on even brief
figureCaption ||| exposures (based on wsj 0003.2).
table ||| ï¿½
table ||| 	P	R	F
table ||| +PARG +AM	74.14%	62.09%	67.58%
table ||| +PARG -AM	70.02%	64.68%	67.25%
table ||| -PARG -AM	73.90%	61.15%	66.93%
table ||| a form	of	asbestos used to make filters
table ||| np	(np\np)/np	np	np\np
table ||| 		ï¿½
table ||| 		ï¿½
table ||| 	np\np
table ||| 	np â Arg1
table ||| 	ï¿½
table ||| np
tableCaption ||| Table 5: The effects of removing key features from the
tableCaption ||| system on automatic parses.
bodyText ||| ambiguities cause a role to be marked too high in the
bodyText ||| derivation. In the sentence the company stopped using
bodyText ||| asbestos in 1956 (figure 7), the correct Arg 1 of stopped
bodyText ||| is using asbestos. However, because in 1956 is erro-
bodyText ||| neously modifying the verb using rather than the verb
bodyText ||| stopped in the treebank parse, the system trusts the syn-
bodyText ||| tactic analysis and places Arg1 of stopped on using as-
bodyText ||| bestos in 1956. This particular problem is caused by an
bodyText ||| annotation error in the original Penn Treebank that was
bodyText ||| carried through in the conversion to CCGbank.
bodyText ||| Another common error deals with genitive construc-
bodyText ||| tions. Consider the phrase a form of asbestos used
bodyText ||| to make filters. By CCG combinatorics, the relative
bodyText ||| clause could either attach to asbestos or to a form of
bodyText ||| asbestos. The gold standard CCG parse attaches the
bodyText ||| relative clause to a form of asbestos (figure 8). Prop-
bodyText ||| bank agrees with this analysis, assigning Arg1 of use
bodyText ||| to the constituent a form of asbestos. The automatic
bodyText ||| parser, however, attaches the relative clause low â to
bodyText ||| asbestos (figure 9). When the system is given the au-
bodyText ||| tomatically generated parse, it incorrectly assigns the
bodyText ||| semantic role to asbestos. In cases where the parser at-
bodyText ||| taches the relative clause correctly, the system is much
bodyText ||| more likely to assign the role correctly.
bodyText ||| Problems with relative clause attachment to genitives
bodyText ||| are not limited to automatic parses â errors in gold-
bodyText ||| standard treebank parses cause similar problems when
bodyText ||| Treebank parses disagree with Propbank annotator in-
bodyText ||| tuitions. In the phrase a group of workers exposed to
bodyText ||| asbestos (figure 10), the gold standard CCG parse at-
bodyText ||| taches the relative clause to workers. Propbank, how-
bodyText ||| ever, annotates a group of workers as Arg 1 of exposed,
bodyText ||| rather than following the parse and assigning the role
bodyText ||| only to workers. The system again follows the parse
bodyText ||| and incorrectly assigns the role to workers instead of a
bodyText ||| group of workers. Interestingly, the C&amp;C parser opts
bodyText ||| for high attachment in this instance, resulting in the
figureCaption ||| Figure 8: CCGbank gold-standard parse of a relative
figureCaption ||| clause attachment. The system correctly identifies a
figureCaption ||| form of asbestos as Arg1 of used. (wsj 0003.1)
figure ||| a form	of	asbestos used to make filters
figure ||| np	(np\np)/np np â Arg1	np\np
figure ||| ï¿½
figure ||| 	ï¿½
figure ||| np\np
figure ||| ï¿½
figureCaption ||| Figure 9: Automatic parse of the noun phrase in fig-
figureCaption ||| ure 8. Incorrect relative clause attachment causes the
figureCaption ||| misidentification of asbestos as a semantic role bearing
figureCaption ||| unit. (wsj 0003.1)
bodyText ||| correct prediction of a group of workers as Arg1 of ex-
bodyText ||| posed in the automatic parse.
sectionHeader ||| 12 Future Work
bodyText ||| As described in the error analysis section, a large num-
bodyText ||| ber of errors in the system are attributable to errors in
bodyText ||| the CCG derivation, either in the gold standard or in
bodyText ||| automatically generated parses. Potential future work
bodyText ||| may focus on developing an improved CCG parser us-
bodyText ||| ing the revised (syntactic) adjunct-argument distinc-
bodyText ||| tions (guided by the Propbank annotation) described in
bodyText ||| (Boxwell and White, 2008). This resource, together
bodyText ||| with the reasonable accuracy (,: 90%) with which ar-
bodyText ||| gument mappings can be predicted, suggests the possi-
bodyText ||| bility of an integrated, simultaneous syntactic-semantic
bodyText ||| parsing process, similar to that of (Musillo and Merlo,
bodyText ||| 2006; Merlo and Musillo, 2008). We expect this would
bodyText ||| improve the reliability and accuracy of both the syntac-
bodyText ||| tic and semantic analysis components.
sectionHeader ||| 13 Acknowledgments
bodyText ||| This research was funded by NSF grant IIS-0347799.
bodyText ||| We are deeply indebted to Julia Hockenmaier for the
figure ||| np
figure ||| np
page ||| 43
figure ||| the company	stopped	using	asbestos	in 1956
figure ||| np	((s[dcl]\np)/(s[ng]\np)) (s[ng]\np)/np	np	(s\np)\(s\np)
figure ||| 	ï¿½
figure ||| s[ng]\np
figure ||| s[ng]\np - stop.Arg1
figure ||| s[dcl]\np
figure ||| s[dcl]
figure ||| ï¿½
figure ||| ï¿½
figure ||| ï¿½
figureCaption ||| Figure 7: An example of how incorrect PP attachment can cause an incorrect labeling. Stop.Arg1 should cover us-
figureCaption ||| ing asbestos rather than using asbestos in 1956. This sentence is based on wsj 0003.3, with the structure simplified
figureCaption ||| for clarity.
figure ||| a group	of	workers	exposed to asbestos
figure ||| np	(np\np)/np np - exposed.Arg1	np\np
figure ||| 					ï¿½
figure ||| 					ï¿½
figure ||| 					ï¿½
figure ||| 				np
figure ||| 			np\np
figure ||| 		np
figureCaption ||| Figure 10: Propbank annotates a group of workers as Arg1 of exposed, while CCGbank attaches the relative clause
figureCaption ||| low. The system incorrectly labels workers as a role bearing unit. (Gold standard â wsj 0003.1)
bodyText ||| use of her PARG generation tool.
sectionHeader ||| References
reference ||| Srinivas Bangalore and Aravind Joshi. 1999. Su-
reference ||| pertagging: An approach to almost parsing. Com-
reference ||| putational Linguistics, 25(2):237â265.
reference ||| Adam L. Berger, S. Della Pietra, and V. Della Pietra.
reference ||| 1996. A maximum entropy approach to natural
reference ||| language processing. Computational Linguistics,
reference ||| 22(1):39â71.
reference ||| D.M. Bikel. 2004. Intricacies of Collinsâ parsing
reference ||| model. Computational Linguistics, 30(4):479â511.
reference ||| Stephen A. Boxwell and Michael White. 2008.
reference ||| Projecting propbank roles onto the ccgbank. In
reference ||| Proceedings of the Sixth International Language
reference ||| Resources and Evaluation Conference (LREC-08),
reference ||| Marrakech, Morocco.
reference ||| J. Carroll, G. Minnen, and T. Briscoe. 2003. Parser
reference ||| evaluation. Treebanks: Building and Using Parsed
reference ||| Corpora, pages 299â316.
reference ||| E. Charniak. 2001. Immediate-head parsing for lan-
reference ||| guage models. In Proc. ACL-01, volume 39, pages
reference ||| 116â123.
reference ||| Stephen Clark and James R. Curran. 2007. Wide-
reference ||| coverage Efficient Statistical Parsing with CCG and
reference ||| Log-linear Models. Computational Linguistics,
reference ||| 33(4):493â552.
reference ||| Stephen Clark. 2002. Supertagging for combinatory
reference ||| categorial grammar. In Proceedings of the 6th In-
reference ||| ternational Workshop on Tree Adjoining Grammars
reference ||| and Related Frameworks (TAG+6), pages 19â24,
reference ||| Venice, Italy.
reference ||| M. Collins. 2003. Head-driven statistical models for
reference ||| natural language parsing. Computational Linguis-
reference ||| tics, 29(4):589â637.
reference ||| Daniel Gildea and Julia Hockenmaier. 2003. Identi-
reference ||| fying semantic roles using Combinatory Categorial
reference ||| Grammar. In Proc. EMNLP-03.
reference ||| Julia Hockenmaier and Mark Steedman. 2007. CCG-
reference ||| bank: A Corpus of CCG Derivations and Depen-
reference ||| dency Structures Extracted from the Penn Treebank.
reference ||| Computational Linguistics, 33(3):355â396.
reference ||| R. Johansson and P. Nugues. 2008. Dependency-
reference ||| based syntacticâsemantic analysis with PropBank
reference ||| and NomBank. Proceedings of CoNLL â2008.
reference ||| D C Liu and Jorge Nocedal. 1989. On the limited
reference ||| memory method for large scale optimization. Math-
reference ||| ematical Programming B, 45(3).
reference ||| Lluis M`arquez, Xavier Carreras, Kenneth C. Litowski,
reference ||| and Suzanne Stevenson. 2008. Semantic Role La-
reference ||| beling: An Introduction to the Special Issue. Com-
reference ||| putational Linguistics, 34(2):145â159.
reference ||| Paola Merlo and Gabrile Musillo. 2008. Semantic
reference ||| parsing for high-precision semantic role labelling. In
reference ||| Proceedings of CONLL-08, Manchester, UK.
reference ||| Gabriele Musillo and Paola Merlo. 2006. Robust pars-
reference ||| ing of the proposition bank. In Proceedings of the
reference ||| EACL 2006 Workshop ROMAND, Trento.
reference ||| J. Nivre, J. Hall, J. Nilsson, A. Chanev, G. Eryigit,
reference ||| S. KÂ¨ubler, S. Marinov, and E. Marsi. 2007. Malt-
reference ||| Parser: A language-independent system for data-
reference ||| driven dependency parsing. Natural Language En-
reference ||| gineering, 13(02):95â135.
reference ||| Martha Palmer, Daniel Gildea, and Paul Kingsbury.
reference ||| 2005. The Proposition Bank: An Annotated Cor-
reference ||| pus of Semantic Roles. Computational Linguistics,
reference ||| 31(1):71â106.
page ||| 44
reference ||| Vasin Punyakanok, Dan Roth, and Wen tau Yih. 2008.
reference ||| The Importance of Syntactic Parsing and Inference
reference ||| in Semantic Role Labeling. Computational Linguis-
reference ||| tics, 34(2):257â287.
reference ||| Mark Steedman. 2000. The Syntactic Process. MIT
reference ||| Press.
reference ||| M. Surdeanu, L. M`arquez, X. Carreras, and P. Comas.
reference ||| 2007. Combination strategies for semantic role la-
reference ||| beling. Journal of Artificial Intelligence Research,
reference ||| 29:105â151.
reference ||| K. Toutanova, A. Haghighi, and C.D. Manning. 2008.
reference ||| A global joint model for semantic role labeling.
reference ||| Computational Linguistics, 34(2):161â191.
page ||| 45
